0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
27,,,,,,Dinajpur Zila Total,69528,58022,64472,61309,21053,11766,89526,137628,4468,1559,125580,153868
27,,,,,1,Dinajpur Zila,54512,45589,55269,51837,12884,6394,76825,118241,2638,817,106733,131365
27,,,,,2,Dinajpur Zila,13505,10966,7922,8252,7795,5118,10927,16712,1745,705,16314,19524
27,,,,,3,Dinajpur Zila,1511,1467,1281,1220,374,254,1774,2675,85,37,2533,2979
27,10,,,,,Birampur Upazila Total,4398,3146,3459,3394,946,427,5177,8022,254,56,7183,8789
27,10,,,,1,Birampur Upazila,3023,2070,2410,2398,575,196,3772,5885,144,22,5174,6351
27,10,,,,2,Birampur Upazila,1326,1043,1003,954,355,224,1333,2020,104,33,1918,2320
27,10,,,,3,Birampur Upazila,49,33,46,42,16,7,72,117,6,1,91,118
27,10,,,,2,Birampur Paurashava,1326,1043,1003,954,355,224,1333,2020,104,33,1918,2320
27,10,01,,,,Ward No-01 Total,71,71,67,86,14,9,106,174,4,0,146,200
27,10,01,267,,2,*Charkai(Dakshin),32,45,37,52,4,6,57,109,3,0,81,111
27,10,01,354,,2,*Debipur,39,26,30,34,10,3,49,65,1,0,65,89
27,10,02,,,,Ward No-02 Total,173,106,87,110,42,26,139,215,16,3,194,252
27,10,02,052,,2,*Bamnahar,2,4,9,4,0,1,9,17,0,0,13,17
27,10,02,226,,2,*Chak Para,125,75,42,79,29,23,81,120,14,3,115,163
27,10,02,482,,2,*Jolagari,13,5,12,7,2,0,13,21,0,0,24,19
27,10,02,698,,2,*Manushmora,7,8,4,2,0,2,6,10,1,0,3,8
27,10,02,948,,2,*Tayebpur,26,14,20,18,11,0,30,47,1,0,39,45
27,10,03,,,,Ward No-03 Total,163,225,166,129,44,49,201,321,17,7,285,344
27,10,03,762,,2,*Pali Prayagpur(East),35,33,39,21,9,11,45,58,4,1,72,55
27,10,03,832,,2,*Purba Jagannathpur(Uttar),128,192,127,108,35,38,156,263,13,6,213,289
27,10,04,,,,Ward No-04 Total,148,180,161,135,53,40,209,280,8,8,332,387
27,10,04,151,,2,*Birampur(Uattar),89,98,104,93,32,26,131,161,6,6,208,209
