0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
27,,,,,,Dinajpur Zila Total,713255,1.4,96.5,2.1,39.4,91.7,3.9,4.5
27,,,,,1,Dinajpur Zila,609562,0.7,97.1,2.2,33.1,95.1,1.0,3.9
27,,,,,2,Dinajpur Zila,89605,6.3,92.4,1.4,79.5,69.3,22.6,8.2
27,,,,,3,Dinajpur Zila,14088,2.7,95.6,1.7,55.4,84.1,9.5,6.3
27,10,,,,,Birampur Upazila Total,41988,0.9,96.6,2.6,42.4,92.2,2.8,5.0
27,10,,,,1,Birampur Upazila,30716,0.7,96.9,2.4,34.3,94.5,0.3,5.2
27,10,,,,2,Birampur Upazila,10711,1.3,95.5,3.1,64.4,85.7,10.2,4.0
27,10,,,,3,Birampur Upazila,561,1.4,97.7,0.9,64.7,87.7,0.4,11.9
27,10,,,,2,Birampur Paurashava,10711,1.3,95.5,3.1,64.4,85.7,10.2,4.0
27,10,01,,,,Ward No-01 Total,825,0.0,96.2,3.8,58.7,98.2,0.2,1.6
27,10,01,267,,2,*Charkai(Dakshin),438,0.0,97.9,2.1,54.3,98.6,0.0,1.4
27,10,01,354,,2,*Debipur,387,0.0,94.3,5.7,63.6,97.7,0.5,1.8
27,10,02,,,,Ward No-02 Total,1192,0.2,94.2,5.6,62.7,79.9,9.9,10.2
27,10,02,052,,2,*Bamnahar,58,0.0,100.0,0.0,79.3,100.0,0.0,0.0
27,10,02,226,,2,*Chak Para,728,0.3,97.4,2.3,64.4,83.0,15.7,1.4
27,10,02,482,,2,*Jolagari,90,0.0,98.9,1.1,56.7,97.8,0.0,2.2
27,10,02,698,,2,*Manushmora,38,0.0,100.0,0.0,57.9,100.0,0.0,0.0
27,10,02,948,,2,*Tayebpur,278,0.0,82.4,17.6,57.2,59.4,1.4,39.2
27,10,03,,,,Ward No-03 Total,1757,3.4,94.2,2.4,69.9,81.8,15.8,2.4
27,10,03,762,,2,*Pali Prayagpur(East),324,0.3,98.8,0.9,56.2,91.0,7.4,1.5
27,10,03,832,,2,*Purba Jagannathpur(Uttar),1433,4.1,93.2,2.7,73.1,79.7,17.7,2.7
27,10,04,,,,Ward No-04 Total,1574,1.5,97.5,1.0,80.1,74.7,20.0,5.3
27,10,04,151,,2,*Birampur(Uattar),899,2.6,97.1,0.3,89.9,78.3,20.4,1.3
27,10,04,832,,2,*Purba Jagannathpur(Dakshin),675,0.1,97.9,1.9,67.1,69.9,19.6,10.5
27,10,05,,,,Ward No-05 Total,862,5.0,88.3,6.7,77.0,78.0,17.4,4.6
27,10,05,151,,2,*Birampur(Dakshin),712,0.8,91.0,8.1,75.4,77.9,17.3,4.8
27,10,05,471,,2,*Hossainpur,150,24.7,75.3,0.0,84.7,78.0,18.0,4.0
27,10,06,,,,Ward No-06 Total,1273,0.2,97.5,2.4,48.8,94.2,1.0,4.8
27,10,06,314,,2,*Dakshin Lakshmipur,137,0.0,100.0,0.0,50.4,96.4,2.9,0.7
27,10,06,669,,2,*Mahmudpur,522,0.0,98.1,1.9,39.8,89.5,0.6,10.0
27,10,06,814,,2,*Prostampur,273,0.4,93.0,6.6,55.3,97.4,0.0,2.6
27,10,06,849,,2,*Rampura,115,0.0,98.3,1.7,38.3,93.9,5.2,0.9
27,10,06,896,,2,*Sarangpur,226,0.4,99.6,0.0,65.9,100.0,0.0,0.0
27,10,07,,,,Ward No-07 Total,1395,0.8,96.4,2.8,75.8,81.1,15.7,3.2
27,10,07,244,,2,*Chandpur,622,0.2,99.8,0.0,84.9,74.8,23.6,1.6
27,10,07,407,,2,*Dosra Palashbari,120,3.3,82.5,14.2,80.8,83.3,0.8,15.8
27,10,07,925,,2,*Shimultali,653,0.9,95.7,3.4,66.3,86.7,10.9,2.5
27,10,08,,,,Ward No-08 Total,978,0.1,94.9,5.0,45.3,97.8,0.2,2.0
27,10,08,087,,2,*Begumpur,192,0.0,80.7,19.3,31.3,97.4,0.5,2.1
27,10,08,250,,2,*Changair,120,0.0,100.0,0.0,47.5,98.3,0.0,1.7
27,10,08,709,,2,*Mirzapur,666,0.2,98.0,1.8,48.9,97.7,0.2,2.1
27,10,09,,,,Ward No-09 Total,855,0.0,99.4,0.6,46.3,99.4,0.0,0.6
27,10,09,122,,2,*Bhabanipur,410,0.0,98.8,1.2,45.1,99.5,0.0,0.5
27,10,09,692,,2,*Manirampur,445,0.0,100.0,0.0,47.4,99.3,0.0,0.7
27,10,11,,,,Benail Union Total,4796,1.0,96.6,2.4,24.5,98.0,0.1,1.9
27,10,11,017,,1,*Achintyapur,229,0.0,98.3,1.7,33.6,99.6,0.0,0.4
27,10,11,029,,1,*Ayra,272,1.8,98.2,0.0,57.7,94.5,0.4,5.1
27,10,11,034,,1,*Bagra,97,0.0,100.0,0.0,0.0,100.0,0.0,0.0
27,10,11,040,,1,*Bakunda,171,0.0,100.0,0.0,0.6,100.0,0.0,0.0
27,10,11,139,,1,*Benail,377,0.0,100.0,0.0,2.9,98.7,0.0,1.3
27,10,11,145,,1,*Binodpur,3,0.0,100.0,0.0,0.0,100.0,0.0,0.0
27,10,11,203,,1,*Chak Madhab,33,0.0,100.0,0.0,75.8,100.0,0.0,0.0
27,10,11,256,,1,*Chapra,235,0.0,94.9,5.1,48.1,96.2,0.0,3.8
27,10,11,285,,1,*Chautha,226,0.0,99.6,0.4,21.7,100.0,0.0,0.0
27,10,11,372,,1,*Desma,204,0.0,89.7,10.3,3.4,96.6,0.5,2.9
27,10,11,430,,1,*Gangadaspur,102,0.0,100.0,0.0,4.9,96.1,0.0,3.9
27,10,11,436,,1,*Gopalpur,126,0.0,98.4,1.6,15.1,98.4,0.0,1.6
27,10,11,448,,1,*Hamlakuri,110,0.0,100.0,0.0,70.0,97.3,0.0,2.7
27,10,11,465,,1,*Herma,104,1.9,98.1,0.0,53.8,99.0,0.0,1.0
27,10,11,523,,1,*Kalyanpur,331,0.9,98.8,0.3,64.7,98.2,0.6,1.2
27,10,11,541,,1,*Karampur,65,0.0,100.0,0.0,0.0,100.0,0.0,0.0
27,10,11,546,,1,*Karanji,120,5.0,95.0,0.0,63.3,100.0,0.0,0.0
27,10,11,587,,1,*Khiar Durgapur,17,0.0,100.0,0.0,0.0,100.0,0.0,0.0
27,10,11,599,,1,*Khiar Ramkrishnapur,203,0.0,97.5,2.5,48.8,96.6,0.5,3.0
