0,1,2,3,4,5,6,7,8,9,10,11,12
29,,,,,,Faridpur Zila Total,507274,420174,1912969,1911151,1818,932
29,,,,,1,Faridpur Zila,,359438,1641869,1640742,1127,
29,,,,,2,Faridpur Zila,,43461,195247,194770,477,
29,,,,,3,Faridpur Zila,,17275,75853,75639,214,
29,03,,,,,Alfadanga Upazila Total,31598,24293,108302,108296,6,847
29,03,,,,1,Alfadanga Upazila,,22604,101397,101393,4,
29,03,,,,3,Alfadanga Upazila,,1689,6905,6903,2,
29,03,10,,,,Alfadanga Union Total,4349,3912,17015,17012,3,967
29,03,10,,,1,Alfadanga Union,,2741,12344,12343,1,
29,03,10,,,3,Alfadanga Union,,1171,4671,4669,2,
29,03,10,013,,3,*Alfadanga,,1171,4671,4669,2,
29,03,10,013,01,3,Alfadanga,,698,2805,2803,2,
29,03,10,013,02,3,Kusumdi,,407,1618,1618,0,
29,03,10,013,03,3,Bara Kusumdi,,66,248,248,0,
29,03,10,110,,1,*Bejidanga,,257,1150,1150,0,
29,03,10,124,,1,*Bidya Dhar,,157,706,706,0,
29,03,10,179,,1,*Brahman Jatigram,,68,312,312,0,
29,03,10,373,,1,*Daruna,,99,406,406,0,
29,03,10,456,,1,*Ichhapasha,,261,1177,1177,0,
29,03,10,456,01,1,Ichhapasa,,177,778,778,0,
29,03,10,456,02,1,Modhunagar,,40,186,186,0,
29,03,10,456,03,1,Char Bakhil,,44,213,213,0,
29,03,10,497,,1,*Jatigram,,477,2089,2089,0,
29,03,10,621,,1,*Mahisharghop,,351,1648,1648,0,
29,03,10,621,01,1,Mahisherghop,,85,375,375,0,
29,03,10,621,02,1,Baripara,,266,1273,1273,0,
29,03,10,663,,1,*Mithapur,,554,2520,2519,1,
29,03,10,663,01,1,Mithapur,,528,2394,2393,1,
29,03,10,663,02,1,Gazipur,,26,126,126,0,
29,03,10,718,,1,*Naora Mithapur,,149,651,651,0,
29,03,10,939,,1,*Sukurhata,,368,1685,1685,0,
29,03,10,939,01,1,Dolirchar,,200,908,908,0,
29,03,10,939,02,1,Sukurhata,,146,678,678,0,
29,03,10,939,03,1,Baisa,,22,99,99,0,
29,03,21,,,,Bana Union Total,5015,3609,16148,16148,0,796
29,03,21,031,,1,*Arazi Rudrabana,,69,328,328,0,
29,03,21,052,,1,*Atokbana,,40,211,211,0,
29,03,21,059,,1,*Ausherhat,,27,127,127,0,
29,03,21,142,,1,*Belbana,,539,2317,2317,0,
29,03,21,295,,1,*Dakshin Sirgram,,236,1016,1016,0,
29,03,21,361,,1,*Dighalbana,,219,1010,1010,0,
29,03,21,396,,1,*Garania,,396,1795,1795,0,
29,03,21,556,,1,*Katurakandi,,170,856,856,0,
29,03,21,591,,1,*Konagram,,100,421,421,0,
29,03,21,761,,1,*Panditerbana,,120,525,525,0,
29,03,21,855,,1,*Rudrabana,,544,2407,2407,0,
29,03,21,970,,1,*Tona,,840,3785,3785,0,
29,03,21,970,01,1,Arpara,,339,1563,1563,0,
29,03,21,970,02,1,Tonarchar,,168,714,714,0,
29,03,21,970,03,1,Tonapara,,237,1076,1076,0,
29,03,21,970,04,1,Tabni,,96,432,432,0,
29,03,21,984,,1,*Uthali,,214,981,981,0,
29,03,21,994,,1,*Uttar Sirgram,,95,369,369,0,
29,03,31,,,,Buraich Union Total,6068,4923,22210,22210,0,904
29,03,31,,,1,Buraich Union,,4405,19976,19976,0,
29,03,31,,,3,Buraich Union,,518,2234,2234,0,
29,03,31,096,,1,*Barankula,,677,3038,3038,0,
29,03,31,152,,1,*Bil Mandla,,59,280,280,0,
29,03,31,165,,1,*Bil Putia,,83,286,286,0,
29,03,31,193,,3,*Buraich,,518,2234,2234,0,
29,03,31,193,01,3,Buraich,,321,1395,1395,0,
29,03,31,193,02,3,Sreerampur,,197,839,839,0,
29,03,31,317,,1,*Char Kholabaria,,314,1409,1409,0,
29,03,31,317,01,1,Char Kholabaria,,199,923,923,0,
29,03,31,317,02,1,Kholabaria,,115,486,486,0,
29,03,31,331,,1,*Char Makrail,,15,68,68,0,
29,03,31,428,,1,*Helencha,,464,2226,2226,0,
29,03,31,442,,1,*Hidadanga,,216,942,942,0,
29,03,31,483,,1,*Jangalia,,65,301,301,0,
29,03,31,511,,1,*Joydebpur,,257,1075,1075,0,
29,03,31,538,,1,*Katurakandi,,431,1964,1964,0,
29,03,31,538,01,1,Katurakandi,,313,1403,1403,0,
29,03,31,538,02,1,Fandha,,45,179,179,0,
29,03,31,538,03,1,Halenchati,,73,382,382,0,
29,03,31,746,,1,*Pakuria,,289,1418,1418,0,
29,03,31,773,,1,*Panigati,,78,268,268,0,
29,03,31,787,,1,*Panipara,,71,356,356,0,
29,03,31,815,,1,*Paran Para,,61,284,284,0,
29,03,31,842,,1,*Phalia,,495,2178,2178,0,
29,03,31,884,,1,*Sailmari,,210,917,917,0,
29,03,31,898,,1,*Sararkandi,,179,858,858,0,
29,03,31,912,,1,*Sialdi,,318,1540,1540,0,
29,03,31,973,,1,*Bil Joaria Tikor Para,,123,568,568,0,
29,03,42,,,,Gopalpur Union Total,4690,4260,18563,18561,2,978
29,03,42,055,,1,*Bajra,,386,1654,1652,2,
29,03,42,069,,1,*Bakail Nagarkanda,,440,2016,2016,0,
29,03,42,069,01,1,Bakail,,376,1710,1710,0,
29,03,42,069,02,1,Nagarkanda,,64,306,306,0,
29,03,42,221,,1,*Chandra,,397,1789,1789,0,
29,03,42,221,01,1,Chandra,,382,1732,1732,0,
29,03,42,221,02,1,Baniagati,,15,57,57,0,
29,03,42,400,,1,*Dignagar,,78,361,361,0,
29,03,42,414,,1,*Gopalpur,,641,2602,2602,0,
29,03,42,525,,1,*Kamargram,,598,2481,2481,0,
29,03,42,580,,1,*Kuchiagram,,555,2359,2359,0,
29,03,42,580,01,1,Kuchiagram,,381,1615,1615,0,
29,03,42,580,02,1,Tagarbhanga,,68,311,311,0,
29,03,42,580,03,1,Katalsur,,106,433,433,0,
29,03,42,594,,1,*Kuldhar,,100,456,456,0,
29,03,42,594,01,1,Kuldhar,,62,286,286,0,
29,03,42,594,02,1,Fulbaria,,38,170,170,0,
29,03,42,704,,1,*Naopara,,475,2151,2151,0,
29,03,42,704,01,1,Naopara,,374,1735,1735,0,
29,03,42,704,02,1,Charnao Para,,101,416,416,0,
29,03,42,732,,1,*Pabanbeg,,273,1203,1203,0,
29,03,42,732,01,1,Pabanbeg,,196,858,858,0,
29,03,42,732,02,1,Satiargari,,15,63,63,0,
29,03,42,732,03,1,Malidanga,,62,282,282,0,
29,03,42,807,,1,*Paragram,,317,1491,1491,0,
29,03,52,,,,Panchuria Union Total,4019,3400,15897,15897,0,977
29,03,52,005,,1,*Uttar Akhali Para (Part),,77,333,333,0,
29,03,52,166,,1,*Bhat Para,,335,1466,1466,0,
29,03,52,166,01,1,Bhat Para,,251,1085,1085,0,
29,03,52,166,02,1,Char Bhat Para,,54,256,256,0,
29,03,52,166,03,1,Dakshin Bhat Para,,30,125,125,0,
29,03,52,219,,1,*Chandra,,97,419,419,0,
29,03,52,219,01,1,Chandra,,69,292,292,0,
29,03,52,219,02,1,Char Chandra,,28,127,127,0,
29,03,52,243,,1,*Char Panchuria,,488,2282,2282,0,
29,03,52,292,,1,*Dakshin Char Narayandia,,127,620,620,0,
29,03,52,333,,1,*Deuli (Part),,50,243,243,0,
29,03,52,351,,1,*Dhuljuri,,593,2752,2752,0,
29,03,52,351,01,1,Dhuljuri,,572,2683,2683,0,
29,03,52,351,02,1,Berirhat,,21,69,69,0,
29,03,52,372,,1,*Doghachhi,,66,308,308,0,
29,03,52,490,,1,*Jogibarat,,654,2982,2982,0,
29,03,52,490,01,1,Jogibarat,,615,2801,2801,0,
29,03,52,490,02,1,Naturia,,39,181,181,0,
29,03,52,758,,1,*Panchuria,,236,1135,1135,0,
29,03,52,758,01,1,Panchuria,,58,287,287,0,
29,03,52,758,02,1,Dakshin Panchuria,,178,848,848,0,
29,03,52,779,,1,*Paschim Char Narayandia,,170,821,821,0,
29,03,52,991,,1,*Char Narayandia,,507,2536,2536,0,
29,03,52,991,01,1,Uttar Char Narayandia,,322,1531,1531,0,
29,03,52,991,02,1,Char Narayandia,,157,859,859,0,
29,03,52,991,03,1,Uttar Char Jhama,,28,146,146,0,
29,03,84,,,,Tagarbanda Union Total,7407,4189,18469,18468,1,616
29,03,84,082,,1,*Barabhag,,405,1913,1912,1,
29,03,84,082,01,1,Barabhag,,357,1680,1680,0,
29,03,84,082,02,1,Ghidha,,29,143,142,1,
29,03,84,082,03,1,Langulia,,19,90,90,0,
29,03,84,234,,1,*Chapulia,,383,1559,1559,0,
29,03,84,248,,1,*Char Azampur,,111,479,479,0,
29,03,84,262,,1,*Char Bagjuri (Part),,62,216,216,0,
29,03,84,276,,1,*Char Dhanair,,44,204,204,0,
29,03,84,386,,1,*Deo Danga,,16,62,62,0,
29,03,84,469,,1,*Ikrail,,103,477,477,0,
29,03,84,608,,1,*Kumurtia,,164,658,658,0,
29,03,84,635,,1,*Mala,,518,2330,2330,0,
29,03,84,677,,1,*Nandigram,,83,423,423,0,
29,03,84,760,,1,*Panail,,622,2706,2706,0,
29,03,84,760,01,1,Panail,,538,2347,2347,0,
29,03,84,760,02,1,Sathbaria,,84,359,359,0,
29,03,84,829,,1,*Parsiarbar,,400,1714,1714,0,
29,03,84,829,01,1,Chardanga,,358,1552,1552,0,
29,03,84,829,02,1,Sekipara,,42,162,162,0,
29,03,84,856,,1,*Fulbaria,,62,225,225,0,
29,03,84,870,,1,*Royer Panail,,122,582,582,0,
29,03,84,925,,1,*Shiarpur,,180,861,861,0,
29,03,84,953,,1,*Tagarbanda,,489,2230,2230,0,
29,03,84,953,01,1,Tagarbanda,,214,1009,1009,0,
29,03,84,953,02,1,Krishnapur,,275,1221,1221,0,
29,03,84,981,,1,*Titahati Para,,238,1017,1017,0,
29,03,84,994,,1,*Titurkandi,,187,813,813,0,
29,10,,,,,Bhanga Upazila Total,53204,57164,259032,258845,187,1203
29,10,,,,1,Bhanga Upazila,,46995,212555,212413,142,
29,10,,,,2,Bhanga Upazila,,7505,34148,34125,23,
29,10,,,,3,Bhanga Upazila,,2664,12329,12307,22,
29,10,,,,,Bhanga Paurashava,,,,,,
29,10,01,,,,Ward No-01 Total,,710,3156,3156,0,
29,10,01,124,,2,*Baiskhali,,101,509,509,0,
29,10,01,317,,2,*Hoglakandi,,179,712,712,0,
29,10,01,538,,2,*Kharakandi,,161,718,718,0,
29,10,01,592,,2,*Kutibari Char Kanda,,269,1217,1217,0,
29,10,02,,,,Ward No-02 Total,,975,4455,4455,0,
29,10,02,200,,2,*Bhariadanga (Noapara),,454,2101,2101,0,
29,10,02,260,,2,*Gazaria,,97,450,450,0,
29,10,02,424,,2,*Hazrahati,,174,725,725,0,
29,10,02,724,,2,*Nurpur,,250,1179,1179,0,
29,10,03,,,,Ward No-03 Total,,821,3728,3728,0,
29,10,03,116,,2,*Chandidasdi,,423,1843,1843,0,
29,10,03,160,,2,*Dhariar Math,,355,1683,1683,0,
29,10,03,824,,2,*Sonakhola,,43,202,202,0,
29,10,04,,,,Ward No-04 Total,,1122,4889,4880,9,
29,10,04,141,,2,*Banga Town,,871,3761,3752,9,
29,10,04,541,,2,*Paschim Hasandi,,251,1128,1128,0,
29,10,05,,,,Ward No-05 Total,,1018,4834,4834,0,
29,10,05,041,,2,*Atadi,,438,1976,1976,0,
29,10,05,225,,2,*Chowki Ghart (Hat),,9,35,35,0,
29,10,05,241,,2,*Char Kanda Atadi,,148,691,691,0,
29,10,05,565,,2,*Purba Hasandia,,423,2132,2132,0,
29,10,06,,,,Ward No-06 Total,,633,2931,2931,0,
29,10,06,241,,2,*Dakshin Seladar Char,,91,366,366,0,
29,10,06,580,,2,*Purba Sadardi,,240,1127,1127,0,
