0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
29,,,,,,Faridpur Zila Total,418554,2.6,9.2,18.1,24.8,20.6,12.2,6.2,6.4,4.5
29,,,,,1,Faridpur Zila,358853,2.4,9.0,17.7,24.6,21.0,12.6,6.3,6.4,4.5
29,,,,,2,Faridpur Zila,42559,3.6,10.3,20.5,26.7,17.9,9.7,5.0,6.2,4.3
29,,,,,3,Faridpur Zila,17142,3.5,10.0,20.4,24.8,19.1,11.1,5.8,5.4,4.4
29,03,,,,,Alfadanga Upazila Total,24217,3.3,10.1,18.5,24.6,19.6,11.7,5.7,6.5,4.4
29,03,,,,1,Alfadanga Upazila,22570,3.3,10.0,18.1,24.4,19.9,11.9,5.8,6.7,4.5
29,03,,,,3,Alfadanga Upazila,1647,4.2,11.6,23.9,27.7,15.8,8.9,3.9,3.9,4.1
29,03,10,,,,Alfadanga Union Total,3882,3.2,10.6,19.9,25.2,19.0,11.0,5.5,5.6,4.3
29,03,10,,,1,Alfadanga Union,2737,2.8,9.7,18.5,23.2,20.4,12.3,6.4,6.6,4.5
29,03,10,,,3,Alfadanga Union,1145,4.1,12.8,23.3,29.9,15.5,7.8,3.3,3.2,3.9
29,03,10,013,,3,*Alfadanga,1145,4.1,12.8,23.3,29.9,15.5,7.8,3.3,3.2,3.9
29,03,10,013,01,3,Alfadanga,675,4.1,13.5,23.1,29.2,16.1,7.1,3.1,3.7,3.9
29,03,10,013,02,3,Kusumdi,404,4.2,10.6,23.5,32.4,13.9,8.9,3.5,3.0,4.0
29,03,10,013,03,3,Bara Kusumdi,66,3.0,19.7,24.2,21.2,19.7,7.6,4.5,0.0,3.8
29,03,10,110,,1,*Bejidanga,257,1.6,8.6,16.7,26.8,24.1,12.1,5.4,4.7,4.5
29,03,10,124,,1,*Bidya Dhar,157,5.1,10.2,17.2,19.1,19.7,15.9,6.4,6.4,4.5
29,03,10,179,,1,*Brahman Jatigram,68,2.9,13.2,11.8,19.1,22.1,19.1,4.4,7.4,4.6
29,03,10,373,,1,*Daruna,99,4.0,8.1,24.2,25.3,22.2,10.1,4.0,2.0,4.1
29,03,10,456,,1,*Ichhapasha,261,2.7,9.2,17.6,25.7,18.4,12.6,7.7,6.1,4.5
29,03,10,456,01,1,Ichhapasa,177,3.4,10.7,18.1,27.7,15.3,11.3,6.8,6.8,4.4
29,03,10,456,02,1,Modhunagar,40,0.0,5.0,30.0,15.0,20.0,17.5,7.5,5.0,4.7
29,03,10,456,03,1,Char Bakhil,44,2.3,6.8,4.5,27.3,29.5,13.6,11.4,4.5,4.8
29,03,10,497,,1,*Jatigram,477,2.9,9.6,21.0,21.4,21.6,12.8,5.9,4.8,4.4
29,03,10,621,,1,*Mahisharghop,351,1.7,8.0,17.4,24.2,18.8,13.7,9.1,7.1,4.7
29,03,10,621,01,1,Mahisherghop,85,3.5,5.9,17.6,30.6,21.2,9.4,7.1,4.7,4.4
29,03,10,621,02,1,Baripara,266,1.1,8.6,17.3,22.2,18.0,15.0,9.8,7.9,4.8
29,03,10,663,,1,*Mithapur,550,2.7,8.7,20.2,24.4,18.5,11.8,5.3,8.4,4.6
29,03,10,663,01,1,Mithapur,524,2.7,8.6,20.6,24.4,18.9,11.5,5.2,8.2,4.6
29,03,10,663,02,1,Gazipur,26,3.8,11.5,11.5,23.1,11.5,19.2,7.7,11.5,4.8
29,03,10,718,,1,*Naora Mithapur,149,3.4,15.4,16.1,26.8,16.8,8.1,5.4,8.1,4.4
29,03,10,939,,1,*Sukurhata,368,3.5,11.1,16.6,19.3,22.8,10.9,7.3,8.4,4.6
29,03,10,939,01,1,Dolirchar,200,3.0,10.5,16.5,20.5,22.0,15.0,6.0,6.5,4.5
29,03,10,939,02,1,Sukurhata,146,4.8,12.3,16.4,15.8,24.7,6.2,8.2,11.6,4.6
29,03,10,939,03,1,Baisa,22,0.0,9.1,18.2,31.8,18.2,4.5,13.6,4.5,4.5
29,03,21,,,,Bana Union Total,3603,3.7,9.7,17.0,25.0,20.1,12.5,5.6,6.3,4.5
29,03,21,031,,1,*Arazi Rudrabana,69,0.0,8.7,20.3,26.1,13.0,17.4,2.9,11.6,4.8
29,03,21,052,,1,*Atokbana,40,0.0,10.0,10.0,15.0,25.0,17.5,10.0,12.5,5.3
29,03,21,059,,1,*Ausherhat,27,0.0,14.8,22.2,18.5,18.5,11.1,0.0,14.8,4.7
29,03,21,142,,1,*Belbana,538,3.5,10.2,17.7,26.6,20.6,12.6,6.5,2.2,4.3
29,03,21,295,,1,*Dakshin Sirgram,236,5.1,11.0,23.7,20.3,20.3,7.6,5.9,5.9,4.3
29,03,21,361,,1,*Dighalbana,219,4.1,8.2,13.2,24.2,22.8,12.8,7.3,7.3,4.6
29,03,21,396,,1,*Garania,395,2.3,12.4,17.0,22.8,21.0,12.7,5.6,6.3,4.5
29,03,21,556,,1,*Katurakandi,169,2.4,4.7,10.1,28.4,19.5,19.5,4.7,10.7,5.0
29,03,21,591,,1,*Konagram,100,6.0,10.0,17.0,28.0,16.0,14.0,6.0,3.0,4.2
29,03,21,761,,1,*Panditerbana,120,5.8,9.2,14.2,25.0,25.0,10.8,4.2,5.8,4.4
29,03,21,855,,1,*Rudrabana,544,4.8,9.6,17.1,24.1,19.1,12.5,6.8,6.1,4.4
29,03,21,970,,1,*Tona,839,3.2,8.7,15.9,27.5,20.3,13.8,4.3,6.3,4.5
29,03,21,970,01,1,Arpara,339,2.9,10.0,15.9,23.9,19.2,15.6,5.3,7.1,4.6
29,03,21,970,02,1,Tonarchar,167,6.0,10.2,16.2,32.3,16.2,10.8,1.8,6.6,4.2
29,03,21,970,03,1,Tonapara,237,1.7,6.3,16.0,29.5,23.6,12.7,4.6,5.5,4.5
29,03,21,970,04,1,Tabni,96,3.1,7.3,14.6,27.1,22.9,15.6,4.2,5.2,4.5
29,03,21,984,,1,*Uthali,212,3.8,9.9,20.3,22.2,18.9,7.1,6.1,11.8,4.6
29,03,21,994,,1,*Uttar Sirgram,95,7.4,14.7,22.1,25.3,17.9,5.3,3.2,4.2,3.9
29,03,31,,,,Buraich Union Total,4897,3.3,9.6,18.6,24.6,19.6,11.7,6.0,6.6,4.5
29,03,31,,,1,Buraich Union,4395,3.2,9.7,17.8,24.8,20.0,11.7,6.1,6.8,4.5
29,03,31,,,3,Buraich Union,502,4.4,8.8,25.3,22.9,16.5,11.4,5.4,5.4,4.3
29,03,31,096,,1,*Barankula,677,2.2,10.6,17.1,24.5,20.4,13.6,5.0,6.5,4.5
