0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
29,,,,,,Faridpur Zila Total,37914,36650,45601,44439,10502,6525,56261,87563,2209,859,69790,90658
29,,,,,1,Faridpur Zila,30446,29529,39988,38391,6018,3632,48614,75477,1256,477,59353,77254
29,,,,,2,Faridpur Zila,6150,5556,3742,4175,4178,2639,5496,8567,875,344,7761,9736
29,,,,,3,Faridpur Zila,1318,1565,1871,1873,306,254,2151,3519,78,38,2676,3668
29,03,,,,,Alfadanga Upazila Total,2674,2312,2084,2308,493,248,2635,4971,88,32,3471,5198
29,03,,,,1,Alfadanga Upazila,2501,2146,1944,2167,443,210,2449,4650,74,27,3214,4853
29,03,,,,3,Alfadanga Upazila,173,166,140,141,50,38,186,321,14,5,257,345
29,03,10,,,,Alfadanga Union Total,437,396,342,355,83,37,423,784,15,7,534,812
29,03,10,,,1,Alfadanga Union,309,269,254,277,48,14,308,563,6,4,378,584
29,03,10,,,3,Alfadanga Union,128,127,88,78,35,23,115,221,9,3,156,228
29,03,10,013,,3,*Alfadanga,128,127,88,78,35,23,115,221,9,3,156,228
29,03,10,013,01,3,Alfadanga,84,81,49,39,24,16,75,114,9,2,90,141
29,03,10,013,02,3,Kusumdi,41,42,28,34,11,7,36,96,0,1,56,80
29,03,10,013,03,3,Bara Kusumdi,3,4,11,5,0,0,4,11,0,0,10,7
29,03,10,110,,1,*Bejidanga,25,25,19,14,2,0,25,55,1,0,26,48
29,03,10,124,,1,*Bidya Dhar,25,17,10,11,1,0,13,34,1,0,21,30
29,03,10,179,,1,*Brahman Jatigram,5,7,8,14,0,0,8,7,0,0,6,7
29,03,10,373,,1,*Daruna,15,4,5,9,2,3,16,21,1,0,8,15
29,03,10,456,,1,*Ichhapasha,21,19,33,29,8,1,35,57,1,0,49,57
29,03,10,456,01,1,Ichhapasa,15,16,22,23,4,0,27,38,1,0,24,37
29,03,10,456,02,1,Modhunagar,0,1,1,2,4,0,5,12,0,0,16,13
29,03,10,456,03,1,Char Bakhil,6,2,10,4,0,1,3,7,0,0,9,7
29,03,10,497,,1,*Jatigram,49,47,42,53,7,1,50,87,1,0,65,104
29,03,10,621,,1,*Mahisharghop,40,35,40,34,6,2,31,75,0,1,55,83
29,03,10,621,01,1,Mahisherghop,11,5,4,0,2,0,6,25,0,1,12,15
29,03,10,621,02,1,Baripara,29,30,36,34,4,2,25,50,0,0,43,68
29,03,10,663,,1,*Mithapur,78,63,52,55,14,3,72,128,1,1,83,124
29,03,10,663,01,1,Mithapur,77,58,51,55,11,3,70,115,1,1,76,118
29,03,10,663,02,1,Gazipur,1,5,1,0,3,0,2,13,0,0,7,6
29,03,10,718,,1,*Naora Mithapur,17,13,6,13,1,1,17,27,0,0,18,35
29,03,10,939,,1,*Sukurhata,34,39,39,45,7,3,41,72,0,2,47,81
29,03,10,939,01,1,Dolirchar,15,21,23,37,1,0,23,45,0,1,31,37
29,03,10,939,02,1,Sukurhata,14,17,12,6,6,3,13,26,0,1,14,40
29,03,10,939,03,1,Baisa,5,1,4,2,0,0,5,1,0,0,2,4
29,03,21,,,,Bana Union Total,390,328,306,325,68,30,344,712,16,3,545,823
29,03,21,031,,1,*Arazi Rudrabana,9,7,3,5,1,0,9,15,0,0,12,20
29,03,21,052,,1,*Atokbana,4,4,3,2,1,0,3,10,0,0,3,8
29,03,21,059,,1,*Ausherhat,5,2,2,1,0,0,1,5,0,1,6,7
29,03,21,142,,1,*Belbana,57,50,48,49,11,2,57,94,4,0,81,108
29,03,21,295,,1,*Dakshin Sirgram,24,18,14,19,4,1,22,40,0,0,20,58
29,03,21,361,,1,*Dighalbana,29,20,17,8,6,2,15,48,0,0,43,63
29,03,21,396,,1,*Garania,45,46,39,37,9,6,32,96,3,0,62,84
29,03,21,556,,1,*Katurakandi,20,23,21,17,5,2,16,34,2,1,28,34
29,03,21,591,,1,*Konagram,11,9,10,11,1,0,5,10,0,0,11,20
29,03,21,761,,1,*Panditerbana,20,4,8,11,3,1,9,32,0,0,21,22
29,03,21,855,,1,*Rudrabana,44,44,27,38,6,7,36,95,2,0,77,119
29,03,21,970,,1,*Tona,76,72,87,101,13,6,110,178,3,0,136,199
29,03,21,970,01,1,Arpara,34,35,35,44,5,1,61,87,3,0,64,90
