0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
29,,,,,,Faridpur Zila Total,224488,212963,11525,167687,3152,11679,2374,33597,5999
29,,,,,1,Faridpur Zila,203531,194463,9068,158824,2972,9899,2201,25740,3895
29,,,,,2,Faridpur Zila,13048,10964,2084,3419,86,1286,161,6259,1837
29,,,,,3,Faridpur Zila,7909,7536,373,5444,94,494,12,1598,267
29,03,,,,,Alfadanga Upazila Total,10667,10317,350,8199,90,421,30,1697,230
29,03,,,,1,Alfadanga Upazila,10273,9965,308,8026,84,407,30,1532,194
29,03,,,,3,Alfadanga Upazila,394,352,42,173,6,14,0,165,36
29,03,10,,,,Alfadanga Union Total,1669,1589,80,1225,9,74,22,290,49
29,03,10,,,1,Alfadanga Union,1428,1375,53,1133,9,67,22,175,22
29,03,10,,,3,Alfadanga Union,241,214,27,92,0,7,0,115,27
29,03,10,013,,3,*Alfadanga,241,214,27,92,0,7,0,115,27
29,03,10,013,01,3,Alfadanga,94,77,17,14,0,0,0,63,17
29,03,10,013,02,3,Kusumdi,109,100,9,54,0,5,0,41,9
29,03,10,013,03,3,Bara Kusumdi,38,37,1,24,0,2,0,11,1
29,03,10,110,,1,*Bejidanga,116,116,0,115,0,1,0,0,0
29,03,10,124,,1,*Bidya Dhar,106,105,1,92,0,1,0,12,1
29,03,10,179,,1,*Brahman Jatigram,40,40,0,37,0,2,0,1,0
29,03,10,373,,1,*Daruna,34,34,0,25,0,0,0,9,0
29,03,10,456,,1,*Ichhapasha,138,135,3,121,3,9,0,5,0
29,03,10,456,01,1,Ichhapasa,73,71,2,64,2,3,0,4,0
29,03,10,456,02,1,Modhunagar,32,31,1,27,1,3,0,1,0
29,03,10,456,03,1,Char Bakhil,33,33,0,30,0,3,0,0,0
29,03,10,497,,1,*Jatigram,212,207,5,146,1,21,1,40,3
29,03,10,621,,1,*Mahisharghop,223,215,8,177,3,4,0,34,5
29,03,10,621,01,1,Mahisherghop,48,48,0,34,0,3,0,11,0
29,03,10,621,02,1,Baripara,175,167,8,143,3,1,0,23,5
29,03,10,663,,1,*Mithapur,277,242,35,162,2,18,21,62,12
29,03,10,663,01,1,Mithapur,272,237,35,159,2,17,21,61,12
29,03,10,663,02,1,Gazipur,5,5,0,3,0,1,0,1,0
29,03,10,718,,1,*Naora Mithapur,54,54,0,52,0,0,0,2,0
29,03,10,939,,1,*Sukurhata,228,227,1,206,0,11,0,10,1
29,03,10,939,01,1,Dolirchar,112,111,1,103,0,0,0,8,1
29,03,10,939,02,1,Sukurhata,99,99,0,96,0,1,0,2,0
29,03,10,939,03,1,Baisa,17,17,0,7,0,10,0,0,0
29,03,21,,,,Bana Union Total,1900,1847,53,1496,14,42,0,309,39
29,03,21,031,,1,*Arazi Rudrabana,38,38,0,34,0,0,0,4,0
29,03,21,052,,1,*Atokbana,26,26,0,24,0,1,0,1,0
29,03,21,059,,1,*Ausherhat,14,14,0,13,0,0,0,1,0
29,03,21,142,,1,*Belbana,361,342,19,303,6,2,0,37,13
29,03,21,295,,1,*Dakshin Sirgram,84,83,1,48,0,0,0,35,1
29,03,21,361,,1,*Dighalbana,151,151,0,141,0,10,0,0,0
29,03,21,396,,1,*Garania,213,208,5,111,0,3,0,94,5
29,03,21,556,,1,*Katurakandi,94,92,2,77,1,0,0,15,1
29,03,21,591,,1,*Konagram,33,30,3,29,2,0,0,1,1
29,03,21,761,,1,*Panditerbana,72,71,1,43,1,18,0,10,0
