0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
29,,,,,,Faridpur Zila Total,418554,2.8,94.6,2.6,48.7,93.2,4.9,1.9
29,,,,,1,Faridpur Zila,358853,0.3,96.9,2.9,43.9,96.7,1.7,1.5
29,,,,,2,Faridpur Zila,42559,24.7,74.1,1.3,85.7,65.1,29.8,5.1
29,,,,,3,Faridpur Zila,17142,1.2,97.4,1.4,58.6,88.0,8.9,3.1
29,03,,,,,Alfadanga Upazila Total,24217,0.2,98.1,1.8,43.1,97.0,1.8,1.2
29,03,,,,1,Alfadanga Upazila,22570,0.1,98.0,1.8,40.2,98.2,0.6,1.1
29,03,,,,3,Alfadanga Upazila,1647,1.0,98.3,0.7,82.5,79.6,18.4,2.0
29,03,10,,,,Alfadanga Union Total,3882,0.4,98.8,0.8,43.5,92.2,6.2,1.6
29,03,10,,,1,Alfadanga Union,2737,0.0,99.3,0.7,25.3,98.0,0.3,1.8
29,03,10,,,3,Alfadanga Union,1145,1.4,97.6,1.0,87.0,78.4,20.4,1.1
29,03,10,013,,3,*Alfadanga,1145,1.4,97.6,1.0,87.0,78.4,20.4,1.1
29,03,10,013,01,3,Alfadanga,675,2.2,96.3,1.5,95.9,73.0,26.2,0.7
29,03,10,013,02,3,Kusumdi,404,0.2,99.8,0.0,86.4,84.2,14.1,1.7
29,03,10,013,03,3,Bara Kusumdi,66,0.0,98.5,1.5,0.0,98.5,0.0,1.5
29,03,10,110,,1,*Bejidanga,257,0.0,99.2,0.8,7.4,100.0,0.0,0.0
29,03,10,124,,1,*Bidya Dhar,157,0.0,100.0,0.0,42.0,100.0,0.0,0.0
29,03,10,179,,1,*Brahman Jatigram,68,0.0,100.0,0.0,16.2,100.0,0.0,0.0
29,03,10,373,,1,*Daruna,99,0.0,100.0,0.0,9.1,100.0,0.0,0.0
29,03,10,456,,1,*Ichhapasha,261,0.0,93.1,6.9,62.1,98.9,0.0,1.1
29,03,10,456,01,1,Ichhapasa,177,0.0,89.8,10.2,64.4,98.3,0.0,1.7
29,03,10,456,02,1,Modhunagar,40,0.0,100.0,0.0,77.5,100.0,0.0,0.0
29,03,10,456,03,1,Char Bakhil,44,0.0,100.0,0.0,38.6,100.0,0.0,0.0
29,03,10,497,,1,*Jatigram,477,0.0,100.0,0.0,16.1,97.7,0.0,2.3
29,03,10,621,,1,*Mahisharghop,351,0.0,100.0,0.0,29.6,99.7,0.3,0.0
