0,1,2,3,4,5,6,7,8,9,10,11,12
30,,,,,,Feni Zila Total,244723,277665,1437371,1436481,890,
30,,,,,1,Feni Zila,,219543,1143629,1143305,324,
30,,,,,2,Feni Zila,,56248,283785,283242,543,
30,,,,,3,Feni Zila,,1874,9957,9934,23,
30,14,,,,,Chhagalnaiya Upazila Total,34495,36744,187156,186975,181,
30,14,,,,1,Chhagalnaiya Upazila,,27290,138913,138897,16,
30,14,,,,2,Chhagalnaiya Upazila,,8902,45177,45012,165,
30,14,,,,3,Chhagalnaiya Upazila,,552,3066,3066,0,
,,,,,,Chhagalnaiya Paurashava,,,,,,
30,14,01,,,,Ward No-01 Total,,293,1452,1452,0,
30,14,01,244,,2,*Dakshin Satara (Nadir Kul),,293,1452,1452,0,
30,14,02,,,,Ward No-02 Total,,549,2989,2989,0,
30,14,02,244,,2,*Dakshin Satara Maddoym,,549,2989,2989,0,
30,14,03,,,,Ward No-03 Total,,658,3688,3688,0,
30,14,03,244,,2,*Dakshin Satara Purba,,337,1870,1870,0,
30,14,03,396,,2,*Ichhara Chara,,321,1818,1818,0,
30,14,04,,,,Ward No-04 Total,,774,3247,3247,0,
30,14,04,050,,2,*Bansh Para (Part),,317,1255,1255,0,
30,14,04,969,,2,*Uttar Panua,,457,1992,1992,0,
30,14,05,,,,Ward No-05 Total,,2221,11006,10976,30,
30,14,05,699,,2,*Paschim Chhagalnaiya,,2221,11006,10976,30,
30,14,06,,,,Ward No-06 Total,,1228,6638,6543,95,
30,14,06,050,,2,*Bansh Para (Part),,1228,6638,6543,95,
30,14,07,,,,Ward No-07 Total,,812,4085,4085,0,
30,14,07,219,,2,*Dakshin Jaspur,,812,4085,4085,0,
30,14,08,,,,Ward No-08 Total,,1536,7690,7650,40,
30,14,08,598,,2,*Matua,,1536,7690,7650,40,
30,14,09,,,,Ward No-09 Total,,831,4382,4382,0,
30,14,09,775,,2,*Purba Chhagalnaiya,,831,4382,4382,0,
30,14,47,,,,Gopal Union Total,7937,5167,26052,26049,3,811
30,14,47,305,,1,*Daulatpur,,1226,6200,6200,0,
30,14,47,305,01,1,Minakazi Kona,,317,1775,1775,0,
30,14,47,305,02,1,Shekji Kona,,261,1235,1235,0,
30,14,47,305,03,1,Chaygora,,307,1489,1489,0,
30,14,47,305,04,1,Nowa Para,,89,428,428,0,
30,14,47,305,05,1,Dalutpur,,252,1273,1273,0,
30,14,47,311,,1,*Durgapur Singhanagar,,858,4226,4226,0,
30,14,47,354,,1,*Gopal,,742,3849,3849,0,
30,14,47,539,,1,*Langalmura,,774,3802,3802,0,
30,14,47,640,,1,*Nij Kunjara,,1567,7975,7972,3,
30,14,47,640,01,1,Alukdaia,,259,1364,1364,0,
