0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
30,,,,,,Feni Zila Total,275461,2.0,6.7,14.4,21.4,20.4,14.1,8.2,12.9,5.1
30,,,,,1,Feni Zila,218614,2.0,6.6,13.8,20.8,20.6,14.4,8.4,13.4,5.2
30,,,,,2,Feni Zila,54995,2.0,7.0,16.7,23.8,19.9,12.7,7.1,10.8,4.9
30,,,,,3,Feni Zila,1852,2.5,6.5,14.3,20.6,19.8,13.6,9.7,13.2,5.2
30,14,,,,,Chhagalnaiya Upazila Total,36535,1.8,6.9,15.2,21.9,20.7,13.7,7.9,11.9,5.0
30,14,,,,1,Chhagalnaiya Upazila,27177,1.9,7.0,14.8,21.7,20.8,13.7,7.9,12.1,5.0
30,14,,,,2,Chhagalnaiya Upazila,8819,1.3,6.8,16.3,22.8,20.4,13.6,7.5,11.2,5.0
30,14,,,,3,Chhagalnaiya Upazila,539,2.2,6.7,14.8,16.7,18.7,13.5,13.2,14.1,5.4
,,,,,,Chhagalnaiya Paurashava,,,,,,,,,,
30,14,01,,,,Ward No-01 Total,293,2.4,7.2,20.8,18.4,16.7,14.0,6.5,14.0,5.0
30,14,01,244,,2,*Dakshin Satara (Nadir Kul),293,2.4,7.2,20.8,18.4,16.7,14.0,6.5,14.0,5.0
30,14,02,,,,Ward No-02 Total,549,0.7,7.3,14.0,18.4,19.1,14.9,9.5,16.0,5.4
30,14,02,244,,2,*Dakshin Satara Maddoym,549,0.7,7.3,14.0,18.4,19.1,14.9,9.5,16.0,5.4
30,14,03,,,,Ward No-03 Total,658,0.2,5.3,10.0,19.8,20.5,16.4,9.1,18.7,5.6
30,14,03,244,,2,*Dakshin Satara Purba,337,0.3,5.9,11.3,18.7,20.2,16.3,9.2,18.1,5.5
30,14,03,396,,2,*Ichhara Chara,321,0.0,4.7,8.7,20.9,20.9,16.5,9.0,19.3,5.7
30,14,04,,,,Ward No-04 Total,773,0.4,8.5,25.4,26.6,23.7,9.1,5.2,1.2,4.2
30,14,04,050,,2,*Bansh Para (Part),317,0.0,9.5,31.9,28.1,18.9,7.9,3.2,0.6,4.0
30,14,04,969,,2,*Uttar Panua,456,0.7,7.9,20.8,25.7,27.0,9.9,6.6,1.5,4.3
30,14,05,,,,Ward No-05 Total,2167,1.8,7.0,18.3,24.9,21.2,11.8,6.1,9.0,4.8
30,14,05,699,,2,*Paschim Chhagalnaiya,2167,1.8,7.0,18.3,24.9,21.2,11.8,6.1,9.0,4.8
30,14,06,,,,Ward No-06 Total,1219,1.5,5.7,14.8,22.4,18.4,16.2,7.5,13.6,5.2
30,14,06,050,,2,*Bansh Para (Part),1219,1.5,5.7,14.8,22.4,18.4,16.2,7.5,13.6,5.2
30,14,07,,,,Ward No-07 Total,804,1.9,7.5,14.8,21.3,20.9,13.7,9.5,10.6,5.0
30,14,07,219,,2,*Dakshin Jaspur,804,1.9,7.5,14.8,21.3,20.9,13.7,9.5,10.6,5.0
30,14,08,,,,Ward No-08 Total,1528,1.7,6.9,15.4,23.5,18.9,14.1,8.6,10.9,5.0
30,14,08,598,,2,*Matua,1528,1.7,6.9,15.4,23.5,18.9,14.1,8.6,10.9,5.0
30,14,09,,,,Ward No-09 Total,828,0.7,6.2,13.0,21.9,22.5,14.7,7.4,13.6,5.2
30,14,09,775,,2,*Purba Chhagalnaiya,828,0.7,6.2,13.0,21.9,22.5,14.7,7.4,13.6,5.2
30,14,47,,,,Gopal Union Total,5127,1.9,6.8,14.5,22.4,20.9,14.2,8.0,11.3,5.0
30,14,47,305,,1,*Daulatpur,1225,2.5,6.8,16.1,20.9,17.9,15.2,8.2,12.4,5.1
30,14,47,305,01,1,Minakazi Kona,317,1.6,6.3,11.4,18.9,17.4,16.4,9.5,18.6,5.6
30,14,47,305,02,1,Shekji Kona,261,3.1,10.0,19.2,23.0,17.6,9.6,6.1,11.5,4.7
30,14,47,305,03,1,Chaygora,306,4.6,7.8,16.0,18.0,17.6,15.4,9.8,10.8,4.9
30,14,47,305,04,1,Nowa Para,89,1.1,3.4,18.0,29.2,20.2,14.6,5.6,7.9,4.8
30,14,47,305,05,1,Dalutpur,252,1.2,4.0,18.3,21.8,18.3,19.4,7.9,9.1,5.1
30,14,47,311,,1,*Durgapur Singhanagar,857,2.5,8.9,15.1,22.1,20.5,11.1,7.2,12.7,4.9
30,14,47,354,,1,*Gopal,740,0.7,5.3,12.0,24.2,24.3,14.7,8.9,9.9,5.1
30,14,47,539,,1,*Langalmura,770,2.6,7.3,13.1,23.1,20.4,15.1,9.0,9.5,4.9
30,14,47,640,,1,*Nij Kunjara,1535,1.4,6.3,14.7,22.7,22.0,14.5,7.2,11.3,5.0
30,14,47,640,01,1,Alukdaia,259,0.8,6.2,13.1,21.2,20.1,17.0,8.9,12.7,5.3
30,14,47,640,02,1,Niz Kunjara,603,2.0,7.8,14.4,23.5,22.4,14.4,5.1,10.3,4.9
30,14,47,640,03,1,Ahowduri Para,412,0.7,5.8,16.7,23.3,20.9,13.1,7.5,11.9,5.0
30,14,47,640,04,1,Bokshi Para,170,1.8,2.9,14.7,19.4,22.9,14.7,10.0,13.5,5.2
30,14,47,640,05,1,Satni Para,91,1.1,4.4,12.1,25.3,28.6,13.2,8.8,6.6,4.9
30,14,57,,,,Mohamaya Union Total,4949,1.0,4.8,12.1,20.0,21.7,16.3,9.5,14.6,5.4
30,14,57,320,,1,*Elona Pather,122,0.0,0.0,6.6,14.8,30.3,15.6,9.8,23.0,6.2
30,14,57,438,,1,*Joynagar,801,1.7,5.7,15.5,20.1,19.7,14.0,9.9,13.4,5.2
30,14,57,590,,1,*Matiagada,847,0.2,2.6,7.4,18.4,20.1,17.7,11.0,22.6,6.1
30,14,57,708,,1,*Paschim Debpur,802,0.9,6.5,16.1,20.3,22.4,15.1,8.1,10.6,5.0
30,14,57,784,,1,*Purba Debpur,704,0.9,3.6,7.7,16.8,29.4,22.0,10.7,9.1,5.3
30,14,57,834,,1,*Satyanagar,299,0.3,3.0,12.0,17.4,19.7,16.1,10.4,21.1,5.8
30,14,57,944,,1,*Uttar Jaspur,771,2.1,5.7,14.9,24.5,19.8,14.7,7.8,10.5,4.9
