0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
30,,,,,,Feni Zila Total,256871,105071,151800,76880,4626,1963,423,2888,114344,23340,32407
30,,,,,1,Feni Zila,213046,84986,128060,61896,2758,1612,341,2527,98416,18951,26545
30,,,,,2,Feni Zila,41817,19201,22616,14302,1841,333,73,356,15085,4210,5617
30,,,,,3,Feni Zila,2008,884,1124,682,27,18,9,5,843,179,245
30,14,,,,,Chhagalnaiya Upazila Total,31275,12546,18729,8927,472,266,52,543,13920,2810,4285
30,14,,,,1,Chhagalnaiya Upazila,23424,9203,14221,6487,355,173,42,454,10567,2089,3257
30,14,,,,2,Chhagalnaiya Upazila,7068,3007,4061,2158,115,92,10,88,2980,669,956
30,14,,,,3,Chhagalnaiya Upazila,783,336,447,282,2,1,0,1,373,52,72
,,,,,,Chhagalnaiya Paurashava,,,,,,,,,,,
30,14,01,,,,Ward No-01 Total,312,98,214,53,0,1,0,18,134,26,80
30,14,01,244,,2,*Dakshin Satara (Nadir Kul),312,98,214,53,0,1,0,18,134,26,80
30,14,02,,,,Ward No-02 Total,611,235,376,158,3,4,2,7,315,66,56
30,14,02,244,,2,*Dakshin Satara Maddoym,611,235,376,158,3,4,2,7,315,66,56
30,14,03,,,,Ward No-03 Total,585,227,358,175,18,5,2,6,267,41,71
30,14,03,244,,2,*Dakshin Satara Purba,354,148,206,118,12,4,1,5,168,21,25
30,14,03,396,,2,*Ichhara Chara,231,79,152,57,6,1,1,1,99,20,46
30,14,04,,,,Ward No-04 Total,422,160,262,125,0,0,0,0,192,35,70
30,14,04,050,,2,*Bansh Para (Part),148,51,97,41,0,0,0,0,74,10,23
30,14,04,969,,2,*Uttar Panua,274,109,165,84,0,0,0,0,118,25,47
30,14,05,,,,Ward No-05 Total,1387,631,756,410,26,25,1,24,523,172,206
30,14,05,699,,2,*Paschim Chhagalnaiya,1387,631,756,410,26,25,1,24,523,172,206
30,14,06,,,,Ward No-06 Total,927,396,531,332,19,0,1,9,415,55,96
30,14,06,050,,2,*Bansh Para (Part),927,396,531,332,19,0,1,9,415,55,96
30,14,07,,,,Ward No-07 Total,741,326,415,240,9,8,0,5,321,73,85
30,14,07,219,,2,*Dakshin Jaspur,741,326,415,240,9,8,0,5,321,73,85
30,14,08,,,,Ward No-08 Total,1528,697,831,512,31,49,4,12,578,124,218
30,14,08,598,,2,*Matua,1528,697,831,512,31,49,4,12,578,124,218
30,14,09,,,,Ward No-09 Total,555,237,318,153,9,0,0,7,235,77,74
30,14,09,775,,2,*Purba Chhagalnaiya,555,237,318,153,9,0,0,7,235,77,74
30,14,47,,,,Gopal Union Total,3840,1342,2498,909,71,22,15,69,1889,342,523
30,14,47,305,,1,*Daulatpur,932,329,603,225,15,6,1,6,440,92,147
30,14,47,305,01,1,Minakazi Kona,171,51,120,26,3,0,0,0,67,25,50
30,14,47,305,02,1,Shekji Kona,309,119,190,83,8,3,1,2,135,31,46
30,14,47,305,03,1,Chaygora,263,98,165,75,3,3,0,2,129,18,33
30,14,47,305,04,1,Nowa Para,81,30,51,16,0,0,0,2,42,12,9
30,14,47,305,05,1,Dalutpur,108,31,77,25,1,0,0,0,67,6,9
30,14,47,311,,1,*Durgapur Singhanagar,571,201,370,145,10,1,1,4,268,51,91
30,14,47,354,,1,*Gopal,422,134,288,105,3,0,0,2,223,27,62
30,14,47,539,,1,*Langalmura,576,183,393,116,6,0,2,4,273,63,112
30,14,47,640,,1,*Nij Kunjara,1339,495,844,318,37,15,11,53,685,109,111
30,14,47,640,01,1,Alukdaia,196,59,137,36,3,1,1,17,128,5,5
30,14,47,640,02,1,Niz Kunjara,667,261,406,169,27,3,9,20,330,69,40
30,14,47,640,03,1,Ahowduri Para,279,90,189,56,7,6,0,7,127,21,55
30,14,47,640,04,1,Bokshi Para,185,80,105,53,0,5,1,8,95,14,9
30,14,47,640,05,1,Satni Para,12,5,7,4,0,0,0,1,5,0,2
30,14,57,,,,Mohamaya Union Total,4346,1748,2598,1339,86,37,3,76,2076,296,433
30,14,57,320,,1,*Elona Pather,146,62,84,55,0,0,0,0,59,7,25
30,14,57,438,,1,*Joynagar,869,347,522,262,10,5,1,15,425,65,86
30,14,57,590,,1,*Matiagada,637,232,405,170,15,9,1,11,291,42,98
30,14,57,708,,1,*Paschim Debpur,459,187,272,107,7,5,0,22,215,53,50
30,14,57,784,,1,*Purba Debpur,460,216,244,175,10,5,0,1,194,35,40
30,14,57,834,,1,*Satyanagar,403,177,226,160,4,1,0,3,205,13,17
30,14,57,944,,1,*Uttar Jaspur,890,352,538,281,22,11,1,12,454,48,61
30,14,57,978,,1,*Uttar Satara,482,175,307,129,18,1,0,12,233,33,56
30,14,76,,,,Pathannagar Union Total,5984,2548,3436,1883,53,57,7,116,2567,492,809
30,14,76,,,1,Pathannagar Union,5201,2212,2989,1601,51,56,7,115,2194,440,737
30,14,76,,,3,Pathannagar Union,783,336,447,282,2,1,0,1,373,52,72
30,14,76,084,,1,*Bathania,467,143,324,93,6,9,0,1,219,40,99
30,14,76,134,,1,*Chandpur,239,197,42,189,1,4,0,0,28,4,13
30,14,76,345,,1,*Gandharbapur,209,84,125,60,1,1,1,2,83,21,40
30,14,76,371,,1,*Haripur,1153,580,573,480,12,12,0,26,456,62,105
30,14,76,371,01,1,Purba Haripur,215,92,123,55,3,0,0,19,88,18,32
30,14,76,371,02,1,Uttar Haripur,137,53,84,47,1,0,0,1,62,5,21
30,14,76,371,03,1,Dakshin Haripur,801,435,366,378,8,12,0,6,306,39,52
30,14,76,556,,3,*Madhya Silua,783,336,447,282,2,1,0,1,373,52,72
30,14,76,725,,1,*Paschim Pathangar,483,193,290,126,7,14,2,4,204,49,77
30,14,76,733,,1,*Paschim Silua,403,174,229,83,0,5,0,37,177,49,52
30,14,76,742,,1,*Pathan Nagar,446,173,273,89,2,1,0,22,228,61,43
30,14,76,742,01,1,Pathan Nagar,344,141,203,67,1,1,0,22,173,51,29
30,14,76,742,02,1,Kanthalia,102,32,70,22,1,0,0,0,55,10,14
30,14,76,750,,1,*Purba Pathangar,361,160,201,126,4,1,0,2,138,31,59
30,14,76,801,,1,*Pathangar,595,230,365,172,5,1,3,10,284,47,73
30,14,76,809,,1,*Purba Silua,535,185,350,114,5,6,0,10,236,55,109
30,14,76,882,,1,*Sonapur,310,93,217,69,8,2,1,1,141,21,67
30,14,76,882,01,1,Paschim Sonapur,231,76,155,57,4,2,1,1,101,16,49
30,14,76,882,02,1,Purba Sonapur,79,17,62,12,4,0,0,0,40,5,18
30,14,85,,,,Radhanagar Union Total,4550,1750,2800,1122,79,24,9,143,1980,461,732
30,14,85,185,,1,*Dakshin Andhar Manik,375,139,236,110,16,0,0,2,151,27,69
30,14,85,497,,1,*Kashipur,284,105,179,53,2,0,0,23,119,29,58
30,14,85,531,,1,*Lakshmipur,347,107,240,54,6,1,0,22,167,30,67
30,14,85,615,,1,*Mokamia,145,52,93,41,4,0,0,1,69,10,20
30,14,85,632,,1,*Nichinta,424,145,279,41,5,10,2,34,219,60,53
30,14,85,649,,1,*Nij Panna,1298,557,741,388,28,6,4,16,466,147,243
