0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
30,,,,,,Feni Zila Total,275461,16.6,17.8,64.3,1.3,8.6,65.9,23.7,1.8
30,,,,,1,Feni Zila,218614,12.0,15.8,70.9,1.4,6.5,65.3,26.0,2.1
30,,,,,2,Feni Zila,54995,35.0,25.9,38.3,0.9,16.4,68.5,14.6,0.5
30,,,,,3,Feni Zila,1852,20.2,16.0,62.8,1.0,16.5,53.5,29.6,0.4
30,14,,,,,Chhagalnaiya Upazila Total,36535,18.4,15.8,64.5,1.2,14.8,54.2,30.1,1.0
30,14,,,,1,Chhagalnaiya Upazila,27177,15.6,15.0,68.3,1.0,14.4,51.7,32.6,1.3
30,14,,,,2,Chhagalnaiya Upazila,8819,27.7,18.3,52.3,1.8,16.6,62.7,20.4,0.3
30,14,,,,3,Chhagalnaiya Upazila,539,8.7,15.2,75.5,0.6,4.8,36.9,57.9,0.4
,,,,,,Chhagalnaiya Paurashava,,,,,,,,,
30,14,01,,,,Ward No-01 Total,293,15.0,13.3,63.5,8.2,8.9,71.0,20.1,0.0
30,14,01,244,,2,*Dakshin Satara (Nadir Kul),293,15.0,13.3,63.5,8.2,8.9,71.0,20.1,0.0
30,14,02,,,,Ward No-02 Total,549,18.2,14.4,58.7,8.7,8.7,66.3,24.8,0.2
30,14,02,244,,2,*Dakshin Satara Maddoym,549,18.2,14.4,58.7,8.7,8.7,66.3,24.8,0.2
30,14,03,,,,Ward No-03 Total,658,18.5,19.8,59.1,2.6,7.0,79.9,12.3,0.8
30,14,03,244,,2,*Dakshin Satara Purba,337,19.9,15.4,60.2,4.5,13.1,61.4,24.0,1.5
30,14,03,396,,2,*Ichhara Chara,321,17.1,24.3,57.9,0.6,0.6,99.4,0.0,0.0
30,14,04,,,,Ward No-04 Total,773,27.4,14.5,58.1,0.0,22.6,70.8,6.5,0.1
30,14,04,050,,2,*Bansh Para (Part),317,30.6,19.2,50.2,0.0,27.1,67.8,4.7,0.3
30,14,04,969,,2,*Uttar Panua,456,25.2,11.2,63.6,0.0,19.5,72.8,7.7,0.0
30,14,05,,,,Ward No-05 Total,2167,48.3,16.7,34.7,0.2,19.7,69.2,11.1,0.0
30,14,05,699,,2,*Paschim Chhagalnaiya,2167,48.3,16.7,34.7,0.2,19.7,69.2,11.1,0.0
30,14,06,,,,Ward No-06 Total,1219,30.7,34.7,32.5,2.1,13.0,28.6,58.4,0.0
30,14,06,050,,2,*Bansh Para (Part),1219,30.7,34.7,32.5,2.1,13.0,28.6,58.4,0.0
30,14,07,,,,Ward No-07 Total,804,14.9,4.5,80.1,0.5,19.4,70.9,9.7,0.0
