0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
30,,,,,,Feni Zila Total,275461,5.4,90.3,4.3,73.4,88.4,10.6,1.1
30,,,,,1,Feni Zila,218614,1.0,93.9,5.0,68.9,96.6,2.3,1.1
30,,,,,2,Feni Zila,54995,22.8,75.7,1.5,91.3,55.5,43.3,1.2
30,,,,,3,Feni Zila,1852,4.4,93.5,2.1,79.5,90.7,8.2,1.1
30,14,,,,,Chhagalnaiya Upazila Total,36535,4.1,90.8,5.1,81.1,92.4,6.4,1.2
30,14,,,,1,Chhagalnaiya Upazila,27177,0.9,92.5,6.6,78.7,96.5,2.1,1.4
30,14,,,,2,Chhagalnaiya Upazila,8819,14.1,85.1,0.8,88.5,79.6,19.9,0.5
30,14,,,,3,Chhagalnaiya Upazila,539,0.7,99.3,0.0,77.6,98.7,0.6,0.7
,,,,,,Chhagalnaiya Paurashava,,,,,,,,
30,14,01,,,,Ward No-01 Total,293,0.0,96.9,3.1,80.9,98.0,0.7,1.4
30,14,01,244,,2,*Dakshin Satara (Nadir Kul),293,0.0,96.9,3.1,80.9,98.0,0.7,1.4
30,14,02,,,,Ward No-02 Total,549,0.7,99.3,0.0,87.2,99.8,0.2,0.0
30,14,02,244,,2,*Dakshin Satara Maddoym,549,0.7,99.3,0.0,87.2,99.8,0.2,0.0
30,14,03,,,,Ward No-03 Total,658,0.0,94.4,5.6,80.9,95.1,4.3,0.6
30,14,03,244,,2,*Dakshin Satara Purba,337,0.0,89.0,11.0,73.6,94.1,4.7,1.2
30,14,03,396,,2,*Ichhara Chara,321,0.0,100.0,0.0,88.5,96.3,3.7,0.0
30,14,04,,,,Ward No-04 Total,773,0.8,99.1,0.1,88.6,93.5,6.0,0.5
30,14,04,050,,2,*Bansh Para (Part),317,1.9,97.8,0.3,91.2,86.8,12.6,0.6
30,14,04,969,,2,*Uttar Panua,456,0.0,100.0,0.0,86.8,98.2,1.3,0.4
30,14,05,,,,Ward No-05 Total,2167,33.8,66.2,0.0,96.3,49.9,49.3,0.8
30,14,05,699,,2,*Paschim Chhagalnaiya,2167,33.8,66.2,0.0,96.3,49.9,49.3,0.8
30,14,06,,,,Ward No-06 Total,1219,18.3,81.1,0.7,92.3,80.4,19.2,0.4
30,14,06,050,,2,*Bansh Para (Part),1219,18.3,81.1,0.7,92.3,80.4,19.2,0.4
30,14,07,,,,Ward No-07 Total,804,0.1,99.9,0.0,89.1,97.6,2.0,0.4
30,14,07,219,,2,*Dakshin Jaspur,804,0.1,99.9,0.0,89.1,97.6,2.0,0.4
30,14,08,,,,Ward No-08 Total,1528,17.7,81.7,0.6,81.5,77.2,22.5,0.3
30,14,08,598,,2,*Matua,1528,17.7,81.7,0.6,81.5,77.2,22.5,0.3
30,14,09,,,,Ward No-09 Total,828,1.1,98.1,0.8,84.5,97.8,1.9,0.2
30,14,09,775,,2,*Purba Chhagalnaiya,828,1.1,98.1,0.8,84.5,97.8,1.9,0.2
30,14,47,,,,Gopal Union Total,5127,1.0,96.1,2.9,80.1,95.3,3.1,1.6
30,14,47,305,,1,*Daulatpur,1225,0.5,94.4,5.1,85.3,91.7,7.2,1.1
30,14,47,305,01,1,Minakazi Kona,317,0.0,86.8,13.2,87.7,90.9,7.9,1.3
30,14,47,305,02,1,Shekji Kona,261,0.0,100.0,0.0,92.3,92.7,6.1,1.1
30,14,47,305,03,1,Chaygora,306,2.0,92.5,5.6,95.4,88.2,10.1,1.6
30,14,47,305,04,1,Nowa Para,89,0.0,100.0,0.0,34.8,96.6,3.4,0.0
30,14,47,305,05,1,Dalutpur,252,0.0,98.8,1.2,80.6,94.0,5.2,0.8
30,14,47,311,,1,*Durgapur Singhanagar,857,0.5,99.4,0.1,87.4,95.2,3.6,1.2
30,14,47,354,,1,*Gopal,740,3.9,96.1,0.0,80.5,97.2,1.4,1.5
30,14,47,539,,1,*Langalmura,770,0.1,98.1,1.8,66.9,98.2,0.5,1.3
30,14,47,640,,1,*Nij Kunjara,1535,0.6,94.7,4.7,78.2,95.8,1.8,2.4
30,14,47,640,01,1,Alukdaia,259,3.5,82.2,14.3,70.3,98.1,0.0,1.9
30,14,47,640,02,1,Niz Kunjara,603,0.0,97.7,2.3,85.1,98.0,1.5,0.5
30,14,47,640,03,1,Ahowduri Para,412,0.0,99.0,1.0,77.7,93.2,2.9,3.9
30,14,47,640,04,1,Bokshi Para,170,0.0,98.2,1.8,64.7,92.4,4.1,3.5
30,14,47,640,05,1,Satni Para,91,0.0,84.6,15.4,82.4,92.3,0.0,7.7
30,14,57,,,,Mohamaya Union Total,4949,1.9,91.4,6.7,77.4,97.2,1.6,1.2
30,14,57,320,,1,*Elona Pather,122,0.0,100.0,0.0,65.6,100.0,0.0,0.0
30,14,57,438,,1,*Joynagar,801,0.2,98.1,1.6,35.8,96.8,2.0,1.2
30,14,57,590,,1,*Matiagada,847,6.1,72.3,21.6,90.1,95.4,3.5,1.1
30,14,57,708,,1,*Paschim Debpur,802,1.2,94.3,4.5,90.5,97.0,0.9,2.1
30,14,57,784,,1,*Purba Debpur,704,2.6,94.0,3.4,84.5,98.3,1.0,0.7
30,14,57,834,,1,*Satyanagar,299,0.0,94.0,6.0,92.0,98.3,0.0,1.7
30,14,57,944,,1,*Uttar Jaspur,771,0.4,93.6,6.0,79.0,96.8,1.8,1.4
30,14,57,978,,1,*Uttar Satara,603,1.8,96.2,2.0,82.1,98.7,0.8,0.5
30,14,76,,,,Pathannagar Union Total,6855,1.0,92.1,6.9,89.1,96.4,2.3,1.3
30,14,76,,,1,Pathannagar Union,6316,1.0,91.5,7.5,90.1,96.2,2.5,1.3
30,14,76,,,3,Pathannagar Union,539,0.7,99.3,0.0,77.6,98.7,0.6,0.7
30,14,76,084,,1,*Bathania,814,0.1,63.0,36.9,90.5,98.6,0.6,0.7
30,14,76,134,,1,*Chandpur,119,0.0,99.2,0.8,82.4,84.9,1.7,13.4
30,14,76,345,,1,*Gandharbapur,260,0.8,93.8,5.4,96.2,94.6,1.9,3.5
30,14,76,371,,1,*Haripur,1193,0.3,97.1,2.7,84.2,94.3,4.6,1.1
30,14,76,371,01,1,Purba Haripur,233,0.0,94.0,6.0,77.7,97.4,1.3,1.3
30,14,76,371,02,1,Uttar Haripur,359,0.0,95.0,5.0,80.8,95.5,3.9,0.6
30,14,76,371,03,1,Dakshin Haripur,601,0.5,99.5,0.0,88.9,92.3,6.3,1.3
30,14,76,556,,3,*Madhya Silua,539,0.7,99.3,0.0,77.6,98.7,0.6,0.7
30,14,76,725,,1,*Paschim Pathangar,718,2.5,95.5,1.9,96.1,95.5,3.8,0.7
30,14,76,733,,1,*Paschim Silua,413,0.0,94.2,5.8,92.0,97.3,1.2,1.5
30,14,76,742,,1,*Pathan Nagar,512,5.3,92.2,2.5,92.4,94.5,4.9,0.6
30,14,76,742,01,1,Pathan Nagar,341,0.3,96.5,3.2,89.4,93.3,6.5,0.3
