0,1,2,3,4,5,6,7,8,9,10,11,12
32,,,,,,Gaibandha Zila Total,522571,612283,2379255,2378900,355,1125
32,,,,,1,Gaibandha Zila,,561601,2168731,2168583,148,
32,,,,,2,Gaibandha Zila,,29400,123416,123295,121,
32,,,,,3,Gaibandha Zila,,21282,87108,87022,86,
32,21,,,,,Fulchhari Upazila Total,77600,40489,165334,165318,16,526
32,21,,,,1,Fulchhari Upazila,,38849,158933,158917,16,
32,21,,,,3,Fulchhari Upazila,,1640,6401,6401,0,
32,21,11,,,,Erendabari Union Total,21525,7012,29076,29076,0,334
32,21,11,012,,1,*Algar Char,,784,3124,3124,0,
32,21,11,024,,1,*Anandabari,,319,1233,1233,0,
32,21,11,111,,1,*Bhatia Para,,449,1916,1916,0,
32,21,11,124,,1,*Bulbulir Char,,85,235,235,0,
32,21,11,174,,1,*Char Chaumohan,,338,1274,1274,0,
32,21,11,186,,1,*Char Harichandi,,318,1340,1340,0,
32,21,11,273,,1,*Dakatiar Char,,729,2729,2729,0,
32,21,11,273,01,1,Dakatiar Char,,645,2575,2575,0,
32,21,11,273,02,1,Ghatua,,84,154,154,0,
32,21,11,422,,1,*Harichandi,,1306,6095,6095,0,
32,21,11,522,,1,*Jigabari,,715,2744,2744,0,
32,21,11,664,,1,*Kismat Dhali,,80,186,186,0,
32,21,11,721,,1,*Magrighat,,165,416,416,0,
32,21,11,783,,1,*Paglar Char,,432,1773,1773,0,
32,21,11,808,,1,*Patadhua Dhali,,92,347,347,0,
32,21,11,907,,1,*Sanyasir Char,,941,4630,4630,0,
32,21,11,957,,1,*Tinthopa,,259,1034,1034,0,
32,21,23,,,,Fazlupur Union Total,18104,5430,22578,22578,0,308
32,21,23,074,,1,*Baje Telkupi,,77,293,293,0,
32,21,23,149,,1,*Chandaneshwari,,84,202,202,0,
32,21,23,199,,1,*Char Krishnamani,,197,864,864,0,
32,21,23,223,,1,*Chaumohan,,165,500,500,0,
32,21,23,261,,1,*Chikirpatal,,165,566,566,0,
32,21,23,286,,1,*Debarpatal,,82,235,235,0,
32,21,23,398,,1,*Guptamani,,80,198,198,0,
32,21,23,447,,1,*Helencha,,82,231,231,0,
32,21,23,634,,1,*Kauabada,,256,1022,1022,0,
32,21,23,659,,1,*Khatiamani,,2883,13194,13194,0,
32,21,23,696,,1,*Kochkhali,,110,409,409,0,
32,21,23,733,,1,*Manikor,,82,240,240,0,
32,21,23,746,,1,*Manoharpur,,84,265,265,0,
32,21,23,771,,1,*Nischintapur,,438,1980,1980,0,
32,21,23,845,,1,*Pukhariabari,,79,298,298,0,
32,21,23,858,,1,*Rahamatpur,,195,600,600,0,
32,21,23,932,,1,*Tanarghat,,81,236,236,0,
32,21,23,982,,1,*Uzalerdanga,,290,1245,1245,0,
32,21,35,,,,Fulchhari Union Total,13238,5544,24930,24923,7,465
32,21,35,037,,1,*Baghbari,,241,1217,1217,0,
32,21,35,049,,1,*Baje Phulchhari,,340,1536,1536,0,
32,21,35,211,,1,*Chaubhagia,,162,599,599,0,
32,21,35,298,,1,*Deluabari,,566,2576,2576,0,
32,21,35,323,,1,*Gabgachhi,,513,2295,2291,4,
32,21,35,360,,1,*Gharbhanga,,110,473,473,0,
32,21,35,472,,1,*Jamira,,266,1117,1117,0,
32,21,35,497,,1,*Japjapia,,79,189,189,0,
32,21,35,572,,1,*Kalur Para,,371,1363,1363,0,
