0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
32,,,,,,Gaibandha Zila Total,870870,32.7,66.6,0.5,0.1,926811,19.7,69.3,10.1,0.9
32,,,,,1,Gaibandha Zila,788464,32.2,67.1,0.5,0.1,843123,19.3,69.7,10.2,0.9
32,,,,,2,Gaibandha Zila,49355,38.5,60.8,0.6,0.1,49643,25.1,64.5,9.6,0.8
32,,,,,3,Gaibandha Zila,33051,36.5,62.8,0.6,0.1,34045,22.3,66.4,10.3,1.0
32,21,,,,,Fulchhari Upazila Total,58578,33.5,66.0,0.4,0.1,60244,19.6,70.4,9.2,0.8
32,21,,,,1,Fulchhari Upazila,56117,33.2,66.3,0.4,0.1,57783,19.5,70.7,9.0,0.8
32,21,,,,3,Fulchhari Upazila,2461,40.4,58.8,0.7,0.1,2461,21.5,64.0,13.3,1.2
32,21,11,,,,Erendabari Union Total,9977,30.7,68.6,0.6,0.1,10282,18.9,71.4,8.5,1.3
32,21,11,012,,1,*Algar Char,1085,31.2,68.4,0.4,0.0,1135,16.7,72.4,10.3,0.6
32,21,11,024,,1,*Anandabari,411,26.8,73.0,0.2,0.0,406,19.0,72.9,6.7,1.5
32,21,11,111,,1,*Bhatia Para,682,34.0,65.7,0.1,0.1,670,20.6,73.1,4.6,1.6
32,21,11,124,,1,*Bulbulir Char,85,11.8,88.2,0.0,0.0,90,5.6,85.6,8.9,0.0
32,21,11,174,,1,*Char Chaumohan,430,21.4,78.4,0.0,0.2,438,16.0,76.9,6.2,0.9
32,21,11,186,,1,*Char Harichandi,462,28.8,71.0,0.0,0.2,450,18.9,72.4,6.2,2.4
32,21,11,273,,1,*Dakatiar Char,934,26.4,71.9,1.4,0.2,1022,17.7,70.5,9.2,2.5
32,21,11,273,01,1,Dakatiar Char,868,27.8,72.0,0.2,0.0,946,18.6,70.3,8.9,2.2
32,21,11,273,02,1,Ghatua,66,9.1,71.2,16.7,3.0,76,6.6,73.7,13.2,6.6
32,21,11,422,,1,*Harichandi,2121,34.5,65.1,0.3,0.0,2145,19.1,70.1,9.5,1.3
32,21,11,522,,1,*Jigabari,925,30.5,68.8,0.8,0.0,993,18.2,71.8,9.0,1.0
