0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
32,,,,,,Gaibandha Zila Total,852407,1138649,449345,521268,403062,617381,42.8,46.3,39.5
32,,,,,1,Gaibandha Zila,743516,1066464,391931,488590,351585,577874,41.1,44.5,37.8
32,,,,,2,Gaibandha Zila,69915,37205,36789,16750,33126,20455,65.3,68.7,61.8
32,,,,,3,Gaibandha Zila,38976,34980,20625,15928,18351,19052,52.7,56.4,49.1
32,21,,,,,Fulchhari Upazila Total,41950,92298,23040,43538,18910,48760,31.2,34.6,27.9
32,21,,,,1,Fulchhari Upazila,39618,89176,21746,42104,17872,47072,30.8,34.1,27.5
32,21,,,,3,Fulchhari Upazila,2332,3122,1294,1434,1038,1688,42.8,47.4,38.1
32,21,11,,,,Erendabari Union Total,6274,17006,3402,8149,2872,8857,27.0,29.5,24.5
32,21,11,012,,1,*Algar Char,636,1900,344,894,292,1006,25.1,27.8,22.5
32,21,11,024,,1,*Anandabari,231,682,134,332,97,350,25.3,28.8,21.7
32,21,11,111,,1,*Bhatia Para,377,1144,191,578,186,566,24.8,24.8,24.7
32,21,11,124,,1,*Bulbulir Char,103,92,62,33,41,59,52.8,65.3,41.0
32,21,11,174,,1,*Char Chaumohan,161,857,76,432,85,425,15.8,15.0,16.7
32,21,11,186,,1,*Char Harichandi,126,940,74,472,52,468,11.8,13.6,10.0
32,21,11,273,,1,*Dakatiar Char,539,1649,271,779,268,870,24.6,25.8,23.6
32,21,11,273,01,1,Dakatiar Char,473,1571,240,743,233,828,23.1,24.4,22.0
32,21,11,273,02,1,Ghatua,66,78,31,36,35,42,45.8,46.3,45.5
32,21,11,422,,1,*Harichandi,1530,3385,851,1599,679,1786,31.1,34.7,27.5
32,21,11,522,,1,*Jigabari,592,1609,316,773,276,836,26.9,29.0,24.8
32,21,11,664,,1,*Kismat Dhali,72,94,37,35,35,59,43.4,51.4,37.2
32,21,11,721,,1,*Magrighat,207,185,110,70,97,115,52.8,61.1,45.8
32,21,11,783,,1,*Paglar Char,454,1010,230,493,224,517,31.0,31.8,30.2
32,21,11,808,,1,*Patadhua Dhali,34,240,19,116,15,124,12.4,14.1,10.8
32,21,11,907,,1,*Sanyasir Char,996,2627,561,1283,435,1344,27.5,30.4,24.5
32,21,11,957,,1,*Tinthopa,216,592,126,260,90,332,26.7,32.6,21.3
32,21,23,,,,Fazlupur Union Total,4109,13799,2458,6632,1651,7167,22.9,27.0,18.7
32,21,23,074,,1,*Baje Telkupi,45,178,28,84,17,94,20.2,25.0,15.3
32,21,23,149,,1,*Chandaneshwari,34,136,20,56,14,80,20.0,26.3,14.9
32,21,23,199,,1,*Char Krishnamani,146,524,96,253,50,271,21.8,27.5,15.6
32,21,23,223,,1,*Chaumohan,237,208,142,94,95,114,53.3,60.2,45.5
32,21,23,261,,1,*Chikirpatal,176,296,101,136,75,160,37.3,42.6,31.9
