0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
32,,,,,,Gaibandha Zila Total,5905,5836,90985,86539,123638,116187,46239,41815,80097,76497,19890,12411
32,,,,,1,Gaibandha Zila,5234,5151,84419,80358,113506,106802,43054,38756,72654,69313,18042,10995
32,,,,,2,Gaibandha Zila,401,398,3576,3349,5517,5043,1737,1728,4274,4135,1013,923
32,,,,,3,Gaibandha Zila,270,287,2990,2832,4615,4342,1448,1331,3169,3049,835,493
32,21,,,,,Fulchhari Upazila Total,351,332,7679,7198,8980,8328,4294,4022,5181,4584,2073,1273
32,21,,,,1,Fulchhari Upazila,340,314,7443,6994,8644,7981,4176,3941,4923,4356,1999,1235
32,21,,,,3,Fulchhari Upazila,11,18,236,204,336,347,118,81,258,228,74,38
32,21,11,,,,Erendabari Union Total,79,69,1454,1351,1608,1557,920,788,895,743,301,224
32,21,11,012,,1,*Algar Char,4,7,148,134,189,185,62,47,103,104,19,14
32,21,11,024,,1,*Anandabari,2,0,82,56,65,60,41,28,41,21,13,14
32,21,11,111,,1,*Bhatia Para,0,1,92,88,63,60,93,78,55,48,26,20
32,21,11,124,,1,*Bulbulir Char,0,0,12,19,13,13,3,1,6,2,0,0
32,21,11,174,,1,*Char Chaumohan,0,0,52,37,65,78,48,35,22,19,12,15
32,21,11,186,,1,*Char Harichandi,0,0,81,54,12,15,117,88,15,16,30,19
32,21,11,273,,1,*Dakatiar Char,8,6,135,128,86,84,134,132,62,65,35,23
32,21,11,273,01,1,Dakatiar Char,8,6,132,126,83,80,134,132,61,64,35,22
32,21,11,273,02,1,Ghatua,0,0,3,2,3,4,0,0,1,1,0,1
32,21,11,422,,1,*Harichandi,45,35,296,282,364,371,134,128,233,145,63,51
32,21,11,522,,1,*Jigabari,4,1,140,124,207,165,44,30,107,89,12,6
32,21,11,664,,1,*Kismat Dhali,0,0,8,5,7,6,1,2,5,7,0,0
32,21,11,721,,1,*Magrighat,1,0,8,7,18,18,1,3,12,18,1,1
32,21,11,783,,1,*Paglar Char,8,5,62,79,170,139,44,28,66,49,19,5
32,21,11,808,,1,*Patadhua Dhali,0,0,22,23,20,17,5,7,14,15,1,2
32,21,11,907,,1,*Sanyasir Char,7,13,260,245,267,271,167,160,132,121,61,51
32,21,11,957,,1,*Tinthopa,0,1,56,70,62,75,26,21,22,24,9,3
32,21,23,,,,Fazlupur Union Total,57,67,1201,1133,1272,1121,719,690,623,459,355,226
32,21,23,074,,1,*Baje Telkupi,0,0,14,19,10,4,10,10,8,8,4,3
32,21,23,149,,1,*Chandaneshwari,0,0,3,3,9,5,9,4,6,3,1,0
32,21,23,199,,1,*Char Krishnamani,0,0,56,43,59,59,21,24,42,25,15,2
32,21,23,223,,1,*Chaumohan,3,0,18,8,52,33,6,2,20,11,0,0
32,21,23,261,,1,*Chikirpatal,2,0,19,22,51,46,9,1,22,15,2,2
32,21,23,286,,1,*Debarpatal,0,0,0,0,28,30,0,0,9,7,0,0
32,21,23,398,,1,*Guptamani,0,0,1,8,5,3,6,2,5,2,1,0
32,21,23,447,,1,*Helencha,0,0,12,17,9,12,4,2,4,6,0,0
32,21,23,634,,1,*Kauabada,3,5,61,38,56,55,13,8,29,36,3,7
32,21,23,659,,1,*Khatiamani,37,44,749,703,643,525,508,542,316,223,277,174
32,21,23,696,,1,*Kochkhali,3,12,21,7,34,33,2,1,15,12,2,2
32,21,23,733,,1,*Manikor,0,0,10,16,9,13,4,3,13,6,0,0
32,21,23,746,,1,*Manoharpur,0,0,22,22,20,10,3,3,8,4,0,0
32,21,23,771,,1,*Nischintapur,1,2,104,108,144,157,55,41,71,66,26,14
32,21,23,845,,1,*Pukhariabari,0,0,18,17,15,16,19,8,6,3,3,1
32,21,23,858,,1,*Rahamatpur,0,0,21,30,19,18,20,19,11,11,9,12
32,21,23,932,,1,*Tanarghat,0,0,14,16,13,12,5,4,8,5,0,0
32,21,23,982,,1,*Uzalerdanga,8,4,58,56,96,90,25,16,30,16,12,9
32,21,35,,,,Fulchhari Union Total,48,38,1311,1252,1305,1126,903,885,634,501,486,259
32,21,35,037,,1,*Baghbari,1,2,71,89,57,58,50,51,24,8,26,20
32,21,35,049,,1,*Baje Phulchhari,2,1,102,92,96,76,47,44,43,32,33,11
32,21,35,211,,1,*Chaubhagia,8,0,30,31,17,21,20,17,13,8,11,6
32,21,35,298,,1,*Deluabari,0,0,145,150,137,153,90,76,85,48,52,22
32,21,35,323,,1,*Gabgachhi,9,7,106,96,122,94,80,69,56,44,40,24
32,21,35,360,,1,*Gharbhanga,0,0,34,28,37,23,9,10,10,11,9,1
32,21,35,472,,1,*Jamira,4,1,60,54,58,78,39,22,24,20,12,8
32,21,35,497,,1,*Japjapia,0,0,7,6,3,1,9,9,0,1,2,1
