0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
32,,,,,,Gaibandha Zila Total,2379255,2.0,0.2,0.5,0.2,0.7,0.2,0.1
32,,,,,1,Gaibandha Zila,2168731,2.0,0.2,0.5,0.2,0.7,0.2,0.1
32,,,,,2,Gaibandha Zila,123416,1.6,0.2,0.4,0.1,0.6,0.2,0.1
32,,,,,3,Gaibandha Zila,87108,2.1,0.3,0.5,0.3,0.6,0.2,0.2
32,21,,,,,Fulchhari Upazila Total,165334,1.4,0.2,0.3,0.1,0.5,0.2,0.1
32,21,,,,1,Fulchhari Upazila,158933,1.4,0.2,0.3,0.1,0.5,0.2,0.1
32,21,,,,3,Fulchhari Upazila,6401,1.5,0.2,0.2,0.1,0.8,0.1,0.0
32,21,11,,,,Erendabari Union Total,29076,1.1,0.2,0.2,0.1,0.4,0.2,0.1
32,21,23,,,,Fazlupur Union Total,22578,1.1,0.1,0.2,0.1,0.3,0.1,0.2
32,21,35,,,,Fulchhari Union Total,24930,1.1,0.1,0.2,0.1,0.4,0.1,0.1
32,21,47,,,,Gazaria Union Total,19322,2.4,0.3,0.6,0.2,1.0,0.2,0.1
32,21,47,,,1,Gazaria Union,12921,2.8,0.3,0.7,0.3,1.1,0.2,0.1
32,21,47,,,3,Gazaria Union,6401,1.5,0.2,0.2,0.1,0.8,0.1,0.0
32,21,59,,,,Kanchi Para Union Total,27067,1.7,0.3,0.4,0.2,0.5,0.2,0.1
32,21,71,,,,Udakhali Union Total,25304,1.2,0.2,0.2,0.1,0.4,0.2,0.0
32,21,83,,,,Uria Union Total,17057,1.8,0.2,0.4,0.2,0.7,0.2,0.2
32,24,,,,,Gaibandha Sadar Upazila Total,437268,2.5,0.2,0.8,0.3,0.8,0.2,0.1
32,24,,,,1,Gaibandha Sadar Upazila,343179,2.6,0.2,0.9,0.3,0.9,0.2,0.1
32,24,,,,2,Gaibandha Sadar Upazila,67833,1.6,0.2,0.3,0.1,0.6,0.2,0.1
32,24,,,,3,Gaibandha Sadar Upazila,26256,2.4,0.3,0.9,0.4,0.6,0.2,0.1
32,24,,,,2,Gaibandha  Paurashava,67833,1.6,0.2,0.3,0.1,0.6,0.2,0.1
32,24,01,,,,Ward No-01 Total,7442,2.1,0.1,0.4,0.2,1.0,0.3,0.1
32,24,02,,,,Ward No-02 Total,7652,1.7,0.3,0.4,0.1,0.4,0.3,0.1
32,24,03,,,,Ward No-03 Total,9052,1.1,0.1,0.3,0.1,0.3,0.2,0.0
32,24,04,,,,Ward No-04 Total,11122,1.0,0.1,0.1,0.1,0.3,0.2,0.2
32,24,05,,,,Ward No-05 Total,6965,1.5,0.2,0.2,0.1,0.6,0.2,0.1
32,24,06,,,,Ward No-06 Total,6248,1.0,0.2,0.2,0.1,0.3,0.1,0.1
32,24,07,,,,Ward No-07 Total,7955,1.4,0.2,0.1,0.1,0.7,0.2,0.1
32,24,08,,,,Ward No-08 Total,4398,4.6,0.4,1.0,0.5,2.2,0.3,0.2
32,24,09,,,,Ward No-09 Total,6999,1.2,0.4,0.1,0.1,0.5,0.2,0.0
32,24,12,,,,Badiakhali Union Total,29251,7.7,0.3,3.3,0.9,2.6,0.2,0.3
32,24,14,,,,Ballamjhar Union Total,47620,1.7,0.3,0.3,0.2,0.6,0.2,0.0
32,24,14,,,1,Ballamjhar Union,40377,1.7,0.3,0.3,0.2,0.7,0.2,0.0
32,24,14,,,3,Ballamjhar Union,7243,1.5,0.3,0.4,0.2,0.4,0.2,0.0
32,24,21,,,,Boali Union Total,35143,2.6,0.2,0.9,0.3,0.8,0.3,0.1
32,24,21,,,1,Boali Union,34765,2.5,0.2,0.9,0.3,0.8,0.3,0.1
32,24,21,,,3,Boali Union,378,9.0,0.0,3.2,1.6,4.0,0.3,0.0
32,24,36,,,,Ghagoa Union Total,21239,1.2,0.2,0.2,0.1,0.4,0.2,0.1
32,24,43,,,,Gidari Union Total,29043,1.9,0.2,0.4,0.2,0.8,0.2,0.1
32,24,51,,,,Kamarjani Union Total,13196,1.5,0.2,0.3,0.2,0.6,0.2,0.0
32,24,58,,,,Kholahati Union Total,43120,2.9,0.3,1.2,0.3,0.9,0.2,0.1
32,24,58,,,1,Kholahati Union,25965,3.0,0.3,1.2,0.2,1.0,0.2,0.1
32,24,58,,,3,Kholahati Union,17155,2.7,0.3,1.1,0.4,0.6,0.2,0.1
32,24,65,,,,Kuptala Union Total,28833,1.4,0.2,0.4,0.2,0.4,0.1,0.1
32,24,73,,,,Lakshmipur Union Total,31694,1.7,0.2,0.6,0.2,0.4,0.2,0.1
32,24,80,,,,Malibari Union Total,27615,2.8,0.2,0.6,0.3,1.3,0.2,0.1
32,24,85,,,,Mollar Char Union Total,7931,1.6,0.1,0.3,0.1,0.8,0.1,0.2
32,24,85,,,1,Mollar Char Union,6451,1.6,0.1,0.4,0.1,0.8,0.1,0.1
32,24,85,,,3,Mollar Char Union,1480,1.4,0.3,0.1,0.1,0.4,0.0,0.5
32,24,87,,,,Ramchandrapur Union Total,30115,3.2,0.2,1.5,0.2,0.9,0.4,0.1
32,24,94,,,,Saha Para Union Total,24635,3.0,0.3,1.1,0.3,0.8,0.2,0.1
32,30,,,,,Gobindaganj Upazila Total,514696,2.0,0.2,0.5,0.2,0.7,0.2,0.1
32,30,,,,1,Gobindaganj Upazila,476281,2.0,0.2,0.5,0.2,0.7,0.2,0.1
32,30,,,,2,Gobindaganj Upazila,38415,1.8,0.2,0.6,0.2,0.6,0.2,0.0
32,30,,,,2,Gobindaganj  Paurashava,38415,1.8,0.2,0.6,0.2,0.6,0.2,0.0
32,30,01,,,,Ward No-01 Total,4440,2.8,0.3,0.9,0.5,0.8,0.3,0.1
32,30,02,,,,Ward No-02 Total,4464,2.6,0.2,0.2,0.1,1.7,0.3,0.1
32,30,03,,,,Ward No-03 Total,3788,2.5,0.3,0.6,0.3,0.8,0.5,0.1
32,30,04,,,,Ward No-04 Total,3300,0.9,0.2,0.1,0.2,0.2,0.3,0.1
32,30,05,,,,Ward No-05 Total,5181,1.4,0.2,0.5,0.3,0.3,0.1,0.0
32,30,06,,,,Ward No-06 Total,3854,0.5,0.1,0.0,0.0,0.3,0.1,0.0
32,30,07,,,,Ward No-07 Total,3794,2.1,0.1,1.6,0.1,0.3,0.1,0.0
32,30,08,,,,Ward No-08 Total,5115,1.3,0.1,0.3,0.1,0.5,0.2,0.1
32,30,09,,,,Ward No-09 Total,4479,1.9,0.2,0.8,0.2,0.3,0.4,0.1
32,30,10,,,,Darbasta Union Total,43729,1.3,0.1,0.3,0.1,0.5,0.2,0.1
32,30,11,,,,Fulbari Union Total,18745,1.8,0.3,0.4,0.2,0.7,0.2,0.1
32,30,16,,,,Gumaniganj Union Total,25070,1.7,0.3,0.4,0.2,0.6,0.1,0.0
32,30,22,,,,Harirampur Union Total,33681,2.7,0.4,0.6,0.3,1.2,0.2,0.1
32,30,27,,,,Kamardaha Union Total,30806,1.9,0.2,0.4,0.1,0.6,0.2,0.3
32,30,33,,,,Kamdia Union Total,25544,1.6,0.2,0.4,0.1,0.7,0.2,0.1
32,30,39,,,,Katabari Union Total,28824,1.5,0.2,0.4,0.2,0.5,0.2,0.0
32,30,44,,,,Kochasahar Union Total,32022,3.7,0.3,1.5,0.3,1.3,0.3,0.1
32,30,50,,,,Mahimaganj Union Total,36791,1.5,0.3,0.3,0.1,0.6,0.1,0.1
32,30,55,,,,Nakai Union Total,28919,3.1,0.3,0.9,0.4,1.0,0.2,0.1
32,30,61,,,,Rajahar Union Total,18967,2.1,0.2,0.7,0.3,0.6,0.2,0.1
32,30,67,,,,Rakhal Buruz Union Total,26373,1.6,0.2,0.4,0.2,0.7,0.1,0.0
32,30,72,,,,Shalmara Union Total,24152,2.1,0.2,0.5,0.2,0.8,0.2,0.1
32,30,78,,,,Sapmara Union Total,18848,1.3,0.2,0.3,0.1,0.4,0.2,0.0
32,30,83,,,,Shakhahar Union Total,26124,2.5,0.2,0.7,0.2,1.0,0.2,0.1
32,30,89,,,,Shibpur Union Total,22188,2.1,0.3,0.5,0.2,0.9,0.2,0.0
32,30,94,,,,Taluk Kanupur Union Total,35498,1.5,0.2,0.3,0.2,0.5,0.2,0.1
32,67,,,,,Palashbari Upazila Total,244792,1.8,0.2,0.4,0.2,0.7,0.2,0.1
32,67,,,,1,Palashbari Upazila,222133,1.8,0.2,0.4,0.2,0.8,0.2,0.1
32,67,,,,3,Palashbari Upazila,22659,1.7,0.2,0.3,0.3,0.6,0.3,0.0
32,67,13,,,,Barisal Union Total,27522,1.8,0.3,0.5,0.2,0.5,0.2,0.1
32,67,19,,,,Betkapa Union Total,28188,1.5,0.2,0.2,0.1,0.6,0.3,0.1
32,67,28,,,,Harinathpur Union Total,17103,1.4,0.2,0.3,0.1,0.5,0.2,0.1
32,67,38,,,,Hossainpur Union Total,23179,1.6,0.2,0.3,0.2,0.6,0.2,0.1
32,67,47,,,,Kishoregari Union Total,34814,2.9,0.2,0.5,0.2,1.6,0.2,0.1
32,67,57,,,,Mohadipur Union Total,32652,1.6,0.2,0.4,0.1,0.6,0.2,0.1
32,67,66,,,,Manoharpur Union Total,24638,1.3,0.2,0.3,0.0,0.5,0.2,0.0
32,67,76,,,,Pabnapur Union Total,20665,2.4,0.2,0.4,0.2,1.0,0.5,0.0
32,67,85,,,,Palashbari Union Total,36031,1.8,0.3,0.4,0.2,0.7,0.3,0.0
32,67,85,,,1,Palashbari Union,13372,2.0,0.4,0.4,0.1,0.8,0.3,0.1
32,67,85,,,3,Palashbari Union,22659,1.7,0.2,0.3,0.3,0.6,0.3,0.0
32,82,,,,,Sadullapur Upazila Total,287426,2.2,0.2,0.5,0.2,0.9,0.2,0.1
32,82,,,,1,Sadullapur Upazila,275135,2.2,0.2,0.5,0.2,0.9,0.2,0.1
32,82,,,,3,Sadullapur Upazila,12291,1.2,0.2,0.3,0.1,0.5,0.1,0.0
32,82,13,,,,Banagram Union Total,28527,1.7,0.2,0.4,0.1,0.7,0.3,0.1
32,82,13,,,1,Banagram Union,18923,1.9,0.2,0.4,0.2,0.7,0.3,0.1
32,82,13,,,3,Banagram Union,9604,1.4,0.3,0.3,0.1,0.5,0.1,0.0
32,82,17,,,,Bhatgram Union Total,26832,1.4,0.2,0.3,0.1,0.6,0.2,0.0
32,82,25,,,,Damodarpur Union Total,25931,3.0,0.2,1.0,0.4,1.0,0.3,0.1
32,82,34,,,,Dhaperhat Union Total,30597,1.6,0.2,0.4,0.2,0.6,0.2,0.0
32,82,43,,,,Faridpur Union Total,25917,1.2,0.2,0.2,0.1,0.5,0.2,0.1
32,82,51,,,,Idilpur Union Total,29404,2.1,0.3,0.4,0.3,0.8,0.2,0.2
32,82,60,,,,Jamalpur Union Total,30239,1.6,0.4,0.2,0.1,0.6,0.2,0.1
32,82,60,,,1,Jamalpur Union,27552,1.7,0.4,0.3,0.1,0.7,0.2,0.1
32,82,60,,,3,Jamalpur Union,2687,0.6,0.0,0.1,0.0,0.3,0.1,0.0
32,82,69,,,,Khurda Kamarpur Union Total,16944,3.0,0.2,0.7,0.3,1.5,0.2,0.1
32,82,77,,,,'  Kamar Para' Union Total,21528,3.5,0.2,1.1,0.4,1.5,0.2,0.1
32,82,86,,,,'  Naldanga' Union Total,27176,1.7,0.2,0.3,0.1,0.7,0.2,0.1
32,82,94,,,,Rasulpur Union Total,24331,4.2,0.2,1.1,0.4,2.1,0.3,0.1
32,88,,,,,Saghata Upazila Total,267819,2.4,0.2,0.5,0.2,0.8,0.2,0.4
32,88,,,,1,Saghata Upazila,251936,2.4,0.2,0.5,0.2,0.8,0.2,0.4
32,88,,,,3,Saghata Upazila,15883,3.2,0.3,0.5,0.5,0.7,0.2,0.9
32,88,13,,,,Bhartkhali Union Total,23292,2.1,0.2,0.6,0.1,0.9,0.2,0.1
32,88,19,,,,Bonar Para Union Total,32627,1.6,0.3,0.4,0.1,0.5,0.2,0.1
32,88,19,,,1,Bonar Para Union,22574,1.6,0.3,0.4,0.2,0.5,0.2,0.1
32,88,19,,,3,Bonar Para Union,10053,1.5,0.3,0.3,0.1,0.6,0.2,0.1
32,88,28,,,,Ghuridaha Union Total,26110,5.3,0.2,1.2,0.4,1.4,0.3,1.8
32,88,38,,,,Haldia Union Total,21862,1.3,0.2,0.4,0.2,0.3,0.2,0.0
32,88,47,,,,Jummerbari Union Total,30046,2.1,0.3,0.4,0.2,0.8,0.3,0.1
32,88,57,,,,Kachua Union Total,27196,1.9,0.2,0.6,0.2,0.5,0.3,0.1
32,88,66,,,,Kamaler Para Union Total,35920,1.8,0.2,0.4,0.2,0.7,0.2,0.1
32,88,76,,,,Padumsahar Union Total,26475,1.5,0.2,0.4,0.2,0.5,0.2,0.0
32,88,85,,,,Saghata Union Total,22539,5.8,0.4,0.8,0.5,2.1,0.3,1.8
32,88,85,,,1,Saghata Union,16709,5.7,0.3,0.7,0.3,2.4,0.3,1.6
32,88,85,,,3,Saghata Union,5830,6.1,0.4,0.9,1.2,1.1,0.1,2.4
32,88,95,,,,Muktanagar Union Total,21752,1.7,0.2,0.3,0.2,0.7,0.2,0.1
32,91,,,,,Sundarganj Upazila Total,461920,1.4,0.2,0.3,0.1,0.5,0.2,0.1
32,91,,,,1,Sundarganj Upazila,441134,1.4,0.2,0.3,0.1,0.6,0.2,0.1
32,91,,,,2,Sundarganj Upazila,17168,1.1,0.1,0.2,0.1,0.4,0.1,0.1
32,91,,,,3,Sundarganj Upazila,3618,1.1,0.1,0.2,0.0,0.4,0.2,0.1
32,91,,,,2,Sundarganj Paurashava,17168,1.1,0.1,0.2,0.1,0.4,0.1,0.1
32,91,01,,,,Ward No-01 Total,3504,1.5,0.1,0.3,0.1,0.6,0.2,0.1
32,91,02,,,,Ward No-02 Total,2298,1.3,0.0,0.4,0.5,0.3,0.0,0.0
32,91,03,,,,Ward No-03 Total,2107,0.2,0.1,0.0,0.0,0.0,0.0,0.0
32,91,04,,,,Ward No-04 Total,2177,1.6,0.1,0.2,0.0,0.7,0.5,0.0
32,91,05,,,,Ward No-05 Total,1602,1.2,0.3,0.2,0.1,0.5,0.1,0.1
32,91,06,,,,Ward No-06 Total,1030,1.7,0.1,0.4,0.3,0.6,0.2,0.1
32,91,07,,,,Ward No-07 Total,1452,0.8,0.2,0.1,0.1,0.3,0.1,0.0
32,91,08,,,,Ward No-08 Total,1216,0.8,0.2,0.2,0.0,0.2,0.1,0.1
32,91,09,,,,Ward No-09 Total,1782,0.6,0.2,0.1,0.1,0.0,0.1,0.1
32,91,11,,,,Bamandanga Union Total,40982,1.3,0.2,0.2,0.2,0.5,0.2,0.0
32,91,12,,,,Belka Union Total,27065,1.1,0.2,0.2,0.1,0.4,0.1,0.1
32,91,18,,,,Chandipur Union Total,32126,1.4,0.2,0.2,0.1,0.6,0.2,0.1
32,91,25,,,,Chhaparhati Union Total,36038,1.7,0.2,0.3,0.1,0.8,0.2,0.1
32,91,31,,,,Dahabanda Union Total,23443,1.0,0.2,0.1,0.1,0.3,0.2,0.1
32,91,31,,,1,Dahabanda Union,19825,1.0,0.2,0.1,0.1,0.3,0.2,0.1
32,91,31,,,3,Dahabanda Union,3618,1.1,0.1,0.2,0.0,0.4,0.2,0.1
32,91,37,,,,Dhopadanga Union Total,24920,1.2,0.2,0.2,0.1,0.5,0.2,0.1
32,91,44,,,,Haripur Union Total,21846,1.3,0.2,0.2,0.1,0.6,0.1,0.1
32,91,50,,,,Kanchibari Union Total,35707,1.2,0.1,0.2,0.1,0.5,0.2,0.0
32,91,56,,,,Kapasia Union Total,14011,1.2,0.2,0.3,0.2,0.4,0.1,0.0
32,91,63,,,,Ramjiban Union Total,28178,1.4,0.3,0.3,0.1,0.5,0.2,0.1
32,91,69,,,,Shantiram Union Total,32593,1.2,0.1,0.3,0.1,0.5,0.1,0.1
32,91,75,,,,Sarbananda Union Total,33010,1.2,0.1,0.3,0.1,0.4,0.2,0.1
32,91,82,,,,Sonaroy Union Total,24666,1.3,0.2,0.2,0.1,0.5,0.2,0.0
32,91,88,,,,Sreepur Union Total,40357,3.1,0.2,1.0,0.3,1.2,0.2,0.1
