0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
33,,,,,,Gazipur Zila Total,826458,809761,1164,15533,3403912,1775310,1628602,109
33,,,,,1,Gazipur Zila,565903,556863,652,8388,2366338,1223701,1142637,107
33,,,,,2,Gazipur Zila,255831,248296,495,7040,1018252,541564,476688,114
33,,,,,3,Gazipur Zila,4724,4602,17,105,19322,10045,9277,108
33,30,,,,,Gazipur Sadar Upazila Total,449139,436377,691,12071,1820374,976683,843691,116
33,30,,,,1,Gazipur Sadar Upazila,276589,269078,444,7067,1130963,610140,520823,117
33,30,,,,2,Gazipur Sadar Upazila,172550,167299,247,5004,689411,366543,322868,114
33,30,,,,,Gazipur Paurashava,,,,,,,,
33,30,01,,,,Ward No-01 Total,3719,3493,11,215,17136,9886,7250,136
33,30,01,169,,2,*Bhurulia,3719,3493,11,215,17136,9886,7250,136
33,30,02,,,,Ward No-02 Total,1374,1366,3,5,5918,2935,2983,98
33,30,02,090,,2,*Banua (Part),241,240,1,0,1089,503,586,86
33,30,02,248,,2,*Chapulia (Part),598,596,2,0,2582,1313,1269,103
33,30,02,361,,2,*Faokail (Part),96,96,0,0,397,207,190,109
33,30,02,797,,2,*Pajulia,439,434,0,5,1850,912,938,97
33,30,03,,,,Ward No-03 Total,10434,10129,4,301,40406,21004,19402,108
33,30,03,661,,2,*Mariali,1629,1625,0,4,6574,3310,3264,101
33,30,03,797,,2,*Paschim Joydebpur,8660,8359,4,297,33294,17416,15878,110
33,30,03,938,,2,*Tek Bhararia,145,145,0,0,538,278,260,107
33,30,04,,,,Ward No-04 Total,8427,8369,13,45,35210,17874,17336,103
33,30,04,496,,2,*Purba Joydebpur,8427,8369,13,45,35210,17874,17336,103
33,30,05,,,,Ward No-05 Total,3492,3473,8,11,14955,7924,7031,113
33,30,05,163,,2,*Bhora,770,765,3,2,3118,1637,1481,111
33,30,05,418,,2,*Harinal,1367,1363,2,2,6528,3431,3097,111
33,30,05,621,,2,*Lagalia,509,508,0,1,1823,914,909,101
33,30,05,746,,2,*Noagaon,846,837,3,6,3486,1942,1544,126
33,30,06,,,,Ward No-06 Total,1986,1984,2,0,8170,4220,3950,107
