0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
33,,,,,,Gazipur Zila Total,3403912,8.8,10.1,9.2,9.5,13.4,13.1,25.3,5.2,2.1,3.3
33,,,,,1,Gazipur Zila,2366338,8.9,10.4,9.4,9.3,13.0,12.6,25.1,5.5,2.2,3.8
33,,,,,2,Gazipur Zila,1018252,8.6,9.6,8.9,10.0,14.5,14.2,25.8,4.6,1.6,2.2
33,,,,,3,Gazipur Zila,19322,9.3,10.5,10.1,8.8,11.1,11.3,27.2,6.2,2.0,3.5
33,30,,,,,Gazipur Sadar Upazila Total,1820374,8.4,9.3,8.4,10.2,15.6,14.7,25.1,4.4,1.6,2.2
33,30,,,,1,Gazipur Sadar Upazila,1130963,8.3,9.1,7.7,10.1,16.7,15.6,24.5,4.2,1.6,2.3
33,30,,,,2,Gazipur Sadar Upazila,689411,8.6,9.8,9.5,10.3,13.7,13.4,26.0,4.8,1.7,2.2
33,30,,,,,Gazipur Paurashava,,,,,,,,,,,
33,30,01,,,,Ward No-01 Total,17136,8.0,10.5,8.5,10.6,17.2,12.5,23.7,5.0,1.7,2.5
33,30,01,169,,2,*Bhurulia,17136,8.0,10.5,8.5,10.6,17.2,12.5,23.7,5.0,1.7,2.5
33,30,02,,,,Ward No-02 Total,5918,8.7,11.5,9.6,7.5,10.2,10.5,27.2,6.9,2.5,5.4
33,30,02,090,,2,*Banua (Part),1089,8.8,11.6,9.0,7.4,9.4,10.2,27.8,6.7,2.8,6.2
33,30,02,248,,2,*Chapulia (Part),2582,8.6,11.3,10.3,7.7,11.7,11.2,26.7,6.4,2.2,4.0
33,30,02,361,,2,*Faokail (Part),397,9.6,11.6,8.8,6.5,9.6,10.3,26.7,7.3,3.3,6.3
33,30,02,797,,2,*Pajulia,1850,8.5,11.7,9.1,7.5,8.6,9.9,27.7,7.7,2.6,6.6
33,30,03,,,,Ward No-03 Total,40406,9.6,10.1,9.3,8.9,12.9,13.9,26.6,4.8,1.8,2.0
33,30,03,661,,2,*Mariali,6574,10.4,11.0,10.1,8.2,11.3,12.1,26.0,6.0,2.3,2.7
33,30,03,797,,2,*Paschim Joydebpur,33294,9.5,9.9,9.2,9.1,13.2,14.2,26.7,4.6,1.7,1.8
33,30,03,938,,2,*Tek Bhararia,538,10.2,10.6,10.0,8.2,11.7,13.2,25.8,5.8,2.0,2.4
33,30,04,,,,Ward No-04 Total,35210,8.8,10.6,11.3,9.7,9.7,10.8,28.7,5.8,2.0,2.5
33,30,04,496,,2,*Purba Joydebpur,35210,8.8,10.6,11.3,9.7,9.7,10.8,28.7,5.8,2.0,2.5
33,30,05,,,,Ward No-05 Total,14955,9.5,11.9,10.5,9.3,10.5,11.3,26.7,5.5,2.1,2.9
33,30,05,163,,2,*Bhora,3118,8.7,12.1,9.7,8.5,10.6,11.5,27.4,6.1,2.4,2.8
33,30,05,418,,2,*Harinal,6528,9.9,13.2,11.9,10.3,10.3,10.8,23.8,5.3,2.1,2.5
33,30,05,621,,2,*Lagalia,1823,9.9,11.8,9.8,8.3,9.5,11.4,27.8,5.4,2.0,4.1
33,30,05,746,,2,*Noagaon,3486,9.0,9.2,8.8,8.7,11.1,12.1,30.8,5.2,2.0,2.9
33,30,06,,,,Ward No-06 Total,8170,8.6,10.2,11.2,8.2,10.4,10.2,26.3,6.8,3.0,4.9
33,30,06,062,,2,*Bangalgachh,1645,10.3,11.7,11.3,8.4,11.2,10.3,25.0,5.9,2.2,3.7
33,30,06,084,,2,*Baluchakuli,1244,7.3,9.0,13.3,8.8,9.6,12.0,25.7,6.4,2.9,4.9
33,30,06,537,,2,*Kanaia,2476,8.2,9.9,11.1,8.2,9.5,9.6,27.5,7.5,3.4,5.1
33,30,06,768,,2,*Neler Para,2805,8.6,10.2,10.3,7.7,10.9,10.0,26.4,7.0,3.3,5.5
33,30,07,,,,Ward No-07 Total,31363,7.9,8.8,7.8,9.1,15.9,16.4,27.2,4.5,1.1,1.4
33,30,07,231,,2,*Chandna (Part) Lasmipura,31363,7.9,8.8,7.8,9.1,15.9,16.4,27.2,4.5,1.1,1.4
33,30,08,,,,Ward No-08 Total,11405,10.0,10.3,11.0,8.7,10.3,10.8,26.5,6.8,2.6,3.0
33,30,08,005,,2,*Adabay,1913,9.7,11.0,10.3,8.9,8.9,11.3,26.1,7.2,3.2,3.5
33,30,08,209,,2,*Chaitannapur,449,12.9,11.1,9.4,5.8,9.8,8.9,30.5,6.7,3.1,1.8
33,30,08,277,,2,*Chhota Deora,4417,10.7,11.1,9.6,8.8,10.3,10.5,27.6,6.5,2.4,2.5
33,30,08,864,,2,*Samantapur,3050,8.7,9.0,14.7,9.7,10.4,10.3,25.2,6.3,2.3,3.4
33,30,08,876,,2,*Sarpara,303,11.2,10.2,7.9,8.6,14.2,14.9,20.5,6.9,3.0,2.6
33,30,08,932,,2,*Tarat Para,1273,9.5,9.5,9.5,6.6,11.4,11.9,26.9,8.6,2.8,3.2
33,30,09,,,,Ward No-09 Total,14474,9.3,10.4,10.4,8.9,10.0,11.0,26.7,6.1,2.8,4.5
33,30,09,152,,2,*Bhararul,3166,9.8,9.8,11.5,9.6,10.8,10.3,26.2,5.6,2.5,3.9
33,30,09,299,,2,*Dakshin Khan,2252,8.8,10.9,8.9,8.1,8.9,12.3,28.2,6.5,2.4,5.0
33,30,09,350,,2,*Dhirashram,7074,9.5,10.2,10.3,8.9,10.2,10.9,26.3,6.2,3.1,4.2
33,30,09,802,,2,*Pakeydasi,457,7.2,11.8,14.4,9.6,9.6,9.8,24.5,5.3,2.6,5.0
33,30,09,842,,2,*Raha Para,1171,8.6,10.3,9.3,8.2,8.7,11.2,28.0,6.5,3.0,6.1
33,30,09,966,,2,*Teki Para,354,8.8,13.8,9.9,7.6,9.3,13.3,27.4,4.8,0.6,4.5
33,30,,,,,Tongi Paurashava,,,,,,,,,,,
33,30,11,,,,Ward No-01 Total,15504,9.8,9.8,8.4,9.7,17.4,14.9,21.7,4.1,1.6,2.6
33,30,11,026,,2,*Andarul,468,12.4,10.9,10.5,6.2,10.9,18.4,19.9,4.5,1.9,4.5
33,30,11,086,,2,*Bade Palasona,436,8.5,11.9,9.4,8.0,15.6,15.6,25.9,2.5,1.1,1.4
33,30,11,157,,2,*Bhadam,2850,8.0,6.3,4.1,10.2,30.0,22.1,16.4,1.8,0.4,0.8
33,30,11,183,,2,*Bakral,1068,10.7,11.7,11.3,9.6,10.6,11.5,21.8,6.7,2.5,3.5
33,30,11,340,,2,*Darail,1075,11.4,10.9,10.4,8.8,12.9,12.9,23.2,4.2,2.2,3.0
33,30,11,471,,2,*Gusulia,789,7.4,10.0,6.8,6.0,29.5,13.4,17.9,4.6,2.0,2.4
33,30,11,497,,2,*Gutia,1818,11.7,12.7,11.7,9.8,9.9,11.3,22.4,4.6,1.8,4.0
33,30,11,582,,2,*Jamaldia,484,9.1,9.1,8.9,13.6,11.2,14.3,23.1,4.1,2.9,3.7
33,30,11,602,,2,*Kakil Sataish,5493,9.8,10.0,8.5,9.7,14.8,13.7,24.3,4.6,1.8,2.7
33,30,11,837,,2,*Rajkur,84,1.2,1.2,0.0,7.1,79.8,9.5,1.2,0.0,0.0,0.0
33,30,11,992,,2,*Tilargati,939,11.1,10.0,9.5,12.1,13.2,12.7,22.6,4.7,1.4,2.8
33,30,12,,,,Ward No-02 Total,26092,8.3,9.3,9.1,12.1,15.9,14.7,23.3,4.1,1.5,1.7
