0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
33,,,,,,Gazipur Zila Total,1445590,36.7,62.7,0.4,0.1,1313458,23.3,70.5,5.4,0.8
33,,,,,1,Gazipur Zila,991025,36.2,63.2,0.5,0.1,919787,22.5,70.8,5.8,0.8
33,,,,,2,Gazipur Zila,446499,37.9,61.6,0.3,0.1,386241,25.2,69.6,4.3,0.8
33,,,,,3,Gazipur Zila,8066,37.6,61.8,0.5,0.1,7430,23.7,69.6,6.3,0.3
33,30,,,,,Gazipur Sadar Upazila Total,811336,37.7,61.8,0.3,0.1,685951,24.5,70.5,4.2,0.8
33,30,,,,1,Gazipur Sadar Upazila,509983,36.7,62.9,0.3,0.1,424800,23.3,71.8,4.1,0.8
33,30,,,,2,Gazipur Sadar Upazila,301353,39.5,60.1,0.4,0.1,261151,26.4,68.4,4.4,0.8
33,30,,,,,Gazipur Paurashava,,,,,,,,,,
33,30,01,,,,Ward No-01 Total,8174,52.2,47.3,0.4,0.1,5795,25.3,66.9,6.7,1.2
33,30,01,169,,2,*Bhurulia,8174,52.2,47.3,0.4,0.1,5795,25.3,66.9,6.7,1.2
33,30,02,,,,Ward No-02 Total,2328,34.1,64.9,0.8,0.2,2399,18.1,71.2,9.7,1.0
33,30,02,090,,2,*Banua (Part),388,34.5,64.9,0.5,0.0,479,18.4,67.6,12.3,1.7
33,30,02,248,,2,*Chapulia (Part),1053,36.4,63.2,0.5,0.0,1017,20.9,69.4,9.3,0.3
33,30,02,361,,2,*Faokail (Part),156,28.2,69.9,1.9,0.0,157,17.2,78.3,4.5,0.0
33,30,02,797,,2,*Pajulia,731,32.0,66.3,1.1,0.5,746,14.3,74.4,9.5,1.7
33,30,03,,,,Ward No-03 Total,16904,36.7,62.8,0.5,0.1,15514,24.2,69.7,4.9,1.2
33,30,03,661,,2,*Mariali,2594,34.0,65.1,0.7,0.2,2571,22.5,71.5,4.7,1.4
33,30,03,797,,2,*Paschim Joydebpur,14093,37.2,62.3,0.4,0.1,12734,24.5,69.5,4.9,1.1
