0,1,2,3,4,5,6,7,8,9,10,11,12
33,,,,,,Gazipur Zila Total,3403912,3200383,176582,23843,701,2403
33,,,,,1,Gazipur Zila,2366338,2207782,137218,19135,271,1932
33,,,,,2,Gazipur Zila,1018252,976452,36216,4702,424,458
33,,,,,3,Gazipur Zila,19322,16149,3148,6,6,13
33,30,,,,,Gazipur Sadar Upazila Total,1820374,1743994,70382,5108,556,334
33,30,,,,1,Gazipur Sadar Upazila,1130963,1079988,47687,2815,222,251
33,30,,,,2,Gazipur Sadar Upazila,689411,664006,22695,2293,334,83
33,30,,,,,Gazipur Paurashava,,,,,,
33,30,01,,,,Ward No-01 Total,17136,16389,642,87,18,0
33,30,01,169,,2,*Bhurulia,17136,16389,642,87,18,0
33,30,02,,,,Ward No-02 Total,5918,5693,225,0,0,0
33,30,02,090,,2,*Banua (Part),1089,1089,0,0,0,0
33,30,02,248,,2,*Chapulia (Part),2582,2566,16,0,0,0
33,30,02,361,,2,*Faokail (Part),397,203,194,0,0,0
33,30,02,797,,2,*Pajulia,1850,1835,15,0,0,0
33,30,03,,,,Ward No-03 Total,40406,37472,2801,128,5,0
33,30,03,661,,2,*Mariali,6574,6537,35,2,0,0
33,30,03,797,,2,*Paschim Joydebpur,33294,30397,2766,126,5,0
33,30,03,938,,2,*Tek Bhararia,538,538,0,0,0,0
33,30,04,,,,Ward No-04 Total,35210,32435,2691,28,24,32
33,30,04,496,,2,*Purba Joydebpur,35210,32435,2691,28,24,32
33,30,05,,,,Ward No-05 Total,14955,13919,1021,5,5,5
33,30,05,163,,2,*Bhora,3118,2626,486,1,0,5
33,30,05,418,,2,*Harinal,6528,6469,52,2,5,0
33,30,05,621,,2,*Lagalia,1823,1643,180,0,0,0
33,30,05,746,,2,*Noagaon,3486,3181,303,2,0,0
33,30,06,,,,Ward No-06 Total,8170,7178,990,2,0,0
33,30,06,062,,2,*Bangalgachh,1645,1637,6,2,0,0
33,30,06,084,,2,*Baluchakuli,1244,938,306,0,0,0
33,30,06,537,,2,*Kanaia,2476,2374,102,0,0,0
33,30,06,768,,2,*Neler Para,2805,2229,576,0,0,0
33,30,07,,,,Ward No-07 Total,31363,30293,999,52,19,0
33,30,07,231,,2,*Chandna (Part) Lasmipura,31363,30293,999,52,19,0
33,30,08,,,,Ward No-08 Total,11405,11324,81,0,0,0
33,30,08,005,,2,*Adabay,1913,1909,4,0,0,0
33,30,08,209,,2,*Chaitannapur,449,449,0,0,0,0
33,30,08,277,,2,*Chhota Deora,4417,4346,71,0,0,0
