0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
35,,,,,,Gopalganj Zila Total,249872,248735,225,912,1172415,577868,594547,97
35,,,,,1,Gopalganj Zila,222134,221554,183,397,1043710,513024,530686,97
35,,,,,2,Gopalganj Zila,18906,18395,26,485,85461,43514,41947,104
35,,,,,3,Gopalganj Zila,8832,8786,16,30,43244,21330,21914,97
35,32,,,,,Gopalganj Sadar Upazila Total,73126,72428,108,590,344008,172991,171017,101
35,32,,,,1,Gopalganj Sadar Upazila,60987,60737,89,161,290230,145476,144754,100
35,32,,,,2,Gopalganj Sadar Upazila,11600,11156,19,425,51346,26369,24977,106
35,32,,,,3,Gopalganj Sadar Upazila,539,535,0,4,2432,1146,1286,89
35,32,,,,,Gopalganj Paurashava,,,,,,,,
35,32,01,,,,Ward No-01 Total,1892,1871,1,20,8424,4344,4080,106
35,32,01,501,,2,*Karargati(Part),204,204,0,0,925,480,445,108
35,32,01,611,,2,*Kuadanga,279,279,0,0,1207,638,569,112
35,32,01,756,,2,*Paschim Bedgram,556,551,0,5,2603,1380,1223,113
35,32,01,891,,2,*Uttar Ghosher Char,853,837,1,15,3689,1846,1843,100
35,32,02,,,,Ward No-02 Total,884,812,6,66,3886,2050,1836,112
35,32,02,663,,2,*Paschim Missionpara(Gaterpara),109,97,6,6,648,325,323,101
35,32,02,695,,2,*Paschim Thanapara (Khatra),384,375,0,9,1781,904,877,103
35,32,02,833,,2,*Uttar Bazar (Khatra),159,112,0,47,553,348,205,170
35,32,02,866,,2,*Uttar Bazar Para (Khatra),119,118,0,1,496,239,257,93
35,32,02,928,,2,*Uttar Shaha Para (Khatra),113,110,0,3,408,234,174,134
35,32,03,,,,Ward No-03 Total,1599,1565,2,32,7082,3501,3581,98
35,32,03,529,,2,*Muslim Graveyard (Khatra),437,426,0,11,1905,936,969,97
35,32,03,656,,2,*Purba Bedgram,526,525,0,1,2462,1164,1298,90
35,32,03,695,,2,*Purba Thana Para (Khatra),379,371,1,7,1586,804,782,103
35,32,03,997,,2,*Uttar Miahpara (Khatra),257,243,1,13,1129,597,532,112
35,32,04,,,,Ward No-04 Total,1148,1118,0,30,4996,2562,2434,105
35,32,04,156,,2,*Dakhin Bedgram,288,284,0,4,1268,641,627,102
35,32,04,228,,2,*Dakshin Shahapara (Khatra),75,74,0,1,284,150,134,112
35,32,04,233,,2,*Dakshin Bazar (Khatra),5,5,0,0,21,9,12,75
35,32,04,266,,2,*Dakshin Bazarpara (Khatra),23,22,0,1,108,53,55,96
35,32,04,297,,2,*Dakshin Miahpara (Khatra),435,420,0,15,1932,1030,902,114
35,32,04,862,,2,*Uttar Public Hall Area(Khatra),82,81,0,1,362,186,176,106
35,32,04,898,,2,*Uttar Govt.Girls School(Khatra,240,232,0,8,1021,493,528,93
35,32,05,,,,Ward No-05 Total,740,688,2,50,3263,1635,1628,100
35,32,05,262,,2,*Dakshin Publichallarea(Khatra),212,207,1,4,839,397,442,90
35,32,05,298,,2,*South Govt.Girls School(Khatra,76,76,0,0,303,159,144,110
35,32,05,530,,2,*Launchghat Para (Khatra),52,51,1,0,305,119,186,64
35,32,05,691,,2,*Purba Ghosher Char,120,95,0,25,555,341,214,159
35,32,05,795,,2,*Uttar Gohata (Khatra),280,259,0,21,1261,619,642,96
35,32,06,,,,Ward No-06 Total,1063,990,0,73,4431,2182,2249,97
35,32,06,295,,2,*Dakshin Gohata (Khatra),705,678,0,27,3072,1511,1561,97
35,32,06,464,,2,*Khatra Battala,238,206,0,32,927,461,466,99
35,32,06,631,,2,*Purba Govt.High School(Khatra),120,106,0,14,432,210,222,95
35,32,07,,,,Ward No-07 Total,1510,1400,4,106,6629,3688,2941,125
35,32,07,199,,2,*Court Bank Para (Khatra),235,229,0,6,909,500,409,122
35,32,07,265,,2,*Court Masjid Para (Khatra),566,513,1,52,2619,1489,1130,132
35,32,07,291,,2,*Dakshin Ghosher Char,64,56,3,5,624,401,223,180
35,32,07,364,,2,*Gopalgang Jail Area (Khatra),64,59,0,5,302,164,138,119
35,32,07,631,,2,*West Govt.High School (Khatra),118,108,0,10,357,208,149,140
35,32,07,640,,2,*Pacshim Tegharia,30,26,0,4,105,52,53,98
35,32,07,642,,2,*Parba Manikdaha,51,40,0,11,200,109,91,120
35,32,07,696,,2,*Padda Pukur Area (Khatra),262,258,0,4,1021,507,514,99
35,32,07,732,,2,*Uttar Chachaniakandi(Khatra),120,111,0,9,492,258,234,110
35,32,08,,,,Ward No-08 Total,1233,1208,1,24,5564,2846,2718,105
35,32,08,132,,2,*Dakshin Chachaniakandi(Khatra),320,308,0,12,1530,780,750,104
35,32,08,331,,2,*Gopalganj H.School Area(Khatra,632,619,1,12,2699,1385,1314,105
35,32,08,840,,2,*Purba Tegharia,253,253,0,0,1195,605,590,103
35,32,08,919,,2,*Uttar Borasi Mandertila,28,28,0,0,140,76,64,119
35,32,09,,,,Ward No-09 Total,1531,1504,3,24,7071,3561,3510,101
35,32,09,258,,2,*Char Sonakaur,117,117,0,0,530,255,275,93
35,32,09,340,,2,*Dakshin Tegharia,140,138,0,2,638,321,317,101
35,32,09,642,,2,*Purba Manikdaha,261,253,1,7,1348,722,626,115
35,32,09,669,,2,*Pachim Sonakur,215,214,1,0,1102,567,535,106
35,32,09,697,,2,*Pachuria,758,742,1,15,3251,1591,1660,96
35,32,09,767,,2,*Utter Poddarer Char,40,40,0,0,202,105,97,108
35,32,11,,,,Borasi Union Total,2610,2605,1,4,12324,6136,6188,99
35,32,11,219,,1,*Borasi,1967,1963,1,3,9367,4652,4715,99
35,32,11,219,01,1,Borasi,589,589,0,0,2658,1349,1309,103
35,32,11,219,02,1,Banshbari,146,146,0,0,710,328,382,86
35,32,11,219,03,1,Ghoshgathi,388,388,0,0,1859,955,904,106
35,32,11,219,04,1,Bhennabari,652,652,0,0,3261,1593,1668,96
35,32,11,219,05,1,Puran Pathalia,192,188,1,3,879,427,452,94
35,32,11,376,,1,*Ghona Para(Part),90,90,0,0,405,204,201,101
35,32,11,407,,1,*Gobra (Part),208,207,0,1,918,474,444,107
35,32,11,869,,1,*Sonakur(Part),225,225,0,0,1094,535,559,96
35,32,11,940,,1,*Tegharia (Part),120,120,0,0,540,271,269,101
35,32,13,,,,Baultali Union Total,2386,2384,0,2,10896,5406,5490,98
35,32,13,086,,1,*Barkhadia,146,146,0,0,649,310,339,91
35,32,13,125,,1,*Baultali,438,437,0,1,1864,939,925,102
35,32,13,352,,1,*Gandiasur,430,430,0,0,2012,997,1015,98
35,32,13,477,,1,*Kalpur,538,537,0,1,2491,1202,1289,93
35,32,13,477,01,1,Kalpur,421,420,0,1,1934,930,1004,93
35,32,13,477,02,1,Telibhita,117,117,0,0,557,272,285,95
35,32,13,603,,1,*Krishnapur,543,543,0,0,2459,1251,1208,104
35,32,13,799,,1,*Raut Para,100,100,0,0,493,237,256,93
35,32,13,908,,1,*Surgram,191,191,0,0,928,470,458,103
35,32,15,,,,Chandra Dighalia Union Total,2654,2579,16,59,15659,8459,7200,117
35,32,15,180,,1,*Bhuiya Para,1354,1292,16,46,8867,4748,4119,115
35,32,15,227,,1,*Chandra Dighalia,1300,1287,0,13,6792,3711,3081,120
35,32,17,,,,Durgapur Union Total,3655,3632,0,23,17420,8806,8614,102
35,32,17,156,,1,*Betgram (Part),568,567,0,1,2881,1429,1452,98
35,32,17,274,,1,*Chhota Domrasur,255,255,0,0,1267,636,631,101
35,32,17,344,,1,*Durgapur,710,710,0,0,3112,1571,1541,102
35,32,17,344,01,1,Durgapur,460,460,0,0,1955,980,975,101
35,32,17,344,02,1,Nilakhi,250,250,0,0,1157,591,566,104
35,32,17,415,,1,*Golabaria,693,679,0,14,3419,1782,1637,109
35,32,17,438,,1,*Hatikata,118,118,0,0,596,302,294,103
35,32,17,485,,1,*Kangsur (Part),270,270,0,0,1271,641,630,102
35,32,17,501,,1,*Karargati,372,367,0,5,1790,920,870,106
35,32,17,517,,1,*Katarbari,114,114,0,0,542,274,268,102
35,32,17,571,,1,*Khatiagar,446,443,0,3,2021,985,1036,95
35,32,17,634,,1,*Malibata,109,109,0,0,521,266,255,104
35,32,21,,,,Gobra Union Total,2880,2857,8,15,12425,6168,6257,99
35,32,21,,,1,Gobra Union,2608,2589,8,11,11085,5534,5551,100
35,32,21,,,3,Gobra Union,272,268,0,4,1340,634,706,90
35,32,21,172,,1,*Bhetedour,239,238,0,1,1130,518,612,85
35,32,21,235,,1,*Char Baria,82,80,2,0,396,228,168,136
35,32,21,250,,1,*Char Gobra,840,839,0,1,3139,1563,1576,99
35,32,21,376,,1,*Ghona Para (Part),228,227,0,1,920,485,435,111
35,32,21,407,,1,*Gobra,1219,1205,6,8,5500,2740,2760,99
35,32,21,407,01,1,Uttar Gobra,296,293,3,0,1515,745,770,97
35,32,21,407,02,1,Gobra,394,385,2,7,1837,955,882,108
35,32,21,407,03,1,Malo Para,105,104,0,1,442,208,234,89
35,32,21,407,04,1,Dakshin Gobra,210,210,0,0,868,425,443,96
35,32,21,407,05,1,Chapil,112,112,0,0,461,221,240,92
35,32,21,407,06,1,Bhatia Para,102,101,1,0,377,186,191,97
35,32,21,767,,3,*Poddarer Char (Part),272,268,0,4,1340,634,706,90
35,32,30,,,,Gopinathpur Union Total,2621,2620,1,0,12035,5827,6208,94
35,32,30,062,,1,*Bara Gopinathpur,1528,1527,1,0,6931,3314,3617,92
35,32,30,211,,1,*Boalia,120,120,0,0,551,271,280,97
35,32,30,399,,1,*Goalar Char,55,55,0,0,272,143,129,111
35,32,30,650,,1,*Mary Gopinathpur,918,918,0,0,4281,2099,2182,96
35,32,34,,,,Haridaspur Union Total,2504,2497,1,6,12377,6277,6100,103
35,32,34,015,,1,*Arpara,604,603,0,1,2653,1323,1330,99
35,32,34,015,01,1,Arpara,513,512,0,1,2208,1105,1103,100
35,32,34,015,02,1,Bherarhat,91,91,0,0,445,218,227,96
35,32,34,031,,1,*Bade Khagail,494,494,0,0,2513,1286,1227,105
35,32,34,031,01,1,Bade Khagail,388,388,0,0,2014,1030,984,105
35,32,34,031,02,1,Laskhmipur,106,106,0,0,499,256,243,105
35,32,34,423,,1,*Haridaspur,741,736,0,5,3799,1966,1833,107
35,32,34,423,01,1,Paschim Haridaspur,366,364,0,2,1834,957,877,109
35,32,34,423,02,1,Purba Haridaspur,375,372,0,3,1965,1009,956,106
35,32,34,540,,1,*Khagail,574,573,1,0,2940,1485,1455,102
35,32,34,673,,1,*Mochra,91,91,0,0,472,217,255,85
35,32,38,,,,Jalalabad Union Total,3405,3402,3,0,15257,7465,7792,96
35,32,38,,,1,Jalalabad Union,3138,3135,3,0,14165,6953,7212,96
35,32,38,,,3,Jalalabad Union,267,267,0,0,1092,512,580,88
35,32,38,070,,1,*Bara Panchuria,120,120,0,0,542,262,280,94
35,32,38,094,,1,*Barapa,526,525,1,0,2204,1054,1150,92
35,32,38,094,01,1,Barapa,266,265,1,0,1223,577,646,89
35,32,38,094,02,1,Char Barapa,260,260,0,0,981,477,504,95
35,32,38,289,,1,*Chhotapa,149,149,0,0,695,336,359,94
35,32,38,329,,1,*Dubasi,171,171,0,0,840,411,429,96
35,32,38,336,,1,*Ghagha Dhalaitala,209,209,0,0,1010,506,504,100
35,32,38,368,,1,*Ghenasur,341,341,0,0,1266,577,689,84
35,32,38,446,,1,*Ichhakhali,358,357,1,0,1847,940,907,104
35,32,38,556,,1,*Khalia,449,448,1,0,2138,1077,1061,102
35,32,38,658,,1,*Matla,311,311,0,0,1463,714,749,95
35,32,38,661,,1,*Mirar Char,16,16,0,0,58,31,27,115
35,32,38,885,,3,*Suktail (Part),267,267,0,0,1092,512,580,88
35,32,38,955,,1,*Tentulia Durgapur,488,488,0,0,2102,1045,1057,99
35,32,38,955,01,1,Durgapur,282,282,0,0,1236,624,612,102
35,32,38,955,02,1,Tentulia,206,206,0,0,866,421,445,95
35,32,43,,,,Kajulia Union Total,2813,2809,1,3,14296,7407,6889,108
35,32,43,039,,1,*Bajunia,584,584,0,0,2835,1458,1377,106
35,32,43,195,,1,*Bil Bajunia,24,24,0,0,128,69,59,117
35,32,43,203,,1,*Bil Kajulia,8,8,0,0,42,20,22,91
35,32,43,454,,1,*Jalirpar,9,9,0,0,38,21,17,124
35,32,43,470,,1,*Kajulia,1340,1336,1,3,7134,3720,3414,109
35,32,43,524,,1,*Bhojergati(Kati Part),212,212,0,0,1144,578,566,102
35,32,43,759,,1,*Pithabari,140,140,0,0,686,366,320,114
35,32,43,783,,1,*Purba Bajunia,120,120,0,0,544,287,257,112
35,32,43,846,,1,*Seorabari,376,376,0,0,1745,888,857,104
35,32,47,,,,Karpara Union Total,4390,4377,0,13,20441,9861,10580,93
35,32,47,023,,1,*Aruakangsur,431,430,0,1,1968,941,1027,92
35,32,47,047,,1,*Balkuri,858,853,0,5,3971,1868,2103,89
35,32,47,054,,1,*Banagram,1214,1211,0,3,5716,2744,2972,92
35,32,47,305,,1,*Demakuri,115,115,0,0,551,277,274,101
35,32,47,430,,1,*Hatbaria,396,396,0,0,1858,898,960,94
35,32,47,509,,1,*Karpara,1078,1074,0,4,5014,2502,2512,100
35,32,47,736,,1,*Panail,81,81,0,0,372,172,200,86
35,32,47,775,,1,*Puisur,17,17,0,0,81,40,41,98
35,32,47,924,,1,*Targram,200,200,0,0,910,419,491,85
35,32,51,,,,Kati Union Total,2200,2199,1,0,10869,5364,5505,97
35,32,51,141,,1,*Betangi,90,90,0,0,447,224,223,100
35,32,51,524,,1,*Kati (Part),557,557,0,0,2829,1394,1435,97
35,32,51,564,,1,*Khanarpar,385,385,0,0,1965,963,1002,96
35,32,51,587,,1,*Khelna,223,223,0,0,1029,490,539,91
35,32,51,806,,1,*Roypasha,272,272,0,0,1278,626,652,96
35,32,51,806,01,1,Roypasha,237,237,0,0,1090,538,552,97
35,32,51,806,02,1,Lakshmipur,35,35,0,0,188,88,100,88
35,32,51,893,,1,*Sultanpur Manikhar,329,329,0,0,1503,712,791,90
35,32,51,947,,1,*Teligati,344,343,1,0,1818,955,863,111
35,32,56,,,,Latifpur Union Total,3563,3514,32,17,17196,8875,8321,107
35,32,56,391,,1,*Ghoser Char,2933,2889,32,12,14229,7355,6874,107
35,32,56,391,01,1,Ghoser Char,1920,1876,32,12,9469,4925,4544,108
35,32,56,391,02,1,Char Manikdaha,1013,1013,0,0,4760,2430,2330,104
35,32,56,642,,1,*Manikdaha,630,625,0,5,2967,1520,1447,105
35,32,60,,,,Majhigati Union Total,2405,2403,2,0,11829,5934,5895,101
35,32,60,133,,1,*Baurgati,176,176,0,0,866,424,442,96
35,32,60,164,,1,*Bhabanipur,339,338,1,0,1889,1018,871,117
35,32,60,282,,1,*Chhota Gopinathpur,498,498,0,0,2427,1174,1253,94
35,32,60,282,01,1,Gopinathpur,406,406,0,0,2037,971,1066,91
35,32,60,282,02,1,Naldanga,92,92,0,0,390,203,187,109
35,32,60,297,,1,*Dalina,712,712,0,0,3342,1657,1685,98
35,32,60,297,01,1,Dalina,474,474,0,0,2246,1095,1151,95
35,32,60,297,02,1,Bagajuri,109,109,0,0,479,255,224,114
35,32,60,297,03,1,Kandargati,100,100,0,0,488,246,242,102
