0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
35,,,,,,Gopalganj Zila Total,248735,2.7,8.5,16.3,23.2,21.0,13.5,7.2,7.5,4.7
35,,,,,1,Gopalganj Zila,221554,2.7,8.4,16.0,23.1,21.2,13.7,7.4,7.6,4.7
35,,,,,2,Gopalganj Zila,18395,3.2,9.4,19.5,25.6,19.0,11.0,5.3,7.1,4.5
35,,,,,3,Gopalganj Zila,8786,3.0,8.3,16.5,22.6,19.7,13.4,8.3,8.3,4.7
35,32,,,,,Gopalganj Sadar Upazila Total,72428,2.5,8.5,16.6,23.4,20.5,13.4,7.2,7.8,4.7
35,32,,,,1,Gopalganj Sadar Upazila,60737,2.4,8.2,15.9,22.8,21.0,14.0,7.7,8.1,4.7
35,32,,,,2,Gopalganj Sadar Upazila,11156,3.2,10.4,20.7,26.1,18.4,10.1,4.6,6.4,4.4
35,32,,,,3,Gopalganj Sadar Upazila,535,3.6,11.4,17.4,25.4,16.8,13.6,7.3,4.5,4.4
35,32,,,,,Gopalganj Paurashava,,,,,,,,,,
35,32,01,,,,Ward No-01 Total,1871,3.7,10.2,20.5,25.2,17.3,10.4,4.8,7.9,4.4
35,32,01,501,,2,*Karargati(Part),204,5.4,6.9,14.2,26.0,20.6,14.7,5.9,6.4,4.5
35,32,01,611,,2,*Kuadanga,279,8.2,6.8,25.1,21.1,15.4,10.8,6.1,6.5,4.3
35,32,01,756,,2,*Paschim Bedgram,551,3.4,9.4,19.2,25.0,15.6,10.5,6.5,10.2,4.7
35,32,01,891,,2,*Uttar Ghosher Char,837,1.9,12.5,21.4,26.5,18.3,9.2,3.0,7.2,4.3
35,32,02,,,,Ward No-02 Total,812,3.6,10.0,21.1,27.2,19.0,9.0,3.3,6.9,4.3
35,32,02,663,,2,*Paschim Missionpara(Gaterpara),97,0.0,7.2,18.6,33.0,19.6,11.3,4.1,6.2,4.5
35,32,02,695,,2,*Paschim Thanapara (Khatra),375,1.1,8.3,21.3,26.7,19.7,9.9,4.3,8.8,4.7
35,32,02,833,,2,*Uttar Bazar (Khatra),112,8.9,10.7,22.3,23.2,17.9,9.8,1.8,5.4,4.0
35,32,02,866,,2,*Uttar Bazar Para (Khatra),118,5.9,11.9,16.1,30.5,19.5,5.9,4.2,5.9,4.2
35,32,02,928,,2,*Uttar Shaha Para (Khatra),110,7.3,15.5,26.4,24.5,16.4,6.4,0.0,3.6,3.7
35,32,03,,,,Ward No-03 Total,1565,2.7,10.5,22.4,25.6,18.5,9.1,5.2,6.1,4.3
35,32,03,529,,2,*Muslim Graveyard (Khatra),426,1.9,9.2,24.2,24.6,19.7,8.7,5.9,5.9,4.4
35,32,03,656,,2,*Purba Bedgram,525,3.4,9.5,18.5,24.4,20.6,11.2,5.1,7.2,4.5
35,32,03,695,,2,*Purba Thana Para (Khatra),371,3.5,10.8,25.3,28.8,14.0,7.0,4.9,5.7,4.1
35,32,03,997,,2,*Uttar Miahpara (Khatra),243,1.6,14.8,23.0,24.7,18.5,8.2,4.5,4.5,4.2
35,32,04,,,,Ward No-04 Total,1118,3.4,9.7,20.3,26.2,18.8,10.9,4.6,6.2,4.4
35,32,04,156,,2,*Dakhin Bedgram,284,3.9,10.6,15.8,24.6,23.2,10.6,3.9,7.4,4.4
35,32,04,228,,2,*Dakshin Shahapara (Khatra),74,6.8,6.8,23.0,36.5,17.6,8.1,1.4,0.0,3.8
35,32,04,233,,2,*Dakshin Bazar (Khatra),5,0.0,0.0,20.0,40.0,40.0,0.0,0.0,0.0,4.2
35,32,04,266,,2,*Dakshin Bazarpara (Khatra),22,4.5,9.1,4.5,31.8,27.3,9.1,0.0,13.6,4.8
35,32,04,297,,2,*Dakshin Miahpara (Khatra),420,2.4,8.8,22.9,24.0,17.9,12.9,5.0,6.2,4.5
35,32,04,862,,2,*Uttar Public Hall Area(Khatra),81,1.2,11.1,25.9,27.2,8.6,13.6,6.2,6.2,4.4
35,32,04,898,,2,*Uttar Govt.Girls School(Khatra,232,4.3,10.8,19.8,27.6,17.7,8.2,5.6,6.0,4.2
35,32,05,,,,Ward No-05 Total,688,4.9,11.3,18.3,24.7,19.0,11.3,4.7,5.7,4.3
35,32,05,262,,2,*Dakshin Publichallarea(Khatra),207,6.8,19.3,18.4,23.2,15.9,6.8,4.8,4.8,4.0
35,32,05,298,,2,*South Govt.Girls School(Khatra,76,14.5,10.5,21.1,23.7,10.5,10.5,3.9,5.3,4.0
35,32,05,530,,2,*Launchghat Para (Khatra),51,0.0,3.9,13.7,29.4,23.5,15.7,7.8,5.9,4.8
35,32,05,691,,2,*Purba Ghosher Char,95,3.2,8.4,17.9,22.1,22.1,9.5,7.4,9.5,4.6
35,32,05,795,,2,*Uttar Gohata (Khatra),259,2.3,7.7,18.5,26.3,22.0,15.1,3.1,5.0,4.5
35,32,06,,,,Ward No-06 Total,990,2.8,11.6,22.8,27.6,16.8,8.9,4.5,4.9,4.2
35,32,06,295,,2,*Dakshin Gohata (Khatra),678,2.9,9.3,23.0,26.7,17.4,9.9,4.9,5.9,4.3
35,32,06,464,,2,*Khatra Battala,206,1.0,16.5,19.9,32.0,15.0,7.3,4.9,3.4,4.0
35,32,06,631,,2,*Purba Govt.High School(Khatra),106,5.7,17.0,27.4,24.5,16.0,5.7,1.9,1.9,3.6
35,32,07,,,,Ward No-07 Total,1400,5.9,12.3,21.4,26.7,17.1,8.4,3.5,4.6,4.1
35,32,07,199,,2,*Court Bank Para (Khatra),229,7.0,19.2,24.5,24.5,13.1,4.8,3.1,3.9,3.8
35,32,07,265,,2,*Court Masjid Para (Khatra),513,2.1,7.8,21.6,30.4,20.3,9.9,3.1,4.7,4.3
35,32,07,291,,2,*Dakshin Ghosher Char,56,1.8,7.1,16.1,25.0,16.1,16.1,7.1,10.7,5.0
35,32,07,364,,2,*Gopalgang Jail Area (Khatra),59,3.4,15.3,23.7,22.0,11.9,8.5,5.1,10.2,4.7
35,32,07,631,,2,*West Govt.High School (Khatra),108,33.3,16.7,14.8,15.7,10.2,1.9,3.7,3.7,3.0
35,32,07,640,,2,*Pacshim Tegharia,26,0.0,15.4,42.3,11.5,19.2,3.8,0.0,7.7,3.8
35,32,07,642,,2,*Parba Manikdaha,40,0.0,12.5,20.0,27.5,12.5,7.5,12.5,7.5,4.6
35,32,07,696,,2,*Padda Pukur Area (Khatra),258,4.7,13.6,22.5,26.4,18.6,9.3,1.6,3.5,3.9
35,32,07,732,,2,*Uttar Chachaniakandi(Khatra),111,4.5,11.7,14.4,32.4,18.9,10.8,5.4,1.8,4.1
35,32,08,,,,Ward No-08 Total,1208,1.3,8.8,18.7,26.8,20.5,12.0,5.5,6.3,4.5
35,32,08,132,,2,*Dakshin Chachaniakandi(Khatra),308,0.0,4.2,16.9,28.9,18.2,15.3,8.1,8.4,4.9
35,32,08,331,,2,*Gopalganj H.School Area(Khatra,619,2.4,11.6,20.2,27.5,20.4,9.7,3.6,4.7,4.2
35,32,08,840,,2,*Purba Tegharia,253,0.4,7.1,17.8,24.1,23.3,13.0,7.5,6.7,4.7
35,32,08,919,,2,*Uttar Borasi Mandertila,28,0.0,10.7,14.3,14.3,25.0,17.9,3.6,14.3,5.0
35,32,09,,,,Ward No-09 Total,1504,1.4,9.8,20.3,25.7,19.5,11.2,4.5,7.5,4.5
35,32,09,258,,2,*Char Sonakaur,117,1.7,13.7,23.1,19.7,19.7,7.7,5.1,9.4,4.5
35,32,09,340,,2,*Dakshin Tegharia,138,0.0,7.2,22.5,21.0,23.2,15.9,2.9,7.2,4.6
35,32,09,642,,2,*Purba Manikdaha,253,2.0,9.1,15.8,23.7,18.6,15.0,5.5,10.3,4.8
35,32,09,669,,2,*Pachim Sonakur,214,1.9,5.6,12.1,24.3,26.2,12.1,7.5,10.3,5.1
35,32,09,697,,2,*Pachuria,742,1.3,11.2,23.7,28.8,17.3,9.2,3.1,5.4,4.2
35,32,09,767,,2,*Utter Poddarer Char,40,0.0,10.0,12.5,22.5,20.0,12.5,12.5,10.0,5.1
35,32,11,,,,Borasi Union Total,2605,2.3,7.8,16.5,23.9,19.2,14.7,7.9,7.7,4.7
35,32,11,219,,1,*Borasi,1963,2.3,7.6,16.0,23.9,18.8,15.0,8.2,8.1,4.8
35,32,11,219,01,1,Borasi,589,1.9,8.3,16.8,27.7,20.7,13.2,6.8,4.6,4.5
35,32,11,219,02,1,Banshbari,146,1.4,6.8,13.7,28.1,17.8,15.8,6.2,10.3,4.9
35,32,11,219,03,1,Ghoshgathi,388,2.1,7.5,14.9,24.0,18.8,15.5,9.8,7.5,4.8
35,32,11,219,04,1,Bhennabari,652,2.8,8.0,14.7,20.1,17.8,15.6,9.4,11.7,5.0
35,32,11,219,05,1,Puran Pathalia,188,3.7,5.3,22.3,21.8,17.6,16.5,6.4,6.4,4.6
35,32,11,376,,1,*Ghona Para(Part),90,7.8,13.3,16.7,15.6,17.8,12.2,7.8,8.9,4.5
35,32,11,407,,1,*Gobra (Part),207,1.4,6.8,18.8,28.5,22.2,14.5,4.8,2.9,4.4
35,32,11,869,,1,*Sonakur(Part),225,0.9,5.3,18.7,24.4,19.1,13.8,7.6,10.2,4.9
35,32,11,940,,1,*Tegharia (Part),120,0.8,12.5,16.7,21.7,21.7,13.3,9.2,4.2,4.5
35,32,13,,,,Baultali Union Total,2384,2.3,8.6,14.6,27.1,22.3,13.0,6.2,5.9,4.6
35,32,13,086,,1,*Barkhadia,146,1.4,11.0,14.4,28.1,18.5,15.8,9.6,1.4,4.4
35,32,13,125,,1,*Baultali,437,2.7,12.4,16.2,30.7,21.3,8.2,2.7,5.7,4.3
35,32,13,352,,1,*Gandiasur,430,1.6,7.2,13.5,28.8,22.8,10.9,9.3,5.8,4.7
35,32,13,477,,1,*Kalpur,537,2.8,8.8,15.6,22.2,21.2,16.2,6.1,7.1,4.6
35,32,13,477,01,1,Kalpur,420,3.6,9.3,16.4,19.8,20.0,17.9,6.2,6.9,4.6
35,32,13,477,02,1,Telibhita,117,0.0,6.8,12.8,30.8,25.6,10.3,6.0,7.7,4.8
35,32,13,603,,1,*Krishnapur,543,3.1,7.6,13.3,29.1,24.3,12.3,4.8,5.5,4.5
35,32,13,799,,1,*Raut Para,100,2.0,5.0,15.0,24.0,15.0,22.0,11.0,6.0,4.9
35,32,13,908,,1,*Surgram,191,0.5,6.3,14.1,24.1,27.7,14.1,5.8,7.3,4.9
35,32,15,,,,Chandra Dighalia Union Total,2579,0.2,2.1,7.0,16.3,24.6,18.4,13.1,18.2,5.8
