0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
35,,,,,,Gopalganj Zila Total,570411,411462,289665,190722,280746,220740,58.1,60.3,56.0
35,,,,,1,Gopalganj Zila,494729,377627,250820,174636,243909,202991,56.7,59.0,54.6
35,,,,,2,Gopalganj Zila,53738,19678,28116,9182,25622,10496,73.2,75.4,70.9
35,,,,,3,Gopalganj Zila,21944,14157,10729,6904,11215,7253,60.8,60.8,60.7
35,32,,,,,Gopalganj Sadar Upazila Total,178346,110139,93064,51457,85282,58682,61.8,64.4,59.2
35,32,,,,1,Gopalganj Sadar Upazila,142172,99778,73941,46735,68231,53043,58.8,61.3,56.3
35,32,,,,2,Gopalganj Sadar Upazila,34987,9516,18535,4361,16452,5155,78.6,81.0,76.1
35,32,,,,3,Gopalganj Sadar Upazila,1187,845,588,361,599,484,58.4,62.0,55.3
35,32,,,,,Gopalganj Paurashava,,,,,,,,,
35,32,01,,,,Ward No-01 Total,5291,1894,2817,906,2474,988,73.6,75.7,71.5
35,32,01,501,,2,*Karargati(Part),660,150,352,68,308,82,81.5,83.8,79.0
35,32,01,611,,2,*Kuadanga,719,316,402,149,317,167,69.5,73.0,65.5
35,32,01,756,,2,*Paschim Bedgram,1466,757,828,357,638,400,65.9,69.9,61.5
35,32,01,891,,2,*Uttar Ghosher Char,2446,671,1235,332,1211,339,78.5,78.8,78.1
35,32,02,,,,Ward No-02 Total,2437,926,1332,434,1105,492,72.5,75.4,69.2
35,32,02,663,,2,*Paschim Missionpara(Gaterpara),394,172,197,87,197,85,69.6,69.4,69.9
35,32,02,695,,2,*Paschim Thanapara (Khatra),1251,279,651,116,600,163,81.8,84.9,78.6
35,32,02,833,,2,*Uttar Bazar (Khatra),246,232,179,128,67,104,51.5,58.3,39.2
35,32,02,866,,2,*Uttar Bazar Para (Khatra),278,149,145,58,133,91,65.1,71.4,59.4
35,32,02,928,,2,*Uttar Shaha Para (Khatra),268,94,160,45,108,49,74.0,78.0,68.8
35,32,03,,,,Ward No-03 Total,5168,911,2590,384,2578,527,85.0,87.1,83.0
35,32,03,529,,2,*Muslim Graveyard (Khatra),1325,301,645,130,680,171,81.5,83.2,79.9
35,32,03,656,,2,*Purba Bedgram,1687,419,809,181,878,238,80.1,81.7,78.7
35,32,03,695,,2,*Purba Thana Para (Khatra),1282,106,657,40,625,66,92.4,94.3,90.4
35,32,03,997,,2,*Uttar Miahpara (Khatra),874,85,479,33,395,52,91.1,93.6,88.4
35,32,04,,,,Ward No-04 Total,3512,777,1862,345,1650,432,81.9,84.4,79.3
35,32,04,156,,2,*Dakhin Bedgram,761,293,388,138,373,155,72.2,73.8,70.6
35,32,04,228,,2,*Dakshin Shahapara (Khatra),235,18,122,9,113,9,92.9,93.1,92.6
35,32,04,233,,2,*Dakshin Bazar (Khatra),15,3,8,0,7,3,83.3,100.0,70.0
35,32,04,266,,2,*Dakshin Bazarpara (Khatra),83,7,39,4,44,3,92.2,90.7,93.6
35,32,04,297,,2,*Dakshin Miahpara (Khatra),1391,280,777,124,614,156,83.2,86.2,79.7
35,32,04,862,,2,*Uttar Public Hall Area(Khatra),283,36,146,18,137,18,88.7,89.0,88.4
35,32,04,898,,2,*Uttar Govt.Girls School(Khatra,744,140,382,52,362,88,84.2,88.0,80.4
35,32,05,,,,Ward No-05 Total,2347,559,1199,263,1148,296,80.8,82.0,79.5
35,32,05,262,,2,*Dakshin Publichallarea(Khatra),654,96,319,34,335,62,87.2,90.4,84.4
35,32,05,298,,2,*South Govt.Girls School(Khatra,256,14,137,4,119,10,94.8,97.2,92.2
