0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
35,,,,,,Gopalganj Zila Total,5213,4927,39998,38620,67186,63979,18476,16136,46653,47867,11593,7751
35,,,,,1,Gopalganj Zila,4526,4206,36153,35075,60169,57260,16671,14627,41428,42459,10335,6908
35,,,,,2,Gopalganj Zila,510,564,2380,2147,4577,4262,1028,913,3410,3278,760,571
35,,,,,3,Gopalganj Zila,177,157,1465,1398,2440,2457,777,596,1815,2130,498,272
35,32,,,,,Gopalganj Sadar Upazila Total,1652,1655,11651,11211,20259,18402,5120,4466,13967,13576,3143,2247
35,32,,,,1,Gopalganj Sadar Upazila,1252,1189,10316,9970,17241,15662,4682,4048,11739,11542,2742,1917
35,32,,,,2,Gopalganj Sadar Upazila,390,449,1251,1156,2888,2556,411,399,2140,1903,373,316
35,32,,,,3,Gopalganj Sadar Upazila,10,17,84,85,130,184,27,19,88,131,28,14
35,32,,,,,Gopalganj Paurashava,,,,,,,,,,,,
35,32,01,,,,Ward No-01 Total,61,74,248,219,472,437,82,56,305,315,80,46
35,32,01,501,,2,*Karargati(Part),7,9,24,24,44,49,12,2,33,36,10,4
35,32,01,611,,2,*Kuadanga,4,9,35,26,52,48,12,8,42,56,8,7
35,32,01,756,,2,*Paschim Bedgram,21,26,81,57,141,131,23,25,79,85,27,17
35,32,01,891,,2,*Uttar Ghosher Char,29,30,108,112,235,209,35,21,151,138,35,18
35,32,02,,,,Ward No-02 Total,35,34,110,80,259,255,33,32,153,142,57,20
35,32,02,663,,2,*Paschim Missionpara(Gaterpara),11,13,16,9,80,81,7,12,51,50,4,0
35,32,02,695,,2,*Paschim Thanapara (Khatra),16,10,52,37,101,107,10,6,54,59,23,10
35,32,02,833,,2,*Uttar Bazar (Khatra),5,7,17,8,33,32,2,2,14,7,23,2
35,32,02,866,,2,*Uttar Bazar Para (Khatra),0,0,16,21,18,26,13,10,14,17,5,4
