0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
36,,,,,,Habiganj Zila Total,719827,42.9,56.2,0.8,0.1,769354,29.2,60.5,9.3,1.0
36,,,,,1,Habiganj Zila,628971,42.5,56.6,0.8,0.1,676513,28.9,60.7,9.4,1.0
36,,,,,2,Habiganj Zila,65890,46.1,53.2,0.6,0.1,66077,32.0,58.4,8.9,0.6
36,,,,,3,Habiganj Zila,24966,44.7,54.6,0.6,0.1,26764,30.7,59.0,9.4,0.9
36,02,,,,,Ajmiriganj Upazila Total,38705,42.5,56.5,0.9,0.1,40490,27.8,59.9,11.5,0.9
36,02,,,,1,Ajmiriganj Upazila,33232,42.1,56.9,0.9,0.1,34757,27.4,60.8,11.0,0.8
36,02,,,,2,Ajmiriganj Upazila,4979,44.6,54.2,1.0,0.2,5136,30.3,54.0,14.6,1.1
36,02,,,,3,Ajmiriganj Upazila,494,43.7,55.5,0.8,0.0,597,30.5,56.8,12.4,0.3
36,02,,,,,Ajmiriganj Paurashava,,,,,,,,,,
36,02,01,,,,Ward No-01 Total,578,37.0,62.3,0.7,0.0,569,26.2,60.6,12.1,1.1
36,02,01,103,,2,*Durgapur,100,32.0,68.0,0.0,0.0,37,29.7,67.6,2.7,0.0
36,02,01,147,,2,*Fatehpur (Part),169,37.9,60.9,1.2,0.0,194,28.4,56.7,14.4,0.5
36,02,01,169,,2,*Gupal Nagar,68,33.8,64.7,1.5,0.0,83,25.3,61.4,12.0,1.2
36,02,01,173,,2,*Gusai Pur,38,42.1,57.9,0.0,0.0,30,23.3,73.3,0.0,3.3
36,02,01,235,,2,*Krisnanagar,97,44.3,55.7,0.0,0.0,106,30.2,57.5,10.4,1.9
36,02,01,733,,2,*Sukribari (Part),106,34.0,65.1,0.9,0.0,119,19.3,63.9,16.0,0.8
36,02,02,,,,Ward No-02 Total,528,44.5,54.9,0.6,0.0,525,28.6,56.8,13.9,0.8
36,02,02,087,,2,*Debhati,52,34.6,63.5,1.9,0.0,46,19.6,73.9,6.5,0.0
36,02,02,260,,2,*Mesuri Hati,79,57.0,43.0,0.0,0.0,66,34.8,51.5,13.6,0.0
36,02,02,281,,2,*Munshi Hati,35,42.9,57.1,0.0,0.0,31,22.6,54.8,22.6,0.0
36,02,02,377,,2,*Nogar (Paschim),362,43.4,56.1,0.6,0.0,382,29.1,55.8,14.1,1.0
36,02,03,,,,Ward No-03 Total,456,50.0,48.9,1.1,0.0,449,31.0,53.9,14.0,1.1
36,02,03,093,,2,*Dhupa Hati,41,68.3,31.7,0.0,0.0,31,45.2,45.2,9.7,0.0
36,02,03,157,,2,*Gang Par Hati,94,50.0,50.0,0.0,0.0,101,35.6,47.5,14.9,2.0
36,02,03,241,,2,*Kumar Hati,51,37.3,62.7,0.0,0.0,57,28.1,57.9,12.3,1.8
36,02,03,253,,2,*Maidha Para,149,49.0,48.3,2.7,0.0,137,28.5,54.7,16.8,0.0
36,02,03,277,,2,*Mudak Hati,73,54.8,43.8,1.4,0.0,61,24.6,59.0,16.4,0.0
36,02,03,383,,2,*Fokabaj,48,43.8,56.3,0.0,0.0,62,30.6,58.1,8.1,3.2
36,02,04,,,,Ward No-04 Total,378,43.1,54.5,2.1,0.3,465,29.2,47.1,20.9,2.8
36,02,04,041,,2,*Azim Nagar (Jumma Hati),225,47.1,49.8,2.7,0.4,274,32.8,42.7,21.9,2.6
36,02,04,121,,2,*Elamnagar,153,37.3,61.4,1.3,0.0,191,24.1,53.4,19.4,3.1
36,02,05,,,,Ward No-05 Total,499,41.9,56.7,0.8,0.6,564,29.3,51.4,16.7,2.7
36,02,05,047,,2,*Azim Nagar (Lamba Hati),499,41.9,56.7,0.8,0.6,564,29.3,51.4,16.7,2.7
36,02,06,,,,Ward No-06 Total,438,39.5,59.4,0.9,0.2,531,29.9,50.3,18.6,1.1
36,02,06,030,,2,*Ajimnagar (Munshi Hati),258,40.7,58.5,0.4,0.4,340,32.9,47.9,18.2,0.9
36,02,06,301,,2,*Nabinagar,161,39.8,58.4,1.9,0.0,165,27.3,53.9,17.0,1.8
36,02,06,311,,2,*Nayanagar (Part),6,33.3,66.7,0.0,0.0,7,0.0,71.4,28.6,0.0
36,02,06,379,,2,*Eralia,13,15.4,84.6,0.0,0.0,19,10.5,52.6,36.8,0.0
36,02,07,,,,Ward No-07 Total,669,46.5,51.0,2.1,0.4,801,35.0,48.3,16.5,0.2
36,02,07,230,,2,*Kamar Hati,93,50.5,48.4,0.0,1.1,129,38.0,51.9,10.1,0.0
36,02,07,723,,2,*Sarifnagar (Part),576,45.8,51.4,2.4,0.3,672,34.4,47.6,17.7,0.3
36,02,08,,,,Ward No-08 Total,730,52.3,47.5,0.0,0.1,468,29.3,69.0,1.3,0.4
36,02,08,037,,2,*Ajmiriganj Bazar Elaka,447,60.6,39.4,0.0,0.0,184,28.8,69.0,2.2,0.0
36,02,08,153,,2,*Ganjer Hati,136,35.3,64.7,0.0,0.0,130,26.2,72.3,1.5,0.0
36,02,08,203,,2,*Joynagar,147,42.9,56.5,0.0,0.7,154,32.5,66.2,0.0,1.3
36,02,09,,,,Ward No-09 Total,703,43.5,55.0,1.4,0.0,764,31.5,52.9,15.4,0.1
36,02,09,198,,2,*Jagatpur,165,47.3,50.9,1.8,0.0,168,36.9,47.6,15.5,0.0
36,02,09,554,,2,*Pukurpar,247,45.3,53.0,1.6,0.0,250,31.2,52.8,15.6,0.4
36,02,09,722,,2,*Somipur,291,39.9,59.1,1.0,0.0,346,29.2,55.5,15.3,0.0
36,02,13,,,,Ajmiriganj Union Total,2988,42.5,56.6,0.8,0.1,3185,27.4,60.3,11.4,0.8
36,02,13,,,1,Ajmiriganj Union,2494,42.3,56.9,0.8,0.1,2588,26.7,61.1,11.2,1.0
36,02,13,,,3,Ajmiriganj Union,494,43.7,55.5,0.8,0.0,597,30.5,56.8,12.4,0.3
36,02,13,015,,1,*Aoi,349,40.4,59.6,0.0,0.0,343,27.1,62.4,8.5,2.0
36,02,13,015,01,1,Aoi,262,40.1,59.9,0.0,0.0,261,28.7,62.8,8.4,0.0
36,02,13,015,02,1,Gucha Gram,87,41.4,58.6,0.0,0.0,82,22.0,61.0,8.5,8.5
36,02,13,030,,3,*Ajmiriganj (Part),235,38.3,60.4,1.3,0.0,265,31.7,54.0,13.6,0.8
36,02,13,150,,1,*Bashatia,614,45.8,53.9,0.3,0.0,662,29.2,59.1,11.2,0.6
36,02,13,150,01,1,Bashatia,503,47.5,52.1,0.4,0.0,531,31.1,57.8,10.4,0.8
36,02,13,150,02,1,Hasham Pur,111,37.8,62.2,0.0,0.0,131,21.4,64.1,14.5,0.0
36,02,13,195,,1,*Birat,330,45.2,53.6,1.2,0.0,348,30.2,55.7,14.1,0.0
36,02,13,195,01,1,Birat,158,47.5,50.0,2.5,0.0,154,27.9,53.2,18.8,0.0
36,02,13,195,02,1,Noruttam Pur,76,46.1,53.9,0.0,0.0,88,35.2,58.0,6.8,0.0
36,02,13,195,03,1,Durlong Pur,96,40.6,59.4,0.0,0.0,106,29.2,57.5,13.2,0.0
36,02,13,286,,1,*Fatehpur (Part),275,40.0,58.2,1.5,0.4,261,29.1,59.8,10.0,1.1
36,02,13,286,01,1,Fatehpur (Part),65,40.0,60.0,0.0,0.0,70,25.7,60.0,14.3,0.0
36,02,13,286,02,1,Madusadan Pur,137,38.0,59.1,2.2,0.7,114,26.3,64.9,6.1,2.6
36,02,13,286,03,1,Islam P[Ur,73,43.8,54.8,1.4,0.0,77,36.4,51.9,11.7,0.0
36,02,13,557,,1,*Mirzapur,331,41.7,56.8,1.5,0.0,349,24.4,64.2,10.9,0.6
36,02,13,572,,1,*Nowabda,307,42.3,56.7,0.7,0.3,313,21.1,63.9,12.1,2.9
36,02,13,798,,1,*Rania,199,34.2,64.3,1.5,0.0,223,22.4,66.8,10.8,0.0
36,02,13,859,,3,*Shanbari (Part),259,48.6,51.0,0.4,0.0,332,29.5,59.0,11.4,0.0
36,02,13,971,,1,*Udhabpur,89,41.6,58.4,0.0,0.0,89,25.8,60.7,13.5,0.0
36,02,27,,,,Badalpur Union Total,8094,40.2,59.0,0.8,0.0,8057,28.4,60.7,10.6,0.3
36,02,27,075,,1,*Badalpur,1009,39.1,59.5,1.2,0.2,998,25.9,64.8,9.3,0.0
36,02,27,075,01,1,Badalpur,354,37.9,59.6,2.0,0.6,356,24.4,68.3,7.3,0.0
36,02,27,075,02,1,Haripur,230,38.7,61.3,0.0,0.0,237,27.0,62.9,10.1,0.0
36,02,27,075,03,1,Nadipur,249,43.0,57.0,0.0,0.0,234,25.6,63.7,10.7,0.0
36,02,27,075,04,1,Dighalbak,176,36.9,60.2,2.8,0.0,171,27.5,62.0,10.5,0.0
36,02,27,090,,1,*Baldi Bade,193,42.5,57.5,0.0,0.0,213,30.0,52.6,17.4,0.0
36,02,27,180,,1,*Bhabanipur,68,36.8,61.8,1.5,0.0,71,29.6,56.3,12.7,1.4
36,02,27,211,,1,*Bochikhali,297,47.5,51.9,0.7,0.0,291,31.6,60.8,7.6,0.0
36,02,27,226,,1,*Chhatar Kandi,392,39.3,59.9,0.8,0.0,396,24.5,63.9,9.6,2.0
36,02,27,301,,1,*Gandhrabpur,157,33.8,66.2,0.0,0.0,165,25.5,73.9,0.6,0.0
36,02,27,346,,1,*Hamaikhali Bade,188,45.7,53.2,1.1,0.0,175,31.4,58.3,10.3,0.0
36,02,27,361,,1,*Hashampur Bade,58,48.3,50.0,1.7,0.0,49,20.4,69.4,10.2,0.0
