0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
36,,,,,,Habiganj Zila Total,681186,999360,345060,472295,336126,527065,40.5,42.2,38.9
36,,,,,1,Habiganj Zila,567208,909617,285659,430643,281549,478974,38.4,39.9,37.0
36,,,,,2,Habiganj Zila,87804,57107,46118,26373,41686,30734,60.6,63.6,57.6
36,,,,,3,Habiganj Zila,26174,32636,13283,15279,12891,17357,44.5,46.5,42.6
36,02,,,,,Ajmiriganj Upazila Total,33222,56423,17396,26681,15826,29742,37.1,39.5,34.7
36,02,,,,1,Ajmiriganj Upazila,27871,49401,14453,23565,13418,25836,36.1,38.0,34.2
36,02,,,,2,Ajmiriganj Upazila,4913,6231,2735,2757,2178,3474,44.1,49.8,38.5
36,02,,,,3,Ajmiriganj Upazila,438,791,208,359,230,432,35.6,36.7,34.7
36,02,,,,,Ajmiriganj Paurashava,,,,,,,,,
36,02,01,,,,Ward No-01 Total,475,776,263,364,212,412,38.0,41.9,34.0
36,02,01,103,,2,*Durgapur,130,10,95,7,35,3,92.9,93.1,92.1
36,02,01,147,,2,*Fatehpur (Part),117,269,51,126,66,143,30.3,28.8,31.6
36,02,01,169,,2,*Gupal Nagar,75,102,35,41,40,61,42.4,46.1,39.6
36,02,01,173,,2,*Gusai Pur,50,23,29,13,21,10,68.5,69.0,67.7
36,02,01,235,,2,*Krisnanagar,45,178,25,80,20,98,20.2,23.8,16.9
36,02,01,733,,2,*Sukribari (Part),58,194,28,97,30,97,23.0,22.4,23.6
36,02,02,,,,Ward No-02 Total,486,685,261,325,225,360,41.5,44.5,38.5
36,02,02,087,,2,*Debhati,86,19,48,8,38,11,81.9,85.7,77.6
36,02,02,260,,2,*Mesuri Hati,48,107,23,61,25,46,31.0,27.4,35.2
36,02,02,281,,2,*Munshi Hati,28,43,17,20,11,23,39.4,45.9,32.4
36,02,02,377,,2,*Nogar (Paschim),324,516,173,236,151,280,38.6,42.3,35.0
36,02,03,,,,Ward No-03 Total,389,598,209,286,180,312,39.4,42.2,36.6
36,02,03,093,,2,*Dhupa Hati,42,32,26,17,16,15,56.8,60.5,51.6
36,02,03,157,,2,*Gang Par Hati,95,124,51,51,44,73,43.4,50.0,37.6
