0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
36,,,,,,Habiganj Zila Total,27208,27559,66129,67602,5876,,3838 68726 93043,,999,,468 72069 93091,
36,,,,,1,Habiganj Zila,22042,22314,59131,60372,4036,,2392 60146 81908,,659,,283 62445 81607,
36,,,,,2,Habiganj Zila,4136,4119,4710,4864,1602,1294,6126,7805,296,169,7125,8185
36,,,,,3,Habiganj Zila,1030,1126,2288,2366,238,152,2454,3330,44,16,2499,3299
36,02,,,,,Ajmiriganj Upazila Total,921,1042,3626,3462,167,133,3997,4897,26,10,3979,5001
36,02,,,,1,Ajmiriganj Upazila,777,872,3179,2976,141,101,3432,4181,25,6,3393,4304
36,02,,,,2,Ajmiriganj Upazila,129,157,397,407,25,30,521,633,1,4,538,629
36,02,,,,3,Ajmiriganj Upazila,15,13,50,79,1,2,44,83,0,0,48,68
36,02,,,,,Ajmiriganj Paurashava,,,,,,,,,,,,
36,02,01,,,,Ward No-01 Total,15,14,46,58,3,3,63,70,0,0,59,72
36,02,01,103,,2,*Durgapur,5,4,3,0,1,1,1,4,0,0,11,6
36,02,01,147,,2,*Fatehpur (Part),3,2,16,22,1,0,28,35,0,0,21,30
36,02,01,169,,2,*Gupal Nagar,2,4,2,9,1,1,12,7,0,0,7,8
36,02,01,173,,2,*Gusai Pur,0,2,2,1,0,1,4,6,0,0,5,4
36,02,01,235,,2,*Krisnanagar,0,1,8,13,0,0,10,9,0,0,11,11
36,02,01,733,,2,*Sukribari (Part),5,1,15,13,0,0,8,9,0,0,4,13
36,02,02,,,,Ward No-02 Total,13,12,33,50,1,1,53,63,1,0,62,53
36,02,02,087,,2,*Debhati,3,0,1,2,0,0,5,4,0,0,3,8
36,02,02,260,,2,*Mesuri Hati,5,1,5,9,0,0,13,9,0,0,10,7
36,02,02,281,,2,*Munshi Hati,0,0,1,3,0,0,1,5,0,0,9,1
36,02,02,377,,2,*Nogar (Paschim),5,11,26,36,1,1,34,45,1,0,40,37
36,02,03,,,,Ward No-03 Total,17,19,40,28,4,4,54,68,0,1,45,38
36,02,03,093,,2,*Dhupa Hati,1,3,5,3,0,0,5,6,0,0,5,2
36,02,03,157,,2,*Gang Par Hati,3,5,11,4,2,2,8,18,0,0,12,7
36,02,03,241,,2,*Kumar Hati,2,1,5,1,0,0,5,8,0,0,4,8
36,02,03,253,,2,*Maidha Para,4,5,12,8,2,1,21,19,0,1,14,14
36,02,03,277,,2,*Mudak Hati,4,2,5,5,0,1,10,8,0,0,5,2
36,02,03,383,,2,*Fokabaj,3,3,2,7,0,0,5,9,0,0,5,5
36,02,04,,,,Ward No-04 Total,7,13,32,27,2,1,37,64,0,0,38,55
36,02,04,041,,2,*Azim Nagar (Jumma Hati),7,12,15,12,2,1,12,34,0,0,18,35
36,02,04,121,,2,*Elamnagar,0,1,17,15,0,0,25,30,0,0,20,20
36,02,05,,,,Ward No-05 Total,17,10,44,58,2,1,43,59,0,0,55,84
36,02,05,047,,2,*Azim Nagar (Lamba Hati),17,10,44,58,2,1,43,59,0,0,55,84
36,02,06,,,,Ward No-06 Total,4,9,40,51,1,2,38,64,0,0,35,70
36,02,06,030,,2,*Ajimnagar (Munshi Hati),3,7,19,28,1,2,20,35,0,0,23,43
36,02,06,301,,2,*Nabinagar,1,2,18,20,0,0,14,26,0,0,12,23
36,02,06,311,,2,*Nayanagar (Part),0,0,2,0,0,0,0,3,0,0,0,1
36,02,06,379,,2,*Eralia,0,0,1,3,0,0,4,0,0,0,0,3
36,02,07,,,,Ward No-07 Total,15,26,56,57,1,3,64,95,0,1,77,108
36,02,07,230,,2,*Kamar Hati,3,4,10,13,0,0,4,22,0,0,12,17
36,02,07,723,,2,*Sarifnagar (Part),12,22,46,44,1,3,60,73,0,1,65,91
36,02,08,,,,Ward No-08 Total,17,25,58,24,4,7,103,53,0,2,107,55
36,02,08,037,,2,*Ajmiriganj Bazar Elaka,9,13,39,7,2,4,81,20,0,1,75,19
36,02,08,153,,2,*Ganjer Hati,5,8,2,2,2,3,9,22,0,1,18,19
36,02,08,203,,2,*Joynagar,3,4,17,15,0,0,13,11,0,0,14,17
36,02,09,,,,Ward No-09 Total,24,29,48,54,7,8,66,97,0,0,60,94
36,02,09,198,,2,*Jagatpur,4,10,12,5,2,2,13,21,0,0,8,23
36,02,09,554,,2,*Pukurpar,5,4,25,32,0,0,26,41,0,0,32,26
36,02,09,722,,2,*Somipur,15,15,11,17,5,6,27,35,0,0,20,45
36,02,13,,,,Ajmiriganj Union Total,72,61,288,300,8,2,297,389,0,1,315,412
36,02,13,,,1,Ajmiriganj Union,57,48,238,221,7,0,253,306,0,1,267,344
36,02,13,,,3,Ajmiriganj Union,15,13,50,79,1,2,44,83,0,0,48,68
36,02,13,015,,1,*Aoi,8,7,37,34,1,0,34,33,0,0,29,51
36,02,13,015,01,1,Aoi,8,7,26,28,1,0,23,28,0,0,24,34
36,02,13,015,02,1,Gucha Gram,0,0,11,6,0,0,11,5,0,0,5,17
36,02,13,030,,3,*Ajmiriganj (Part),2,6,24,36,1,1,21,32,0,0,24,25
36,02,13,150,,1,*Bashatia,5,7,66,68,0,0,53,78,0,0,75,80
36,02,13,150,01,1,Bashatia,4,5,57,58,0,0,46,60,0,0,55,62
36,02,13,150,02,1,Hasham Pur,1,2,9,10,0,0,7,18,0,0,20,18
36,02,13,195,,1,*Birat,11,15,34,29,2,0,32,44,0,1,28,37
36,02,13,195,01,1,Birat,7,6,12,11,1,0,21,16,0,1,13,17
36,02,13,195,02,1,Noruttam Pur,2,4,11,9,0,0,5,12,0,0,6,9
36,02,13,195,03,1,Durlong Pur,2,5,11,9,1,0,6,16,0,0,9,11
36,02,13,286,,1,*Fatehpur (Part),11,6,23,21,1,0,26,36,0,0,34,34
36,02,13,286,01,1,Fatehpur (Part),2,0,4,6,0,0,5,10,0,0,9,14
36,02,13,286,02,1,Madusadan Pur,8,5,8,5,1,0,14,17,0,0,14,13
36,02,13,286,03,1,Islam P[Ur,1,1,11,10,0,0,7,9,0,0,11,7
36,02,13,557,,1,*Mirzapur,5,4,23,32,0,0,41,42,0,0,40,53
36,02,13,572,,1,*Nowabda,4,5,35,17,2,0,41,37,0,0,26,32
36,02,13,798,,1,*Rania,8,3,11,9,0,0,18,27,0,0,20,46
36,02,13,859,,3,*Shanbari (Part),13,7,26,43,0,1,23,51,0,0,24,43
36,02,13,971,,1,*Udhabpur,5,1,9,11,1,0,8,9,0,0,15,11
36,02,27,,,,Badalpur Union Total,207,232,828,727,39,30,870,993,7,1,851,902
36,02,27,075,,1,*Badalpur,32,18,116,98,2,1,99,129,1,0,124,131
36,02,27,075,01,1,Badalpur,8,8,40,34,1,1,27,50,0,0,41,43
36,02,27,075,02,1,Haripur,2,3,21,21,1,0,24,19,0,0,20,35
36,02,27,075,03,1,Nadipur,15,4,36,25,0,0,23,28,1,0,41,33
36,02,27,075,04,1,Dighalbak,7,3,19,18,0,0,25,32,0,0,22,20
36,02,27,090,,1,*Baldi Bade,9,4,19,26,0,1,18,22,0,0,16,19
36,02,27,180,,1,*Bhabanipur,1,1,7,5,0,0,9,9,0,0,5,8
36,02,27,211,,1,*Bochikhali,7,7,34,21,1,3,31,27,0,0,31,28
36,02,27,226,,1,*Chhatar Kandi,7,4,35,37,1,0,37,54,0,0,41,45
36,02,27,301,,1,*Gandhrabpur,4,5,15,10,0,0,17,21,0,0,13,16
36,02,27,346,,1,*Hamaikhali Bade,5,11,22,9,4,2,21,21,0,0,11,12
36,02,27,361,,1,*Hashampur Bade,0,2,11,5,0,0,5,10,0,0,7,5
36,02,27,467,,1,*Jhilua,19,25,57,54,7,2,66,74,0,0,66,82
36,02,27,467,01,1,Jhilua,11,13,32,25,6,1,37,34,0,0,32,42
36,02,27,467,02,1,Katakhali (Part),8,12,25,29,1,1,29,40,0,0,34,40
36,02,27,663,,1,*Paharpur,74,92,257,264,16,11,345,338,4,0,321,306
36,02,27,663,01,1,Paharpur,37,49,117,126,7,4,148,168,3,0,147,131
36,02,27,663,02,1,Mamudpur,10,11,14,22,1,1,25,30,0,0,21,34
36,02,27,663,03,1,Matiakara,3,9,18,27,5,3,25,18,0,0,26,32
36,02,27,663,04,1,Kaya,3,3,8,9,0,0,14,22,0,0,19,12
36,02,27,663,05,1,Charmamudpur,0,0,0,1,0,0,0,4,0,0,0,0
36,02,27,663,06,1,Katakhali (Part),5,14,24,33,2,3,34,48,1,0,31,41
36,02,27,663,07,1,Sunam Pur,0,2,7,11,0,0,7,11,0,0,7,22
36,02,27,663,08,1,Uday Pur,0,0,5,6,0,0,16,5,0,0,5,6
36,02,27,663,09,1,Gupi,10,4,16,21,0,0,19,20,0,0,19,20
36,02,27,663,10,1,Paharpur Bazar,6,0,48,8,1,0,57,12,0,0,46,8
36,02,27,723,,1,*Pirojpur,15,15,93,90,4,0,86,92,0,0,73,90
36,02,27,723,01,1,Pirojpur,8,7,37,42,4,0,40,44,0,0,42,51
36,02,27,723,02,1,Joy Pur,4,7,22,18,0,0,17,19,0,0,11,10
36,02,27,723,03,1,Guchagram,1,1,19,15,0,0,19,20,0,0,15,24
36,02,27,723,04,1,Hilaj Pur,2,0,15,15,0,0,10,9,0,0,5,5
36,02,27,753,,1,*Purba Kalni,21,36,83,66,4,10,87,124,2,0,94,97
36,02,27,753,01,1,Purba Kalni,17,34,68,54,4,9,72,113,2,0,86,85
36,02,27,753,02,1,Shanjoy Pur,4,2,15,12,0,1,15,11,0,0,8,12
36,02,27,874,,1,*Shanka Mahal (Part),13,12,79,42,0,0,49,72,0,1,49,63
36,02,27,874,01,1,Noagaon,5,0,17,13,0,0,9,19,0,0,19,14
36,02,27,874,02,1,Piatur Kandi (Part),8,12,58,27,0,0,38,47,0,1,30,46
36,02,27,874,04,1,Azadpur,0,0,4,2,0,0,2,6,0,0,0,3
36,02,54,,,,Jalsuka Union Total,114,180,543,465,23,25,602,723,3,2,536,743
36,02,54,060,,1,*Atpara,32,61,199,178,7,9,213,302,2,1,220,316
36,02,54,060,01,1,Madabpasha,6,17,53,46,2,2,55,90,0,1,68,98
36,02,54,060,02,1,Atpara,8,14,74,69,2,3,72,82,2,0,66,83
36,02,54,060,03,1,Madhaypara,13,19,32,27,3,3,49,66,0,0,48,69
36,02,54,060,04,1,Dakhin Atpara,3,10,26,25,0,1,24,35,0,0,22,39
36,02,54,060,05,1,Uttar Atpara,2,1,14,11,0,0,13,29,0,0,16,27
36,02,54,407,,1,*Jalsuka,41,68,108,93,7,8,105,119,1,0,97,143
36,02,54,407,01,1,Jalsuka,1,4,3,7,0,0,3,9,0,0,6,7
36,02,54,407,02,1,Murakhai,3,7,7,3,0,0,14,4,0,0,9,6
36,02,54,407,03,1,Durlabhpur,7,7,13,8,0,1,8,12,0,0,11,17
36,02,54,407,04,1,Anantapur,5,12,13,26,2,2,17,26,1,0,11,23
36,02,54,407,05,1,Chanderabad,1,2,4,4,0,0,1,3,0,0,6,9
36,02,54,407,06,1,Kadirpur,3,5,1,5,3,0,5,4,0,0,3,5
36,02,54,407,07,1,Durgapur,4,4,10,10,0,0,4,6,0,0,4,7
36,02,54,407,08,1,Ishiabpur,17,27,57,30,2,5,53,55,0,0,47,69
36,02,54,587,,1,*Nowagar,14,9,162,131,3,6,196,185,0,1,156,175
36,02,54,708,,1,*Patlipara,20,25,48,40,3,1,48,68,0,0,37,84
36,02,54,708,01,1,Patlipara,12,19,39,33,3,1,40,56,0,0,30,64
36,02,54,708,02,1,Lakhihati,8,6,9,7,0,0,8,12,0,0,7,20
36,02,54,874,,1,*Shanka Mahal (Part),7,17,26,23,3,1,40,49,0,0,26,25
36,02,67,,,,Kakailseo Union Total,242,264,867,811,33,30,900,1183,10,1,1048,1319
36,02,67,045,,1,*Alipur,16,6,34,60,0,0,51,51,0,0,36,52
36,02,67,045,01,1,Alipur,5,1,9,13,0,0,10,11,0,0,14,16
36,02,67,045,02,1,Mahtabpur,11,5,25,47,0,0,41,40,0,0,22,36
36,02,67,241,,1,*Demikandi,23,31,36,59,1,0,68,68,1,0,52,61
36,02,67,241,01,1,Demikandi,2,2,7,4,0,0,6,7,0,0,7,7
36,02,67,241,02,1,Sarifpur,21,29,29,55,1,0,62,61,1,0,45,54
36,02,67,271,,1,*Dhobateka (Rehala),2,9,60,56,2,1,53,69,0,0,56,84
36,02,67,422,,1,*Jamigoalgaon (South Rosulpur,24,7,61,59,4,1,73,97,0,0,73,90
