0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
36,,,,,,Habiganj Zila Total,2089001,1.5,0.2,0.3,0.2,0.5,0.2,0.1
36,,,,,1,Habiganj Zila,1844035,1.5,0.2,0.3,0.2,0.5,0.2,0.1
36,,,,,2,Habiganj Zila,171749,1.3,0.2,0.2,0.1,0.5,0.2,0.1
36,,,,,3,Habiganj Zila,73217,1.4,0.2,0.2,0.1,0.6,0.2,0.1
36,02,,,,,Ajmiriganj Upazila Total,114265,1.5,0.2,0.3,0.2,0.5,0.1,0.1
36,02,,,,1,Ajmiriganj Upazila,99365,1.5,0.2,0.4,0.2,0.5,0.1,0.1
36,02,,,,2,Ajmiriganj Upazila,13353,1.8,0.2,0.3,0.3,0.7,0.2,0.1
36,02,,,,3,Ajmiriganj Upazila,1547,1.3,0.3,0.2,0.1,0.5,0.1,0.2
36,02,,,,,Ajmiriganj Paurashava,,,,,,,,
36,02,01,,,,Ward No-01 Total,1610,2.3,0.2,0.7,0.2,0.6,0.2,0.4
36,02,02,,,,Ward No-02 Total,1424,1.9,0.1,0.0,0.6,0.7,0.1,0.4
36,02,03,,,,Ward No-03 Total,1143,2.4,0.5,0.3,0.6,0.7,0.2,0.0
36,02,04,,,,Ward No-04 Total,1133,1.6,0.1,0.0,0.2,0.6,0.7,0.0
36,02,05,,,,Ward No-05 Total,1509,1.7,0.1,0.3,0.2,0.6,0.3,0.3
36,02,06,,,,Ward No-06 Total,1412,0.7,0.1,0.2,0.0,0.3,0.1,0.0
36,02,07,,,,Ward No-07 Total,1900,1.9,0.3,0.3,0.3,1.0,0.1,0.0
36,02,08,,,,Ward No-08 Total,1437,0.8,0.1,0.1,0.1,0.2,0.2,0.1
36,02,09,,,,Ward No-09 Total,1785,2.3,0.3,0.3,0.3,1.1,0.2,0.1
36,02,13,,,,Ajmiriganj Union Total,8865,2.1,0.2,0.6,0.4,0.6,0.1,0.1
36,02,13,,,1,Ajmiriganj Union,7318,2.3,0.2,0.7,0.5,0.6,0.2,0.1
36,02,13,,,3,Ajmiriganj Union,1547,1.3,0.3,0.2,0.1,0.5,0.1,0.2
36,02,27,,,,Badalpur Union Total,22340,1.1,0.1,0.2,0.2,0.4,0.1,0.1
36,02,54,,,,Jalsuka Union Total,16181,1.3,0.2,0.2,0.2,0.5,0.1,0.0
36,02,67,,,,Kakailseo Union Total,29047,1.7,0.2,0.5,0.2,0.6,0.1,0.1
36,02,81,,,,Shibpasha Union Total,24479,1.5,0.2,0.3,0.3,0.4,0.2,0.1
36,05,,,,,Bahubal Upazila Total,197997,1.5,0.2,0.3,0.2,0.5,0.2,0.1
36,05,,,,1,Bahubal Upazila,193952,1.5,0.2,0.3,0.2,0.5,0.2,0.1
36,05,,,,3,Bahubal Upazila,4045,1.0,0.1,0.1,0.1,0.4,0.1,0.1
36,05,11,,,,Bahubal Union Total,29009,1.2,0.3,0.1,0.2,0.3,0.1,0.1
36,05,11,,,1,Bahubal Union,24964,1.2,0.3,0.2,0.2,0.3,0.1,0.1
36,05,11,,,3,Bahubal Union,4045,1.0,0.1,0.1,0.1,0.4,0.1,0.1
36,05,23,,,,Bhadeshwar Union Total,34149,1.3,0.2,0.3,0.1,0.4,0.2,0.0
36,05,35,,,,Lamatashi Union Total,22777,2.1,0.2,0.5,0.3,0.7,0.2,0.1
36,05,47,,,,Mirpur Union Total,25906,1.2,0.2,0.3,0.1,0.4,0.2,0.0
36,05,59,,,,Putijuri Union Total,26776,1.8,0.3,0.3,0.1,0.8,0.2,0.1
36,05,71,,,,Satkapan Union Total,33355,1.4,0.3,0.4,0.2,0.3,0.1,0.1
36,05,83,,,,Snanghat Union Total,26025,1.5,0.2,0.3,0.1,0.7,0.1,0.1
36,11,,,,,Baniachong Upazila Total,332530,1.6,0.2,0.4,0.2,0.6,0.2,0.1
36,11,,,,1,Baniachong Upazila,304024,1.6,0.2,0.4,0.2,0.5,0.2,0.1
36,11,,,,3,Baniachong Upazila,28506,1.9,0.2,0.3,0.2,0.9,0.2,0.2
36,11,11,,,,Uttar Purba Baniachang Union Total,22190,1.3,0.2,0.2,0.1,0.6,0.2,0.1
36,11,11,,,1,Uttar Purba Baniachang Union,8987,0.8,0.2,0.1,0.1,0.3,0.1,0.0
36,11,11,,,3,Uttar Purba Baniachang Union,13203,1.7,0.1,0.3,0.1,0.8,0.2,0.1
36,11,12,,,,Uttar Paschim Baniyachang Unio Total,24546,1.2,0.2,0.2,0.2,0.4,0.2,0.1
