0,1,2,3,4,5,6,7,8,9,10,11,12
36,,,,,,Habiganj Zila Total,2089001,1731168,352407,2354,253,2819
36,,,,,1,Habiganj Zila,1844035,1531305,307657,2292,212,2569
36,,,,,2,Habiganj Zila,171749,132570,38900,60,36,183
36,,,,,3,Habiganj Zila,73217,67293,5850,2,5,67
36,02,,,,,Ajmiriganj Upazila Total,114265,85004,29250,7,1,3
36,02,,,,1,Ajmiriganj Upazila,99365,74340,25017,7,0,1
36,02,,,,2,Ajmiriganj Upazila,13353,9548,3802,0,1,2
36,02,,,,3,Ajmiriganj Upazila,1547,1116,431,0,0,0
36,02,,,,,Ajmiriganj Paurashava,,,,,,
36,02,01,,,,Ward No-01 Total,1610,1210,398,0,0,2
36,02,01,103,,2,*Durgapur,151,125,26,0,0,0
36,02,01,147,,2,*Fatehpur (Part),518,338,180,0,0,0
36,02,01,169,,2,*Gupal Nagar,229,208,20,0,0,1
36,02,01,173,,2,*Gusai Pur,90,68,22,0,0,0
36,02,01,235,,2,*Krisnanagar,295,295,0,0,0,0
36,02,01,733,,2,*Sukribari (Part),327,176,150,0,0,1
36,02,02,,,,Ward No-02 Total,1424,1048,376,0,0,0
36,02,02,087,,2,*Debhati,121,0,121,0,0,0
36,02,02,260,,2,*Mesuri Hati,175,0,175,0,0,0
36,02,02,281,,2,*Munshi Hati,83,27,56,0,0,0
36,02,02,377,,2,*Nogar (Paschim),1045,1021,24,0,0,0
36,02,03,,,,Ward No-03 Total,1143,606,537,0,0,0
36,02,03,093,,2,*Dhupa Hati,79,7,72,0,0,0
36,02,03,157,,2,*Gang Par Hati,261,261,0,0,0,0
36,02,03,241,,2,*Kumar Hati,140,26,114,0,0,0
36,02,03,253,,2,*Maidha Para,369,152,217,0,0,0
36,02,03,277,,2,*Mudak Hati,151,17,134,0,0,0
36,02,03,383,,2,*Fokabaj,143,143,0,0,0,0
36,02,04,,,,Ward No-04 Total,1133,1133,0,0,0,0
36,02,04,041,,2,*Azim Nagar (Jumma Hati),625,625,0,0,0,0
36,02,04,121,,2,*Elamnagar,508,508,0,0,0,0
36,02,05,,,,Ward No-05 Total,1509,1509,0,0,0,0
36,02,05,047,,2,*Azim Nagar (Lamba Hati),1509,1509,0,0,0,0
36,02,06,,,,Ward No-06 Total,1412,1362,50,0,0,0
36,02,06,030,,2,*Ajimnagar (Munshi Hati),842,842,0,0,0,0
36,02,06,301,,2,*Nabinagar,494,494,0,0,0,0
36,02,06,311,,2,*Nayanagar (Part),22,22,0,0,0,0
36,02,06,379,,2,*Eralia,54,4,50,0,0,0
36,02,07,,,,Ward No-07 Total,1900,1897,3,0,0,0
36,02,07,230,,2,*Kamar Hati,287,286,1,0,0,0
36,02,07,723,,2,*Sarifnagar (Part),1613,1611,2,0,0,0
36,02,08,,,,Ward No-08 Total,1437,630,806,0,1,0
36,02,08,037,,2,*Ajmiriganj Bazar Elaka,720,375,344,0,1,0
36,02,08,153,,2,*Ganjer Hati,325,27,298,0,0,0
36,02,08,203,,2,*Joynagar,392,228,164,0,0,0
36,02,09,,,,Ward No-09 Total,1785,153,1632,0,0,0
36,02,09,198,,2,*Jagatpur,386,0,386,0,0,0
36,02,09,554,,2,*Pukurpar,617,32,585,0,0,0
36,02,09,722,,2,*Somipur,782,121,661,0,0,0
36,02,13,,,,Ajmiriganj Union Total,8865,6981,1883,1,0,0
36,02,13,,,1,Ajmiriganj Union,7318,5865,1452,1,0,0
36,02,13,,,3,Ajmiriganj Union,1547,1116,431,0,0,0
36,02,13,015,,1,*Aoi,972,594,378,0,0,0
36,02,13,015,01,1,Aoi,692,314,378,0,0,0
36,02,13,015,02,1,Gucha Gram,280,280,0,0,0,0
36,02,13,030,,3,*Ajmiriganj (Part),704,524,180,0,0,0
36,02,13,150,,1,*Bashatia,1855,1851,3,1,0,0
36,02,13,150,01,1,Bashatia,1454,1451,3,0,0,0
36,02,13,150,02,1,Hasham Pur,401,400,0,1,0,0
36,02,13,195,,1,*Birat,901,617,284,0,0,0
36,02,13,195,01,1,Birat,399,198,201,0,0,0
36,02,13,195,02,1,Noruttam Pur,222,206,16,0,0,0
36,02,13,195,03,1,Durlong Pur,280,213,67,0,0,0
36,02,13,286,,1,*Fatehpur (Part),814,739,75,0,0,0
36,02,13,286,01,1,Fatehpur (Part),214,214,0,0,0,0
36,02,13,286,02,1,Madusadan Pur,365,290,75,0,0,0
36,02,13,286,03,1,Islam P[Ur,235,235,0,0,0,0
36,02,13,557,,1,*Mirzapur,986,897,89,0,0,0
36,02,13,572,,1,*Nowabda,902,829,73,0,0,0
36,02,13,798,,1,*Rania,644,338,306,0,0,0
36,02,13,859,,3,*Shanbari (Part),843,592,251,0,0,0
36,02,13,971,,1,*Udhabpur,244,0,244,0,0,0
36,02,27,,,,Badalpur Union Total,22340,5691,16643,6,0,0
36,02,27,075,,1,*Badalpur,2793,0,2793,0,0,0
36,02,27,075,01,1,Badalpur,990,0,990,0,0,0
36,02,27,075,02,1,Haripur,665,0,665,0,0,0
36,02,27,075,03,1,Nadipur,670,0,670,0,0,0
36,02,27,075,04,1,Dighalbak,468,0,468,0,0,0
36,02,27,090,,1,*Baldi Bade,524,0,524,0,0,0
36,02,27,180,,1,*Bhabanipur,190,0,190,0,0,0
36,02,27,211,,1,*Bochikhali,747,0,747,0,0,0
36,02,27,226,,1,*Chhatar Kandi,1233,1233,0,0,0,0
36,02,27,301,,1,*Gandhrabpur,469,0,469,0,0,0
36,02,27,346,,1,*Hamaikhali Bade,475,7,468,0,0,0
36,02,27,361,,1,*Hashampur Bade,156,156,0,0,0,0
36,02,27,467,,1,*Jhilua,1861,0,1861,0,0,0
36,02,27,467,01,1,Jhilua,912,0,912,0,0,0
36,02,27,467,02,1,Katakhali (Part),949,0,949,0,0,0
36,02,27,663,,1,*Paharpur,7455,81,7368,6,0,0
36,02,27,663,01,1,Paharpur,3408,30,3372,6,0,0
36,02,27,663,02,1,Mamudpur,618,0,618,0,0,0
36,02,27,663,03,1,Matiakara,671,0,671,0,0,0
36,02,27,663,04,1,Kaya,334,0,334,0,0,0
36,02,27,663,05,1,Charmamudpur,19,0,19,0,0,0
36,02,27,663,06,1,Katakhali (Part),953,0,953,0,0,0
36,02,27,663,07,1,Sunam Pur,391,0,391,0,0,0
36,02,27,663,08,1,Uday Pur,200,0,200,0,0,0
36,02,27,663,09,1,Gupi,506,0,506,0,0,0
36,02,27,663,10,1,Paharpur Bazar,355,51,304,0,0,0
36,02,27,723,,1,*Pirojpur,2232,2231,1,0,0,0
36,02,27,723,01,1,Pirojpur,1068,1068,0,0,0,0
36,02,27,723,02,1,Joy Pur,455,455,0,0,0,0
