0,1,2,3,4,5,6,7,8,9,10,11,12
39,,,,,,Jamalpur Zila Total,522667,563367,2292674,2291648,1026,1084
39,,,,,1,Jamalpur Zila,,469131,1904805,1904213,592,
39,,,,,2,Jamalpur Zila,,81668,336010,335590,420,
39,,,,,3,Jamalpur Zila,,12568,51859,51845,14,
39,07,,,,,Bakshiganj Upazila Total,58885,52222,218930,218862,68,919
39,07,,,,1,Bakshiganj Upazila,,45502,190040,189982,58,
39,07,,,,3,Bakshiganj Upazila,,6720,28890,28880,10,
39,07,11,,,,Bagar Char Union Total,8854,9675,39966,39966,0,1115
39,07,11,015,,1,*Alir Para,,1314,5262,5262,0,
39,07,11,015,01,1,Alir Para,,518,1991,1991,0,
39,07,11,015,02,1,Morar Para,,369,1562,1562,0,
39,07,11,015,03,1,Tangari Para,,427,1709,1709,0,
39,07,11,062,,1,*Bagar Char,,1432,5974,5974,0,
39,07,11,062,01,1,Uttar Bagar Char,,479,2069,2069,0,
39,07,11,062,02,1,Dakshin Bagar Char,,241,1049,1049,0,
39,07,11,062,03,1,Nama Para,,472,1890,1890,0,
39,07,11,062,04,1,Zula Para,,240,966,966,0,
39,07,11,466,,1,*Ghasir Para,,2253,9256,9256,0,
39,07,11,466,01,1,Golakati,,240,940,940,0,
39,07,11,466,02,1,Naya Para,,480,1976,1976,0,
39,07,11,466,03,1,Sarkar Para,,252,978,978,0,
39,07,11,466,04,1,Molla Para,,246,1021,1021,0,
39,07,11,466,05,1,Madhyapara,,236,1172,1172,0,
39,07,11,466,06,1,Bangal Para,,220,877,877,0,
39,07,11,466,07,1,Mandal Para,,172,656,656,0,
39,07,11,466,08,1,Suner Para,,212,877,877,0,
39,07,11,466,09,1,Dakpara,,195,759,759,0,
39,07,11,855,,1,*Ramrampur,,4363,18173,18173,0,
39,07,11,855,01,1,Parir Char,,218,906,906,0,
39,07,11,855,02,1,Ramrampur,,273,1099,1099,0,
39,07,11,855,03,1,Uttar Sharmara,,406,1620,1620,0,
39,07,11,855,04,1,Dakshin Sarmara,,436,2059,2059,0,
39,07,11,855,05,1,Khashergaon,,384,1512,1512,0,
39,07,11,855,06,1,Taliapara,,891,3693,3693,0,
39,07,11,855,07,1,Gopalpur,,511,2193,2193,0,
39,07,11,855,08,1,Dharar Char,,379,1520,1520,0,
39,07,11,855,09,1,Tupker Char,,138,561,561,0,
39,07,11,855,10,1,Satbhita,,453,1853,1853,0,
39,07,11,855,11,1,Balur Char,,274,1157,1157,0,
39,07,11,963,,1,*Uthaner Para,,313,1301,1301,0,
39,07,23,,,,Bakshiganj Union Total,7572,11563,49237,49227,10,1607
39,07,23,,,1,Bakshiganj Union,,4843,20347,20347,0,
39,07,23,,,3,Bakshiganj Union,,6720,28890,28880,10,
39,07,23,295,,3,*Char Kauria,,3930,17082,17082,0,
39,07,23,295,01,3,Sarkar Para,,100,478,478,0,
39,07,23,295,02,3,Pakhi Mara,,357,1545,1545,0,
39,07,23,295,03,3,Uttar Simar Para,,681,3026,3026,0,
39,07,23,295,04,3,Chandraban,,102,393,393,0,
39,07,23,295,05,3,Majh Para,,335,1540,1540,0,
39,07,23,295,06,3,Gona Para,,197,822,822,0,
39,07,23,295,07,3,Tali Para,,235,1009,1009,0,
39,07,23,295,08,3,Bhatia Para,,171,703,703,0,
39,07,23,295,09,3,Dari Para,,395,1601,1601,0,
39,07,23,295,10,3,Tikerkandi,,365,1580,1580,0,
39,07,23,295,11,3,Khamar Para,,140,607,607,0,
39,07,23,295,12,3,Paschim Char Kauria Para,,329,1459,1459,0,
39,07,23,295,13,3,Dakshin Simar Para,,188,851,851,0,
39,07,23,295,14,3,Kayesta Para,,29,123,123,0,
39,07,23,295,15,3,Charia Para,,306,1345,1345,0,
39,07,23,590,,1,*Paschim Jhalar Char,,101,468,468,0,
39,07,23,761,,1,*Malir Char,,3215,13453,13453,0,
39,07,23,761,01,1,Chalak Para,,133,532,532,0,
39,07,23,761,02,1,Singar Char,,110,543,543,0,
39,07,23,761,03,1,Jigatala,,150,640,640,0,
39,07,23,761,04,1,Maulvi Para,,258,1079,1079,0,
39,07,23,761,05,1,Beparipara,,136,537,537,0,
39,07,23,761,06,1,Ghosh Para,,90,381,381,0,
39,07,23,761,07,1,Mandal Para,,251,1066,1066,0,
39,07,23,761,08,1,Takir Para,,208,944,944,0,
39,07,23,761,09,1,Malir Char Dumali Para,,264,1081,1081,0,
39,07,23,761,10,1,Jalar Char Purba Para,,186,737,737,0,
39,07,23,761,11,1,Jalar Char Paschim Para,,279,1132,1132,0,
39,07,23,761,12,1,Mesher Char Paschim Para,,293,1156,1156,0,
39,07,23,761,13,1,Mesher Char Purba Para,,297,1256,1256,0,
39,07,23,761,14,1,Malir Char Paschim Para,,101,457,457,0,
39,07,23,761,15,1,Baraitari,,95,414,414,0,
39,07,23,761,16,1,Naya Para,,364,1498,1498,0,
39,07,23,823,,3,*Rajendraganj,,2790,11808,11798,10,
39,07,23,823,01,3,Masher Char Nama Para,,342,1297,1297,0,
39,07,23,823,02,3,Modak Para,,108,506,506,0,
39,07,23,823,03,3,Kaghmari Para,,220,919,919,0,
39,07,23,823,04,3,Bakshiganj Nama Para,,435,1769,1769,0,
39,07,23,823,05,3,Bakshiganj Uttar Para,,230,962,962,0,
39,07,23,823,06,3,Mali Para,,15,79,79,0,
39,07,23,823,07,3,Bakshiganj Bazar,,182,870,870,0,
39,07,23,823,08,3,Saudagar Para,,172,732,722,10,
39,07,23,823,09,3,Miah Para,,349,1443,1443,0,
39,07,23,823,10,3,Bayen Para,,254,1173,1173,0,
39,07,23,823,11,3,Pakhimara,,146,556,556,0,
39,07,23,823,12,3,Jigatala,,168,667,667,0,
39,07,23,823,13,3,Sardar Para,,169,835,835,0,
