0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
39,,,,,,Jamalpur Zila Total,562180,4.9,13.0,20.6,25.7,18.6,9.5,4.1,3.5,4.1
39,,,,,1,Jamalpur Zila,468653,5.0,13.1,20.4,25.6,18.7,9.6,4.2,3.5,4.1
39,,,,,2,Jamalpur Zila,81010,4.7,12.4,21.7,26.6,17.9,8.9,4.0,3.8,4.1
39,,,,,3,Jamalpur Zila,12517,5.1,12.2,20.6,25.6,18.7,9.6,4.2,4.0,4.1
39,07,,,,,Bakshiganj Upazila Total,52144,4.5,12.1,19.3,24.3,19.8,11.2,4.9,3.9,4.2
39,07,,,,1,Bakshiganj Upazila,45464,4.5,12.3,19.3,24.2,19.8,11.3,4.9,3.7,4.2
39,07,,,,3,Bakshiganj Upazila,6680,4.7,10.8,19.3,24.9,19.8,10.6,5.0,4.9,4.3
39,07,11,,,,Bagar Char Union Total,9666,4.1,13.0,19.4,24.8,19.6,11.2,4.8,3.1,4.1
39,07,11,015,,1,*Alir Para,1314,4.9,14.6,18.0,26.6,19.1,10.2,4.3,2.2,4.0
39,07,11,015,01,1,Alir Para,518,7.5,15.3,18.0,27.0,17.0,10.0,3.5,1.7,3.8
39,07,11,015,02,1,Morar Para,369,1.9,13.3,17.9,25.7,20.3,13.6,4.3,3.0,4.2
39,07,11,015,03,1,Tangari Para,427,4.4,15.0,18.3,26.7,20.6,7.5,5.4,2.1,4.0
39,07,11,062,,1,*Bagar Char,1428,3.8,12.7,20.8,22.8,18.6,12.4,6.3,2.7,4.2
39,07,11,062,01,1,Uttar Bagar Char,479,1.7,11.3,20.3,24.8,18.8,12.5,8.1,2.5,4.3
39,07,11,062,02,1,Dakshin Bagar Char,240,1.3,15.0,22.9,17.1,16.3,14.6,8.3,4.6,4.4
39,07,11,062,03,1,Nama Para,472,6.4,12.7,19.5,24.6,19.9,10.6,4.0,2.3,4.0
39,07,11,062,04,1,Zula Para,237,5.5,13.1,22.4,20.7,17.7,13.5,5.1,2.1,4.1
39,07,11,466,,1,*Ghasir Para,2249,4.4,13.7,18.5,23.6,20.8,11.4,4.9,2.6,4.1
39,07,11,466,01,1,Golakati,240,3.8,13.8,21.3,29.2,18.8,8.8,2.9,1.7,3.9
39,07,11,466,02,1,Naya Para,480,5.6,13.1,16.5,21.3,22.1,16.7,3.8,1.0,4.1
39,07,11,466,03,1,Sarkar Para,248,5.6,16.5,18.1,26.2,19.8,5.6,5.2,2.8,3.9
39,07,11,466,04,1,Molla Para,246,3.3,14.2,15.9,26.4,22.8,9.8,6.1,1.6,4.2
39,07,11,466,05,1,Madhyapara,236,1.3,4.7,11.4,25.4,24.6,13.6,11.9,7.2,5.0
39,07,11,466,06,1,Bangal Para,220,2.3,15.5,23.2,22.3,21.4,12.3,1.4,1.8,4.0
39,07,11,466,07,1,Mandal Para,172,4.7,17.4,22.7,22.7,19.8,8.1,2.9,1.7,3.8
39,07,11,466,08,1,Suner Para,212,5.2,13.7,20.3,20.8,18.9,12.7,4.2,4.2,4.1
39,07,11,466,09,1,Dakpara,195,7.7,16.9,21.5,18.5,16.9,9.2,6.7,2.6,3.9
39,07,11,855,,1,*Ramrampur,4362,3.8,12.4,19.8,25.5,19.2,11.0,4.5,3.8,4.2
39,07,11,855,01,1,Parir Char,218,5.5,15.1,17.9,23.9,16.1,10.6,5.0,6.0,4.2
39,07,11,855,02,1,Ramrampur,273,6.2,12.1,23.1,23.1,17.6,9.2,4.8,4.0,4.0
39,07,11,855,03,1,Uttar Sharmara,406,3.2,11.8,24.6,29.1,17.7,7.1,3.4,3.0,4.0
39,07,11,855,04,1,Dakshin Sarmara,436,1.6,7.3,16.3,26.6,21.6,12.2,5.0,9.4,4.7
39,07,11,855,05,1,Khashergaon,384,5.7,13.5,17.4,26.6,22.9,9.6,3.4,0.8,3.9
39,07,11,855,06,1,Taliapara,891,5.1,12.1,18.9,24.8,18.1,13.7,4.5,2.9,4.1
39,07,11,855,07,1,Gopalpur,511,0.8,11.4,21.1,26.8,18.8,11.7,5.9,3.5,4.3
39,07,11,855,08,1,Dharar Char,378,4.8,14.3,16.9,28.0,19.6,11.1,3.2,2.1,4.0
39,07,11,855,09,1,Tupker Char,138,1.4,19.6,18.8,23.2,19.6,10.1,2.2,5.1,4.1
39,07,11,855,10,1,Satbhita,453,4.2,13.7,20.3,22.3,21.6,10.4,4.6,2.9,4.1
39,07,11,855,11,1,Balur Char,274,2.6,11.7,24.1,23.7,16.8,10.2,6.6,4.4,4.2
39,07,11,963,,1,*Uthaner Para,313,4.8,11.8,18.8,24.6,22.4,9.6,4.2,3.8,4.2
39,07,23,,,,Bakshiganj Union Total,11520,4.8,10.9,19.3,24.5,20.1,11.0,4.9,4.4,4.2
39,07,23,,,1,Bakshiganj Union,4840,5.0,11.1,19.3,24.1,20.6,11.5,4.6,3.7,4.2
39,07,23,,,3,Bakshiganj Union,6680,4.7,10.8,19.3,24.9,19.8,10.6,5.0,4.9,4.3
39,07,23,295,,3,*Char Kauria,3912,4.2,10.8,18.7,24.4,20.4,11.5,5.1,5.0,4.3
39,07,23,295,01,3,Sarkar Para,98,11.2,13.3,14.3,22.4,18.4,13.3,5.1,2.0,4.0
39,07,23,295,02,3,Pakhi Mara,355,3.7,9.9,18.3,22.8,23.7,12.7,6.5,2.5,4.3
39,07,23,295,03,3,Uttar Simar Para,680,4.7,10.0,16.8,25.0,20.9,11.5,4.6,6.6,4.4
39,07,23,295,04,3,Chandraban,102,8.8,6.9,26.5,27.5,17.6,6.9,2.9,2.9,3.9
39,07,23,295,05,3,Majh Para,335,3.9,10.7,17.3,20.6,19.4,12.2,7.2,8.7,4.6
39,07,23,295,06,3,Gona Para,197,2.5,14.7,23.9,19.3,20.3,9.6,4.1,5.6,4.2
39,07,23,295,07,3,Tali Para,235,3.8,9.8,15.7,28.5,21.7,11.9,5.5,3.0,4.3
39,07,23,295,08,3,Bhatia Para,171,3.5,10.5,21.1,25.7,22.8,11.7,2.3,2.3,4.1
39,07,23,295,09,3,Dari Para,395,5.3,15.7,20.3,22.3,15.7,12.2,4.3,4.3,4.1
39,07,23,295,10,3,Tikerkandi,363,3.3,9.1,21.5,26.2,17.6,12.1,6.6,3.6,4.3
39,07,23,295,11,3,Khamar Para,140,5.0,11.4,16.4,17.9,26.4,13.6,6.4,2.9,4.3
39,07,23,295,12,3,Paschim Char Kauria Para,329,1.5,8.2,20.4,24.3,26.1,10.3,4.6,4.6,4.4
39,07,23,295,13,3,Dakshin Simar Para,186,3.8,10.8,22.0,27.4,14.5,11.8,2.7,7.0,4.3
39,07,23,295,14,3,Kayesta Para,29,0.0,6.9,20.7,31.0,31.0,6.9,0.0,3.4,4.2
39,07,23,295,15,3,Charia Para,297,4.7,11.4,13.1,30.0,18.5,9.4,5.7,7.1,4.4
39,07,23,590,,1,*Paschim Jhalar Char,101,3.0,7.9,11.9,30.7,19.8,13.9,5.0,7.9,4.6
39,07,23,761,,1,*Malir Char,3215,4.8,11.9,18.6,24.1,20.9,11.7,4.6,3.4,4.2
39,07,23,761,01,1,Chalak Para,133,9.0,12.0,20.3,22.6,15.8,11.3,6.0,3.0,4.0
39,07,23,761,02,1,Singar Char,110,0.0,11.8,10.0,30.9,19.1,15.5,3.6,9.1,4.9
39,07,23,761,03,1,Jigatala,150,5.3,6.7,25.3,17.3,26.0,10.7,3.3,5.3,4.3
39,07,23,761,04,1,Maulvi Para,258,2.7,13.6,23.3,19.4,21.3,12.4,3.5,3.9,4.2
39,07,23,761,05,1,Beparipara,136,1.5,14.0,23.5,31.6,14.0,11.8,2.2,1.5,3.9
39,07,23,761,06,1,Ghosh Para,90,4.4,7.8,22.2,23.3,26.7,8.9,1.1,5.6,4.2
39,07,23,761,07,1,Mandal Para,251,3.2,10.0,17.1,26.7,23.5,13.1,4.4,2.0,4.2
39,07,23,761,08,1,Takir Para,208,2.9,10.1,13.9,22.6,20.7,18.3,8.2,3.4,4.5
39,07,23,761,09,1,Malir Char Dumali Para,264,8.3,12.5,18.2,20.1,24.6,9.5,3.0,3.8,4.1
39,07,23,761,10,1,Jalar Char Purba Para,186,6.5,14.5,22.0,21.5,18.8,9.1,3.2,4.3,4.0
39,07,23,761,11,1,Jalar Char Paschim Para,279,5.7,12.5,19.0,27.2,19.4,7.9,5.4,2.9,4.1
39,07,23,761,12,1,Mesher Char Paschim Para,293,4.8,17.4,13.3,29.4,20.1,9.6,4.4,1.0,3.9
39,07,23,761,13,1,Mesher Char Purba Para,297,6.7,9.4,19.9,22.9,18.2,12.1,6.4,4.4,4.2
39,07,23,761,14,1,Malir Char Paschim Para,101,0.0,8.9,19.8,19.8,26.7,13.9,7.9,3.0,4.5
39,07,23,761,15,1,Baraitari,95,5.3,10.5,15.8,17.9,28.4,12.6,5.3,4.2,4.4
39,07,23,761,16,1,Naya Para,364,4.7,12.1,17.6,26.9,19.5,12.6,4.1,2.5,4.1
39,07,23,823,,3,*Rajendraganj,2768,5.5,10.8,20.1,25.4,19.0,9.4,5.0,4.8,4.2
39,07,23,823,01,3,Masher Char Nama Para,341,7.3,14.7,24.0,23.8,16.7,8.5,3.8,1.2,3.7
39,07,23,823,02,3,Modak Para,108,0.9,7.4,15.7,26.9,29.6,7.4,4.6,7.4,4.7
39,07,23,823,03,3,Kaghmari Para,220,4.5,11.4,18.6,24.5,21.8,11.4,5.5,2.3,4.2
39,07,23,823,04,3,Bakshiganj Nama Para,425,7.3,13.4,20.0,23.3,16.0,11.3,5.2,3.5,4.0
39,07,23,823,05,3,Bakshiganj Uttar Para,228,5.3,9.6,24.1,25.4,16.2,9.2,3.9,6.1,4.2
39,07,23,823,06,3,Mali Para,15,0.0,13.3,0.0,26.7,33.3,13.3,6.7,6.7,5.3
39,07,23,823,07,3,Bakshiganj Bazar,179,3.4,7.3,20.7,25.7,17.3,10.1,4.5,11.2,4.8
39,07,23,823,08,3,Saudagar Para,170,4.7,8.8,20.6,27.6,18.8,11.8,4.7,2.9,4.2
39,07,23,823,09,3,Miah Para,348,6.9,10.3,18.4,26.7,19.8,8.0,5.5,4.3,4.1
39,07,23,823,10,3,Bayen Para,254,2.8,7.1,17.7,28.0,22.8,8.7,4.3,8.7,4.6
39,07,23,823,11,3,Pakhimara,144,9.0,16.0,23.6,17.4,17.4,9.0,4.9,2.8,3.8
39,07,23,823,12,3,Jigatala,168,5.4,10.1,21.4,31.5,17.9,6.0,6.0,1.8,4.0
39,07,23,823,13,3,Sardar Para,168,3.0,7.7,14.9,26.2,20.8,9.5,7.7,10.1,4.9
39,07,23,932,,1,*Surjyanagar,1524,5.7,9.6,21.1,23.6,19.9,11.2,4.8,4.1,4.2
39,07,23,932,01,1,Purbapara,653,4.0,10.4,22.8,21.6,21.1,11.0,5.2,3.8,4.2
39,07,23,932,02,1,Paschimpara,697,6.6,8.9,19.7,23.5,19.2,12.5,4.6,5.0,4.3
39,07,23,932,03,1,Monaksha,174,8.6,9.2,20.7,31.0,18.4,6.3,4.0,1.7,3.9
39,07,35,,,,Battajore Union Total,6886,4.7,12.8,20.2,24.9,19.0,10.2,4.5,3.7,4.1
39,07,35,134,,1,*Battajore,2781,4.7,13.2,21.6,23.6,17.7,10.1,4.9,4.1,4.1
39,07,35,134,01,1,Puran Battajore,614,5.7,12.2,20.4,24.9,17.8,9.3,6.0,3.7,4.1
39,07,35,134,02,1,Jurarpar,173,4.6,16.2,26.6,19.1,12.7,9.2,7.5,4.0,4.0
39,07,35,134,03,1,Ujan Para,291,3.8,13.4,25.4,23.7,18.2,8.6,3.4,3.4,4.0
39,07,35,134,04,1,Purbapara,464,6.0,12.7,20.3,24.4,15.9,12.5,3.7,4.5,4.1
39,07,35,134,05,1,Paschimpara,350,3.7,15.4,21.7,24.0,20.6,7.4,3.4,3.7,4.0
39,07,35,134,06,1,Kumarikanda,119,0.8,12.6,21.8,25.2,16.8,16.0,5.9,0.8,4.2
39,07,35,134,07,1,Chak Para,120,1.7,14.2,21.7,23.3,10.8,9.2,8.3,10.8,4.5
39,07,35,134,08,1,Charia Para,84,7.1,14.3,21.4,17.9,13.1,14.3,1.2,10.7,4.2
39,07,35,134,09,1,Khamaria Para,205,1.5,10.2,22.0,23.9,22.4,12.2,4.4,3.4,4.3
39,07,35,134,10,1,Birgaon Kanda Para,90,2.2,11.1,28.9,31.1,15.6,4.4,3.3,3.3,3.9
39,07,35,134,11,1,Birgaon Uttar Para,195,9.7,14.4,16.4,20.5,22.1,8.7,5.1,3.1,3.9
39,07,35,134,12,1,Dater Char Dakshin Para(Part2),76,5.3,13.2,17.1,17.1,19.7,15.8,9.2,2.6,4.4
39,07,35,413,,1,*Goalgaon,2480,4.5,11.8,19.0,26.0,20.4,10.3,4.6,3.4,4.1
39,07,35,413,01,1,Dakshin Birgoan,188,3.2,9.0,14.9,30.3,22.3,12.8,3.7,3.7,4.3
39,07,35,413,02,1,Chandrabaj,557,2.9,8.4,16.2,25.9,21.4,14.7,5.9,4.7,4.5
39,07,35,413,03,1,Panatia Para,397,4.8,12.6,20.4,24.9,21.2,9.6,4.5,2.0,4.0
39,07,35,413,04,1,Purbapara,494,6.1,12.1,22.3,26.5,18.8,7.3,3.8,3.0,3.9
39,07,35,413,05,1,Madhyapara,213,5.2,13.6,22.1,23.5,18.8,9.4,3.3,4.2,4.0
39,07,35,413,06,1,Paschimpara,294,2.7,13.6,18.4,28.9,18.7,9.2,5.1,3.4,4.2
39,07,35,413,07,1,Chanderban,252,7.1,15.5,18.7,23.4,20.6,8.7,3.2,2.8,3.9
39,07,35,413,08,1,Fazilapara,85,3.5,12.9,17.6,22.4,25.9,7.1,7.1,3.5,4.2
39,07,35,781,,1,*Palashtala,1625,5.2,13.5,19.8,25.5,18.9,10.0,3.9,3.3,4.0
39,07,35,781,01,1,Datter Char Paschimpara,330,4.2,12.7,20.9,25.2,19.7,12.4,1.8,3.0,4.0
39,07,35,781,02,1,Datter Char Purbapara,240,7.5,15.0,17.9,20.4,20.4,8.3,5.4,5.0,4.1
39,07,35,781,03,1,Datter Char Dakshinpara(Pa.1),225,4.0,16.0,16.0,24.9,15.6,11.6,7.6,4.4,4.3
39,07,35,781,04,1,Palashtala,730,5.3,12.3,21.2,27.5,20.0,8.4,2.9,2.3,3.9
39,07,35,781,05,1,Tila Para,100,4.0,15.0,18.0,25.0,12.0,15.0,6.0,5.0,4.2
39,07,47,,,,Dhanua Union Total,4921,6.9,14.4,20.8,25.3,18.4,8.2,3.5,2.4,3.9
39,07,47,335,,1,*Dhanua Kamalpur,1295,6.5,12.5,21.1,24.4,18.2,10.0,3.6,3.7,4.0
39,07,47,335,01,1,Ramrampur,90,6.7,18.9,20.0,15.6,16.7,13.3,3.3,5.6,4.0
39,07,47,335,02,1,Dhanua,553,7.8,13.9,18.8,23.3,17.2,11.8,3.1,4.2,4.0
39,07,47,335,03,1,Uttar Kamalpur,329,5.8,10.6,23.4,25.8,20.1,8.5,3.3,2.4,4.0
39,07,47,335,04,1,Dakshin Kamalpur,173,7.5,11.0,20.2,24.3,20.2,6.9,5.8,4.0,4.1
