0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
39,,,,,,Jamalpur Zila Total,734624,1176485,384301,549913,350323,626572,38.4,41.1,35.9
39,,,,,1,Jamalpur Zila,561599,1018044,293502,477123,268097,540921,35.6,38.1,33.1
39,,,,,2,Jamalpur Zila,153177,134601,80433,61738,72744,72863,53.2,56.6,50.0
39,,,,,3,Jamalpur Zila,19848,23840,10366,11052,9482,12788,45.4,48.4,42.6
39,07,,,,,Bakshiganj Upazila Total,58965,119081,30862,55955,28103,63126,33.1,35.5,30.8
39,07,,,,1,Bakshiganj Upazila,47714,106176,24940,49908,22774,56268,31.0,33.3,28.8
39,07,,,,3,Bakshiganj Upazila,11251,12905,5922,6047,5329,6858,46.6,49.5,43.7
39,07,11,,,,Bagar Char Union Total,9452,22870,4766,10729,4686,12141,29.2,30.8,27.8
39,07,11,015,,1,*Alir Para,1318,3008,706,1360,612,1648,30.5,34.2,27.1
39,07,11,015,01,1,Alir Para,402,1213,221,563,181,650,24.9,28.2,21.8
39,07,11,015,02,1,Morar Para,368,910,199,408,169,502,28.8,32.8,25.2
39,07,11,015,03,1,Tangari Para,548,885,286,389,262,496,38.2,42.4,34.6
39,07,11,062,,1,*Bagar Char,1104,3679,531,1756,573,1923,23.1,23.2,23.0
39,07,11,062,01,1,Uttar Bagar Char,266,1405,132,664,134,741,15.9,16.6,15.3
39,07,11,062,02,1,Dakshin Bagar Char,315,532,151,236,164,296,37.2,39.0,35.7
39,07,11,062,03,1,Nama Para,384,1115,181,547,203,568,25.6,24.9,26.3
39,07,11,062,04,1,Zula Para,139,627,67,309,72,318,18.1,17.8,18.5
39,07,11,466,,1,*Ghasir Para,2199,5247,1099,2439,1100,2808,29.5,31.1,28.1
39,07,11,466,01,1,Golakati,240,522,118,246,122,276,31.5,32.4,30.7
39,07,11,466,02,1,Naya Para,481,1136,259,533,222,603,29.7,32.7,26.9
39,07,11,466,03,1,Sarkar Para,289,484,135,222,154,262,37.4,37.8,37.0
39,07,11,466,04,1,Molla Para,335,495,159,226,176,269,40.4,41.3,39.6
39,07,11,466,05,1,Madhyapara,258,703,146,306,112,397,26.8,32.3,22.0
39,07,11,466,06,1,Bangal Para,73,603,32,308,41,295,10.8,9.4,12.2
39,07,11,466,07,1,Mandal Para,222,314,103,127,119,187,41.4,44.8,38.9
39,07,11,466,08,1,Suner Para,169,510,77,243,92,267,24.9,24.1,25.6
39,07,11,466,09,1,Dakpara,132,480,70,228,62,252,21.6,23.5,19.7
39,07,11,855,,1,*Ramrampur,4429,10265,2220,4868,2209,5397,30.1,31.3,29.0
39,07,11,855,01,1,Parir Char,167,552,84,246,83,306,23.2,25.5,21.3
39,07,11,855,02,1,Ramrampur,223,676,111,298,112,378,24.8,27.1,22.9
39,07,11,855,03,1,Uttar Sharmara,330,986,149,497,181,489,25.1,23.1,27.0
39,07,11,855,04,1,Dakshin Sarmara,671,970,348,460,323,510,40.9,43.1,38.8
39,07,11,855,05,1,Khashergaon,416,814,195,395,221,419,33.8,33.1,34.5
39,07,11,855,06,1,Taliapara,821,2140,396,1046,425,1094,27.7,27.5,28.0
39,07,11,855,07,1,Gopalpur,684,1094,340,485,344,609,38.5,41.2,36.1
39,07,11,855,08,1,Dharar Char,390,890,197,426,193,464,30.5,31.6,29.4
39,07,11,855,09,1,Tupker Char,132,331,78,149,54,182,28.5,34.4,22.9
39,07,11,855,10,1,Satbhita,440,1043,228,504,212,539,29.7,31.1,28.2
39,07,11,855,11,1,Balur Char,155,769,94,362,61,407,16.8,20.6,13.0
