0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
39,,,,,,Jamalpur Zila Total,7267,6955,87424,84945,124019,117063,44284,39859,80121,74766,20508,13824
39,,,,,1,Jamalpur Zila,5855,5607,74995,72815,104859,99309,38212,34422,66677,61830,17092,11340
39,,,,,2,Jamalpur Zila,1238,1171,10532,10327,16369,15019,5226,4651,11527,11142,2946,2188
39,,,,,3,Jamalpur Zila,174,177,1897,1803,2791,2735,846,786,1917,1794,470,296
39,07,,,,,Bakshiganj Upazila Total,601,613,9393,9016,11874,11563,5295,4640,7199,6959,2384,1631
39,07,,,,1,Bakshiganj Upazila,515,517,8315,7987,10287,10019,4826,4206,6157,5939,2076,1467
39,07,,,,3,Bakshiganj Upazila,86,96,1078,1029,1587,1544,469,434,1042,1020,308,164
39,07,11,,,,Bagar Char Union Total,64,76,1824,1782,1956,2082,1138,1000,1176,1265,484,338
39,07,11,015,,1,*Alir Para,11,6,218,223,294,326,126,114,154,158,39,30
39,07,11,015,01,1,Alir Para,4,3,80,99,107,116,44,48,50,69,22,14
39,07,11,015,02,1,Morar Para,4,3,60,61,84,104,44,31,49,41,7,7
39,07,11,015,03,1,Tangari Para,3,0,78,63,103,106,38,35,55,48,10,9
39,07,11,062,,1,*Bagar Char,6,13,266,270,230,252,243,222,149,168,126,106
39,07,11,062,01,1,Uttar Bagar Char,2,3,79,95,19,45,120,131,28,41,63,61
39,07,11,062,02,1,Dakshin Bagar Char,0,2,52,40,34,43,52,33,37,36,13,10
39,07,11,062,03,1,Nama Para,2,5,95,82,119,105,44,41,56,63,36,20
39,07,11,062,04,1,Zula Para,2,3,40,53,58,59,27,17,28,28,14,15
39,07,11,466,,1,*Ghasir Para,12,16,440,444,464,508,250,235,256,296,111,76
39,07,11,466,01,1,Golakati,0,1,37,44,41,55,27,28,27,38,6,1
39,07,11,466,02,1,Naya Para,3,2,85,92,130,127,48,41,54,65,29,13
39,07,11,466,03,1,Sarkar Para,0,0,50,57,36,41,33,32,32,31,17,11
39,07,11,466,04,1,Molla Para,0,0,55,50,58,65,15,10,26,42,4,6
39,07,11,466,05,1,Madhyapara,0,0,59,52,34,45,24,44,61,30,8,18
39,07,11,466,06,1,Bangal Para,1,5,41,55,55,51,35,23,9,20,10,3
39,07,11,466,07,1,Mandal Para,0,0,34,34,28,37,17,8,11,17,5,5
39,07,11,466,08,1,Suner Para,1,1,51,35,48,44,27,30,19,36,11,13
39,07,11,466,09,1,Dakpara,7,7,28,25,34,43,24,19,17,17,21,6
39,07,11,855,,1,*Ramrampur,35,40,842,787,920,952,466,397,580,586,201,120
39,07,11,855,01,1,Parir Char,0,0,51,57,52,66,9,8,32,27,3,8
39,07,11,855,02,1,Ramrampur,0,4,35,40,53,64,20,35,31,34,12,12
39,07,11,855,03,1,Uttar Sharmara,2,4,79,77,59,73,40,42,45,41,17,16
39,07,11,855,04,1,Dakshin Sarmara,1,0,94,103,128,107,56,43,66,67,29,10
39,07,11,855,05,1,Khashergaon,0,3,75,61,71,80,36,21,66,77,8,5
39,07,11,855,06,1,Taliapara,21,20,167,164,159,164,114,107,99,113,71,32
39,07,11,855,07,1,Gopalpur,3,1,103,104,97,96,61,54,65,76,22,10
39,07,11,855,08,1,Dharar Char,3,1,73,57,74,82,36,21,52,44,11,11
39,07,11,855,09,1,Tupker Char,2,1,23,18,44,44,3,2,19,9,6,0
39,07,11,855,10,1,Satbhita,3,6,79,53,106,117,41,30,63,68,9,6
39,07,11,855,11,1,Balur Char,0,0,63,53,77,59,50,34,42,30,13,10
39,07,11,963,,1,*Uthaner Para,0,1,58,58,48,44,53,32,37,57,7,6
39,07,23,,,,Bakshiganj Union Total,178,164,1909,1810,2725,2622,949,784,1658,1598,525,305
39,07,23,,,1,Bakshiganj Union,92,68,831,781,1138,1078,480,350,616,578,217,141
39,07,23,,,3,Bakshiganj Union,86,96,1078,1029,1587,1544,469,434,1042,1020,308,164
39,07,23,295,,3,*Char Kauria,41,55,655,628,888,893,296,278,647,605,192,96
39,07,23,295,01,3,Sarkar Para,4,2,11,15,19,14,4,3,16,9,4,1
39,07,23,295,02,3,Pakhi Mara,7,7,60,66,101,88,16,31,55,57,12,6
39,07,23,295,03,3,Uttar Simar Para,5,10,115,100,158,160,33,33,122,127,41,20
39,07,23,295,04,3,Chandraban,1,2,18,11,13,18,6,3,20,19,8,2
39,07,23,295,05,3,Majh Para,0,3,54,50,84,81,36,23,61,47,8,9
39,07,23,295,06,3,Gona Para,0,3,43,30,32,56,16,13,19,17,10,7
39,07,23,295,07,3,Tali Para,1,3,41,50,50,55,15,10,38,36,9,3
39,07,23,295,08,3,Bhatia Para,2,3,24,31,34,32,15,22,21,30,6,9
39,07,23,295,09,3,Dari Para,3,3,57,58,54,74,46,34,45,54,39,17
39,07,23,295,10,3,Tikerkandi,11,14,56,50,115,113,15,9,63,53,8,4
39,07,23,295,11,3,Khamar Para,0,0,23,31,41,30,9,13,23,23,3,0
39,07,23,295,12,3,Paschim Char Kauria Para,1,0,69,62,60,67,40,37,41,41,19,7
