0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
39,,,,,,Jamalpur Zila Total,940081,432739,507342,369692,24197,3286,1255,7811,419938,51950,61952
39,,,,,1,Jamalpur Zila,819972,379155,440817,325735,19348,2877,1069,6961,368739,43582,51661
39,,,,,2,Jamalpur Zila,101909,45343,56566,37055,4212,362,164,770,43375,7156,8815
39,,,,,3,Jamalpur Zila,18200,8241,9959,6902,637,47,22,80,7824,1212,1476
39,07,,,,,Bakshiganj Upazila Total,96076,44610,51466,37392,2102,308,128,682,42232,6228,7004
39,07,,,,1,Bakshiganj Upazila,86511,40231,46280,33713,1655,292,114,665,38143,5561,6368
39,07,,,,3,Bakshiganj Upazila,9565,4379,5186,3679,447,16,14,17,4089,667,636
39,07,11,,,,Bagar Char Union Total,18043,8366,9677,6978,231,82,34,181,8068,1125,1344
39,07,11,015,,1,*Alir Para,2366,1062,1304,897,34,22,5,9,1091,134,174
39,07,11,015,01,1,Alir Para,974,455,519,384,13,20,3,8,448,43,55
39,07,11,015,02,1,Morar Para,772,349,423,309,16,0,2,0,336,40,69
39,07,11,015,03,1,Tangari Para,620,258,362,204,5,2,0,1,307,51,50
39,07,11,062,,1,*Bagar Char,3035,1437,1598,1141,40,24,3,14,1234,258,321
39,07,11,062,01,1,Uttar Bagar Char,1348,652,696,468,11,13,0,7,486,164,199
39,07,11,062,02,1,Dakshin Bagar Char,410,181,229,148,12,0,1,2,177,31,39
39,07,11,062,03,1,Nama Para,837,386,451,357,6,0,0,2,400,27,45
39,07,11,062,04,1,Zula Para,440,218,222,168,11,11,2,3,171,36,38
39,07,11,466,,1,*Ghasir Para,3843,1786,2057,1610,45,9,7,11,1813,156,192
39,07,11,466,01,1,Golakati,340,164,176,160,0,0,0,1,168,3,8
39,07,11,466,02,1,Naya Para,815,369,446,328,9,0,3,3,379,38,55
39,07,11,466,03,1,Sarkar Para,417,192,225,172,12,1,0,1,187,18,26
39,07,11,466,04,1,Molla Para,318,145,173,129,0,0,1,0,149,16,23
39,07,11,466,05,1,Madhyapara,514,228,286,206,0,1,0,0,253,21,33
39,07,11,466,06,1,Bangal Para,513,262,251,245,12,5,3,4,228,8,8
39,07,11,466,07,1,Mandal Para,203,82,121,74,0,0,0,0,110,8,11
39,07,11,466,08,1,Suner Para,381,178,203,156,2,1,0,1,185,20,16
39,07,11,466,09,1,Dakpara,342,166,176,140,10,1,0,1,154,24,12
39,07,11,855,,1,*Ramrampur,8185,3804,4381,3114,105,25,19,146,3645,519,612
39,07,11,855,01,1,Parir Char,370,163,207,143,1,1,0,3,188,16,18
39,07,11,855,02,1,Ramrampur,522,220,302,191,2,1,0,0,249,28,51
39,07,11,855,03,1,Uttar Sharmara,789,393,396,337,13,0,0,5,326,51,57
39,07,11,855,04,1,Dakshin Sarmara,731,325,406,292,27,0,1,3,334,30,44
39,07,11,855,05,1,Khashergaon,593,277,316,247,1,1,1,1,297,28,17
39,07,11,855,06,1,Taliapara,1880,920,960,757,29,17,12,8,765,138,154
39,07,11,855,07,1,Gopalpur,911,393,518,333,14,0,2,5,425,55,77
39,07,11,855,08,1,Dharar Char,623,296,327,247,6,0,2,2,272,47,47
39,07,11,855,09,1,Tupker Char,244,112,132,80,0,0,0,0,99,32,33
39,07,11,855,10,1,Satbhita,924,441,483,279,5,4,0,113,417,45,61
39,07,11,855,11,1,Balur Char,598,264,334,208,7,1,1,6,273,49,53
39,07,11,963,,1,*Uthaner Para,614,277,337,216,7,2,0,1,285,58,45
39,07,23,,,,Bakshiganj Union Total,18380,8515,9865,7247,722,39,23,40,7897,1189,1223
39,07,23,,,1,Bakshiganj Union,8815,4136,4679,3568,275,23,9,23,3808,522,587
39,07,23,,,3,Bakshiganj Union,9565,4379,5186,3679,447,16,14,17,4089,667,636
39,07,23,295,,3,*Char Kauria,6131,2837,3294,2388,236,11,8,10,2677,428,373
39,07,23,295,01,3,Sarkar Para,126,49,77,44,2,0,1,0,62,5,12
39,07,23,295,02,3,Pakhi Mara,633,306,327,251,19,0,0,1,250,54,58
39,07,23,295,03,3,Uttar Simar Para,925,427,498,348,52,0,2,3,393,76,51
39,07,23,295,04,3,Chandraban,117,53,64,52,0,0,0,0,56,1,8
39,07,23,295,05,3,Majh Para,532,230,302,186,30,0,0,1,244,43,28
39,07,23,295,06,3,Gona Para,347,152,195,131,15,0,0,0,148,21,32
39,07,23,295,07,3,Tali Para,314,142,172,114,2,0,1,0,148,28,21
39,07,23,295,08,3,Bhatia Para,332,162,170,139,0,0,0,0,146,23,24
39,07,23,295,09,3,Dari Para,841,400,441,380,44,0,0,0,374,20,23
39,07,23,295,10,3,Tikerkandi,608,291,317,246,3,3,1,1,281,41,32
39,07,23,295,11,3,Khamar Para,196,85,111,79,4,2,1,1,87,3,19
39,07,23,295,12,3,Paschim Char Kauria Para,580,267,313,241,20,1,0,1,266,24,27
