0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
39,,,,,,Jamalpur Zila Total,385,1569,803,766,784,213,21,551
39,,,,,1,Jamalpur Zila,375,1533,784,749,780,195,21,537
39,,,,,2,Jamalpur Zila,8,29,15,14,2,18,0,9
39,,,,,3,Jamalpur Zila,2,7,4,3,2,0,0,5
39,07,,,,,Bakshiganj Upazila Total,149,619,303,316,575,0,0,44
39,07,,,,1,Bakshiganj Upazila,147,612,299,313,573,0,0,39
39,07,,,,3,Bakshiganj Upazila,2,7,4,3,2,0,0,5
39,07,11,,,,Bagar Char Union Total,6,30,14,16,0,0,0,30
39,07,23,,,,Bakshiganj Union Total,2,7,4,3,2,0,0,5
39,07,23,,,1,Bakshiganj Union,0,0,0,0,0,0,0,0
39,07,23,,,3,Bakshiganj Union,2,7,4,3,2,0,0,5
39,07,35,,,,Battajore Union Total,0,0,0,0,0,0,0,0
39,07,47,,,,Dhanua Union Total,140,573,281,292,573,0,0,0
39,07,59,,,,Merur Char Union Total,0,0,0,0,0,0,0,0
39,07,71,,,,Nilakshmia Union Total,1,9,4,5,0,0,0,9
39,07,83,,,,Sadhur Para Union Total,0,0,0,0,0,0,0,0
39,15,,,,,Dewanganj Upazila Total,11,54,25,29,0,0,0,54
39,15,,,,1,Dewanganj Upazila,11,54,25,29,0,0,0,54
39,15,,,,2,Dewanganj Upazila,0,0,0,0,0,0,0,0
39,15,,,,3,Dewanganj Upazila,0,0,0,0,0,0,0,0
39,15,,,,2,Dewanganj Paurashava,0,0,0,0,0,0,0,0
39,15,01,,,,Ward No-01 Total,0,0,0,0,0,0,0,0
39,15,02,,,,Ward No-02 Total,0,0,0,0,0,0,0,0
39,15,03,,,,Ward No-03 Total,0,0,0,0,0,0,0,0
39,15,04,,,,Ward No-04 Total,0,0,0,0,0,0,0,0
39,15,05,,,,Ward No-05 Total,0,0,0,0,0,0,0,0
39,15,06,,,,Ward No-06 Total,0,0,0,0,0,0,0,0
39,15,07,,,,Ward No-07 Total,0,0,0,0,0,0,0,0
39,15,08,,,,Ward No-08 Total,0,0,0,0,0,0,0,0
39,15,09,,,,Ward No-09 Total,0,0,0,0,0,0,0,0
39,15,17,,,,Bahadurabad Union Total,1,4,3,1,0,0,0,4
39,15,29,,,,Char Aomkhaoa Union Total,0,0,0,0,0,0,0,0
39,15,36,,,,Chikajani Union Total,0,0,0,0,0,0,0,0
39,15,36,,,1,Chikajani Union,0,0,0,0,0,0,0,0
39,15,36,,,3,Chikajani Union,0,0,0,0,0,0,0,0
39,15,43,,,,Chukaibari Union Total,0,0,0,0,0,0,0,0
39,15,43,,,1,Chukaibari Union,0,0,0,0,0,0,0,0
39,15,43,,,3,Chukaibari Union,0,0,0,0,0,0,0,0
39,15,51,,,,Dangdhara Union Total,7,38,17,21,0,0,0,38
39,15,58,,,,Dewanganj Union Total,2,10,4,6,0,0,0,10
39,15,65,,,,Hatebhanga Union Total,0,0,0,0,0,0,0,0
39,15,87,,,,Par Ramrampur Union Total,1,2,1,1,0,0,0,2
39,29,,,,,Islampur Upazila Total,42,163,95,68,0,6,0,157
39,29,,,,1,Islampur Upazila,42,163,95,68,0,6,0,157
39,29,,,,2,Islampur Upazila,0,0,0,0,0,0,0,0
39,29,,,,2,Islampur Paurashava,0,0,0,0,0,0,0,0
39,29,01,,,,Ward No-01 Total,0,0,0,0,0,0,0,0
39,29,02,,,,Ward No-02 Total,0,0,0,0,0,0,0,0
39,29,03,,,,Ward No-03 Total,0,0,0,0,0,0,0,0
39,29,04,,,,Ward No-04 Total,0,0,0,0,0,0,0,0
39,29,05,,,,Ward No-05 Total,0,0,0,0,0,0,0,0
39,29,06,,,,Ward No-06 Total,0,0,0,0,0,0,0,0
39,29,07,,,,Ward No-07 Total,0,0,0,0,0,0,0,0
39,29,08,,,,Ward No-08 Total,0,0,0,0,0,0,0,0
39,29,09,,,,Ward No-09 Total,0,0,0,0,0,0,0,0
39,29,13,,,,Belgachha Union Total,7,31,19,12,0,6,0,25
39,29,15,,,,Char Goalini Union Total,0,0,0,0,0,0,0,0
39,29,23,,,,Char Putimari Union Total,0,0,0,0,0,0,0,0
39,29,31,,,,Chinadulli Union Total,0,0,0,0,0,0,0,0
39,29,39,,,,Gaibandha Union Total,10,64,34,30,0,0,0,64
39,29,47,,,,Goaler Char Union Total,0,0,0,0,0,0,0,0
39,29,55,,,,Islampur Union Total,0,0,0,0,0,0,0,0
39,29,63,,,,Kulkandi Union Total,0,0,0,0,0,0,0,0
39,29,71,,,,Noarpara Union Total,14,27,24,3,0,0,0,27
39,29,79,,,,Palbandha Union Total,11,41,18,23,0,0,0,41
39,29,87,,,,Patharsi Union Total,0,0,0,0,0,0,0,0
39,29,94,,,,Sapdhari Union Total,0,0,0,0,0,0,0,0
39,36,,,,,Jamalpur Sadar Upazila Total,143,550,286,264,209,189,21,131
39,36,,,,1,Jamalpur Sadar Upazila,139,539,281,258,207,189,21,122
39,36,,,,2,Jamalpur Sadar Upazila,4,11,5,6,2,0,0,9
39,36,,,,3,Jamalpur Sadar Upazila,0,0,0,0,0,0,0,0
39,36,,,,2,Jamalpur Paurashava,4,11,5,6,2,0,0,9
39,36,01,,,,Ward No-01 Total,0,0,0,0,0,0,0,0
39,36,02,,,,Ward No-02 Total,0,0,0,0,0,0,0,0
39,36,03,,,,Ward No-03 Total,2,6,2,4,1,0,0,5
39,36,04,,,,Ward No-04 Total,0,0,0,0,0,0,0,0
39,36,05,,,,Ward No-05 Total,0,0,0,0,0,0,0,0
39,36,06,,,,Ward No-06 Total,1,4,2,2,0,0,0,4
39,36,07,,,,Ward No-07 Total,0,0,0,0,0,0,0,0
39,36,08,,,,Ward No-08 Total,0,0,0,0,0,0,0,0
39,36,09,,,,Ward No-09 Total,0,0,0,0,0,0,0,0
39,36,10,,,,Ward No-10 Total,0,0,0,0,0,0,0,0
39,36,11,,,,Ward No-11 Total,0,0,0,0,0,0,0,0
39,36,12,,,,Ward No-12 Total,1,1,1,0,1,0,0,0
39,36,13,,,,Banshchara Union Total,0,0,0,0,0,0,0,0
39,36,17,,,,Ghoradhap Union Total,0,0,0,0,0,0,0,0
39,36,19,,,,Digpaith Union Total,3,11,6,5,0,0,0,11
39,36,23,,,,Itail Union Total,0,0,0,0,0,0,0,0
39,36,35,,,,Kendua Union Total,1,5,4,1,5,0,0,0
39,36,41,,,,Lakshmir Char Union Total,0,0,0,0,0,0,0,0
39,36,47,,,,Meshta Union Total,0,0,0,0,0,0,0,0
39,36,53,,,,Narundi Union Total,0,0,0,0,0,0,0,0
39,36,59,,,,Ranagachha Union Total,17,81,50,31,4,77,0,0
