0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
41,,,,,,Jessore Zila Total,1356385,1043631,712768,487643,643617,555988,56.5,59.4,53.7
41,,,,,1,Jessore Zila,1043690,905823,543113,424687,500577,481136,53.5,56.1,51.0
41,,,,,2,Jessore Zila,280463,120201,152705,54781,127758,65420,70.0,73.6,66.1
41,,,,,3,Jessore Zila,32232,17607,16950,8175,15282,9432,64.7,67.5,61.8
41,04,,,,,Abhaynagar Upazila Total,136484,91756,71908,42348,64576,49408,59.8,62.9,56.7
41,04,,,,1,Abhaynagar Upazila,88681,64487,46730,29710,41951,34777,57.9,61.1,54.7
41,04,,,,2,Abhaynagar Upazila,47803,27269,25178,12638,22625,14631,63.7,66.6,60.7
41,04,,,,,Noapara Paurashava,47803,27269,25178,12638,22625,14631,63.7,66.6,60.7
41,04,01,,,,Ward No-01 Total,4847,3023,2537,1369,2310,1654,61.6,65.0,58.3
41,04,01,011,,2,*Amdanga,682,676,369,324,313,352,50.2,53.2,47.1
41,04,01,088,,2,*Baliadanga,776,513,403,243,373,270,60.2,62.4,58.0
41,04,01,663,,2,*Mohakal,3389,1834,1765,802,1624,1032,64.9,68.8,61.1
41,04,02,,,,Ward No-02 Total,4270,2666,2322,1195,1948,1471,61.6,66.0,57.0
41,04,02,585,,2,*Kapashhati,589,223,303,90,286,133,72.5,77.1,68.3
41,04,02,630,,2,*Lakshmipur,534,362,275,161,259,201,59.6,63.1,56.3
41,04,02,685,,2,*Mashurhati,2034,1579,1136,731,898,848,56.3,60.8,51.4
41,04,02,718,,2,*Uttar Noapara,1113,502,608,213,505,289,68.9,74.1,63.6
41,04,03,,,,Ward No-03 Total,3931,3234,1962,1557,1969,1677,54.9,55.8,54.0
41,04,03,375,,2,*Dhopadi Part,3763,3005,1878,1441,1885,1564,55.6,56.6,54.7
41,04,03,821,,2,*Paschim Bhuikara,168,229,84,116,84,113,42.3,42.0,42.6
41,04,04,,,,Ward No-04 Total,6412,2999,3330,1353,3082,1646,68.1,71.1,65.2
41,04,04,718,,2,*Purba Noapara,6412,2999,3330,1353,3082,1646,68.1,71.1,65.2
41,04,05,,,,Ward No-05 Total,7588,4269,4007,1882,3581,2387,64.0,68.0,60.0
41,04,05,221,,2,*Madhya Bhuikara,7450,4256,3898,1871,3552,2385,63.6,67.6,59.8
41,04,05,486,,2,*Paschim Goakhola,138,13,109,11,29,2,91.4,90.8,93.5
41,04,06,,,,Ward No-06 Total,8700,4221,4615,2034,4085,2187,67.3,69.4,65.1
41,04,06,486,,2,*Purba Goakhola,8700,4221,4615,2034,4085,2187,67.3,69.4,65.1
41,04,07,,,,Ward No-07 Total,3991,3093,2173,1475,1818,1618,56.3,59.6,52.9
41,04,07,221,,2,*Dakshin Bhuikara,391,336,202,160,189,176,53.8,55.8,51.8
41,04,07,442,,2,*Durgapur,775,660,446,309,329,351,54.0,59.1,48.4
41,04,07,453,,2,*Ektarpur(Part),2093,1570,1147,758,946,812,57.1,60.2,53.8
41,04,07,961,,2,*Sirajkati,732,527,378,248,354,279,58.1,60.4,55.9
41,04,08,,,,Ward No-08 Total,4379,2492,2250,1168,2129,1324,63.7,65.8,61.7
41,04,08,541,,2,*Jafarpur,1683,537,847,227,836,310,75.8,78.9,72.9
41,04,08,862,,2,*Rajghat (Part),1068,515,557,228,511,287,67.5,71.0,64.0
41,04,08,895,,2,*Savar Para(Part),1628,1440,846,713,782,727,53.1,54.3,51.8
41,04,09,,,,Ward No-09 Total,3685,1272,1982,605,1703,667,74.3,76.6,71.9
41,04,09,862,,2,*Rajghat (Part),3685,1272,1982,605,1703,667,74.3,76.6,71.9
41,04,10,,,,Baghutia Union Total,9600,9458,5001,4451,4599,5007,50.4,52.9,47.9
41,04,10,066,,1,*Baghutia,1034,1025,544,471,490,554,50.2,53.6,46.9
41,04,10,121,,1,*Banipur,214,141,107,63,107,78,60.3,62.9,57.8
41,04,10,187,,1,*Bhabanipur,111,103,58,53,53,50,51.9,52.3,51.5
41,04,10,210,,1,*Bhat Para Abhaynagar,1802,1774,910,850,892,924,50.4,51.7,49.1
41,04,10,210,01,1,Vatpara,936,901,488,414,448,487,51.0,54.1,47.9
41,04,10,210,02,1,Bagura Tala,155,197,75,101,80,96,44.0,42.6,45.5
41,04,10,210,03,1,Abhaynagar,605,460,302,229,303,231,56.8,56.9,56.7
41,04,10,210,04,1,Shib Nagar,106,216,45,106,61,110,32.9,29.8,35.7
41,04,10,243,,1,*Bibhagdi Kandanpur,1250,1045,663,474,587,571,54.5,58.3,50.7
41,04,10,243,01,1,Bibhagdi,980,950,517,428,463,522,50.8,54.7,47.0
41,04,10,243,02,1,Adilpur,270,95,146,46,124,49,74.0,76.0,71.7
41,04,10,265,,1,*Buna Ramnagar,369,487,183,246,186,241,43.1,42.7,43.6
41,04,10,552,,1,*Joykhola,175,161,99,78,76,83,52.1,55.9,47.8
41,04,10,641,,1,*Madhyapur,759,538,416,230,343,308,58.5,64.4,52.7
41,04,10,674,,1,*Maricha,209,246,96,122,113,124,45.9,44.0,47.7
41,04,10,740,,1,*Paik Para Bhugilhat,2055,2161,1091,1012,964,1149,48.7,51.9,45.6
41,04,10,740,01,1,Paik Para,1057,682,571,305,486,377,60.8,65.2,56.3
41,04,10,740,02,1,Bhugilghat,547,1024,304,485,243,539,34.8,38.5,31.1
41,04,10,740,03,1,Putpara,451,455,216,222,235,233,49.8,49.3,50.2
41,04,10,762,,1,*Panchuria,338,433,168,201,170,232,43.8,45.5,42.3
41,04,10,950,,1,*Singari,1284,1344,666,651,618,693,48.9,50.6,47.1
41,04,21,,,,Prambag Union Total,12426,6963,6476,3241,5950,3722,64.1,66.6,61.5
41,04,21,022,,1,*Arazi Bahirghat,55,12,21,8,34,4,82.1,72.4,89.5
41,04,21,077,,1,*Bahirghat,713,712,360,362,353,350,50.0,49.9,50.2
41,04,21,088,,1,*Baliadanga(Part),275,164,149,82,126,82,62.6,64.5,60.6
41,04,21,099,,1,*Banagram,1521,544,777,248,744,296,73.7,75.8,71.5
41,04,21,287,,1,*Champatala,1018,375,539,178,479,197,73.1,75.2,70.9
41,04,21,298,,1,*Chengutia,1499,787,784,371,715,416,65.6,67.9,63.2
41,04,21,364,,1,*Dhalirgati,1201,780,621,398,580,382,60.6,60.9,60.3
41,04,21,563,,1,*Jiadanga,896,652,471,334,425,318,57.9,58.5,57.2
41,04,21,652,,1,*Magura,1738,1295,941,565,797,730,57.3,62.5,52.2
41,04,21,751,,1,*Palpara,395,107,203,42,192,65,78.7,82.9,74.7
41,04,21,773,,1,*Pakergati,196,91,96,44,100,47,68.3,68.6,68.0
41,04,21,818,,1,*Prembagh,2440,1158,1257,499,1183,659,67.8,71.6,64.2
41,04,21,818,01,1,Prembagh,2393,1110,1239,476,1154,634,68.3,72.2,64.5
41,04,21,818,02,1,Guchchhagram,47,48,18,23,29,25,49.5,43.9,53.7
41,04,21,840,,1,*Puratal,479,286,257,110,222,176,62.6,70.0,55.8
41,04,27,,,,Sundoli Union Total,6498,4667,3648,1977,2850,2690,58.2,64.9,51.4
41,04,27,044,,1,*Arpara,368,341,206,150,162,191,51.9,57.9,45.9
41,04,27,198,,1,*Bhatbila,311,249,167,109,144,140,55.5,60.5,50.7
41,04,27,320,,1,*Dharmosihati,931,699,523,295,408,404,57.1,63.9,50.2
41,04,27,375,,1,*Dhopadi,760,605,406,267,354,338,55.7,60.3,51.2
41,04,27,464,,1,*Gobindapur,566,325,310,135,256,190,63.5,69.7,57.4
41,04,27,497,,1,*Horishpur,195,121,102,46,93,75,61.7,68.9,55.4
41,04,27,630,,1,*Laksmipur,121,254,47,134,74,120,32.3,26.0,38.1
41,04,27,696,,1,*Mohishati,240,111,128,41,112,70,68.4,75.7,61.5
41,04,27,807,,1,*Fulergati,456,246,277,88,179,158,65.0,75.9,53.1
41,04,27,851,,1,*Rajapur,388,378,234,159,154,219,50.7,59.5,41.3
41,04,27,873,,1,*Ramsara,527,414,316,175,211,239,56.0,64.4,46.9
41,04,27,928,,1,*Saradanga,568,316,316,132,252,184,64.3,70.5,57.8
41,04,27,994,,1,*Sundali,1067,608,616,246,451,362,63.7,71.5,55.5
41,04,42,,,,Payra Union Total,9389,6770,5044,3004,4345,3766,58.1,62.7,53.6
41,04,42,033,,1,*Arpara (Near Kota),320,161,177,73,143,88,66.5,70.8,61.9
41,04,42,132,,1,*Barandi,1959,1721,1068,785,891,936,53.2,57.6,48.8
41,04,42,176,,1,*Bhabanipur,87,76,50,42,37,34,53.4,54.3,52.1
41,04,42,309,,1,*Chomardanga,59,63,30,26,29,37,48.4,53.6,43.9
41,04,42,331,,1,*Damukhali,472,219,269,91,203,128,68.3,74.7,61.3
41,04,42,342,,1,*Dattagati,914,373,477,148,437,225,71.0,76.3,66.0
41,04,42,397,,1,*Dighalia,974,517,497,220,477,297,65.3,69.3,61.6
41,04,42,574,,1,*Kalisakul,400,388,230,164,170,224,50.8,58.4,43.1
