0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
41,,,,,,Jessore Zila Total,11162,11111,76512,,73923 129189,123750,28950,,24962 100714,103834,20271,9421
41,,,,,1,Jessore Zila,8472,8535,64315,,62085 106607,102513,24195,20871,83556,86231,16180,7178
41,,,,,2,Jessore Zila,2428,2320,10739,10491,19964,18849,4194,3572,15125,15532,3640,1996
41,,,,,3,Jessore Zila,262,256,1458,1347,2618,2388,561,519,2033,2071,451,247
41,04,,,,,Abhaynagar Upazila Total,1166,1056,6947,6656,12775,11993,2524,2097,9529,9590,1670,803
41,04,,,,1,Abhaynagar Upazila,627,613,4896,4712,8612,8125,1777,1470,6504,6577,1064,481
41,04,,,,2,Abhaynagar Upazila,539,443,2051,1944,4163,3868,747,627,3025,3013,606,322
41,04,,,,,Noapara Paurashava,539,443,2051,1944,4163,3868,747,627,3025,3013,606,322
41,04,01,,,,Ward No-01 Total,41,39,251,237,390,371,88,91,297,335,55,34
41,04,01,011,,2,*Amdanga,7,2,39,50,74,61,27,20,58,55,7,5
41,04,01,088,,2,*Baliadanga,3,6,49,40,68,58,13,21,51,55,10,6
41,04,01,663,,2,*Mohakal,31,31,163,147,248,252,48,50,188,225,38,23
41,04,02,,,,Ward No-02 Total,45,46,188,169,367,334,85,59,246,219,55,43
41,04,02,585,,2,*Kapashhati,6,5,19,23,37,32,11,7,30,28,4,5
41,04,02,630,,2,*Lakshmipur,9,13,21,17,57,49,8,4,26,30,10,5
41,04,02,685,,2,*Mashurhati,18,18,104,76,187,172,42,30,151,88,29,19
41,04,02,718,,2,*Uttar Noapara,12,10,44,53,86,81,24,18,39,73,12,14
41,04,03,,,,Ward No-03 Total,73,69,188,175,436,464,51,48,293,335,52,27
41,04,03,375,,2,*Dhopadi Part,71,68,179,159,409,447,47,45,282,313,48,26
41,04,03,821,,2,*Paschim Bhuikara,2,1,9,16,27,17,4,3,11,22,4,1
41,04,04,,,,Ward No-04 Total,78,86,236,207,537,477,73,71,330,378,109,46
41,04,04,718,,2,*Purba Noapara,78,86,236,207,537,477,73,71,330,378,109,46
41,04,05,,,,Ward No-05 Total,89,67,324,320,650,641,127,92,503,446,87,56
41,04,05,221,,2,*Madhya Bhuikara,89,67,321,319,644,637,127,92,499,446,87,55
41,04,05,486,,2,*Paschim Goakhola,0,0,3,1,6,4,0,0,4,0,0,1
41,04,06,,,,Ward No-06 Total,141,81,343,320,777,629,140,98,571,521,126,58
41,04,06,486,,2,*Purba Goakhola,141,81,343,320,777,629,140,98,571,521,126,58
41,04,07,,,,Ward No-07 Total,27,18,208,218,365,348,79,70,280,239,59,23
41,04,07,221,,2,*Dakshin Bhuikara,6,3,14,30,37,47,4,2,29,36,5,2
41,04,07,442,,2,*Durgapur,2,1,48,54,78,62,20,21,54,47,14,7
41,04,07,453,,2,*Ektarpur(Part),15,9,128,104,186,172,51,40,148,114,33,12
41,04,07,961,,2,*Sirajkati,4,5,18,30,64,67,4,7,49,42,7,2
41,04,08,,,,Ward No-08 Total,38,33,176,184,390,388,51,45,309,288,41,24
41,04,08,541,,2,*Jafarpur,14,13,45,62,116,120,16,7,81,80,14,10
41,04,08,862,,2,*Rajghat (Part),1,5,44,40,82,86,12,17,85,62,7,4
