0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
41,,,,,,Jessore Zila Total,2764547,1.3,0.2,0.2,0.1,0.6,0.2,0.1
41,,,,,1,Jessore Zila,2250995,1.4,0.2,0.2,0.1,0.6,0.2,0.1
41,,,,,2,Jessore Zila,456570,1.0,0.1,0.1,0.1,0.5,0.2,0.0
41,,,,,3,Jessore Zila,56982,0.9,0.1,0.1,0.1,0.4,0.2,0.0
41,04,,,,,Abhaynagar Upazila Total,262434,1.4,0.2,0.2,0.1,0.6,0.2,0.1
41,04,,,,1,Abhaynagar Upazila,176578,1.4,0.2,0.2,0.1,0.6,0.2,0.1
41,04,,,,2,Abhaynagar Upazila,85856,1.2,0.2,0.1,0.1,0.6,0.2,0.0
41,04,,,,,Noapara Paurashava,85856,1.2,0.2,0.1,0.1,0.6,0.2,0.0
41,04,01,,,,Ward No-01 Total,9012,1.3,0.2,0.2,0.1,0.6,0.2,0.1
41,04,02,,,,Ward No-02 Total,7924,1.4,0.3,0.2,0.1,0.5,0.3,0.1
41,04,03,,,,Ward No-03 Total,8312,1.2,0.2,0.1,0.2,0.5,0.2,0.0
41,04,04,,,,Ward No-04 Total,10750,1.3,0.1,0.1,0.1,0.6,0.3,0.1
41,04,05,,,,Ward No-05 Total,13609,1.7,0.1,0.3,0.1,1.0,0.2,0.0
41,04,06,,,,Ward No-06 Total,14794,1.0,0.1,0.1,0.1,0.4,0.2,0.0
41,04,07,,,,Ward No-07 Total,8050,1.2,0.3,0.1,0.1,0.5,0.2,0.0
41,04,08,,,,Ward No-08 Total,7848,1.2,0.2,0.1,0.2,0.5,0.3,0.0
41,04,09,,,,Ward No-09 Total,5557,0.6,0.1,0.1,0.0,0.3,0.1,0.0
41,04,10,,,,Baghutia Union Total,22003,1.2,0.2,0.1,0.2,0.5,0.2,0.1
41,04,21,,,,Prambag Union Total,22323,1.4,0.2,0.2,0.1,0.6,0.2,0.1
41,04,27,,,,Sundoli Union Total,12308,1.4,0.2,0.3,0.1,0.7,0.2,0.0
41,04,42,,,,Payra Union Total,18603,1.9,0.2,0.2,0.1,1.0,0.3,0.1
