0,1,2,3,4,5,6,7,8,9,10,11,12
41,,,,,,Jessore Zila Total,2764547,2446162,310184,5556,112,2533
41,,,,,1,Jessore Zila,2250995,1989694,254610,4284,12,2395
41,,,,,2,Jessore Zila,456570,404992,50096,1259,87,136
41,,,,,3,Jessore Zila,56982,51476,5478,13,13,2
41,04,,,,,Abhaynagar Upazila Total,262434,211646,49082,270,5,1431
41,04,,,,1,Abhaynagar Upazila,176578,134165,40949,34,0,1430
41,04,,,,2,Abhaynagar Upazila,85856,77481,8133,236,5,1
41,04,,,,,Noapara Paurashava,85856,77481,8133,236,5,1
41,04,01,,,,Ward No-01 Total,9012,7395,1610,6,0,1
41,04,01,011,,2,*Amdanga,1559,1272,287,0,0,0
41,04,01,088,,2,*Baliadanga,1502,1501,0,0,0,1
41,04,01,663,,2,*Mohakal,5951,4622,1323,6,0,0
41,04,02,,,,Ward No-02 Total,7924,7672,249,0,3,0
41,04,02,585,,2,*Kapashhati,929,912,17,0,0,0
41,04,02,630,,2,*Lakshmipur,1031,1031,0,0,0,0
41,04,02,685,,2,*Mashurhati,4102,3874,225,0,3,0
41,04,02,718,,2,*Uttar Noapara,1862,1855,7,0,0,0
41,04,03,,,,Ward No-03 Total,8312,7600,712,0,0,0
41,04,03,375,,2,*Dhopadi Part,7856,7144,712,0,0,0
41,04,03,821,,2,*Paschim Bhuikara,456,456,0,0,0,0
41,04,04,,,,Ward No-04 Total,10750,9733,1017,0,0,0
41,04,04,718,,2,*Purba Noapara,10750,9733,1017,0,0,0
41,04,05,,,,Ward No-05 Total,13609,12049,1560,0,0,0
41,04,05,221,,2,*Madhya Bhuikara,13448,11918,1530,0,0,0
41,04,05,486,,2,*Paschim Goakhola,161,131,30,0,0,0
41,04,06,,,,Ward No-06 Total,14794,12941,1836,16,1,0
41,04,06,486,,2,*Purba Goakhola,14794,12941,1836,16,1,0
41,04,07,,,,Ward No-07 Total,8050,7592,415,43,0,0
41,04,07,221,,2,*Dakshin Bhuikara,820,701,119,0,0,0
41,04,07,442,,2,*Durgapur,1642,1587,55,0,0,0
41,04,07,453,,2,*Ektarpur(Part),4183,3980,160,43,0,0
41,04,07,961,,2,*Sirajkati,1405,1324,81,0,0,0
41,04,08,,,,Ward No-08 Total,7848,7419,268,160,1,0
41,04,08,541,,2,*Jafarpur,2521,2394,118,9,0,0
41,04,08,862,,2,*Rajghat (Part),1811,1601,59,151,0,0
41,04,08,895,,2,*Savar Para(Part),3516,3424,91,0,1,0
41,04,09,,,,Ward No-09 Total,5557,5080,466,11,0,0
41,04,09,862,,2,*Rajghat (Part),5557,5080,466,11,0,0
41,04,10,,,,Baghutia Union Total,22003,16911,5092,0,0,0
41,04,10,066,,1,*Baghutia,2338,1685,653,0,0,0
41,04,10,121,,1,*Banipur,404,404,0,0,0,0
41,04,10,187,,1,*Bhabanipur,246,121,125,0,0,0
41,04,10,210,,1,*Bhat Para Abhaynagar,4148,2668,1480,0,0,0
41,04,10,210,01,1,Vatpara,2166,1479,687,0,0,0
41,04,10,210,02,1,Bagura Tala,395,395,0,0,0,0
41,04,10,210,03,1,Abhaynagar,1209,743,466,0,0,0
41,04,10,210,04,1,Shib Nagar,378,51,327,0,0,0
41,04,10,243,,1,*Bibhagdi Kandanpur,2629,2008,621,0,0,0
41,04,10,243,01,1,Bibhagdi,2218,1804,414,0,0,0
41,04,10,243,02,1,Adilpur,411,204,207,0,0,0
41,04,10,265,,1,*Buna Ramnagar,999,992,7,0,0,0
41,04,10,552,,1,*Joykhola,379,1,378,0,0,0
41,04,10,641,,1,*Madhyapur,1473,1186,287,0,0,0
41,04,10,674,,1,*Maricha,553,552,1,0,0,0
41,04,10,740,,1,*Paik Para Bhugilhat,4866,3604,1262,0,0,0
41,04,10,740,01,1,Paik Para,1981,1482,499,0,0,0
41,04,10,740,02,1,Bhugilghat,1841,1080,761,0,0,0
41,04,10,740,03,1,Putpara,1044,1042,2,0,0,0
41,04,10,762,,1,*Panchuria,897,897,0,0,0,0
41,04,10,950,,1,*Singari,3071,2793,278,0,0,0
41,04,21,,,,Prambag Union Total,22323,20256,2067,0,0,0
