0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
42,,,,,,Jhalokati Zila Total,157559,4.7,11.4,18.5,24.0,19.2,11.3,5.6,5.4,4.3
42,,,,,1,Jhalokati Zila,131951,4.9,11.5,18.0,23.5,19.4,11.6,5.7,5.4,4.3
42,,,,,2,Jhalokati Zila,19260,3.8,10.1,21.0,26.7,18.1,9.6,5.2,5.6,4.3
42,,,,,3,Jhalokati Zila,6348,3.9,12.7,20.8,25.0,17.7,9.9,5.1,4.9,4.2
42,40,,,,,Jhalokati Sadar Upazila Total,50083,4.6,10.7,19.2,25.4,19.1,10.8,5.2,5.1,4.3
42,40,,,,1,Jhalokati Sadar Upazila,37667,5.0,11.0,18.2,24.5,19.7,11.3,5.3,5.0,4.3
42,40,,,,2,Jhalokati Sadar Upazila,12234,3.5,9.7,22.2,28.1,17.2,9.1,4.8,5.4,4.3
42,40,,,,3,Jhalokati Sadar Upazila,182,2.7,10.4,15.9,19.2,20.3,11.0,9.9,10.4,4.8
,,,,,,Jhalokati Paurashava,,,,,,,,,,
42,40,01,,,,Ward No-01 Total,1318,2.4,8.2,19.7,25.9,20.8,11.0,5.7,6.2,4.5
42,40,01,109,,2,*Bikna,482,2.1,7.7,18.0,23.0,20.1,13.5,7.3,8.3,4.7
42,40,01,936,,2,*Paschim Chandkati 3,836,2.6,8.5,20.7,27.6,21.2,9.6,4.8,5.0,4.3
42,40,02,,,,Ward No-02 Total,1683,3.6,8.6,22.4,31.7,16.8,8.3,4.5,4.2,4.2
42,40,02,600,,2,*Madhya Chandkati,664,2.1,9.0,24.4,34.3,17.6,7.1,2.7,2.7,4.0
42,40,02,651,,2,*Purba Chandkati,232,3.0,10.8,23.7,34.1,14.2,6.0,3.9,4.3,4.0
42,40,02,700,,2,*Sarak Chandkati,252,2.4,9.5,19.4,28.6,19.0,7.9,6.0,7.1,4.4
42,40,02,800,,2,*Uttar Chandkati,401,7.0,7.5,22.4,25.4,16.5,11.2,6.2,3.7,4.2
42,40,02,988,,2,*Jailkhana,134,4.5,4.5,15.7,39.6,13.4,9.7,6.0,6.7,4.4
42,40,03,,,,Ward No-03 Total,1831,3.4,8.2,18.2,27.5,19.1,11.0,6.1,6.4,4.5
42,40,03,200,,2,*Jelepara,214,1.4,7.5,19.6,31.8,20.1,8.9,5.1,5.6,4.4
42,40,03,224,,2,*Krishnakati,1617,3.6,8.3,18.1,27.0,19.0,11.3,6.2,6.5,4.5
42,40,04,,,,Ward No-04 Total,909,3.2,9.8,23.2,29.8,16.5,8.5,3.6,5.4,4.2
42,40,04,117,,2,*Araddar Patty,127,3.1,9.4,26.0,39.4,12.6,3.1,2.4,3.9,3.9
42,40,04,200,,2,*Baher Road,231,3.0,6.1,24.7,27.3,16.5,12.1,4.3,6.1,4.4
42,40,04,225,,2,*Batasha Patty,13,7.7,15.4,38.5,23.1,7.7,0.0,7.7,0.0,3.4
42,40,04,234,,2,*Daktar Patty,96,4.2,16.7,16.7,31.3,17.7,7.3,3.1,3.1,4.0
42,40,04,500,,2,*Faria Patty,28,0.0,10.7,35.7,42.9,7.1,0.0,0.0,3.6,3.7
42,40,04,526,,2,*Kasari Patty,84,6.0,13.1,26.2,27.4,13.1,9.5,2.4,2.4,3.8
42,40,04,545,,2,*Kaparia Patty,25,4.0,12.0,40.0,20.0,12.0,0.0,0.0,12.0,4.0
42,40,04,654,,2,*Manohari Patty,18,5.6,16.7,38.9,16.7,22.2,0.0,0.0,0.0,3.3
42,40,04,729,,2,*Palbari Road,275,2.2,8.4,17.5,28.4,20.4,10.9,4.7,7.6,4.5
42,40,04,800,,2,*Sadupal Road,12,0.0,16.7,25.0,33.3,16.7,0.0,8.3,0.0,3.8
42,40,05,,,,Ward No-05 Total,1064,7.4,17.0,28.8,25.7,12.7,4.4,2.1,2.0,3.5
42,40,05,080,,2,*Akgrabari,164,13.4,29.9,37.2,11.6,4.9,1.8,0.6,0.6,2.8
42,40,05,095,,2,*Amtala Road,283,9.5,21.2,33.2,19.8,9.9,3.5,1.1,1.8,3.3
42,40,05,255,,2,*Fakir Bari (Ka),30,20.0,6.7,6.7,36.7,23.3,3.3,0.0,3.3,3.7
42,40,05,468,,2,*Kalibari Mahalla,92,1.1,13.0,19.6,33.7,19.6,4.3,4.3,4.3,4.2
42,40,05,595,,2,*Kamar Patty,88,2.3,14.8,28.4,31.8,14.8,6.8,1.1,0.0,3.7
42,40,05,659,,2,*Mudi Patty,83,7.2,14.5,26.5,25.3,13.3,3.6,2.4,7.2,3.9
42,40,05,723,,2,*Post Office Road,82,4.9,18.3,34.1,30.5,7.3,4.9,0.0,0.0,3.3
42,40,05,844,,2,*Shitlakhola,84,1.2,8.3,27.4,32.1,20.2,4.8,3.6,2.4,4.1
42,40,05,978,,2,*Thana Mahallah,158,6.3,7.0,20.9,34.8,17.1,7.6,5.1,1.3,4.0
42,40,06,,,,Ward No-06 Total,1037,1.9,7.3,17.9,27.3,22.1,10.0,5.5,7.9,4.6
42,40,06,038,,2,*Basanda,183,3.3,9.3,11.5,25.7,27.3,8.7,6.6,7.7,4.6
42,40,06,310,,2,*Ichia Nill,157,1.3,13.4,17.2,22.9,28.0,6.4,3.2,7.6,4.6
42,40,06,400,,2,*Nesarabad,388,0.0,2.8,19.6,29.9,19.6,11.3,7.5,9.3,4.9
42,40,06,739,,2,*Paschim Jhalakati(Ka),309,3.9,8.7,20.1,27.2,19.1,11.0,3.6,6.5,4.4
42,40,07,,,,Ward No-07 Total,1461,3.9,8.6,19.0,26.9,15.8,11.4,7.4,6.9,4.5
42,40,07,554,,2,*Kifaitnagar,785,5.2,8.0,18.7,27.3,16.7,10.4,7.5,6.1,4.4
42,40,07,720,,2,*Par Kifaitnagar,192,1.0,9.4,21.9,28.6,10.4,12.5,7.3,8.9,4.6
42,40,07,797,,2,*Ramnagar,181,3.3,14.4,21.0,21.5,16.0,13.3,3.3,7.2,4.3
