0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
42,,,,,,Jhalokati Zila Total,3213,3261,20015,19455,39203,37702,7248,6167,29565,30509,5052,3222
42,,,,,1,Jhalokati Zila,2558,2625,17175,16653,33257,32066,6216,5177,24873,25951,4255,2615
42,,,,,2,Jhalokati Zila,551,533,2035,1997,4553,4281,730,684,3569,3330,613,484
42,,,,,3,Jhalokati Zila,104,103,805,805,1393,1355,302,306,1123,1228,184,123
42,40,,,,,Jhalokati Sadar Upazila Total,1059,1075,5508,5515,12036,11320,1932,1673,9130,9134,1510,1066
42,40,,,,1,Jhalokati Sadar Upazila,717,767,4208,4236,9083,8674,1487,1266,6777,7141,1168,775
42,40,,,,2,Jhalokati Sadar Upazila,335,308,1271,1244,2916,2594,430,401,2318,1949,327,290
42,40,,,,3,Jhalokati Sadar Upazila,7,0,29,35,37,52,15,6,35,44,15,1
,,,,,,Jhalokati Paurashava,,,,,,,,,,,,
42,40,01,,,,Ward No-01 Total,58,45,122,120,303,304,43,52,194,230,37,34
42,40,01,109,,2,*Bikna,28,25,39,53,118,111,16,20,78,85,20,17
42,40,01,936,,2,*Paschim Chandkati 3,30,20,83,67,185,193,27,32,116,145,17,17
42,40,02,,,,Ward No-02 Total,65,38,153,159,391,386,52,51,277,246,37,36
42,40,02,600,,2,*Madhya Chandkati,18,10,56,69,132,140,28,32,94,100,16,14
42,40,02,651,,2,*Purba Chandkati,2,0,35,29,50,52,7,5,47,18,2,3
42,40,02,700,,2,*Sarak Chandkati,22,12,21,20,41,85,2,1,44,49,5,6
42,40,02,800,,2,*Uttar Chandkati,16,12,33,34,133,59,14,11,68,59,9,10
42,40,02,988,,2,*Jailkhana,7,4,8,7,35,50,1,2,24,20,5,3
42,40,03,,,,Ward No-03 Total,42,56,198,202,493,472,81,60,390,349,85,41
42,40,03,200,,2,*Jelepara,3,7,24,19,46,56,3,6,48,36,2,5
42,40,03,224,,2,*Krishnakati,39,49,174,183,447,416,78,54,342,313,83,36
42,40,04,,,,Ward No-04 Total,41,36,57,75,182,147,7,7,172,117,9,12
42,40,04,117,,2,*Araddar Patty,7,3,7,8,14,16,0,1,28,6,2,2
42,40,04,200,,2,*Baher Road,10,10,13,20,48,37,0,0,57,36,0,3
42,40,04,225,,2,*Batasha Patty,0,0,3,1,0,1,1,0,2,1,0,0
42,40,04,234,,2,*Daktar Patty,4,7,4,1,19,11,1,1,21,14,0,2
42,40,04,500,,2,*Faria Patty,3,1,2,3,9,1,0,0,2,3,0,0
42,40,04,526,,2,*Kasari Patty,1,2,4,11,14,6,2,2,13,9,1,0
42,40,04,545,,2,*Kaparia Patty,2,0,1,3,9,3,0,0,1,2,0,0
42,40,04,654,,2,*Manohari Patty,1,1,1,1,3,0,0,0,0,1,0,0
42,40,04,729,,2,*Palbari Road,12,11,22,26,64,68,3,3,46,42,6,5
42,40,04,800,,2,*Sadupal Road,1,1,0,1,2,4,0,0,2,3,0,0
42,40,05,,,,Ward No-05 Total,28,24,88,58,154,133,5,18,140,151,11,14
42,40,05,080,,2,*Akgrabari,4,2,8,5,23,13,0,2,9,12,3,3
42,40,05,095,,2,*Amtala Road,8,6,22,15,38,24,2,2,46,21,0,1
42,40,05,255,,2,*Fakir Bari (Ka),1,0,2,1,4,3,0,0,3,3,0,1
42,40,05,468,,2,*Kalibari Mahalla,3,5,11,3,11,14,2,1,13,12,2,1
42,40,05,595,,2,*Kamar Patty,3,1,13,6,10,10,0,3,9,12,0,1
