0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
42,,,,,,Jhalokati Zila Total,85841,38060,47781,27299,1758,435,156,1463,33639,8863,12228
42,,,,,1,Jhalokati Zila,73611,32510,41101,23434,1408,393,127,1338,29262,7345,10304
42,,,,,2,Jhalokati Zila,9374,4312,5062,2964,283,34,20,72,3295,1242,1464
42,,,,,3,Jhalokati Zila,2856,1238,1618,901,67,8,9,53,1082,276,460
42,40,,,,,Jhalokati Sadar Upazila Total,27510,12374,15136,8797,590,126,48,283,9927,3168,4571
42,40,,,,1,Jhalokati Sadar Upazila,22159,9864,12295,7175,379,100,33,238,8212,2351,3671
42,40,,,,2,Jhalokati Sadar Upazila,5127,2429,2698,1554,200,26,14,44,1611,805,873
42,40,,,,3,Jhalokati Sadar Upazila,224,81,143,68,11,0,1,1,104,12,27
,,,,,,Jhalokati Paurashava,,,,,,,,,,,
42,40,01,,,,Ward No-01 Total,515,237,278,161,23,0,4,8,146,68,105
42,40,01,109,,2,*Bikna,208,99,109,78,7,0,3,5,66,16,33
42,40,01,936,,2,*Paschim Chandkati 3,307,138,169,83,16,0,1,3,80,52,72
42,40,02,,,,Ward No-02 Total,806,445,361,171,29,1,2,17,202,256,128
42,40,02,600,,2,*Madhya Chandkati,273,111,162,63,10,0,1,11,92,37,59
42,40,02,651,,2,*Purba Chandkati,86,36,50,14,0,0,1,0,26,22,23
42,40,02,700,,2,*Sarak Chandkati,62,20,42,17,11,0,0,1,22,2,9
42,40,02,800,,2,*Uttar Chandkati,160,81,79,55,6,1,0,5,41,20,32
42,40,02,988,,2,*Jailkhana,225,197,28,22,2,0,0,0,21,175,5
42,40,03,,,,Ward No-03 Total,1025,483,542,339,26,3,2,2,319,139,195
42,40,03,200,,2,*Jelepara,20,13,7,10,0,0,0,1,3,2,4
42,40,03,224,,2,*Krishnakati,1005,470,535,329,26,3,2,1,316,137,191
42,40,04,,,,Ward No-04 Total,171,66,105,52,3,0,0,1,70,13,32
42,40,04,117,,2,*Araddar Patty,2,1,1,1,0,0,0,0,1,0,0
42,40,04,200,,2,*Baher Road,27,9,18,7,0,0,0,0,7,2,11
42,40,04,225,,2,*Batasha Patty,0,0,0,0,0,0,0,0,0,0,0
42,40,04,234,,2,*Daktar Patty,10,3,7,2,0,0,0,0,4,1,3
42,40,04,500,,2,*Faria Patty,0,0,0,0,0,0,0,0,0,0,0
42,40,04,526,,2,*Kasari Patty,12,6,6,2,1,0,0,0,2,4,3
42,40,04,545,,2,*Kaparia Patty,0,0,0,0,0,0,0,0,0,0,
42,40,04,654,,2,*Manohari Patty,0,0,0,0,0,0,0,0,0,0,
42,40,04,729,,2,*Palbari Road,119,47,72,40,2,0,0,1,55,6,
42,40,04,800,,2,*Sadupal Road,1,0,1,0,0,0,0,0,1,0,
42,40,05,,,,Ward No-05 Total,88,34,54,26,5,1,0,1,32,6,
42,40,05,080,,2,*Akgrabari,19,7,12,4,1,0,0,0,10,3,
42,40,05,095,,2,*Amtala Road,29,9,20,8,3,0,0,0,11,1,
42,40,05,255,,2,*Fakir Bari (Ka),3,3,0,2,0,0,0,0,0,1,
42,40,05,468,,2,*Kalibari Mahalla,10,6,4,5,0,0,0,1,2,0,
42,40,05,595,,2,*Kamar Patty,0,0,0,0,0,0,0,0,0,0,
42,40,05,659,,2,*Mudi Patty,15,4,11,3,0,1,0,0,5,0,
42,40,05,723,,2,*Post Office Road,2,0,2,0,0,0,0,0,1,0,
42,40,05,844,,2,*Shitlakhola,4,2,2,2,0,0,0,0,2,0,
42,40,05,978,,2,*Thana Mahallah,6,3,3,2,1,0,0,0,1,1,
42,40,06,,,,Ward No-06 Total,618,292,326,187,28,1,2,5,178,99,
42,40,06,038,,2,*Basanda,251,112,139,78,8,0,0,2,96,32,
42,40,06,310,,2,*Ichia Nill,35,8,27,1,0,0,0,0,3,7,
42,40,06,400,,2,*Nesarabad,13,9,4,5,0,0,0,0,1,4,
42,40,06,739,,2,*Paschim Jhalakati(Ka),319,163,156,103,20,1,2,3,78,56,
42,40,07,,,,Ward No-07 Total,828,394,434,282,28,6,1,5,275,101,
42,40,07,554,,2,*Kifaitnagar,463,212,251,139,22,2,0,1,153,70,
42,40,07,720,,2,*Par Kifaitnagar,109,50,59,38,3,1,1,1,35,10,
42,40,07,797,,2,*Ramnagar,83,45,38,37,2,0,0,2,19,6,
42,40,07,818,,2,*Paschim Jhalakati (Kha),140,68,72,55,1,1,0,1,59,11,
42,40,07,995,,2,*Umeshganj,33,19,14,13,0,2,0,0,9,4,
42,40,08,,,,Ward No-08 Total,172,74,98,42,14,0,0,3,36,29,
42,40,08,100,,2,*Bansh Patty,6,3,3,1,0,0,0,0,3,2,
42,40,08,280,,2,*Fakir Bari (Kha),18,5,13,2,5,0,0,1,5,2,
42,40,08,585,,2,*Katpatty,126,61,65,36,6,0,0,2,24,23,35
42,40,08,600,,2,*Mojid Bari (Part),4,0,4,0,0,0,0,0,2,0,2
42,40,08,650,,2,*Station Road (Ka),18,5,13,3,3,0,0,0,2,2,8
42,40,09,,,,Ward No-09 Total,904,404,500,294,44,14,3,2,353,94,100
42,40,09,540,,2,*Nutan Kalabagan,28,16,12,7,0,0,1,0,7,9,4
42,40,09,620,,2,*Puratan Kalabagan,488,223,265,167,16,13,0,0,212,43,37
42,40,09,643,,2,*Read Road,225,94,131,76,21,1,1,2,78,15,31
42,40,09,819,,2,*Stand Road,42,24,18,13,1,0,0,0,10,11,7
42,40,09,877,,2,*Station Road (Kha),121,47,74,31,6,0,1,0,46,16,21
42,40,17,,,,Basanda Union Total,2370,1144,1226,842,54,7,0,13,800,282,372
42,40,17,006,,1,*Agalpasha,286,121,165,78,4,0,0,4,105,39,56
42,40,17,012,,1,*Agharbari,213,116,97,90,0,4,0,2,77,20,20
42,40,17,038,,1,*Badalkati,141,71,70,54,0,0,0,0,55,17,15
42,40,17,082,,1,*Baraigati,131,57,74,45,2,1,0,0,38,11,34
42,40,17,095,,1,*Basanda,84,42,42,27,0,0,0,0,16,15,26
42,40,17,121,,1,*Betloch,28,11,17,9,0,0,0,0,11,2,6
42,40,17,159,,1,*Bikna,285,147,138,113,31,0,0,1,90,33,17
42,40,17,197,,1,*Chamta,77,41,36,18,0,0,0,0,17,23,19
42,40,17,248,,1,*Chaupala,106,58,48,47,0,0,0,1,36,10,12
42,40,17,293,,1,*Darkhi,330,155,175,117,1,0,0,0,112,38,62
42,40,17,318,,1,*Dhara Khana,236,106,130,91,0,2,0,1,101,12,29
42,40,17,338,,1,*Domjuri,17,8,9,6,0,0,0,0,4,2,5
42,40,17,459,,1,*Joysi,60,23,37,16,3,0,0,0,22,7,12
