0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
42,,,,,,Jhalokati Zila Total,157559,6.7,11.4,79.5,2.5,45.5,41.2,12.2,1.1
42,,,,,1,Jhalokati Zila,131951,4.1,9.2,84.0,2.7,45.3,41.1,12.4,1.2
42,,,,,2,Jhalokati Zila,19260,22.0,25.7,50.7,1.5,44.1,41.7,13.6,0.6
42,,,,,3,Jhalokati Zila,6348,12.6,13.8,73.0,0.6,55.2,41.4,3.1,0.3
42,40,,,,,Jhalokati Sadar Upazila Total,50083,10.8,15.2,70.9,3.1,55.8,34.2,8.9,1.2
42,40,,,,1,Jhalokati Sadar Upazila,37667,5.3,10.1,81.0,3.7,56.3,32.3,10.1,1.3
42,40,,,,2,Jhalokati Sadar Upazila,12234,28.0,31.1,39.6,1.4,54.3,39.7,5.2,0.8
42,40,,,,3,Jhalokati Sadar Upazila,182,0.5,7.1,91.2,1.1,44.5,48.9,6.6,0.0
,,,,,,Jhalokati Paurashava,,,,,,,,,
42,40,01,,,,Ward No-01 Total,1318,33.1,45.2,17.5,4.2,38.8,50.6,9.3,1.3
42,40,01,109,,2,*Bikna,482,7.1,89.8,2.7,0.4,22.2,77.4,0.4,0.0
42,40,01,936,,2,*Paschim Chandkati 3,836,48.1,19.5,26.1,6.3,48.3,35.2,14.5,2.0
42,40,02,,,,Ward No-02 Total,1683,41.8,31.5,24.3,2.4,51.0,44.6,3.4,1.0
42,40,02,600,,2,*Madhya Chandkati,664,40.1,40.7,18.8,0.5,35.7,62.8,1.1,0.5
42,40,02,651,,2,*Purba Chandkati,232,40.5,33.2,18.1,8.2,53.9,23.7,16.8,5.6
42,40,02,700,,2,*Sarak Chandkati,252,53.6,15.5,26.6,4.4,75.8,24.2,0.0,0.0
42,40,02,800,,2,*Uttar Chandkati,401,33.9,23.9,40.4,1.7,72.3,24.7,3.0,0.0
42,40,02,988,,2,*Jailkhana,134,54.5,35.8,9.7,0.0,11.9,88.1,0.0,0.0
42,40,03,,,,Ward No-03 Total,1831,21.1,22.4,55.9,0.6,63.4,34.8,1.4,0.4
42,40,03,200,,2,*Jelepara,214,28.5,8.9,62.6,0.0,92.5,7.5,0.0,0.0
42,40,03,224,,2,*Krishnakati,1617,20.2,24.2,55.0,0.7,59.5,38.4,1.6,0.5
42,40,04,,,,Ward No-04 Total,909,37.8,37.6,24.4,0.1,90.3,8.7,0.3,0.7
42,40,04,117,,2,*Araddar Patty,127,29.9,54.3,15.7,0.0,96.1,0.0,0.0,3.9
42,40,04,200,,2,*Baher Road,231,46.8,37.7,15.6,0.0,76.2,23.8,0.0,0.0
42,40,04,225,,2,*Batasha Patty,13,84.6,15.4,0.0,0.0,100.0,0.0,0.0,0.0
42,40,04,234,,2,*Daktar Patty,96,46.9,50.0,2.1,1.0,100.0,0.0,0.0,0.0
42,40,04,500,,2,*Faria Patty,28,46.4,53.6,0.0,0.0,100.0,0.0,0.0,0.0
42,40,04,526,,2,*Kasari Patty,84,40.5,44.0,15.5,0.0,91.7,7.1,0.0,1.2
42,40,04,545,,2,*Kaparia Patty,25,44.0,56.0,0.0,0.0,100.0,0.0,0.0,0.0
42,40,04,654,,2,*Manohari Patty,18,61.1,38.9,0.0,0.0,100.0,0.0,0.0,0.0
42,40,04,729,,2,*Palbari Road,275,23.6,21.8,54.5,0.0,93.1,5.8,1.1,0.0
42,40,04,800,,2,*Sadupal Road,12,66.7,25.0,8.3,0.0,83.3,16.7,0.0,0.0
42,40,05,,,,Ward No-05 Total,1064,43.3,36.1,20.4,0.2,44.4,51.1,4.0,0.5
42,40,05,080,,2,*Akgrabari,164,28.0,40.9,29.9,1.2,46.3,37.2,16.5,0.0
42,40,05,095,,2,*Amtala Road,283,51.9,29.7,18.4,0.0,80.2,12.4,5.7,1.8
42,40,05,255,,2,*Fakir Bari (Ka),30,36.7,50.0,13.3,0.0,10.0,90.0,0.0,0.0
42,40,05,468,,2,*Kalibari Mahalla,92,56.5,31.5,12.0,0.0,18.5,81.5,0.0,0.0
42,40,05,595,,2,*Kamar Patty,88,37.5,14.8,47.7,0.0,50.0,50.0,0.0,0.0
42,40,05,659,,2,*Mudi Patty,83,30.1,65.1,4.8,0.0,0.0,100.0,0.0,0.0
42,40,05,723,,2,*Post Office Road,82,52.4,46.3,1.2,0.0,95.1,4.9,0.0,0.0
42,40,05,844,,2,*Shitlakhola,84,19.0,22.6,58.3,0.0,22.6,77.4,0.0,0.0
