0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
42,,,,,,Jhalokati Zila Total,157559,0.6,93.8,5.6,49.0,93.3,5.3,1.4
42,,,,,1,Jhalokati Zila,131951,0.3,93.1,6.6,43.6,97.6,1.1,1.2
42,,,,,2,Jhalokati Zila,19260,3.0,96.6,0.4,79.0,68.2,29.2,2.7
42,,,,,3,Jhalokati Zila,6348,0.0,99.5,0.5,70.8,79.4,18.7,1.8
42,40,,,,,Jhalokati Sadar Upazila Total,50083,1.2,97.5,1.3,56.5,87.8,10.3,1.9
42,40,,,,1,Jhalokati Sadar Upazila,37667,0.0,98.3,1.6,44.3,97.6,0.8,1.6
42,40,,,,2,Jhalokati Sadar Upazila,12234,4.6,94.9,0.4,94.0,57.5,39.7,2.7
42,40,,,,3,Jhalokati Sadar Upazila,182,0.0,100.0,0.0,79.1,97.8,0.5,1.6
,,,,,,Jhalokati Paurashava,,,,,,,,
42,40,01,,,,Ward No-01 Total,1318,3.9,94.9,1.2,94.8,61.9,34.8,3.3
42,40,01,109,,2,*Bikna,482,2.7,97.3,0.0,93.6,90.9,8.9,0.2
42,40,01,936,,2,*Paschim Chandkati 3,836,4.5,93.5,1.9,95.6,45.2,49.8,5.0
42,40,02,,,,Ward No-02 Total,1683,3.8,95.6,0.6,92.8,42.5,51.5,6.0
42,40,02,600,,2,*Madhya Chandkati,664,0.5,99.4,0.2,91.9,46.4,53.3,0.3
42,40,02,651,,2,*Purba Chandkati,232,0.0,100.0,0.0,90.5,34.9,58.2,6.9
42,40,02,700,,2,*Sarak Chandkati,252,8.7,91.3,0.0,95.6,27.8,57.5,14.7
42,40,02,800,,2,*Uttar Chandkati,401,9.7,88.0,2.2,91.5,59.9,29.2,11.0
42,40,02,988,,2,*Jailkhana,134,0.0,100.0,0.0,100.0,12.7,85.8,1.5
42,40,03,,,,Ward No-03 Total,1831,1.1,98.9,0.1,93.0,64.3,32.6,3.2
42,40,03,200,,2,*Jelepara,214,0.5,99.5,0.0,99.5,33.6,50.5,15.9
42,40,03,224,,2,*Krishnakati,1617,1.2,98.8,0.1,92.1,68.3,30.2,1.5
42,40,04,,,,Ward No-04 Total,909,3.2,96.8,0.0,96.7,45.1,52.3,2.6
42,40,04,117,,2,*Araddar Patty,127,5.5,94.5,0.0,100.0,48.0,51.2,0.8
42,40,04,200,,2,*Baher Road,231,3.5,96.5,0.0,98.7,27.7,70.6,1.7
42,40,04,225,,2,*Batasha Patty,13,38.5,61.5,0.0,100.0,30.8,69.2,0.0
42,40,04,234,,2,*Daktar Patty,96,0.0,100.0,0.0,100.0,41.7,57.3,1.0
42,40,04,500,,2,*Faria Patty,28,3.6,96.4,0.0,100.0,32.1,67.9,0.0
42,40,04,526,,2,*Kasari Patty,84,0.0,100.0,0.0,100.0,65.5,34.5,0.0
42,40,04,545,,2,*Kaparia Patty,25,8.0,92.0,0.0,100.0,40.0,60.0,0.0
42,40,04,654,,2,*Manohari Patty,18,27.8,72.2,0.0,100.0,38.9,61.1,0.0
42,40,04,729,,2,*Palbari Road,275,0.4,99.6,0.0,90.2,56.4,37.1,6.5
42,40,04,800,,2,*Sadupal Road,12,0.0,100.0,0.0,100.0,41.7,58.3,0.0
42,40,05,,,,Ward No-05 Total,1064,6.8,93.2,0.0,98.3,49.3,47.3,3.4
42,40,05,080,,2,*Akgrabari,164,6.7,93.3,0.0,96.3,55.5,44.5,0.0
42,40,05,095,,2,*Amtala Road,283,9.5,90.5,0.0,98.2,46.3,50.5,3.2
42,40,05,255,,2,*Fakir Bari (Ka),30,0.0,100.0,0.0,100.0,76.7,23.3,0.0
42,40,05,468,,2,*Kalibari Mahalla,92,7.6,92.4,0.0,100.0,65.2,34.8,0.0
42,40,05,595,,2,*Kamar Patty,88,0.0,100.0,0.0,97.7,48.9,51.1,0.0
42,40,05,659,,2,*Mudi Patty,83,14.5,85.5,0.0,100.0,45.8,54.2,0.0
42,40,05,723,,2,*Post Office Road,82,18.3,81.7,0.0,97.6,57.3,42.7,0.0
42,40,05,844,,2,*Shitlakhola,84,0.0,100.0,0.0,98.8,40.5,59.5,0.0
42,40,05,978,,2,*Thana Mahallah,158,0.0,100.0,0.0,98.7,36.7,46.2,17.1
42,40,06,,,,Ward No-06 Total,1037,0.0,100.0,0.0,87.2,75.9,23.9,0.2
42,40,06,038,,2,*Basanda,183,0.0,100.0,0.0,60.7,89.6,9.8,0.5
42,40,06,310,,2,*Ichia Nill,157,0.0,100.0,0.0,84.7,97.5,2.5,0.0
42,40,06,400,,2,*Nesarabad,388,0.0,100.0,0.0,100.0,43.6,56.2,0.3
42,40,06,739,,2,*Paschim Jhalakati(Ka),309,0.0,100.0,0.0,88.0,97.4,2.6,0.0
42,40,07,,,,Ward No-07 Total,1461,0.0,99.9,0.1,89.0,95.1,4.0,0.8
42,40,07,554,,2,*Kifaitnagar,785,0.0,100.0,0.0,82.7,98.5,0.8,0.8
42,40,07,720,,2,*Par Kifaitnagar,192,0.0,100.0,0.0,98.4,93.2,5.7,1.0
42,40,07,797,,2,*Ramnagar,181,0.0,100.0,0.0,98.9,97.8,0.6,1.7
