0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
44,,,,,,Jhenaidah Zila Total,706607,34.0,65.3,0.5,0.1,709765,20.8,70.2,8.1,0.9
44,,,,,1,Jhenaidah Zila,591601,33.6,65.8,0.5,0.1,596587,20.5,70.5,8.1,0.9
44,,,,,2,Jhenaidah Zila,111511,36.7,62.7,0.5,0.2,109574,23.0,68.2,7.8,1.0
44,,,,,3,Jhenaidah Zila,3495,31.9,67.5,0.4,0.1,3604,19.6,70.1,9.2,1.2
44,14,,,,,Harinakundu Upazila Total,79112,31.8,67.5,0.5,0.1,78840,19.3,71.8,8.1,0.8
44,14,,,,1,Harinakundu Upazila,67874,31.8,67.5,0.5,0.1,67549,19.2,72.0,8.1,0.7
44,14,,,,2,Harinakundu Upazila,8798,31.8,67.4,0.6,0.2,8784,19.9,71.0,7.9,1.3
44,14,,,,3,Harinakundu Upazila,2440,31.8,67.7,0.3,0.2,2507,19.1,70.0,9.8,1.2
44,14,,,,,Harinakundu Paurashava,8798,31.8,67.4,0.6,0.2,8784,19.9,71.0,7.9,1.3
44,14,01,,,,Ward No-01 Total,1101,30.1,69.2,0.5,0.2,1098,16.5,73.0,9.5,1.1
44,14,01,940,,2,*Sreerampur,164,27.4,72.6,0.0,0.0,180,13.9,73.9,12.2,0.0
44,14,01,943,,2,*Shurha,937,30.5,68.6,0.6,0.2,918,17.0,72.8,8.9,1.3
44,14,02,,,,Ward No-02 Total,465,33.1,66.0,0.0,0.9,474,19.4,69.2,9.5,1.9
44,14,02,723,,2,*Parbatipur (Part),465,33.1,66.0,0.0,0.9,474,19.4,69.2,9.5,1.9
44,14,03,,,,Ward No-03 Total,890,36.2,62.5,1.1,0.2,816,20.7,69.4,8.1,1.8
44,14,03,723,,2,*Parbatipur (Part),890,36.2,62.5,1.1,0.2,816,20.7,69.4,8.1,1.8
44,14,04,,,,Ward No-04 Total,885,32.3,66.3,0.9,0.5,865,18.4,68.1,11.7,1.8
44,14,04,227,,2,*Birampur,179,29.1,70.9,0.0,0.0,178,20.2,70.2,7.3,2.2
44,14,04,372,,2,*Chatuli Para,706,33.1,65.2,1.1,0.6,687,17.9,67.5,12.8,1.7
44,14,05,,,,Ward No-05 Total,915,31.5,68.1,0.0,0.4,928,21.7,69.3,8.3,0.8
44,14,05,387,,2,*Singa Part,72,31.9,68.1,0.0,0.0,73,17.8,71.2,11.0,0.0
44,14,05,438,,2,*Jorapukuria,516,32.2,67.8,0.0,0.0,519,21.6,70.3,7.7,0.4
44,14,05,543,,2,*Mandar Tala,327,30.3,68.5,0.0,1.2,336,22.6,67.3,8.6,1.5
44,14,06,,,,Ward No-06 Total,1341,32.0,67.2,0.8,0.0,1337,21.5,72.3,5.5,0.7
44,14,06,387,,2,*Harinakundu(Part),1341,32.0,67.2,0.8,0.0,1337,21.5,72.3,5.5,0.7
44,14,07,,,,Ward No-07 Total,1126,33.4,66.1,0.4,0.1,1158,23.2,67.4,8.2,1.1
44,14,07,387,,2,*Harinakundu(Part),1126,33.4,66.1,0.4,0.1,1158,23.2,67.4,8.2,1.1
44,14,08,,,,Ward No-08 Total,1011,29.3,69.9,0.7,0.1,1001,20.0,73.9,4.1,2.0
44,14,08,051,,2,*Baitha Para,660,30.3,69.4,0.3,0.0,651,20.0,74.0,3.2,2.8
