0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
44,,,,,,Jhenaidah Zila Total,4759,4694,51072,50126,81556,80213,23017,19869,63679,65474,13519,6451
44,,,,,1,Jhenaidah Zila,3486,3510,44155,43420,68923,68254,20102,17394,53536,55616,11532,5394
44,,,,,2,Jhenaidah Zila,1239,1152,6640,6470,12208,11542,2801,2354,9838,9525,1899,1028
44,,,,,3,Jhenaidah Zila,34,32,277,236,425,417,114,121,305,333,88,29
44,14,,,,,Harinakundu Upazila Total,502,485,5899,5616,9026,8975,2777,2323,6898,7236,1547,630
44,14,,,,1,Harinakundu Upazila,361,351,5109,4875,7620,7664,2457,2030,5938,6193,1304,547
44,14,,,,2,Harinakundu Upazila,118,112,598,576,1090,1012,252,222,741,804,194,68
44,14,,,,3,Harinakundu Upazila,23,22,192,165,316,299,68,71,219,239,49,15
44,14,,,,,Harinakundu Paurashava,118,112,598,576,1090,1012,252,222,741,804,194,68
44,14,01,,,,Ward No-01 Total,6,4,103,86,129,141,56,29,97,88,33,11
44,14,01,940,,2,*Sreerampur,0,0,18,12,25,32,9,2,19,18,1,0
44,14,01,943,,2,*Shurha,6,4,85,74,104,109,47,27,78,70,32,11
44,14,02,,,,Ward No-02 Total,4,2,47,40,43,55,21,18,33,42,11,2
44,14,02,723,,2,*Parbatipur (Part),4,2,47,40,43,55,21,18,33,42,11,2
44,14,03,,,,Ward No-03 Total,7,14,57,66,110,86,29,20,89,61,11,9
44,14,03,723,,2,*Parbatipur (Part),7,14,57,66,110,86,29,20,89,61,11,9
44,14,04,,,,Ward No-04 Total,10,8,56,55,106,92,18,17,70,74,21,4
44,14,04,227,,2,*Birampur,2,0,9,9,22,18,8,6,14,17,4,0
44,14,04,372,,2,*Chatuli Para,8,8,47,46,84,74,10,11,56,57,17,4
44,14,05,,,,Ward No-05 Total,4,4,68,79,131,97,24,17,84,106,17,3
44,14,05,387,,2,*Singa Part,0,0,8,1,15,9,0,2,13,5,1,0
44,14,05,438,,2,*Jorapukuria,0,1,29,49,76,53,18,10,42,69,12,2
44,14,05,543,,2,*Mandar Tala,4,3,31,29,40,35,6,5,29,32,4,1
44,14,06,,,,Ward No-06 Total,20,32,71,62,193,159,30,36,87,110,31,14
44,14,06,387,,2,*Harinakundu(Part),20,32,71,62,193,159,30,36,87,110,31,14
