0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
44,,,,,,Jhenaidah Zila Total,233138,224118,9020,183835,2530,10484,1373,29799,5117
44,,,,,1,Jhenaidah Zila,205773,199133,6640,171539,2306,8425,1077,19169,3257
44,,,,,2,Jhenaidah Zila,25783,23437,2346,10917,216,1987,290,10533,1840
44,,,,,3,Jhenaidah Zila,1582,1548,34,1379,8,72,6,97,20
44,14,,,,,Harinakundu Upazila Total,33098,32321,777,29867,425,1085,169,1369,183
44,14,,,,1,Harinakundu Upazila,28772,28186,586,26296,356,834,103,1056,127
44,14,,,,2,Harinakundu Upazila,3255,3069,186,2529,64,243,66,297,56
44,14,,,,3,Harinakundu Upazila,1071,1066,5,1042,5,8,0,16,0
44,14,,,,,Harinakundu Paurashava,3255,3069,186,2529,64,243,66,297,56
44,14,01,,,,Ward No-01 Total,466,462,4,448,4,3,0,11,0
44,14,01,940,,2,*Sreerampur,75,75,0,74,0,0,0,1,0
44,14,01,943,,2,*Shurha,391,387,4,374,4,3,0,10,0
44,14,02,,,,Ward No-02 Total,220,220,0,201,0,12,0,7,0
44,14,02,723,,2,*Parbatipur (Part),220,220,0,201,0,12,0,7,0
44,14,03,,,,Ward No-03 Total,281,260,21,128,2,19,1,113,18
44,14,03,723,,2,*Parbatipur (Part),281,260,21,128,2,19,1,113,18
44,14,04,,,,Ward No-04 Total,311,270,41,209,32,47,1,14,8
44,14,04,227,,2,*Birampur,79,79,0,69,0,9,0,1,0
44,14,04,372,,2,*Chatuli Para,232,191,41,140,32,38,1,13,8
44,14,05,,,,Ward No-05 Total,376,373,3,347,3,25,0,1,0
44,14,05,387,,2,*Singa Part,17,17,0,16,0,1,0,0,0
44,14,05,438,,2,*Jorapukuria,233,233,0,221,0,12,0,0,0
44,14,05,543,,2,*Mandar Tala,126,123,3,110,3,12,0,1,0
44,14,06,,,,Ward No-06 Total,307,293,14,202,4,12,3,79,7
44,14,06,387,,2,*Harinakundu(Part),307,293,14,202,4,12,3,79,7
44,14,07,,,,Ward No-07 Total,303,287,16,223,8,41,0,23,8
44,14,07,387,,2,*Harinakundu(Part),303,287,16,223,8,41,0,23,8
44,14,08,,,,Ward No-08 Total,488,433,55,360,5,67,44,6,6
44,14,08,051,,2,*Baitha Para,366,312,54,245,4,67,44,0,6
44,14,08,231,,2,*Dignagar,65,64,1,58,1,0,0,6,0
44,14,08,749,,2,*Parphalsi (Part),57,57,0,57,0,0,0,0,0
