0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
44,,,,,,Jhenaidah Zila Total,421300,2.4,95.2,2.4,58.6,94.4,3.5,2.1
44,,,,,1,Jhenaidah Zila,355164,0.2,97.3,2.5,54.6,97.4,0.7,1.9
44,,,,,2,Jhenaidah Zila,63920,14.5,83.6,1.9,81.4,78.1,18.8,3.0
44,,,,,3,Jhenaidah Zila,2216,0.3,99.6,0.1,32.2,89.7,0.0,10.3
44,14,,,,,Harinakundu Upazila Total,48137,0.3,97.4,2.4,51.7,97.8,0.8,1.3
44,14,,,,1,Harinakundu Upazila,41232,0.2,97.6,2.2,50.9,98.7,0.2,1.1
44,14,,,,2,Harinakundu Upazila,5366,0.9,94.6,4.5,66.0,90.7,5.8,3.4
44,14,,,,3,Harinakundu Upazila,1539,0.4,99.5,0.1,24.2,99.1,0.0,0.9
44,14,,,,,Harinakundu Paurashava,5366,0.9,94.6,4.5,66.0,90.7,5.8,3.4
44,14,01,,,,Ward No-01 Total,722,0.0,88.4,11.6,50.8,93.1,0.6,6.4
44,14,01,940,,2,*Sreerampur,111,0.0,98.2,1.8,53.2,100.0,0.0,0.0
44,14,01,943,,2,*Shurha,611,0.0,86.6,13.4,50.4,91.8,0.7,7.5
44,14,02,,,,Ward No-02 Total,311,0.0,100.0,0.0,49.2,97.4,0.0,2.6
44,14,02,723,,2,*Parbatipur (Part),311,0.0,100.0,0.0,49.2,97.4,0.0,2.6
44,14,03,,,,Ward No-03 Total,498,1.8,88.2,10.0,74.9,87.8,7.2,5.0
44,14,03,723,,2,*Parbatipur (Part),498,1.8,88.2,10.0,74.9,87.8,7.2,5.0
44,14,04,,,,Ward No-04 Total,522,1.0,95.0,4.0,70.9,90.4,6.1,3.4
44,14,04,227,,2,*Birampur,109,0.0,87.2,12.8,45.0,99.1,0.9,0.0
44,14,04,372,,2,*Chatuli Para,413,1.2,97.1,1.7,77.7,88.1,7.5,4.4
44,14,05,,,,Ward No-05 Total,593,0.0,99.0,1.0,73.9,99.7,0.0,0.3
44,14,05,387,,2,*Singa Part,44,0.0,100.0,0.0,34.1,100.0,0.0,0.0
44,14,05,438,,2,*Jorapukuria,324,0.0,98.1,1.9,74.1,99.4,0.0,0.6
44,14,05,543,,2,*Mandar Tala,225,0.0,100.0,0.0,81.3,100.0,0.0,0.0
44,14,06,,,,Ward No-06 Total,772,1.7,97.9,0.4,78.2,86.0,13.2,0.8
44,14,06,387,,2,*Harinakundu(Part),772,1.7,97.9,0.4,78.2,86.0,13.2,0.8
44,14,07,,,,Ward No-07 Total,677,2.1,95.9,2.1,67.2,86.7,10.6,2.7
44,14,07,387,,2,*Harinakundu(Part),677,2.1,95.9,2.1,67.2,86.7,10.6,2.7
44,14,08,,,,Ward No-08 Total,595,1.0,96.1,2.9,62.9,90.9,0.7,8.4
44,14,08,051,,2,*Baitha Para,381,1.3,94.2,4.5,70.9,85.8,1.0,13.1
44,14,08,231,,2,*Dignagar,99,0.0,100.0,0.0,30.3,100.0,0.0,0.0
44,14,08,749,,2,*Parphalsi (Part),115,0.9,99.1,0.0,64.3,100.0,0.0,0.0
44,14,09,,,,Ward No-09 Total,676,0.0,92.8,7.2,60.5,89.1,9.3,1.6
44,14,09,232,,2,*Chatkabaria,264,0.0,81.4,18.6,45.8,97.3,1.1,1.5
44,14,09,387,,2,*Harinakunda (Part),212,0.0,100.0,0.0,86.3,69.8,28.3,1.9
44,14,09,770,,2,*Paltadanga (Part),200,0.0,100.0,0.0,52.5,98.5,0.0,1.5
44,14,10,,,,Bhayna Union Total,5716,0.4,98.0,1.6,54.4,99.0,0.2,0.8
44,14,10,031,,1,*Baga Char,252,0.4,99.6,0.0,9.9,99.6,0.0,0.4
44,14,10,064,,1,*Bakchua Lakshmipur,2108,0.9,97.2,1.9,64.9,99.1,0.6,0.3
44,14,10,064,01,1,Bakchua,713,2.4,96.8,0.8,80.9,98.2,1.7,0.1
44,14,10,064,02,1,Lakshmipur,396,0.0,99.7,0.3,75.5,99.0,0.0,1.0
44,14,10,064,03,1,Doubila,262,0.4,99.6,0.0,76.3,100.0,0.0,0.0
44,14,10,064,04,1,Haria Ghata,436,0.0,98.2,1.8,39.4,99.8,0.0,0.2
44,14,10,064,05,1,Bahadurpur,301,0.0,91.7,8.3,39.9,99.7,0.0,0.3
44,14,10,167,,1,*Bhayna,1320,0.1,99.2,0.7,55.7,99.9,0.1,0.0
44,14,10,219,,1,*Char Bishnudia,64,0.0,93.8,6.3,37.5,100.0,0.0,0.0
44,14,10,503,,1,*Kalisankarpur,368,0.3,97.3,2.4,68.5,100.0,0.0,0.0
44,14,10,607,,1,*Mali Para Rahimpur,428,0.0,94.4,5.6,66.6,100.0,0.0,0.0
44,14,10,607,01,1,Mali Para,293,0.0,92.8,7.2,73.4,100.0,0.0,0.0
44,14,10,607,02,1,Rahimpur,135,0.0,97.8,2.2,51.9,100.0,0.0,0.0
44,14,10,969,,1,*Tailtupi,1176,0.3,99.1,0.6,36.0,96.9,0.0,3.1
44,14,21,,,,Chandpur Union Total,6473,0.1,99.2,0.8,57.8,99.2,0.2,0.6
44,14,21,090,,1,*Basudebpur,434,0.0,100.0,0.0,40.6,99.5,0.0,0.5
44,14,21,090,01,1,Basudebpur,341,0.0,100.0,0.0,44.0,99.4,0.0,0.6
