0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
38,,,,,,Joypurhat Zila Total,242556,241994,115,447,913768,459284,454484,101
38,,,,,1,Joypurhat Zila,206361,206157,70,134,769858,386599,383259,101
38,,,,,2,Joypurhat Zila,33045,32696,42,307,132199,66863,65336,102
38,,,,,3,Joypurhat Zila,3150,3141,3,6,11711,5822,5889,99
38,13,,,,,Akkelpur Upazila Total,36638,36600,11,27,137619,68333,69286,99
38,13,,,,1,Akkelpur Upazila,30357,30330,8,19,113392,56204,57188,98
38,13,,,,2,Akkelpur Upazila,6281,6270,3,8,24227,12129,12098,100
38,13,,,,2,Akkelpur  Paurashava,6281,6270,3,8,24227,12129,12098,100
38,13,01,,,,Ward No-01 Total,457,457,0,0,1708,869,839,104
38,13,01,068,,2,*Amatta,457,457,0,0,1708,869,839,104
38,13,02,,,,Ward No-02 Total,986,986,0,0,3830,1945,1885,103
38,13,02,128,,2,*Beharpur-Part,568,568,0,0,2245,1158,1087,107
38,13,02,823,,2,*Rajkhanda,276,276,0,0,1057,531,526,101
38,13,02,969,,2,*Thengapur,142,142,0,0,528,256,272,94
38,13,03,,,,Ward No-03 Total,477,477,0,0,1773,859,914,94
38,13,03,034,,2,*Akkelpur (Part)(Paschim),477,477,0,0,1773,859,914,94
38,13,04,,,,Ward No-04 Total,980,973,2,5,3796,1903,1893,101
38,13,04,034,,2,*Akkelpur (Part)(Purba),980,973,2,5,3796,1903,1893,101
38,13,05,,,,Ward No-05 Total,561,558,0,3,2261,1120,1141,98
38,13,05,420,,2,*Hastabasantapur(Part)(Paschim),561,558,0,3,2261,1120,1141,98
38,13,06,,,,Ward No-06 Total,725,725,0,0,2835,1400,1435,98
38,13,06,420,,2,*Hastabasantapur(Part)(Purba),388,388,0,0,1548,781,767,102
38,13,06,917,,2,*Srikristapur,337,337,0,0,1287,619,668,93
38,13,07,,,,Ward No-07 Total,726,726,0,0,2736,1386,1350,103
38,13,07,377,,2,*Gurki,102,102,0,0,391,202,189,107
38,13,07,557,,2,*Keshabpur,624,624,0,0,2345,1184,1161,102
38,13,08,,,,Ward No-08 Total,591,591,0,0,2388,1172,1216,96
38,13,08,651,,2,*Manikpara,224,224,0,0,848,424,424,100
38,13,08,874,,2,*Santa,367,367,0,0,1540,748,792,94
38,13,09,,,,Ward No-09 Total,778,777,1,0,2900,1475,1425,104
38,13,09,231,,2,*Chakrapara,560,560,0,0,2087,1038,1049,99
38,13,09,628,,2,*Mokimpur,218,217,1,0,813,437,376,116
38,13,15,,,,Gopinathpur Union Total,6285,6281,3,1,23318,11626,11692,99
38,13,15,008,,1,*Abadpur,412,412,0,0,1552,768,784,98
38,13,15,025,,1,*Ahladipur,298,298,0,0,1018,499,519,96
38,13,15,025,01,1,Khayerkuri,64,64,0,0,222,110,112,98
38,13,15,025,02,1,Ahladipur,234,234,0,0,796,389,407,96
38,13,15,042,,1,*Ali Mohammadpur,287,287,0,0,1013,507,506,100
38,13,15,111,,1,*Barail,426,426,0,0,1544,765,779,98
38,13,15,137,,1,*Belgharia,195,195,0,0,689,340,349,97
38,13,15,137,01,1,Belgharia,55,55,0,0,215,104,111,94
38,13,15,137,02,1,Ratnahar,140,140,0,0,474,236,238,99
38,13,15,171,,1,*Bhanurkanda,179,179,0,0,710,365,345,106
38,13,15,197,,1,*Bhikni,316,314,1,1,1214,641,573,112
38,13,15,240,,1,*Chapagachhi,268,268,0,0,863,417,446,93
38,13,15,283,,1,*Dhekuncha,110,110,0,0,392,190,202,94
38,13,15,291,,1,*Dioal,228,228,0,0,861,429,432,99
38,13,15,300,,1,*Dulali,259,259,0,0,969,483,486,99
38,13,15,343,,1,*Gopalpur,748,747,1,0,2959,1503,1456,103
38,13,15,368,,1,*Gundimsara,181,181,0,0,729,387,342,113
38,13,15,394,,1,*Haripur,125,125,0,0,431,201,230,87
38,13,15,394,01,1,Haripur,45,45,0,0,171,76,95,80
38,13,15,394,02,1,Lochanpara,80,80,0,0,260,125,135,93
38,13,15,411,,1,*Harisara,251,251,0,0,865,418,447,94
38,13,15,437,,1,*Hossainnagar,110,110,0,0,424,220,204,108
38,13,15,480,,1,*Jogibhita,186,186,0,0,625,289,336,86
38,13,15,531,,1,*Kasira,448,448,0,0,1793,851,942,90
38,13,15,600,,1,*Lakshmibhatta,126,126,0,0,443,237,206,115
38,13,15,617,,1,*Mohitair,317,316,1,0,1161,601,560,107
38,13,15,806,,1,*Purna Gopinathpur,221,221,0,0,792,408,384,106
