0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
38,,,,,,Joypurhat Zila Total,913768,8.4,10.2,9.9,7.8,8.7,10.1,29.0,7.5,3.1,5.2
38,,,,,1,Joypurhat Zila,769858,8.5,10.3,9.9,7.6,8.5,10.1,28.9,7.6,3.2,5.3
38,,,,,2,Joypurhat Zila,132199,8.0,9.5,10.0,9.1,9.7,10.1,29.4,7.1,2.7,4.3
38,,,,,3,Joypurhat Zila,11711,7.8,9.8,9.4,7.3,8.5,10.3,31.1,7.9,2.7,5.0
38,13,,,,,Akkelpur Upazila Total,137619,8.5,10.5,9.6,7.6,8.5,9.8,28.7,7.7,3.4,5.6
38,13,,,,1,Akkelpur Upazila,113392,8.5,10.6,9.5,7.5,8.5,9.9,28.5,7.9,3.4,5.8
38,13,,,,2,Akkelpur Upazila,24227,8.8,10.0,9.9,8.4,8.7,9.4,29.4,7.2,3.1,5.1
38,13,,,,2,Akkelpur  Paurashava,24227,8.8,10.0,9.9,8.4,8.7,9.4,29.4,7.2,3.1,5.1
38,13,01,,,,Ward No-01 Total,1708,9.7,9.8,8.5,7.6,7.6,11.0,28.4,8.1,3.5,5.9
38,13,01,068,,2,*Amatta,1708,9.7,9.8,8.5,7.6,7.6,11.0,28.4,8.1,3.5,5.9
38,13,02,,,,Ward No-02 Total,3830,9.0,11.1,9.5,7.3,9.4,9.3,30.3,6.3,2.8,5.1
38,13,02,128,,2,*Beharpur-Part,2245,9.0,10.6,9.4,7.9,9.5,9.4,29.8,6.2,3.2,5.0
38,13,02,823,,2,*Rajkhanda,1057,9.3,11.6,9.6,7.1,9.6,8.1,31.4,6.7,1.6,4.9
38,13,02,969,,2,*Thengapur,528,8.1,12.5,9.1,5.3,8.5,11.4,29.7,6.1,3.6,5.7
38,13,03,,,,Ward No-03 Total,1773,8.7,9.5,9.0,8.5,7.4,10.2,29.6,8.1,3.6,5.5
38,13,03,034,,2,*Akkelpur (Part)(Paschim),1773,8.7,9.5,9.0,8.5,7.4,10.2,29.6,8.1,3.6,5.5
38,13,04,,,,Ward No-04 Total,3796,8.1,10.4,10.5,8.4,8.3,9.7,31.3,6.6,2.5,4.2
38,13,04,034,,2,*Akkelpur (Part)(Purba),3796,8.1,10.4,10.5,8.4,8.3,9.7,31.3,6.6,2.5,4.2
38,13,05,,,,Ward No-05 Total,2261,9.4,9.5,10.1,9.6,8.9,8.8,28.1,6.9,2.8,5.8
38,13,05,420,,2,*Hastabasantapur(Part)(Paschim),2261,9.4,9.5,10.1,9.6,8.9,8.8,28.1,6.9,2.8,5.8
38,13,06,,,,Ward No-06 Total,2835,8.0,8.9,10.9,8.8,8.4,9.5,28.9,8.4,3.1,5.2
38,13,06,420,,2,*Hastabasantapur(Part)(Purba),1548,7.6,8.3,10.3,8.8,8.9,9.3,29.3,8.7,3.6,5.3
38,13,06,917,,2,*Srikristapur,1287,8.5,9.6,11.7,8.8,7.7,9.6,28.5,8.1,2.5,5.1
38,13,07,,,,Ward No-07 Total,2736,8.8,9.6,10.0,9.2,8.4,8.5,29.6,8.3,3.0,4.6
38,13,07,377,,2,*Gurki,391,9.0,9.2,10.5,6.4,9.2,9.0,25.6,10.5,3.3,7.4
38,13,07,557,,2,*Keshabpur,2345,8.8,9.6,9.9,9.7,8.2,8.4,30.2,7.9,3.0,4.1
38,13,08,,,,Ward No-08 Total,2388,8.5,9.9,10.3,7.7,9.8,9.7,28.3,6.3,3.9,5.4
38,13,08,651,,2,*Manikpara,848,8.3,10.6,8.8,7.2,12.0,11.4,28.8,5.9,2.1,4.8
38,13,08,874,,2,*Santa,1540,8.7,9.5,11.1,8.0,8.6,8.8,28.1,6.6,4.9,5.8
38,13,09,,,,Ward No-09 Total,2900,9.9,10.3,9.7,8.4,9.1,8.8,28.8,6.9,3.4,4.8
38,13,09,231,,2,*Chakrapara,2087,10.6,10.3,8.3,8.2,9.7,9.0,28.7,6.8,3.6,4.8
38,13,09,628,,2,*Mokimpur,813,8.0,10.3,13.2,8.9,7.5,8.5,28.8,7.3,3.0,4.7
38,13,15,,,,Gopinathpur Union Total,23318,8.3,10.6,9.7,7.0,7.7,9.8,29.1,8.2,3.5,6.0
38,13,15,008,,1,*Abadpur,1552,7.6,11.7,10.7,7.7,7.8,8.9,28.0,7.0,3.4,7.2
38,13,15,025,,1,*Ahladipur,1018,8.9,11.9,10.3,4.1,7.4,9.4,32.5,6.4,4.0,5.0
38,13,15,025,01,1,Khayerkuri,222,10.4,11.3,6.8,3.6,10.4,9.0,32.0,7.7,2.3,6.8
38,13,15,025,02,1,Ahladipur,796,8.5,12.1,11.3,4.3,6.5,9.5,32.7,6.0,4.5,4.5
38,13,15,042,,1,*Ali Mohammadpur,1013,7.5,11.6,8.1,6.5,9.4,11.1,33.4,6.8,2.4,3.3
38,13,15,111,,1,*Barail,1544,9.3,12.4,9.7,5.3,8.9,11.1,28.4,7.5,3.2,4.3
38,13,15,137,,1,*Belgharia,689,6.0,10.9,7.7,9.6,7.3,10.0,30.3,7.3,3.2,7.8
38,13,15,137,01,1,Belgharia,215,4.7,13.0,6.0,11.2,7.0,10.2,31.2,7.9,3.7,5.1
38,13,15,137,02,1,Ratnahar,474,6.5,9.9,8.4,8.9,7.4,9.9,30.0,7.0,3.0,9.1
38,13,15,171,,1,*Bhanurkanda,710,8.0,11.1,8.2,7.5,9.6,11.0,27.6,6.9,4.2,5.9
38,13,15,197,,1,*Bhikni,1214,6.6,10.2,12.3,7.4,7.9,8.6,28.8,8.5,3.0,6.7
38,13,15,240,,1,*Chapagachhi,863,10.4,10.9,7.3,4.3,5.7,14.3,27.2,8.5,5.3,6.1
38,13,15,283,,1,*Dhekuncha,392,8.9,9.7,8.4,7.1,7.9,11.2,31.1,6.6,2.3,6.6
38,13,15,291,,1,*Dioal,861,8.1,9.3,9.2,7.4,8.0,10.9,26.7,8.7,4.3,7.3
