0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
38,,,,,,Joypurhat Zila Total,459645,340002,246240,154891,213405,185111,57.5,61.4,53.5
38,,,,,1,Joypurhat Zila,370797,301747,198887,138029,171910,163718,55.1,59.0,51.2
38,,,,,2,Joypurhat Zila,82686,34035,44123,14931,38563,19104,70.8,74.7,66.9
38,,,,,3,Joypurhat Zila,6162,4220,3230,1931,2932,2289,59.4,62.6,56.2
38,13,,,,,Akkelpur Upazila Total,68441,51745,35972,23382,32469,28363,56.9,60.6,53.4
38,13,,,,1,Akkelpur Upazila,55058,43966,28905,19904,26153,24062,55.6,59.2,52.1
38,13,,,,2,Akkelpur Upazila,13383,7779,7067,3478,6316,4301,63.2,67.0,59.5
38,13,,,,2,Akkelpur  Paurashava,13383,7779,7067,3478,6316,4301,63.2,67.0,59.5
38,13,01,,,,Ward No-01 Total,909,556,490,246,419,310,62.0,66.6,57.5
38,13,01,068,,2,*Amatta,909,556,490,246,419,310,62.0,66.6,57.5
38,13,02,,,,Ward No-02 Total,2029,1297,1053,603,976,694,61.0,63.6,58.4
38,13,02,128,,2,*Beharpur-Part,1336,625,709,283,627,342,68.1,71.5,64.7
38,13,02,823,,2,*Rajkhanda,502,410,248,197,254,213,55.0,55.7,54.4
38,13,02,969,,2,*Thengapur,191,262,96,123,95,139,42.2,43.8,40.6
38,13,03,,,,Ward No-03 Total,1212,338,626,121,586,217,78.2,83.8,73.0
38,13,03,034,,2,*Akkelpur (Part)(Paschim),1212,338,626,121,586,217,78.2,83.8,73.0
38,13,04,,,,Ward No-04 Total,2545,798,1334,329,1211,469,76.1,80.2,72.1
38,13,04,034,,2,*Akkelpur (Part)(Purba),2545,798,1334,329,1211,469,76.1,80.2,72.1
38,13,05,,,,Ward No-05 Total,1099,873,587,383,512,490,55.7,60.5,51.1
38,13,05,420,,2,*Hastabasantapur(Part)(Paschim),1099,873,587,383,512,490,55.7,60.5,51.1
38,13,06,,,,Ward No-06 Total,1551,950,816,437,735,513,62.0,65.1,58.9
38,13,06,420,,2,*Hastabasantapur(Part)(Purba),968,412,521,185,447,227,70.1,73.8,66.3
