0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
38,,,,,,Joypurhat Zila Total,21324,16160,16195,17722,6679,2900,26665,43102,1283,375,40920,49472
38,,,,,1,Joypurhat Zila,17334,12380,13922,14918,4350,1805,22726,36621,864,240,34705,41649
38,,,,,2,Joypurhat Zila,3719,3584,2110,2575,2271,1056,3591,5933,407,129,5667,7179
38,,,,,3,Joypurhat Zila,271,196,163,229,58,39,348,548,12,6,548,644
38,13,,,,,Akkelpur Upazila Total,3062,2317,2344,2795,698,353,3952,6708,144,60,5777,7490
38,13,,,,1,Akkelpur Upazila,2495,1852,1897,2248,561,278,3224,5549,116,43,4824,6206
38,13,,,,2,Akkelpur Upazila,567,465,447,547,137,75,728,1159,28,17,953,1284
38,13,,,,2,Akkelpur  Paurashava,567,465,447,547,137,75,728,1159,28,17,953,1284
38,13,01,,,,Ward No-01 Total,37,25,38,30,4,1,42,82,0,0,73,115
38,13,01,068,,2,*Amatta,37,25,38,30,4,1,42,82,0,0,73,115
38,13,02,,,,Ward No-02 Total,90,59,57,75,24,13,112,210,7,1,154,194
38,13,02,128,,2,*Beharpur-Part,57,33,40,48,16,6,65,126,7,0,89,114
38,13,02,823,,2,*Rajkhanda,24,16,14,21,8,5,36,52,0,1,43,42
38,13,02,969,,2,*Thengapur,9,10,3,6,0,2,11,32,0,0,22,38
38,13,03,,,,Ward No-03 Total,45,43,25,38,10,9,43,69,5,1,58,116
38,13,03,034,,2,*Akkelpur (Part)(Paschim),45,43,25,38,10,9,43,69,5,1,58,116
38,13,04,,,,Ward No-04 Total,98,105,47,69,32,13,101,168,8,4,134,224
38,13,04,034,,2,*Akkelpur (Part)(Purba),98,105,47,69,32,13,101,168,8,4,134,224
38,13,05,,,,Ward No-05 Total,37,36,57,87,7,12,79,104,1,6,91,101
38,13,05,420,,2,*Hastabasantapur(Part)(Paschim),37,36,57,87,7,12,79,104,1,6,91,101
38,13,06,,,,Ward No-06 Total,76,58,53,62,14,4,93,126,3,3,131,131
38,13,06,420,,2,*Hastabasantapur(Part)(Purba),50,35,25,26,13,4,52,69,3,3,67,71
38,13,06,917,,2,*Srikristapur,26,23,28,36,1,0,41,57,0,0,64,60
38,13,07,,,,Ward No-07 Total,71,53,65,63,13,2,90,124,1,1,106,125
38,13,07,377,,2,*Gurki,7,7,10,1,1,1,11,23,0,0,18,17
38,13,07,557,,2,*Keshabpur,64,46,55,62,12,1,79,101,1,1,88,108
38,13,08,,,,Ward No-08 Total,46,44,41,53,18,9,79,129,1,1,95,135
38,13,08,651,,2,*Manikpara,17,10,13,21,8,3,41,50,0,0,39,58
38,13,08,874,,2,*Santa,29,34,28,32,10,6,38,79,1,1,56,77
38,13,09,,,,Ward No-09 Total,67,42,64,70,15,12,89,147,2,0,111,143
