0,1,2,3,4,5,6,7,8,9,10,11,12
38,,,,,,Joypurhat Zila Total,913768,819235,80696,4822,127,8888
38,,,,,1,Joypurhat Zila,769858,693000,64714,4324,127,7693
38,,,,,2,Joypurhat Zila,132199,115516,15004,495,0,1184
38,,,,,3,Joypurhat Zila,11711,10719,978,3,0,11
38,13,,,,,Akkelpur Upazila Total,137619,128371,8718,5,0,525
38,13,,,,1,Akkelpur Upazila,113392,106429,6518,5,0,440
38,13,,,,2,Akkelpur Upazila,24227,21942,2200,0,0,85
38,13,,,,2,Akkelpur  Paurashava,24227,21942,2200,0,0,85
38,13,01,,,,Ward No-01 Total,1708,1705,3,0,0,0
38,13,01,068,,2,*Amatta,1708,1705,3,0,0,0
38,13,02,,,,Ward No-02 Total,3830,3095,735,0,0,0
38,13,02,128,,2,*Beharpur-Part,2245,1603,642,0,0,0
38,13,02,823,,2,*Rajkhanda,1057,964,93,0,0,0
38,13,02,969,,2,*Thengapur,528,528,0,0,0,0
38,13,03,,,,Ward No-03 Total,1773,1512,257,0,0,4
38,13,03,034,,2,*Akkelpur (Part)(Paschim),1773,1512,257,0,0,4
38,13,04,,,,Ward No-04 Total,3796,3610,167,0,0,19
38,13,04,034,,2,*Akkelpur (Part)(Purba),3796,3610,167,0,0,19
38,13,05,,,,Ward No-05 Total,2261,2076,185,0,0,0
38,13,05,420,,2,*Hastabasantapur(Part)(Paschim),2261,2076,185,0,0,0
38,13,06,,,,Ward No-06 Total,2835,2418,417,0,0,0
38,13,06,420,,2,*Hastabasantapur(Part)(Purba),1548,1138,410,0,0,0
38,13,06,917,,2,*Srikristapur,1287,1280,7,0,0,0
38,13,07,,,,Ward No-07 Total,2736,2624,112,0,0,0
38,13,07,377,,2,*Gurki,391,389,2,0,0,0
38,13,07,557,,2,*Keshabpur,2345,2235,110,0,0,0
38,13,08,,,,Ward No-08 Total,2388,2124,264,0,0,0
38,13,08,651,,2,*Manikpara,848,732,116,0,0,0
38,13,08,874,,2,*Santa,1540,1392,148,0,0,0
38,13,09,,,,Ward No-09 Total,2900,2778,60,0,0,62
38,13,09,231,,2,*Chakrapara,2087,2064,23,0,0,0
38,13,09,628,,2,*Mokimpur,813,714,37,0,0,62
38,13,15,,,,Gopinathpur Union Total,23318,21533,1726,0,0,59
38,13,15,008,,1,*Abadpur,1552,1395,98,0,0,59
38,13,15,025,,1,*Ahladipur,1018,911,107,0,0,0
38,13,15,025,01,1,Khayerkuri,222,115,107,0,0,0
38,13,15,025,02,1,Ahladipur,796,796,0,0,0,0
38,13,15,042,,1,*Ali Mohammadpur,1013,903,110,0,0,0
38,13,15,111,,1,*Barail,1544,1544,0,0,0,0
38,13,15,137,,1,*Belgharia,689,689,0,0,0,0
38,13,15,137,01,1,Belgharia,215,215,0,0,0,0
38,13,15,137,02,1,Ratnahar,474,474,0,0,0,0
38,13,15,171,,1,*Bhanurkanda,710,710,0,0,0,0
38,13,15,197,,1,*Bhikni,1214,1208,6,0,0,0
38,13,15,240,,1,*Chapagachhi,863,821,42,0,0,0
38,13,15,283,,1,*Dhekuncha,392,392,0,0,0,0
38,13,15,291,,1,*Dioal,861,861,0,0,0,0
38,13,15,300,,1,*Dulali,969,969,0,0,0,0
38,13,15,343,,1,*Gopalpur,2959,2304,655,0,0,0
38,13,15,368,,1,*Gundimsara,729,592,137,0,0,0
38,13,15,394,,1,*Haripur,431,431,0,0,0,0
38,13,15,394,01,1,Haripur,171,171,0,0,0,0
38,13,15,394,02,1,Lochanpara,260,260,0,0,0,0
38,13,15,411,,1,*Harisara,865,837,28,0,0,0
38,13,15,437,,1,*Hossainnagar,424,226,198,0,0,0
38,13,15,480,,1,*Jogibhita,625,623,2,0,0,0
38,13,15,531,,1,*Kasira,1793,1450,343,0,0,0
38,13,15,600,,1,*Lakshmibhatta,443,443,0,0,0,0
38,13,15,617,,1,*Mohitair,1161,1161,0,0,0,0
38,13,15,806,,1,*Purna Gopinathpur,792,792,0,0,0,0
38,13,15,900,,1,*Sonai,485,485,0,0,0,0
38,13,15,960,,1,*Temaria,1215,1215,0,0,0,0
38,13,15,960,01,1,Temaria,724,724,0,0,0,0
38,13,15,960,02,1,Nohar Para,372,372,0,0,0,0
38,13,15,960,03,1,Daskuri,119,119,0,0,0,0
38,13,15,986,,1,*Suchhisti,571,571,0,0,0,0
38,13,31,,,,Raikali Union Total,23475,21994,1477,4,0,0
38,13,31,060,,1,*Amanpur,709,709,0,0,0,0
38,13,31,077,,1,*Ambari,1253,1207,46,0,0,0
38,13,31,077,01,1,Ambari,608,562,46,0,0,0
38,13,31,077,02,1,Baluka Para,380,380,0,0,0,0
38,13,31,077,03,1,Khapara,265,265,0,0,0,0
38,13,31,102,,1,*Bagirbaria,1011,1011,0,0,0,0
38,13,31,102,01,1,Chandrapail,326,326,0,0,0,0
38,13,31,102,02,1,Harinatara,228,228,0,0,0,0
38,13,31,102,03,1,Bagirbaria,457,457,0,0,0,0
38,13,31,248,,1,*Chiarigram,2620,2620,0,0,0,0
38,13,31,248,01,1,Banamali Para,1158,1158,0,0,0,0
38,13,31,248,02,1,Chak Bishturampur,1462,1462,0,0,0,0
38,13,31,265,,1,*Debisaul,1184,1184,0,0,0,0
38,13,31,274,,1,*Deora,1930,1211,715,4,0,0
38,13,31,274,01,1,Chak Budhai,399,399,0,0,0,0
38,13,31,274,02,1,Chak Bhabani,895,176,715,4,0,0
38,13,31,274,03,1,Deora,636,636,0,0,0,0
38,13,31,360,,1,*Gudamba Dashara,1324,1324,0,0,0,0
38,13,31,403,,1,*Harisadi,629,565,64,0,0,0
38,13,31,463,,1,*Jagati Dola Para,743,681,62,0,0,0
38,13,31,497,,1,*Kalanja Rasalpur,864,864,0,0,0,0
38,13,31,574,,1,*Khosla Para,361,361,0,0,0,0
38,13,31,634,,1,*Maligaon,1338,1338,0,0,0,0
38,13,31,634,01,1,Maligaon,926,926,0,0,0,0
38,13,31,634,02,1,Madhai Pukur,412,412,0,0,0,0
38,13,31,669,,1,*Manjia,943,943,0,0,0,0
38,13,31,737,,1,*Naota,558,487,71,0,0,0
38,13,31,746,,1,*Narikeli,2175,2174,1,0,0,0
38,13,31,746,01,1,Aushagari,450,449,1,0,0,0
38,13,31,746,02,1,Gholagari,175,175,0,0,0,0
38,13,31,746,03,1,Dighalgari,176,176,0,0,0,0
38,13,31,746,04,1,Baoudhya Pukur,180,180,0,0,0,0
38,13,31,746,05,1,Dukha Para,165,165,0,0,0,0
38,13,31,746,06,1,Narikeli,1029,1029,0,0,0,0
38,13,31,789,,1,*Pundaria,1168,1168,0,0,0,0
38,13,31,814,,1,*Roykali,3092,2574,518,0,0,0
38,13,31,814,01,1,Kalikapur,511,478,33,0,0,0
38,13,31,814,02,1,Khapara,416,416,0,0,0,0
38,13,31,814,03,1,Hargachha,820,604,216,0,0,0
38,13,31,814,04,1,Sreegal Dighi,400,400,0,0,0,0
38,13,31,814,05,1,Guchchhagram,269,269,0,0,0,0
38,13,31,814,06,1,Roykali,676,407,269,0,0,0
38,13,31,866,,1,*Sanatanpur,410,410,0,0,0,0
38,13,31,892,,1,*Siala,568,568,0,0,0,0
38,13,31,934,,1,*Sujal Dighi,595,595,0,0,0,0
38,13,47,,,,Rukindipur Union Total,26115,23987,1967,0,0,161
38,13,47,094,,1,*Aualgari,3247,3050,177,0,0,20
38,13,47,120,,1,*Begunbari,451,451,0,0,0,0
38,13,47,162,,1,*Bhandaripara,833,636,197,0,0,0
38,13,47,214,,1,*Chak Bila,814,814,0,0,0,0
38,13,47,308,,1,*Gangaprasad,342,342,0,0,0,0
38,13,47,334,,1,*Gobarpur,466,400,66,0,0,0
38,13,47,446,,1,*Ismailpur,2401,2401,0,0,0,0
38,13,47,471,,1,*Jalalpur,1376,950,426,0,0,0
38,13,47,514,,1,*Kanupur,3028,2952,76,0,0,0
38,13,47,643,,1,*Manail,344,344,0,0,0,0
38,13,47,686,,1,*Matapur,3166,3130,36,0,0,0
38,13,47,720,,1,*Naldanga,784,599,185,0,0,0
38,13,47,771,,1,*Palsha,1332,1332,0,0,0,0
38,13,47,849,,1,*Roar,2631,2603,28,0,0,0
38,13,47,857,,1,*Rukindipur,4604,3687,776,0,0,141
38,13,47,977,,1,*Ulipur,296,296,0,0,0,0
38,13,63,,,,Sonamukhi Union Total,16266,15660,605,1,0,0
38,13,63,085,,1,*Anantapur,1637,1571,65,1,0,0
38,13,63,145,,1,*Bhadrakali,657,657,0,0,0,0
38,13,63,205,,1,*Chak Bijali,628,628,0,0,0,0
