0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
46,,,,,,Khagrachhari Zila Total,613917,1.6,0.2,0.3,0.2,0.6,0.2,0.1
46,,,,,1,Khagrachhari Zila,398109,1.6,0.2,0.4,0.2,0.6,0.2,0.1
46,,,,,2,Khagrachhari Zila,96045,1.2,0.2,0.2,0.1,0.4,0.2,0.1
46,,,,,3,Khagrachhari Zila,119763,1.5,0.2,0.3,0.1,0.6,0.2,0.1
46,43,,,,,Dighinala Upazila Total,103392,1.4,0.2,0.3,0.2,0.5,0.2,0.1
46,43,,,,1,Dighinala Upazila,87782,1.5,0.2,0.3,0.2,0.5,0.2,0.1
46,43,,,,3,Dighinala Upazila,15610,1.2,0.1,0.2,0.1,0.6,0.1,0.1
46,43,15,,,,Babuchhara Union Total,14106,1.3,0.2,0.3,0.3,0.3,0.1,0.1
46,43,31,,,,Boalkhali Union Total,20483,1.5,0.2,0.3,0.2,0.6,0.2,0.0
46,43,31,,,1,Boalkhali Union,4873,2.5,0.4,0.7,0.5,0.6,0.3,0.0
46,43,31,,,3,Boalkhali Union,15610,1.2,0.1,0.2,0.1,0.6,0.1,0.1
46,43,47,,,,Dighinala Union Total,13193,1.2,0.1,0.2,0.2,0.3,0.2,0.2
46,43,63,,,,Kabakhali Union Total,15621,1.3,0.2,0.2,0.2,0.5,0.1,0.2
46,43,79,,,,Merung Union Total,39989,1.6,0.2,0.4,0.1,0.6,0.2,0.1
46,49,,,,,Khagrachhari Sadar Upazila Total,111833,1.3,0.2,0.2,0.1,0.5,0.2,0.1
46,49,,,,1,Khagrachhari Sadar Upazila,42399,1.6,0.2,0.3,0.2,0.6,0.2,0.1
46,49,,,,2,Khagrachhari Sadar Upazila,47278,0.9,0.2,0.1,0.1,0.4,0.1,0.1
46,49,,,,3,Khagrachhari Sadar Upazila,22156,1.2,0.2,0.2,0.1,0.4,0.2,0.1
46,49,,,,,Khagrachhari Paurasava,,,,,,,,
46,49,01,,,,Ward No-01 Total,4869,0.8,0.1,0.2,0.2,0.4,0.0,0.0
