0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
46,,,,,,Khagrachhari Zila Total,77909,63167,14742,53998,12979,1675,192,7494,1571
46,,,,,1,Khagrachhari Zila,59980,47874,12106,44528,11409,876,134,2470,563
46,,,,,2,Khagrachhari Zila,5804,5105,699,1725,120,556,32,2824,547
46,,,,,3,Khagrachhari Zila,12125,10188,1937,7745,1450,243,26,2200,461
46,43,,,,,Dighinala Upazila Total,14432,10943,3489,9815,3318,281,21,847,150
46,43,,,,1,Dighinala Upazila,13180,9855,3325,9154,3223,151,13,550,89
46,43,,,,3,Dighinala Upazila,1252,1088,164,661,95,130,8,297,61
46,43,15,,,,Babuchhara Union Total,2014,1837,177,1721,155,12,0,104,22
46,43,15,066,,1,*Baghaichhari,678,597,81,508,62,11,0,78,19
46,43,15,066,01,1,Shachindra Karbari Para,65,58,7,58,7,0,0,0,0
46,43,15,066,02,1,Roka Chandra Karbari Para,105,98,7,98,7,0,0,0,0
46,43,15,066,03,1,Kandara Kr. Para,90,74,16,72,16,1,0,1,0
46,43,15,066,04,1,Nutan Ch. Karbari Para,76,72,4,71,4,0,0,1,0
46,43,15,066,05,1,Rabi Ch.Karbari Para,94,78,16,78,16,0,0,0,0
46,43,15,066,06,1,Shadep Karbari Para,44,38,6,33,4,2,0,3,2
46,43,15,066,07,1,Maghya Karbari Para,36,35,1,34,1,0,0,1,0
46,43,15,066,08,1,Babuchhara Bazar,94,84,10,15,1,8,0,61,9
46,43,15,066,09,1,Dhadan Karbari Para,65,53,12,49,6,0,0,4,6
46,43,15,066,10,1,Army Camp (Sub. Zone),9,7,2,0,0,0,0,7,2
46,43,15,198,,1,*Chatrachhara(Ch. M. Para),51,51,0,51,0,0,0,0,0
46,43,15,198,01,1,Bagan Kumer Karbari Para,31,31,0,31,0,0,0,0,0
46,43,15,198,02,1,Gandi Kumear  Kr Para,20,20,0,20,0,0,0,0,0
46,43,15,265,,1,*Dainar Dhan Pata(J.Ch.K.Para),66,65,1,65,1,0,0,0,0
46,43,15,265,01,1,Bangalican Karbari Para,20,20,0,20,0,0,0,0,0
46,43,15,265,02,1,Jogas Chandra Karbari Karba,46,45,1,45,1,0,0,0,0
46,43,15,331,,1,*Duluchhari,233,188,45,172,44,1,0,15,1
46,43,15,331,01,1,Ashini Karbari Para,17,17,0,17,0,0,0,0,0
46,43,15,331,02,1,Shadu Chandra Karbari Para,27,18,9,18,9,0,0,0,0
46,43,15,331,03,1,Bouddadhan Karbari Para,16,16,0,16,0,0,0,0,0
46,43,15,331,04,1,Shyamacharan Karbari Para,79,52,27,37,26,0,0,15,1
46,43,15,331,05,1,Shadan Chandra Karbari Para,20,19,1,19,1,0,0,0,0
46,43,15,331,06,1,Chandra Mohan Karbari Para,33,30,3,30,3,0,0,0,0
46,43,15,331,07,1,Punnyo Joy Karbari Para,41,36,5,35,5,1,0,0,0
46,43,15,397,,1,*Dhanpata,239,236,3,235,3,0,0,1,0
46,43,15,397,01,1,Rupadhan Karbari Para,64,63,1,63,1,0,0,0,0
46,43,15,397,02,1,Dirandaralal Headman Para,63,62,1,61,1,0,0,1,0
46,43,15,397,03,1,Kalendra Karbari Para,39,39,0,39,0,0,0,0,0
46,43,15,397,04,1,Punyo Sen Karbari Para,57,56,1,56,1,0,0,0,0
46,43,15,397,05,1,Binodkumer Karbaripara (Salu,16,16,0,16,0,0,0,0,0
46,43,15,530,,1,*Jarulchhari,136,133,3,127,2,0,0,6,1
46,43,15,530,01,1,Ganjoti Karbari Para,35,35,0,35,0,0,0,0,0
46,43,15,530,02,1,Bangalichan Karbari Para,28,26,2,26,2,0,0,0,0
46,43,15,530,03,1,Nandalal Karbari Para,31,30,1,25,0,0,0,5,1
46,43,15,530,04,1,Nila Ranjan Karbari Para,42,42,0,41,0,0,0,1,0
46,43,15,729,,1,*Kukichhara,93,89,4,86,3,0,0,3,1
46,43,15,729,01,1,Akkashai Karbari Para,25,23,2,23,2,0,0,0,0
46,43,15,729,02,1,Aralia Mohazan Para,44,43,1,43,1,0,0,0,0
46,43,15,729,03,1,Gowgadon K.R.Para,24,23,1,20,0,0,0,3,1
46,43,15,862,,1,*Nunchhari,325,288,37,287,37,0,0,1,0
46,43,15,862,01,1,Biddya Kumer Karbari Para,12,9,3,9,3,0,0,0,0
46,43,15,862,02,1,Kamsing Karbari Para,38,28,10,28,10,0,0,0,0
46,43,15,862,03,1,Badan Kumer Karbari Para,20,12,8,12,8,0,0,0,0
46,43,15,862,04,1,Nunchhari D.P.Para,73,72,1,72,1,0,0,0,0
46,43,15,862,05,1,Sawdhuri Para,52,50,2,50,2,0,0,0,0
46,43,15,862,06,1,Katu Chandra Karbari Para,35,34,1,33,1,0,0,1,0
46,43,15,862,07,1,Endara Mani Karbari Para,24,17,7,17,7,0,0,0,0
46,43,15,862,08,1,Sadan Kumer Karbari Para,8,8,0,8,0,0,0,0,0
46,43,15,862,09,1,Torit Kanti Karbari Para,31,29,2,29,2,0,0,0,0
46,43,15,862,10,1,Sura Sen Member Para,32,29,3,29,3,0,0,0,0
46,43,15,970,,1,*Shardangchara,193,190,3,190,3,0,0,0,0
46,43,15,970,01,1,Dewan Para,97,97,0,97,0,0,0,0,0
46,43,15,970,02,1,Dharas Chandra Karbari Para,68,67,1,67,1,0,0,0,0
46,43,15,970,03,1,Usha Ram Karbari Para,28,26,2,26,2,0,0,0,0
46,43,31,,,,Boalkhali Union Total,1814,1632,182,1181,107,139,9,312,66
46,43,31,,,1,Boalkhali Union,562,544,18,520,12,9,1,15,5
46,43,31,,,3,Boalkhali Union,1252,1088,164,661,95,130,8,297,61
46,43,31,165,,3,*Boalkhali,1252,1088,164,661,95,130,8,297,61
46,43,31,165,01,3,Koraytali Para,1,1,0,1,0,0,0,0,0
46,43,31,165,02,3,3-No Jotha Khamer Para,29,28,1,7,0,21,1,0,0
46,43,31,165,03,3,Chandara Joy Master Para,67,65,2,65,2,0,0,0,0
46,43,31,165,04,3,Chitto Mamber Para,49,31,18,28,12,0,0,3,6
46,43,31,165,05,3,Buddha Para,64,58,6,57,6,0,0,1,0
46,43,31,165,06,3,Bira Bahu Kr.Para,14,14,0,14,0,0,0,0,0
46,43,31,165,07,3,Taidu Chara Para,33,27,6,27,6,0,0,0,0
46,43,31,165,08,3,Mayappha Para,19,16,3,16,3,0,0,0,0
46,43,31,165,09,3,2-No Jotha Khamer,42,33,9,31,5,2,0,0,4
46,43,31,165,10,3,Tula Para (Hattoya),28,28,0,27,0,0,0,1,0
46,43,31,165,11,3,Nila Barankr Para,26,24,2,24,2,0,0,0,0
46,43,31,165,12,3,Thana Bazar Area,30,25,5,3,0,7,0,15,5
46,43,31,165,13,3,Pomang Para,54,54,0,53,0,1,0,0,0
46,43,31,165,14,3,Chappa Para,33,27,6,27,5,0,0,0,1
46,43,31,165,15,3,Purna Kumer Kr. Para (Adikri),19,13,6,13,6,0,0,0,0
46,43,31,165,16,3,Rajandara Kr. Para,73,70,3,70,2,0,0,0,1
46,43,31,165,17,3,Bagirath Para,19,19,0,19,0,0,0,0,0
46,43,31,165,18,3,Pashim Thana Para,161,133,28,27,11,80,7,26,10
46,43,31,165,19,3,Daskin Thana Para College Tila,27,23,4,13,1,0,0,10,3
46,43,31,165,20,3,1-No Jotha Khamer,39,35,4,34,3,1,0,0,1
46,43,31,165,21,3,Jamtali,24,24,0,23,0,0,0,1,0
46,43,31,165,22,3,Eslam Sibir & Anshar Camp,40,28,12,4,2,0,0,24,10
46,43,31,165,23,3,Headman Para,32,20,12,0,0,1,0,19,12
46,43,31,165,24,3,Sudir Mambar Para,79,64,15,18,12,0,0,46,3
46,43,31,165,25,3,Pashim Kataltali (Bazar),131,123,8,10,4,10,0,103,4
46,43,31,165,26,3,Boalkhali Puran Bazar,26,21,5,14,4,2,0,5,1
46,43,31,165,27,3,Purba Kataltali Bazar,36,28,8,7,8,0,0,21,0
46,43,31,165,28,3,Babu Para (Basanta Kr.Para),26,25,1,25,1,0,0,0,0
46,43,31,165,29,3,Thana Sadar Area,31,31,0,4,0,5,0,22,0
46,43,31,663,,1,*Katarang,562,544,18,520,12,9,1,15,5
46,43,31,663,01,1,Ramratan Karbari Para,37,37,0,36,0,0,0,1,0
46,43,31,663,02,1,4-No Jotha Kamar,57,56,1,56,1,0,0,0,0
46,43,31,663,03,1,Katarung Chara,29,28,1,28,0,0,0,0,1
46,43,31,663,04,1,Battali Para,9,9,0,9,0,0,0,0,0
46,43,31,663,05,1,Tevang Chhara,45,45,0,44,0,1,0,0,0
46,43,31,663,06,1,3-No Jotha Kamer,56,48,8,46,6,0,1,2,1
46,43,31,663,07,1,Nila Ratan Karbari Para,23,23,0,23,0,0,0,0,0
46,43,31,663,08,1,2-No Jotha Kamer,46,43,3,32,0,0,0,11,3
46,43,31,663,09,1,Uttar Noka Chara,38,37,1,36,1,0,0,1,0
46,43,31,663,10,1,Dakhin Noka Chara,29,29,0,22,0,7,0,0,0
46,43,31,663,11,1,Chandra Monan Karbari Para,6,6,0,5,0,1,0,0,0
46,43,31,663,12,1,Chadak Chara,27,25,2,25,2,0,0,0,0
46,43,31,663,13,1,Ranghi Para,7,6,1,6,1,0,0,0,0
46,43,31,663,14,1,1-No Jotha Kamer,36,36,0,36,0,0,0,0,0
46,43,31,663,15,1,Surja Mohan Master Para,45,45,0,45,0,0,0,0,0
46,43,31,663,16,1,Babru Bahan Headman Para,33,33,0,33,0,0,0,0,0
46,43,31,663,17,1,Karaitali Para,3,3,0,3,0,0,0,0,0
46,43,31,663,18,1,Shriti Bijoy Karbari Para,36,35,1,35,1,0,0,0,0
46,43,47,,,,Dighinala Union Total,1389,1252,137,1231,132,3,0,18,5
46,43,47,464,,1,*Dighinala,1389,1252,137,1231,132,3,0,18,5
46,43,47,464,01,1,Tarakamohan Karbari Para,32,32,0,32,0,0,0,0,0
46,43,47,464,02,1,Madu Mangal Karbari Para,45,44,1,44,1,0,0,0,0
46,43,47,464,03,1,Ratan Manik Karbari Para,54,53,1,53,1,0,0,0,0
46,43,47,464,04,1,Hangutya Karbari Para,70,62,8,58,3,0,0,4,5
46,43,47,464,05,1,Jatna Kumer Karbari Para,26,26,0,26,0,0,0,0,0
46,43,47,464,06,1,Gobinda Karbari Para,66,64,2,60,2,0,0,4,0
46,43,47,464,07,1,Jamani Mohan Karbari Para,18,18,0,18,0,0,0,0,0
46,43,47,464,08,1,Hangsha Joy Para,89,86,3,86,3,0,0,0,0
46,43,47,464,09,1,Udal Bagan,95,95,0,94,0,0,0,1,0
46,43,47,464,10,1,Chandara Mohan Karbari Para,24,20,4,20,4,0,0,0,0
46,43,47,464,11,1,Ram Chandra Karbari Para,32,26,6,26,6,0,0,0,0
46,43,47,464,12,1,Pukur Ghat,137,132,5,132,5,0,0,0,0
46,43,47,464,13,1,Bara Dham (Uttar),47,47,0,47,0,0,0,0,0
46,43,47,464,14,1,Sudir Charmen Para(Bardadakkin,10,9,1,9,1,0,0,0,0
46,43,47,464,15,1,Prabhat Master Para,1,1,0,1,0,0,0,0,0
46,43,47,464,16,1,Promod Master Para,1,1,0,1,0,0,0,0,0
46,43,47,464,17,1,Headman Para,56,34,22,34,22,0,0,0,0
46,43,47,464,18,1,Tukka Karbari Para,14,13,1,13,1,0,0,0,0
46,43,47,464,19,1,Shanti Ranjan Karbari Para,47,25,22,25,22,0,0,0,0
