0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
47,,,,,,Khulna Zila Total,540504,3.4,11.0,22.1,27.2,17.9,9.4,4.4,4.6,4.2
47,,,,,1,Khulna Zila,362083,3.1,10.8,21.5,27.3,18.4,9.7,4.5,4.6,4.2
47,,,,,2,Khulna Zila,159330,4.1,11.6,23.4,27.1,16.5,8.6,4.0,4.7,4.1
47,,,,,3,Khulna Zila,19091,3.8,10.1,21.7,26.6,18.3,9.6,4.5,5.3,4.2
47,12,,,,,Batiaghata Upazila Total,40659,3.1,11.1,23.0,27.1,17.8,9.5,4.2,4.2,4.2
47,12,,,,1,Batiaghata Upazila,38757,3.0,11.1,22.9,27.1,17.9,9.6,4.2,4.2,4.2
47,12,,,,3,Batiaghata Upazila,1902,4.0,11.5,25.8,27.5,15.8,8.4,3.1,3.9,4.0
47,12,11,,,,Amirpur Union Total,3879,2.7,10.5,22.8,27.8,18.8,9.7,4.2,3.7,4.2
47,12,11,014,,1,*Amirpur,218,1.8,12.8,20.6,28.9,17.0,10.6,3.7,4.6,4.2
47,12,11,037,,1,*Arazi Narayanpur,30,6.7,6.7,16.7,13.3,33.3,13.3,6.7,3.3,4.4
47,12,11,224,,1,*Char Hadirabad,120,3.3,5.8,22.5,15.0,28.3,12.5,5.8,6.7,4.6
47,12,11,261,,1,*Datta Para,83,2.4,15.7,30.1,28.9,14.5,7.2,1.2,0.0,3.6
47,12,11,351,,1,*Hadirabad,128,0.8,11.7,21.1,27.3,19.5,13.3,5.5,0.8,4.2
47,12,11,381,,1,*Hasimpur,50,0.0,10.0,12.0,24.0,30.0,12.0,8.0,4.0,4.7
47,12,11,463,,1,*Joypurdanga,60,0.0,8.3,16.7,45.0,18.3,5.0,5.0,1.7,4.2
47,12,11,486,,1,*Karerdhone,532,3.2,9.2,21.8,27.3,18.2,11.8,4.1,4.3,4.3
47,12,11,493,,1,*Karia,146,6.8,10.3,27.4,20.5,16.4,9.6,5.5,3.4,4.0
47,12,11,501,,1,*Kariabhita,23,4.3,4.3,30.4,21.7,17.4,13.0,0.0,8.7,4.3
47,12,11,568,,1,*Khanrabad,653,2.3,9.6,20.8,28.0,19.4,10.0,5.7,4.1,4.3
47,12,11,598,,1,*Kismat Kurighata,150,4.0,11.3,23.3,28.7,16.7,8.0,4.7,3.3,4.1
47,12,11,673,,1,*Masidghata,288,2.1,9.0,22.6,25.3,22.6,12.2,4.5,1.7,4.2
47,12,11,718,,1,*Narayankhali,219,3.2,11.4,26.0,28.3,20.5,4.1,3.2,3.2,4.0
47,12,11,725,,1,*Narayanpur,265,1.1,8.3,23.0,32.5,17.4,9.4,1.9,6.4,4.3
47,12,11,733,,1,*Nijgram,220,3.6,12.7,26.4,30.9,16.4,4.5,3.2,2.3,3.8
47,12,11,822,,1,*Rambhadrapur,176,3.4,11.4,25.0,30.7,18.2,5.1,3.4,2.8,3.9
47,12,11,942,,1,*Shyamganj,173,1.7,14.5,19.7,30.1,15.6,11.0,2.9,4.6,4.2
47,12,11,957,,1,*Tala Para,345,2.6,11.6,24.9,27.0,16.2,10.7,3.5,3.5,4.1
47,12,23,,,,Baliadanga Union Total,4025,2.7,11.0,21.7,27.5,19.2,10.4,3.8,3.7,4.2
47,12,23,082,,1,*Baliadanga,474,3.4,13.5,20.5,29.7,17.5,9.9,2.7,2.7,4.0
47,12,23,134,,1,*Bhadail,85,2.4,5.9,24.7,32.9,16.5,10.6,3.5,3.5,4.2
47,12,23,172,,1,*Birat,510,1.6,11.8,23.9,29.4,19.0,7.8,2.5,3.9,4.1
47,12,23,194,,1,*Bujbunia,435,2.8,10.6,20.5,26.0,20.5,10.1,4.4,5.3,4.3
47,12,23,284,,1,*Dhadua,360,2.8,9.4,19.2,26.7,20.3,14.2,4.2,3.3,4.3
47,12,23,336,,1,*Ghoshkhali,7,0.0,14.3,28.6,28.6,28.6,0.0,0.0,0.0,3.7
47,12,23,396,,1,*Hatbaria,30,0.0,20.0,16.7,26.7,26.7,6.7,0.0,3.3,4.0
47,12,23,426,,1,*Jalia Para,81,0.0,8.6,22.2,28.4,14.8,18.5,2.5,4.9,4.4
47,12,23,441,,1,*Jhalbaridanga,443,3.6,13.3,23.3,24.2,18.5,10.6,3.6,2.9,4.0
47,12,23,478,,1,*Kadamtala,4,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,5.5
47,12,23,620,,1,*Kismat Solakura,144,2.1,13.9,19.4,25.7,25.0,9.7,2.8,1.4,4.1
47,12,23,740,,1,*Noapakhia,81,4.9,9.9,21.0,28.4,18.5,8.6,4.9,3.7,4.1
47,12,23,785,,1,*Phulbati,399,5.8,11.8,20.3,27.1,17.8,9.8,4.5,3.0,4.0
47,12,23,830,,1,*Ranjiter Hula,333,1.2,10.8,25.2,26.4,17.7,9.6,4.5,4.5,4.2
47,12,23,897,,1,*Solakura,71,0.0,5.6,26.8,19.7,23.9,7.0,8.5,8.5,4.6
47,12,23,965,,1,*Talbuniar Hula,161,1.9,8.7,20.5,23.0,21.7,15.5,3.7,5.0,4.4
47,12,23,972,,1,*Taliamara,407,2.0,7.6,20.6,32.7,19.4,9.6,4.4,3.7,4.3
47,12,35,,,,Batiaghata Union Total,4702,3.3,11.3,24.8,27.2,16.0,8.8,4.1,4.6,4.1
47,12,35,,,1,Batiaghata Union,2800,2.8,11.2,24.1,27.0,16.1,9.1,4.7,5.1,4.2
47,12,35,,,3,Batiaghata Union,1902,4.0,11.5,25.8,27.5,15.8,8.4,3.1,3.9,4.0
47,12,35,044,,1,*Auskhali,80,2.5,12.5,20.0,35.0,6.3,15.0,6.3,2.5,4.1
47,12,35,052,,1,*Baguladanga Patharghata,104,1.9,12.5,20.2,30.8,19.2,4.8,5.8,4.8,4.2
47,12,35,052,01,1,Patharghata,74,2.7,12.2,24.3,29.7,21.6,1.4,5.4,2.7,4.0
47,12,35,052,02,1,Baguladanga,30,0.0,13.3,10.0,33.3,13.3,13.3,6.7,10.0,4.7
47,12,35,059,,1,*Batiaghata,195,4.6,15.4,17.9,27.7,14.4,10.3,5.1,4.6,4.3
47,12,35,074,,1,*Balabunia,203,3.4,14.8,25.1,22.7,17.7,10.3,2.5,3.4,4.0
47,12,35,119,,1,*Baruirabad,102,0.0,11.8,17.6,39.2,15.7,4.9,5.9,4.9,4.3
47,12,35,157,,1,*Bherandabunia,98,1.0,14.3,28.6,20.4,12.2,9.2,7.1,7.1,4.3
47,12,35,216,,1,*Chak Solemari,114,7.9,7.9,26.3,24.6,14.9,8.8,1.8,7.9,4.2
47,12,35,366,,3,*Hetalbunia,864,3.8,11.3,27.5,26.3,15.0,8.7,3.7,3.6,4.0
47,12,35,389,,3,*Hatbati (Baro),1038,4.1,11.6,24.4,28.6,16.4,8.1,2.6,4.2,4.0
47,12,35,411,,1,*Hogolbunia,445,0.4,10.6,24.3,23.4,18.9,9.2,4.9,8.3,4.4
47,12,35,561,,1,*Khalsibunia,165,4.2,10.3,23.6,32.7,14.5,6.7,1.2,6.7,4.1
47,12,35,613,,1,*Kismat Phultala,326,1.5,8.6,23.9,27.3,18.4,10.7,5.5,4.0,4.3
47,12,35,658,,1,*Madia Asannagar,216,5.1,6.0,25.5,32.4,14.4,8.3,4.6,3.7,4.1
47,12,35,665,,1,*Mailmara,192,3.6,14.6,29.2,28.6,13.5,6.3,2.1,2.1,3.8
47,12,35,695,,1,*Mathbhanga,161,2.5,11.8,25.5,25.5,19.3,7.5,5.0,3.1,4.1
47,12,35,748,,1,*Par Batiaghata,147,2.7,8.8,24.5,25.2,16.3,9.5,9.5,3.4,4.4
47,12,35,793,,1,*Phultala,252,3.6,11.9,25.0,22.6,14.3,11.5,5.2,6.0,4.2
47,12,47,,,,Bhanderkote Union Total,3964,3.0,12.1,24.2,27.7,18.4,8.8,3.6,2.2,4.0
47,12,47,029,,1,*Arazi Lakshmikhola,2,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,4.5
47,12,47,142,,1,*Bhadganti,208,2.4,10.1,19.2,32.2,18.3,10.6,1.9,5.3,4.2
47,12,47,149,,1,*Bhandarkote,898,3.8,13.9,26.4,28.5,16.6,6.7,3.0,1.1,3.8
47,12,47,164,,1,*Bil Kultia,82,4.9,18.3,28.0,18.3,15.9,11.0,2.4,1.2,3.7
47,12,47,231,,1,*Char Jhnaikhali,30,3.3,13.3,26.7,30.0,13.3,6.7,6.7,0.0,3.8
47,12,47,344,,1,*Goalghata,80,3.8,6.3,18.8,32.5,23.8,10.0,0.0,5.0,4.2
47,12,47,359,,1,*Halia,710,2.5,12.4,29.2,26.6,15.9,7.9,4.1,1.4,3.9
47,12,47,359,01,1,Paschim Halia,273,2.2,12.1,31.5,28.6,13.6,7.3,3.3,1.5,3.8
47,12,47,359,02,1,Purba Halia,334,3.0,12.3,28.4,24.6,18.3,8.7,3.3,1.5,3.9
47,12,47,359,03,1,Chandmari,103,1.9,13.6,25.2,28.2,14.6,6.8,8.7,1.0,4.0
47,12,47,456,,1,*Jhinaikhali,166,3.6,9.6,21.1,24.7,25.3,9.0,6.0,0.6,4.1
47,12,47,591,,1,*Kismat Jhinaikhali,173,4.6,11.0,24.9,23.7,19.7,12.1,2.3,1.7,4.0
47,12,47,605,,1,*Kismat Lakshmikhola,190,3.2,11.1,24.7,28.4,16.8,10.0,3.2,2.6,4.0
47,12,47,643,,1,*Kultia,331,1.5,8.8,24.5,30.5,17.2,10.6,3.9,3.0,4.2
47,12,47,650,,1,*Lakshmikhola,105,6.7,11.4,15.2,25.7,30.5,7.6,1.9,1.0,4.0
47,12,47,710,,1,*Naoailtala,406,2.5,12.3,18.0,27.8,21.9,9.9,5.7,2.0,4.2
47,12,47,710,01,1,Naoailtala,323,2.5,13.0,18.3,28.8,21.1,9.0,5.3,2.2,4.1
47,12,47,710,02,1,Hajirabad,83,2.4,9.6,16.9,24.1,25.3,13.3,7.2,1.2,4.3
47,12,47,755,,1,*Par Hogla,81,2.5,9.9,28.4,30.9,14.8,9.9,2.5,1.2,4.0
47,12,47,890,,1,*Sialidanga,267,1.9,15.4,21.7,25.1,19.1,7.5,4.5,4.9,4.1
47,12,47,912,,1,*Sreefaltala,235,2.6,11.1,23.0,28.1,18.7,11.1,2.1,3.4,4.1
47,12,59,,,,Gangarampur Union Total,4647,3.7,13.8,26.1,26.1,16.6,8.1,2.7,2.8,3.9
47,12,59,022,,1,*Andharia,56,3.6,8.9,21.4,23.2,25.0,10.7,0.0,7.1,4.3
47,12,59,067,,1,*Bajeafti Debitala,71,5.6,14.1,23.9,26.8,19.7,5.6,0.0,4.2,3.9
47,12,59,127,,1,*Barun Para,336,4.8,13.4,26.8,27.1,16.1,6.8,2.1,3.0,3.8
47,12,59,127,01,1,Barun Para,212,6.1,12.3,23.6,22.2,20.8,8.5,1.9,4.7,4.0
47,12,59,127,02,1,Mathbanga,44,4.5,15.9,31.8,29.5,13.6,2.3,2.3,0.0,3.5
47,12,59,127,03,1,Masiar Danga,80,1.3,15.0,32.5,38.8,5.0,5.0,2.5,0.0,3.6
47,12,59,179,,1,*Boyarbhanga,528,1.7,8.1,26.5,26.9,19.5,11.2,3.8,2.3,4.2
47,12,59,187,,1,*Britti Khalsebunia,231,4.3,10.0,21.2,23.8,19.0,13.0,5.2,3.5,4.2
47,12,59,239,,1,*Charkhali Machalia,210,2.4,14.3,22.9,27.6,18.1,9.0,2.4,3.3,4.0
47,12,59,239,01,1,Charkhali Machaila,90,1.1,13.3,24.4,26.7,21.1,10.0,0.0,3.3,4.0
47,12,59,239,02,1,Tengramari,74,1.4,14.9,13.5,33.8,18.9,9.5,4.1,4.1,4.2
47,12,59,239,03,1,Jharbhanga,46,6.5,15.2,34.8,19.6,10.9,6.5,4.3,2.2,3.6
47,12,59,269,,1,*Debitala,377,2.7,13.0,31.3,27.9,11.7,9.0,2.1,2.4,3.8
47,12,59,299,,1,*Gagramari,42,9.5,11.9,14.3,40.5,19.0,0.0,4.8,0.0,3.7
47,12,59,306,,1,*Gangarampur,293,3.8,13.3,25.3,25.9,15.7,8.5,4.1,3.4,4.0
47,12,59,508,,1,*Kasiadanga,182,7.7,28.0,34.1,17.0,9.9,3.3,0.0,0.0,3.0
47,12,59,523,,1,*Katamari,470,3.4,12.3,23.4,25.7,16.2,10.9,3.6,4.5,4.1
47,12,59,523,01,1,Katamari,107,3.7,11.2,29.0,26.2,15.9,8.4,3.7,1.9,3.9
47,12,59,523,02,1,Gopalkhali,80,10.0,16.3,26.3,18.8,16.3,6.3,2.5,3.8,3.7
47,12,59,523,03,1,Deoatala,283,1.4,11.7,20.5,27.6,16.3,13.1,3.9,5.7,4.3
47,12,59,531,,1,*Kaemkhola,183,1.6,19.1,24.6,25.7,19.1,5.5,2.7,1.6,3.8
47,12,59,538,,1,*Kayemkholar Hula,213,0.5,19.7,32.9,26.8,15.5,3.8,0.9,0.0,3.5
47,12,59,546,,1,*Katianangla,1042,4.9,15.2,25.0,26.9,16.8,6.1,2.4,2.7,3.8
47,12,59,546,01,1,Katianangla,391,4.9,11.8,20.2,27.6,19.4,8.2,3.8,4.1,4.1
47,12,59,546,02,1,Amtala,326,4.6,10.7,24.8,31.3,17.8,6.1,2.1,2.5,3.9
47,12,59,546,03,1,Kodaldhoa,19,5.3,10.5,52.6,10.5,10.5,10.5,0.0,0.0,3.4
47,12,59,546,04,1,Gondhamari,92,9.8,29.3,27.2,22.8,7.6,3.3,0.0,0.0,3.0
47,12,59,546,05,1,Kanthaltala,37,5.4,8.1,18.9,24.3,21.6,5.4,5.4,10.8,4.5
47,12,59,546,06,1,Goalbari,76,0.0,21.1,42.1,22.4,10.5,2.6,1.3,0.0,3.4
47,12,59,546,07,1,Gangaram,101,5.0,28.7,26.7,20.8,15.8,3.0,0.0,0.0,3.2
47,12,59,553,,1,*Khajurtala,89,4.5,11.2,21.3,21.3,19.1,10.1,2.2,10.1,4.8
47,12,59,763,,1,*Par Salua,132,6.1,10.6,22.7,28.0,18.9,7.6,2.3,3.8,3.9
47,12,59,770,,1,*Par Titukhali,5,0.0,20.0,40.0,20.0,20.0,0.0,0.0,0.0,3.4
47,12,59,845,,1,*Salua,96,3.1,15.6,26.0,24.0,14.6,10.4,4.2,2.1,3.9
47,12,59,994,,1,*Titukhali,91,0.0,11.0,40.7,24.2,14.3,9.9,0.0,0.0,3.7
47,12,71,,,,Jalma Union Total,13152,3.1,9.9,21.7,26.6,18.0,10.1,5.1,5.6,4.3
47,12,71,007,,1,*Alutala,608,2.3,11.2,25.7,27.5,18.1,7.9,3.6,3.8,4.1
47,12,71,097,,1,*Banshbaria,207,1.9,10.1,18.8,19.8,18.8,15.5,7.7,7.2,4.6
47,12,71,209,,1,*Chak Alipur,195,6.7,8.2,26.7,21.5,19.0,8.2,4.6,5.1,4.1
