0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
47,,,,,,Khulna Zila Total,60152,49123,46158,51965,27491,14500,,72373 109592,5741,2197,97436,116155
47,,,,,1,Khulna Zila,34924,28144,30008,35259,11672,5144,47944,74438,2333,813,63165,76562
47,,,,,2,Khulna Zila,23272,19236,14619,14877,15229,8968,21952,31178,3286,1337,30766,35324
47,,,,,3,Khulna Zila,1956,1743,1531,1829,590,388,2477,3976,122,47,3505,4269
47,12,,,,,Batiaghata Upazila Total,3743,2649,3209,3911,1704,817,5102,8112,324,129,6875,8459
47,12,,,,1,Batiaghata Upazila,3572,2476,3120,3793,1631,761,4900,7804,306,122,6577,8060
47,12,,,,3,Batiaghata Upazila,171,173,89,118,73,56,202,308,18,7,298,399
47,12,11,,,,Amirpur Union Total,321,208,399,367,71,27,497,824,20,6,626,784
47,12,11,014,,1,*Amirpur,32,23,14,17,7,2,11,37,2,0,25,50
47,12,11,037,,1,*Arazi Narayanpur,0,4,0,1,1,0,1,5,0,0,4,8
47,12,11,224,,1,*Char Hadirabad,7,5,20,8,2,1,13,28,0,0,19,16
47,12,11,261,,1,*Datta Para,2,2,4,7,2,0,10,17,0,0,8,11
47,12,11,351,,1,*Hadirabad,23,11,11,21,9,2,19,20,1,1,16,26
47,12,11,381,,1,*Hasimpur,10,6,8,1,1,0,6,9,0,0,11,15
47,12,11,463,,1,*Joypurdanga,4,3,6,5,0,0,10,10,0,0,10,16
47,12,11,486,,1,*Karerdhone,39,22,59,43,12,3,71,123,2,0,93,92
47,12,11,493,,1,*Karia,10,1,12,18,2,0,10,29,4,0,22,29
47,12,11,501,,1,*Kariabhita,2,0,6,4,2,0,3,6,0,0,4,0
47,12,11,568,,1,*Khanrabad,43,38,73,83,10,4,90,138,2,2,111,155
47,12,11,598,,1,*Kismat Kurighata,17,5,20,13,1,1,25,33,0,0,27,23
47,12,11,673,,1,*Masidghata,13,13,29,30,3,2,36,52,1,0,38,69
47,12,11,718,,1,*Narayankhali,18,10,12,15,1,4,23,59,0,0,39,25
47,12,11,725,,1,*Narayanpur,26,13,32,21,4,2,23,40,3,2,41,67
47,12,11,733,,1,*Nijgram,12,8,15,20,0,2,32,49,0,0,31,45
47,12,11,822,,1,*Rambhadrapur,18,9,17,9,0,2,24,48,1,0,32,31
47,12,11,942,,1,*Shyamganj,15,9,8,14,6,0,23,38,4,0,39,39
47,12,11,957,,1,*Tala Para,30,26,53,37,8,2,67,83,0,1,56,67
47,12,23,,,,Baliadanga Union Total,344,228,341,360,45,13,534,782,12,9,632,760
47,12,23,082,,1,*Baliadanga,32,16,40,39,7,2,73,77,1,2,84,88
47,12,23,134,,1,*Bhadail,6,8,6,10,0,0,10,18,0,0,13,14
47,12,23,172,,1,*Birat,59,36,38,39,3,1,59,81,1,2,81,104
47,12,23,194,,1,*Bujbunia,28,21,53,49,1,1,76,117,0,0,73,82
47,12,23,284,,1,*Dhadua,33,18,33,30,4,3,46,45,2,1,57,53
47,12,23,336,,1,*Ghoshkhali,0,0,0,0,0,0,0,1,0,0,1,3
47,12,23,396,,1,*Hatbaria,2,1,2,3,1,0,3,7,0,0,3,3
47,12,23,426,,1,*Jalia Para,9,10,8,11,3,0,12,13,0,1,9,14
47,12,23,441,,1,*Jhalbaridanga,23,28,35,43,1,1,45,97,0,0,72,93
47,12,23,478,,1,*Kadamtala,0,0,0,1,0,0,3,0,0,0,0,1
47,12,23,620,,1,*Kismat Solakura,17,5,12,14,1,0,29,24,0,0,15,20
47,12,23,740,,1,*Noapakhia,12,6,8,9,0,0,8,17,0,0,14,18
47,12,23,785,,1,*Phulbati,42,23,32,36,8,1,28,70,2,0,45,79
47,12,23,830,,1,*Ranjiter Hula,22,16,31,26,7,1,50,97,0,0,66,64
47,12,23,897,,1,*Solakura,8,3,8,7,2,1,11,17,2,0,9,14
47,12,23,965,,1,*Talbuniar Hula,20,15,10,12,6,1,24,27,4,1,27,36
47,12,23,972,,1,*Taliamara,31,22,25,31,1,1,57,74,0,2,63,74
47,12,35,,,,Batiaghata Union Total,477,381,207,283,191,127,504,773,61,30,724,976
47,12,35,,,1,Batiaghata Union,306,208,118,165,118,71,302,465,43,23,426,577
47,12,35,,,3,Batiaghata Union,171,173,89,118,73,56,202,308,18,7,298,399
47,12,35,044,,1,*Auskhali,4,12,5,7,4,0,8,9,1,0,10,18
47,12,35,052,,1,*Baguladanga Patharghata,15,6,0,1,4,2,11,18,2,2,7,17
47,12,35,052,01,1,Patharghata,11,6,0,0,3,1,10,11,1,2,2,12
47,12,35,052,02,1,Baguladanga,4,0,0,1,1,1,1,7,1,0,5,5
47,12,35,059,,1,*Batiaghata,22,16,3,5,11,5,34,45,3,4,30,28
47,12,35,074,,1,*Balabunia,15,6,9,15,6,5,17,28,8,1,37,41
