0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
47,,,,,,Khulna Zila Total,,468009 196606 271403 154335,,,24582,1288,685,,2181 185021,38802,61115
47,,,,,1,Khulna Zila,,354843 147936 206907 117927,,,13404,919,503,,1639 148668,27451,44332
47,,,,,2,Khulna Zila,96139,41412,54727,30901,10237,288,155,371,29845,9852,14490
47,,,,,3,Khulna Zila,17027,7258,9769,5507,941,81,27,171,6508,1499,2293
47,12,,,,,Batiaghata Upazila Total,37425,16164,21261,11655,1062,139,51,327,14926,4043,5222
47,12,,,,1,Batiaghata Upazila,36038,15658,20380,11362,992,138,51,219,14309,3939,5028
47,12,,,,3,Batiaghata Upazila,1387,506,881,293,70,1,0,108,617,104,194
47,12,11,,,,Amirpur Union Total,3489,1693,1796,1426,157,2,3,12,1160,253,476
47,12,11,014,,1,*Amirpur,176,63,113,56,12,0,0,0,60,7,41
47,12,11,037,,1,*Arazi Narayanpur,26,9,17,7,0,0,0,0,9,2,8
47,12,11,224,,1,*Char Hadirabad,117,55,62,51,7,0,0,0,41,4,14
47,12,11,261,,1,*Datta Para,95,53,42,50,0,0,0,1,37,2,5
47,12,11,351,,1,*Hadirabad,71,32,39,29,2,0,0,0,20,3,17
47,12,11,381,,1,*Hasimpur,32,10,22,9,2,0,0,0,13,1,7
47,12,11,463,,1,*Joypurdanga,56,28,28,18,0,0,1,0,16,10,11
47,12,11,486,,1,*Karerdhone,388,197,191,160,5,1,0,0,122,36,64
47,12,11,493,,1,*Karia,192,97,95,78,18,0,0,0,58,19,19
47,12,11,501,,1,*Kariabhita,39,16,23,14,2,0,0,0,18,2,3
47,12,11,568,,1,*Khanrabad,729,390,339,326,15,0,1,6,261,58,62
47,12,11,598,,1,*Kismat Kurighata,175,94,81,73,5,1,0,1,59,19,17
47,12,11,673,,1,*Masidghata,310,151,159,132,26,0,1,0,92,19,40
47,12,11,718,,1,*Narayankhali,189,93,96,78,15,0,0,0,53,15,28
47,12,11,725,,1,*Narayanpur,367,170,197,146,22,0,0,2,120,22,55
47,12,11,733,,1,*Nijgram,128,59,69,51,6,0,0,0,43,8,20
47,12,11,822,,1,*Rambhadrapur,118,54,64,46,1,0,0,0,46,8,17
47,12,11,942,,1,*Shyamganj,85,23,62,16,2,0,0,0,36,7,24
47,12,11,957,,1,*Tala Para,196,99,97,86,17,0,0,2,56,11,24
47,12,23,,,,Baliadanga Union Total,3176,1531,1645,1219,50,23,5,11,1256,278,334
47,12,23,082,,1,*Baliadanga,365,190,175,154,3,6,0,1,151,29,21
47,12,23,134,,1,*Bhadail,67,30,37,24,0,1,0,0,30,5,7
47,12,23,172,,1,*Birat,197,81,116,64,4,1,1,5,81,11,30
47,12,23,194,,1,*Bujbunia,373,178,195,125,5,1,0,0,137,52,53
47,12,23,284,,1,*Dhadua,341,170,171,135,2,9,2,0,137,26,30
47,12,23,336,,1,*Ghoshkhali,4,2,2,2,0,0,1,0,0,0,1
47,12,23,396,,1,*Hatbaria,33,19,14,15,0,0,0,0,10,4,4
47,12,23,426,,1,*Jalia Para,96,42,54,37,0,0,0,2,46,3,8
47,12,23,441,,1,*Jhalbaridanga,279,135,144,101,6,1,0,2,89,31,49
47,12,23,478,,1,*Kadamtala,2,2,0,2,0,0,0,0,0,0,0
47,12,23,620,,1,*Kismat Solakura,183,100,83,81,1,0,0,0,66,19,16
47,12,23,740,,1,*Noapakhia,92,48,44,42,0,0,0,0,37,6,7
47,12,23,785,,1,*Phulbati,311,146,165,128,7,0,0,0,134,18,24
47,12,23,830,,1,*Ranjiter Hula,207,100,107,69,1,2,1,0,90,29,15
47,12,23,897,,1,*Solakura,32,14,18,11,1,0,0,0,7,3,10
47,12,23,965,,1,*Talbuniar Hula,117,58,59,46,5,0,0,1,48,11,6
47,12,23,972,,1,*Taliamara,477,216,261,183,15,2,0,0,193,31,53
47,12,35,,,,Batiaghata Union Total,3912,1403,2509,962,120,6,2,145,1762,290,625
47,12,35,,,1,Batiaghata Union,2525,897,1628,669,50,5,2,37,1145,186,431
47,12,35,,,3,Batiaghata Union,1387,506,881,293,70,1,0,108,617,104,194
47,12,35,044,,1,*Auskhali,46,16,30,12,0,0,0,0,24,4,6
47,12,35,052,,1,*Baguladanga Patharghata,76,20,56,16,0,0,0,1,41,3,15
47,12,35,052,01,1,Patharghata,48,13,35,13,0,0,0,0,31,0,4
47,12,35,052,02,1,Baguladanga,28,7,21,3,0,0,0,1,10,3,11
47,12,35,059,,1,*Batiaghata,185,71,114,53,0,3,0,0,76,15,38
47,12,35,074,,1,*Balabunia,128,31,97,17,0,0,0,7,68,7,29
47,12,35,119,,1,*Baruirabad,63,14,49,12,0,0,0,0,37,2,12
47,12,35,157,,1,*Bherandabunia,69,25,44,14,0,0,0,7,35,4,9
47,12,35,216,,1,*Chak Solemari,66,26,40,17,0,0,2,1,15,8,23
47,12,35,366,,3,*Hetalbunia,626,227,399,68,6,1,0,105,289,53,104
47,12,35,389,,3,*Hatbati (Baro),761,279,482,225,64,0,0,3,328,51,90
47,12,35,411,,1,*Hogolbunia,603,215,388,167,14,0,0,3,293,45,81
47,12,35,561,,1,*Khalsibunia,111,32,79,28,0,0,0,0,58,4,21
47,12,35,613,,1,*Kismat Phultala,270,111,159,85,18,1,0,1,103,24,38
47,12,35,658,,1,*Madia Asannagar,169,56,113,47,0,0,0,2,101,7,12
47,12,35,665,,1,*Mailmara,134,48,86,43,2,0,0,0,68,5,16
47,12,35,695,,1,*Mathbhanga,163,58,105,32,11,0,0,10,72,16,22
47,12,35,748,,1,*Par Batiaghata,149,46,103,31,2,1,0,0,57,14,44
47,12,35,793,,1,*Phultala,293,128,165,95,3,0,0,5,97,28,65
47,12,47,,,,Bhanderkote Union Total,3586,1622,1964,1287,81,26,8,20,1451,289,424
47,12,47,029,,1,*Arazi Lakshmikhola,1,0,1,0,0,0,0,0,0,0,1
47,12,47,142,,1,*Bhadganti,168,76,92,68,6,0,0,0,74,8,12
47,12,47,149,,1,*Bhandarkote,1057,521,536,397,33,8,6,5,391,111,106
47,12,47,164,,1,*Bil Kultia,81,32,49,23,1,0,0,3,37,6,11
47,12,47,231,,1,*Char Jhnaikhali,41,19,22,14,1,1,0,0,16,4,5
47,12,47,344,,1,*Goalghata,76,34,42,26,2,0,0,0,25,8,15
47,12,47,359,,1,*Halia,390,148,242,126,11,2,0,0,169,20,62
47,12,47,359,01,1,Paschim Halia,146,55,91,46,3,2,0,0,63,7,25
47,12,47,359,02,1,Purba Halia,159,51,108,44,7,0,0,0,81,7,20
47,12,47,359,03,1,Chandmari,85,42,43,36,1,0,0,0,25,6,17
47,12,47,456,,1,*Jhinaikhali,82,32,50,29,5,0,0,0,27,3,18
47,12,47,591,,1,*Kismat Jhinaikhali,122,51,71,47,5,0,0,0,55,4,11
47,12,47,605,,1,*Kismat Lakshmikhola,125,54,71,49,1,0,0,1,37,4,33
47,12,47,643,,1,*Kultia,312,119,193,95,1,1,1,0,161,23,30
47,12,47,650,,1,*Lakshmikhola,169,85,84,71,2,2,0,0,56,12,26
47,12,47,710,,1,*Naoailtala,242,124,118,94,2,4,1,0,89,26,26
47,12,47,710,01,1,Naoailtala,188,97,91,69,1,4,1,0,66,24,23
47,12,47,710,02,1,Hajirabad,54,27,27,25,1,0,0,0,23,2,3
47,12,47,755,,1,*Par Hogla,79,29,50,26,6,0,0,0,35,3,9
47,12,47,890,,1,*Sialidanga,333,157,176,122,2,7,0,5,152,23,22
47,12,47,912,,1,*Sreefaltala,308,141,167,100,3,1,0,6,127,34,37
47,12,59,,,,Gangarampur Union Total,3860,1382,2478,1123,41,3,4,14,1944,242,489
47,12,59,022,,1,*Andharia,76,32,44,21,0,0,0,0,42,11,2
47,12,59,067,,1,*Bajeafti Debitala,36,6,30,6,1,0,0,0,22,0,7
47,12,59,127,,1,*Barun Para,304,79,225,69,6,0,0,0,172,10,47
47,12,59,127,01,1,Barun Para,173,43,130,36,6,0,0,0,99,7,25
47,12,59,127,02,1,Mathbanga,54,15,39,15,0,0,0,0,28,0,11
47,12,59,127,03,1,Masiar Danga,77,21,56,18,0,0,0,0,45,3,11
47,12,59,179,,1,*Boyarbhanga,439,152,287,132,3,0,1,1,231,19,52
47,12,59,187,,1,*Britti Khalsebunia,204,50,154,45,1,0,2,1,138,4,13
47,12,59,239,,1,*Charkhali Machalia,174,48,126,39,7,0,0,0,99,9,20
47,12,59,239,01,1,Charkhali Machaila,72,24,48,19,1,0,0,0,39,5,8
47,12,59,239,02,1,Tengramari,66,11,55,9,4,0,0,0,42,2,9
47,12,59,239,03,1,Jharbhanga,36,13,23,11,2,0,0,0,18,2,3
47,12,59,269,,1,*Debitala,258,85,173,66,3,1,0,0,118,18,52
47,12,59,299,,1,*Gagramari,65,36,29,28,1,0,0,0,27,8,1
47,12,59,306,,1,*Gangarampur,243,88,155,67,0,1,0,1,117,19,38
47,12,59,508,,1,*Kasiadanga,153,59,94,56,0,0,0,0,86,3,8
47,12,59,523,,1,*Katamari,360,140,220,115,0,0,0,2,163,23,57
47,12,59,523,01,1,Katamari,93,36,57,32,0,0,0,0,43,4,14
47,12,59,523,02,1,Gopalkhali,76,31,45,23,0,0,0,1,31,7,14
47,12,59,523,03,1,Deoatala,191,73,118,60,0,0,0,1,89,12,29
47,12,59,531,,1,*Kaemkhola,188,92,96,73,0,0,1,1,76,18,19
47,12,59,538,,1,*Kayemkholar Hula,138,36,102,30,1,0,0,1,93,5,8
47,12,59,546,,1,*Katianangla,952,374,578,288,17,1,0,7,440,78,121
47,12,59,546,01,1,Katianangla,431,192,239,144,11,0,0,6,176,42,52
47,12,59,546,02,1,Amtala,329,123,206,98,6,1,0,1,144,23,56
47,12,59,546,03,1,Kodaldhoa,18,9,9,6,0,0,0,0,9,3,0
47,12,59,546,04,1,Gondhamari,59,18,41,14,0,0,0,0,34,4,7
47,12,59,546,05,1,Kanthaltala,21,7,14,6,0,0,0,0,12,1,2
47,12,59,546,06,1,Goalbari,25,4,21,3,0,0,0,0,20,1,1
47,12,59,546,07,1,Gangaram,69,21,48,17,0,0,0,0,45,4,3
47,12,59,553,,1,*Khajurtala,119,41,78,36,1,0,0,0,60,5,17
47,12,59,763,,1,*Par Salua,96,47,49,41,0,0,0,0,34,6,15
47,12,59,770,,1,*Par Titukhali,1,0,1,0,0,0,0,0,1,0,0
47,12,59,845,,1,*Salua,40,11,29,7,0,0,0,0,18,4,11
47,12,59,994,,1,*Titukhali,14,6,8,4,0,0,0,0,7,2,1
47,12,71,,,,Jalma Union Total,12718,5921,6797,3539,461,57,21,111,4460,2214,1855
47,12,71,007,,1,*Alutala,680,329,351,247,19,4,9,4,243,74,80
47,12,71,097,,1,*Banshbaria,196,76,120,61,6,2,1,0,80,13,33
47,12,71,209,,1,*Chak Alipur,141,49,92,40,0,0,0,0,70,9,22
47,12,71,246,,1,*Chhaygharia,719,269,450,96,31,0,0,7,210,166,209
47,12,71,246,01,1,Chhaygharia,234,82,152,34,11,0,0,4,63,44,78
47,12,71,246,02,1,Guptamari,42,14,28,10,2,0,0,2,20,2,6
47,12,71,246,03,1,Dauniafad,96,39,57,33,5,0,0,1,29,5,23
47,12,71,246,04,1,Chakrakhali,262,97,165,8,12,0,0,0,72,89,81
47,12,71,246,05,1,Badnakhali,85,37,48,11,1,0,0,0,26,26,21
47,12,71,271,,1,*Denarabad,36,17,19,11,1,0,0,0,16,6,2
47,12,71,291,,1,*Dubi,560,281,279,70,24,0,0,21,167,190,88
47,12,71,374,,1,*Harintana,1698,777,921,583,81,10,1,6,545,178,294
47,12,71,433,,1,*Jalma,107,30,77,6,1,4,3,2,31,18,42
47,12,71,433,01,1,Uttar Jalma,78,22,56,4,1,4,3,0,23,14,29
47,12,71,433,02,1,Kachubunia,29,8,21,2,0,0,0,2,8,4,13
47,12,71,448,,1,*Jharbhanga,281,125,156,89,11,0,0,3,105,33,40
