0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
47,,,,,,Khulna Zila Total,540504,18.3,23.0,56.6,2.0,41.4,36.6,18.4,3.6
47,,,,,1,Khulna Zila,362083,9.8,18.2,69.8,2.1,38.1,35.5,21.4,5.0
47,,,,,2,Khulna Zila,159330,37.9,33.3,27.2,1.6,48.5,39.2,11.8,0.5
47,,,,,3,Khulna Zila,19091,16.8,28.3,51.7,3.2,46.3,35.6,15.4,2.7
47,12,,,,,Batiaghata Upazila Total,40659,6.2,11.9,79.3,2.6,56.7,30.7,9.7,2.9
47,12,,,,1,Batiaghata Upazila,38757,5.8,11.6,79.9,2.7,55.2,31.7,10.1,2.9
47,12,,,,3,Batiaghata Upazila,1902,13.0,17.9,67.5,1.5,87.5,8.7,1.8,2.1
47,12,11,,,,Amirpur Union Total,3879,2.9,13.7,81.3,2.1,63.1,24.7,10.3,1.9
47,12,11,014,,1,*Amirpur,218,2.3,20.6,77.1,0.0,88.5,11.5,0.0,0.0
47,12,11,037,,1,*Arazi Narayanpur,30,3.3,56.7,40.0,0.0,83.3,6.7,6.7,3.3
47,12,11,224,,1,*Char Hadirabad,120,0.0,10.0,90.0,0.0,46.7,35.0,18.3,0.0
47,12,11,261,,1,*Datta Para,83,1.2,13.3,85.5,0.0,65.1,26.5,8.4,0.0
47,12,11,351,,1,*Hadirabad,128,3.1,14.1,82.8,0.0,64.1,32.8,3.1,0.0
47,12,11,381,,1,*Hasimpur,50,0.0,18.0,80.0,2.0,40.0,52.0,6.0,2.0
47,12,11,463,,1,*Joypurdanga,60,6.7,16.7,76.7,0.0,83.3,16.7,0.0,0.0
47,12,11,486,,1,*Karerdhone,532,2.4,8.1,84.8,4.7,67.3,7.0,24.1,1.7
47,12,11,493,,1,*Karia,146,2.7,3.4,86.3,7.5,63.7,28.1,6.2,2.1
47,12,11,501,,1,*Kariabhita,23,0.0,0.0,100.0,0.0,87.0,0.0,13.0,0.0
47,12,11,568,,1,*Khanrabad,653,3.5,11.5,83.3,1.7,58.2,32.0,8.4,1.4
47,12,11,598,,1,*Kismat Kurighata,150,2.7,7.3,90.0,0.0,58.7,30.0,11.3,0.0
47,12,11,673,,1,*Masidghata,288,2.4,9.0,88.2,0.3,81.6,10.8,1.0,6.6
47,12,11,718,,1,*Narayankhali,219,3.7,19.2,77.2,0.0,79.9,15.1,4.1,0.9
47,12,11,725,,1,*Narayanpur,265,4.9,13.6,78.1,3.4,46.8,38.1,14.3,0.8
47,12,11,733,,1,*Nijgram,220,4.1,12.7,77.3,5.9,35.5,30.9,32.3,1.4
47,12,11,822,,1,*Rambhadrapur,176,0.6,11.4,85.2,2.8,60.2,29.5,8.0,2.3
47,12,11,942,,1,*Shyamganj,173,5.2,38.2,55.5,1.2,78.0,10.4,5.2,6.4
47,12,11,957,,1,*Tala Para,345,2.0,16.8,80.6,0.6,50.7,45.2,1.7,2.3
47,12,23,,,,Baliadanga Union Total,4025,2.2,8.4,80.7,8.7,60.4,29.7,6.6,3.3
47,12,23,082,,1,*Baliadanga,474,0.6,7.0,82.3,10.1,42.2,38.8,12.7,6.3
47,12,23,134,,1,*Bhadail,85,0.0,2.4,97.6,0.0,91.8,4.7,2.4,1.2
47,12,23,172,,1,*Birat,510,4.3,8.4,69.8,17.5,63.9,33.7,2.0,0.4
47,12,23,194,,1,*Bujbunia,435,0.7,16.6,81.8,0.9,58.2,32.0,3.4,6.4
47,12,23,284,,1,*Dhadua,360,3.9,4.4,91.7,0.0,84.2,8.9,5.6,1.4
47,12,23,336,,1,*Ghoshkhali,7,0.0,0.0,100.0,0.0,71.4,28.6,0.0,0.0
47,12,23,396,,1,*Hatbaria,30,0.0,6.7,83.3,10.0,96.7,0.0,0.0,3.3
47,12,23,426,,1,*Jalia Para,81,0.0,7.4,53.1,39.5,18.5,49.4,30.9,1.2
47,12,23,441,,1,*Jhalbaridanga,443,3.2,6.8,84.0,6.1,66.4,23.5,6.5,3.6
47,12,23,478,,1,*Kadamtala,4,0.0,0.0,100.0,0.0,75.0,0.0,25.0,0.0
47,12,23,620,,1,*Kismat Solakura,144,2.1,12.5,85.4,0.0,43.1,51.4,5.6,0.0
47,12,23,740,,1,*Noapakhia,81,0.0,8.6,80.2,11.1,75.3,9.9,12.3,2.5
