0,1,2,3,4,5,6,7,8,9,10,11,12
48,,,,,,Kishoreganj Zila Total,664365,627322,2911907,2910318,1589,1083
48,,,,,1,Kishoreganj Zila,,522791,2422877,2422169,708,
48,,,,,2,Kishoreganj Zila,,86970,408762,407967,795,
48,,,,,3,Kishoreganj Zila,,17561,80268,80182,86,
48,02,,,,,Austagram Upazila Total,87855,31129,152523,152376,147,429
48,02,,,,1,Austagram Upazila,,27180,135123,135051,72,
48,02,,,,3,Austagram Upazila,,3949,17400,17325,75,
48,02,11,,,,Adampur Union Total,9386,5116,24182,24182,0,637
48,02,11,033,,1,*Adampur,,1402,6743,6743,0,
48,02,11,033,01,1,Nurpur,,750,3738,3738,0,
48,02,11,033,02,1,Balur Char,,233,1187,1187,0,
48,02,11,033,03,1,Adampur,,419,1818,1818,0,
48,02,11,050,,1,*Adampur Laura,,2125,9718,9718,0,
48,02,11,050,01,1,Ayanarkandi,,256,977,977,0,
48,02,11,050,02,1,Bairagikandi,,831,4200,4200,0,
48,02,11,050,03,1,Tokarkandi,,366,1476,1476,0,
48,02,11,050,04,1,Nayahati,,239,1184,1184,0,
48,02,11,050,05,1,Laura,,260,1135,1135,0,
48,02,11,050,06,1,Jabbar Langha,,125,552,552,0,
48,02,11,050,07,1,Chikna Kandi,,48,194,194,0,
48,02,11,252,,1,*Bhatura,,505,2226,2226,0,
48,02,11,252,01,1,Bhatura,,193,827,827,0,
48,02,11,252,02,1,Isapur,,256,1151,1151,0,
48,02,11,252,03,1,Sitarampur,,56,248,248,0,
48,02,11,387,,1,*Chaudanta Basti,,652,2988,2988,0,
48,02,11,387,01,1,Chaudanta,,371,1844,1844,0,
48,02,11,387,02,1,Islam Pur,,281,1144,1144,0,
48,02,11,522,,1,*Kairail,,393,2318,2318,0,
48,02,11,775,,1,*Matiakhola,,39,189,189,0,
48,02,23,,,,Austagram Union Total,8791,4581,20384,20309,75,573
48,02,23,,,1,Austagram Union,,632,2984,2984,0,
48,02,23,,,3,Austagram Union,,3949,17400,17325,75,
48,02,23,067,,3,*Austagram Sadar,,3949,17400,17325,75,
48,02,23,084,,1,*Asia (Part),,358,1675,1675,0,
48,02,23,185,,1,*Barai Char,,157,743,743,0,
48,02,23,438,,1,*Doai Bhatera,,117,566,566,0,
48,02,35,,,,Bangal Para Union Total,6559,3115,15974,15919,55,602
48,02,35,101,,1,*Bagaia,,108,636,636,0,
48,02,35,151,,1,*Bangal Para,,1092,5549,5549,0,
48,02,35,151,01,1,Bangal Para,,387,1769,1769,0,
48,02,35,151,02,1,Rathani,,418,2126,2126,0,
48,02,35,151,03,1,Anwarpur,,287,1654,1654,0,
48,02,35,236,,1,*Bhatinagar,,275,1177,1177,0,
