0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
48,,,,,,Kishoreganj Zila Total,10103,9690,123816,119008,177093,171124,60708,50502,93027,104719,38997,22869
48,,,,,1,Kishoreganj Zila,7745,7566,107540,103248,149829,145670,52631,43775,75977,86451,32983,19088
48,,,,,2,Kishoreganj Zila,2128,1904,12970,12579,22982,21218,6136,5187,14825,15765,4764,2988
48,,,,,3,Kishoreganj Zila,230,220,3306,3181,4282,4236,1941,1540,2225,2503,1250,793
48,02,,,,,Austagram Upazila Total,357,351,7820,7579,8129,8092,4628,3882,3607,3982,2628,1878
48,02,,,,1,Austagram Upazila,311,318,7080,6817,7198,7197,4229,3545,3147,3489,2332,1674
48,02,,,,3,Austagram Upazila,46,33,740,762,931,895,399,337,460,493,296,204
48,02,11,,,,Adampur Union Total,77,84,1242,1278,1195,1192,872,722,495,707,429,299
48,02,11,033,,1,*Adampur,26,32,335,366,412,403,195,166,151,228,128,66
48,02,11,033,01,1,Nurpur,13,30,183,177,223,234,98,84,81,138,73,35
48,02,11,033,02,1,Balur Char,9,1,50,70,79,63,43,31,37,38,27,16
48,02,11,033,03,1,Adampur,4,1,102,119,110,106,54,51,33,52,28,15
48,02,11,050,,1,*Adampur Laura,32,41,516,528,446,461,418,299,187,277,169,112
48,02,11,050,01,1,Ayanarkandi,1,1,49,45,58,65,41,37,29,25,16,8
48,02,11,050,02,1,Bairagikandi,21,26,204,221,201,193,181,119,85,147,52,53
48,02,11,050,03,1,Tokarkandi,7,8,78,82,72,71,59,52,28,37,36,18
48,02,11,050,04,1,Nayahati,2,3,70,68,50,50,51,30,26,26,19,12
48,02,11,050,05,1,Laura,0,0,82,66,27,44,61,43,7,25,32,16
48,02,11,050,06,1,Jabbar Langha,0,2,25,31,27,31,17,13,6,13,12,4
48,02,11,050,07,1,Chikna Kandi,1,1,8,15,11,7,8,5,6,4,2,1
48,02,11,252,,1,*Bhatura,5,2,86,103,116,88,54,69,59,71,35,35
48,02,11,252,01,1,Bhatura,3,2,21,36,27,37,12,22,17,23,14,20
48,02,11,252,02,1,Isapur,1,0,45,50,80,43,30,37,42,46,18,9
48,02,11,252,03,1,Sitarampur,1,0,20,17,9,8,12,10,0,2,3,6
48,02,11,387,,1,*Chaudanta Basti,12,7,135,138,142,140,76,76,76,92,48,37
48,02,11,387,01,1,Chaudanta,11,7,71,81,95,97,24,30,45,63,25,16
48,02,11,387,02,1,Islam Pur,1,0,64,57,47,43,52,46,31,29,23,21
48,02,11,522,,1,*Kairail,2,2,164,134,76,93,127,108,18,38,46,38
48,02,11,775,,1,*Matiakhola,0,0,6,9,3,7,2,4,4,1,3,11
48,02,23,,,,Austagram Union Total,49,37,889,886,1096,1074,471,416,536,590,340,246
48,02,23,,,1,Austagram Union,3,4,149,124,165,179,72,79,76,97,44,42
48,02,23,,,3,Austagram Union,46,33,740,762,931,895,399,337,460,493,296,204
48,02,23,067,,3,*Austagram Sadar,46,33,740,762,931,895,399,337,460,493,296,204
48,02,23,084,,1,*Asia (Part),2,4,80,68,102,94,35,43,43,57,29,28
48,02,23,185,,1,*Barai Char,1,0,42,30,36,52,23,18,14,16,8,8
48,02,23,438,,1,*Doai Bhatera,0,0,27,26,27,33,14,18,19,24,7,6
48,02,35,,,,Bangal Para Union Total,20,27,849,761,913,854,397,301,435,471,253,193
48,02,35,101,,1,*Bagaia,0,0,39,38,43,40,13,16,21,28,7,3
48,02,35,151,,1,*Bangal Para,5,10,284,245,284,267,132,86,143,160,98,59
48,02,35,151,01,1,Bangal Para,1,0,71,52,77,83,35,34,63,65,20,12
48,02,35,151,02,1,Rathani,0,3,112,104,129,113,55,22,42,61,47,21
48,02,35,151,03,1,Anwarpur,4,7,101,89,78,71,42,30,38,34,31,26
48,02,35,236,,1,*Bhatinagar,3,6,37,40,82,65,4,2,39,45,12,16
48,02,35,320,,1,*Char Pratap,0,1,15,13,17,21,4,4,6,8,1,4
48,02,35,489,,1,*Haidarabad,1,2,10,12,20,20,3,1,11,16,2,0
48,02,35,742,,1,*Laura,2,0,142,132,105,108,94,78,48,43,45,39
48,02,35,742,01,1,Laura,1,0,76,81,73,85,27,18,31,31,25,18
48,02,35,742,02,1,Nazir Pur,1,0,66,51,32,23,67,60,17,12,20,21
48,02,35,826,,1,*Noagaon,3,0,108,104,110,89,62,39,46,68,42,32
48,02,35,843,,1,*Osmanpur,6,8,214,177,252,244,85,75,121,103,46,40
48,02,35,843,01,1,Osmanpur,4,1,111,93,128,125,56,50,69,67,29,27
48,02,35,843,02,1,Manoharpur,2,7,103,84,124,119,29,25,52,36,17,13
48,02,47,,,,Deoghar Union Total,59,47,1020,964,1083,1096,588,528,448,495,347,232
48,02,47,421,,1,*Deoghar,37,32,590,593,680,676,305,301,259,275,207,133
