0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
48,,,,,,Kishoreganj Zila Total,962961,453007,509954,361199,22010,3738,1237,6348,397311,81722,89396
48,,,,,1,Kishoreganj Zila,838276,395038,443238,316979,17606,3284,1093,5524,349710,69251,74829
48,,,,,2,Kishoreganj Zila,93509,42999,50510,32391,3772,325,103,662,35299,9621,11336
48,,,,,3,Kishoreganj Zila,31176,14970,16206,11829,632,129,41,162,12302,2850,3231
48,02,,,,,Austagram Upazila Total,60011,27745,32266,21666,1410,298,121,789,24928,4992,5807
48,02,,,,1,Austagram Upazila,52630,24302,28328,19078,1316,244,109,733,21895,4247,5008
48,02,,,,3,Austagram Upazila,7381,3443,3938,2588,94,54,12,56,3033,745,799
48,02,11,,,,Adampur Union Total,8834,4039,4795,3186,275,26,38,264,3754,563,728
48,02,11,033,,1,*Adampur,2046,961,1085,774,46,9,13,53,863,125,163
48,02,11,033,01,1,Nurpur,1030,487,543,428,12,7,10,6,441,46,80
48,02,11,033,02,1,Balur Char,444,201,243,151,12,2,0,2,195,46,36
48,02,11,033,03,1,Adampur,572,273,299,195,22,0,3,45,227,33,47
48,02,11,050,,1,*Adampur Laura,3831,1766,2065,1348,140,11,16,165,1588,242,321
48,02,11,050,01,1,Ayanarkandi,398,183,215,145,5,0,1,2,171,36,38
48,02,11,050,02,1,Bairagikandi,1626,739,887,491,88,8,11,159,677,81,111
48,02,11,050,03,1,Tokarkandi,649,308,341,286,12,2,3,3,269,17,57
48,02,11,050,04,1,Nayahati,511,245,266,183,15,1,0,1,207,60,44
48,02,11,050,05,1,Laura,449,196,253,163,20,0,0,0,179,33,54
48,02,11,050,06,1,Jabbar Langha,113,55,58,44,0,0,1,0,45,11,12
48,02,11,050,07,1,Chikna Kandi,85,40,45,36,0,0,0,0,40,4,5
48,02,11,252,,1,*Bhatura,684,299,385,264,4,1,0,16,349,18,32
48,02,11,252,01,1,Bhatura,243,94,149,80,0,0,0,11,142,3,7
48,02,11,252,02,1,Isapur,296,127,169,115,2,1,0,4,153,7,14
48,02,11,252,03,1,Sitarampur,145,78,67,69,2,0,0,1,54,8,11
48,02,11,387,,1,*Chaudanta Basti,1125,497,628,414,8,3,3,6,535,74,82
48,02,11,387,01,1,Chaudanta,511,185,326,160,3,3,1,3,288,19,34
48,02,11,387,02,1,Islam Pur,614,312,302,254,5,0,2,3,247,55,48
48,02,11,522,,1,*Kairail,1066,482,584,353,70,2,6,24,384,103,124
48,02,11,775,,1,*Matiakhola,82,34,48,33,7,0,0,0,35,1,6
48,02,23,,,,Austagram Union Total,8657,4038,4619,3003,112,63,15,63,3522,909,970
48,02,23,,,1,Austagram Union,1276,595,681,415,18,9,3,7,489,164,171
48,02,23,,,3,Austagram Union,7381,3443,3938,2588,94,54,12,56,3033,745,799
48,02,23,067,,3,*Austagram Sadar,7381,3443,3938,2588,94,54,12,56,3033,745,799
48,02,23,084,,1,*Asia (Part),734,334,400,201,10,8,3,4,272,121,115
48,02,23,185,,1,*Barai Char,251,118,133,100,5,0,0,1,104,17,24
48,02,23,438,,1,*Doai Bhatera,291,143,148,114,3,1,0,2,113,26,32
48,02,35,,,,Bangal Para Union Total,5723,2597,3126,2220,193,39,28,10,2364,328,541
48,02,35,101,,1,*Bagaia,171,88,83,80,2,0,1,0,73,8,7
48,02,35,151,,1,*Bangal Para,2167,973,1194,813,36,27,19,5,957,128,182
48,02,35,151,01,1,Bangal Para,446,171,275,117,17,16,3,1,179,37,76
48,02,35,151,02,1,Rathani,869,394,475,349,11,8,9,2,400,35,55
48,02,35,151,03,1,Anwarpur,852,408,444,347,8,3,7,2,378,56,51
48,02,35,236,,1,*Bhatinagar,310,114,196,100,1,0,0,0,153,14,42
48,02,35,320,,1,*Char Pratap,63,32,31,30,0,0,1,0,18,2,12
48,02,35,489,,1,*Haidarabad,44,14,30,14,1,0,1,0,12,0,16
48,02,35,742,,1,*Laura,842,387,455,318,74,0,0,1,269,68,112
48,02,35,742,01,1,Laura,324,150,174,114,12,0,0,0,103,36,59
48,02,35,742,02,1,Nazir Pur,518,237,281,204,62,0,0,1,166,32,53
48,02,35,826,,1,*Noagaon,888,442,446,389,21,0,1,2,376,51,48
48,02,35,843,,1,*Osmanpur,1238,547,691,476,58,12,5,2,506,57,122
48,02,35,843,01,1,Osmanpur,701,308,393,267,44,3,3,1,266,37,80
48,02,35,843,02,1,Manoharpur,537,239,298,209,14,9,2,1,240,20,42
48,02,47,,,,Deoghar Union Total,7324,3446,3878,2628,108,28,7,30,2912,760,851
48,02,47,421,,1,*Deoghar,4338,2023,2315,1646,61,5,2,22,1879,350,373
48,02,47,421,01,1,Deoghar,1901,901,1000,753,23,3,0,7,836,138,141
48,02,47,421,02,1,Alinagar,2437,1122,1315,893,38,2,2,15,1043,212,232
48,02,47,876,,1,*Paon,1610,753,857,513,25,12,4,2,528,226,300
48,02,47,876,01,1,Paon,273,118,155,90,4,3,0,0,127,25,24
48,02,47,876,02,1,Saday Nagar,387,167,220,131,0,7,1,1,176,28,43
48,02,47,876,03,1,Kagadigram,950,468,482,292,21,2,3,1,225,173,233
48,02,47,944,,1,*Sabhianagar,1376,670,706,469,22,11,1,6,505,184,178
48,02,59,,,,Kalma Union Total,4141,1743,2398,1401,94,15,0,16,1798,311,506
48,02,59,168,,1,*Bara Haor (Part),539,214,325,164,3,0,0,3,250,47,72
48,02,59,219,,1,*Bazuri,214,75,139,61,0,0,0,1,122,13,17
48,02,59,337,,1,*Charia,834,382,452,300,4,14,0,1,367,67,81
48,02,59,337,01,1,Dhalarkandi,442,215,227,175,2,14,0,1,194,25,31
48,02,59,337,02,1,Shibla,392,167,225,125,2,0,0,0,173,42,50
48,02,59,354,,1,*Charia Sharifpur,875,422,453,336,38,0,0,6,312,80,103
48,02,59,539,,1,*Kakuria,257,98,159,74,12,0,0,1,102,23,45
48,02,59,573,,1,*Kalma,758,310,448,254,21,0,0,0,315,56,112
48,02,59,573,01,1,Kalma,76,24,52,23,9,0,0,0,32,1,11
48,02,59,573,02,1,Halalpur,682,286,396,231,12,0,0,0,283,55,101
48,02,59,994,,1,*Sapanta,664,242,422,212,16,1,0,4,330,25,76
48,02,59,994,01,1,Sapanta,492,182,310,157,15,1,0,3,235,21,60
48,02,59,994,02,1,Shantipur,172,60,112,55,1,0,0,1,95,4,16
48,02,71,,,,Kastail Union Total,6773,3243,3530,2600,174,13,3,25,2757,605,596
48,02,71,590,,1,*Karara,1994,974,1020,752,25,2,0,7,800,213,195
48,02,71,607,,1,*Kargaon,338,192,146,153,1,1,0,1,119,37,26
48,02,71,623,,1,*Kastail,2537,1238,1299,1005,60,3,0,8,1042,222,197
48,02,71,623,01,1,Kastail,2467,1200,1267,971,59,3,0,8,1016,218,192
48,02,71,623,02,1,Bahadurppur,70,38,32,34,1,0,0,0,26,4,5
48,02,71,758,,1,*Maszidjam,1904,839,1065,690,88,7,3,9,796,133,178
48,02,83,,,,Khayerpur Abdullahpur Union Total,12268,5588,6680,4235,315,81,25,362,5378,910,962
48,02,83,016,,1,*Abdullahpur,5309,2487,2822,2029,81,59,17,20,2283,379,441
48,02,83,134,,1,*Bajuka,1158,518,640,377,6,8,3,8,495,125,136
48,02,83,134,01,1,Bajuka,816,351,465,251,6,4,0,8,364,88,95
48,02,83,134,02,1,Baligaon,342,167,175,126,0,4,3,0,131,37,41
48,02,83,455,,1,*Gayeshpur,496,205,291,201,0,0,0,2,287,2,4
48,02,83,556,,1,*Kalimpur,1084,464,620,367,19,2,3,6,517,89,81
48,02,83,674,,1,*Khalagaon,187,84,103,77,22,0,0,2,78,5,3
48,02,83,725,,1,*Khayerpur,3171,1420,1751,906,179,11,2,205,1280,298,290
48,02,83,725,01,1,Khayerpur,1434,627,807,491,22,5,1,10,642,121,142
48,02,83,725,02,1,Kadamchal,1311,598,713,290,136,3,0,191,498,114,79
48,02,83,725,03,1,Anwarpur,23,6,17,5,6,0,0,1,5,0,6
48,02,83,725,04,1,Kadirpur,403,189,214,120,15,3,1,3,135,63,63
48,02,83,978,,1,*Samar Char,863,410,453,278,8,1,0,119,438,12,7
48,02,91,,,,Purba Austagram Union Total,6291,3051,3240,2393,139,33,5,19,2443,606,653
48,02,91,084,,1,*Asia(Part),6,2,4,2,0,0,0,0,3,0,1
48,02,91,202,,1,*Batrishgaon,233,109,124,80,19,0,1,1,78,28,26
48,02,91,286,,1,*Birgaon,2922,1407,1515,1054,26,32,2,8,1156,313,331
48,02,91,286,01,1,Birgaon,2607,1258,1349,939,24,30,2,8,1028,281,295
48,02,91,286,02,1,Islampur,315,149,166,115,2,2,0,0,128,32,36
48,02,91,708,,1,*Khasal,2063,1010,1053,824,86,1,2,9,773,176,192
48,02,91,708,01,1,Khasal,1665,827,838,692,81,1,2,7,592,127,163
48,02,91,708,02,1,Ekhurdia,398,183,215,132,5,0,0,2,181,49,29
48,02,91,792,,1,*Narsing Purbabad,1067,523,544,433,8,0,0,1,433,89,103
48,06,,,,,Bajitpur Upazila Total,77942,35525,42417,28481,1444,257,65,449,33950,6338,6958
48,06,,,,1,Bajitpur Upazila,70764,32358,38406,26146,1159,230,54,416,31076,5566,6117
48,06,,,,2,Bajitpur Upazila,7178,3167,4011,2335,285,27,11,33,2874,772,841
48,06,,,,2,Bajitpur Paurashava,7178,3167,4011,2335,285,27,11,33,2874,772,841
48,06,01,,,,Ward No-01 Total,693,335,358,184,13,14,2,4,237,133,106
48,06,01,580,,2,*East Raberkandi,187,91,96,67,3,0,0,1,78,23,15
48,06,01,723,,2,*Raberkandi,365,185,180,82,4,9,1,2,110,92,65
48,06,01,735,,2,*Purba Basantapur,141,59,82,35,6,5,1,1,49,18,26
48,06,02,,,,Ward No-02 Total,1060,452,608,323,32,3,5,11,429,115,142
48,06,02,700,,2,*Paschim Basantapur,91,29,62,16,1,0,0,6,41,7,20
48,06,02,842,,2,*Purba Mathurapur,570,251,319,184,19,2,3,4,216,61,81
48,06,02,920,,2,*West Mothurapur,399,172,227,123,12,1,2,1,172,47,41
48,06,03,,,,Ward No-03 Total,644,343,301,278,19,1,0,3,244,61,38
48,06,03,045,,2,*Basak Para,113,54,59,44,5,0,0,0,47,10,7
48,06,03,090,,2,*Bajitpur Bazar,89,87,2,81,1,0,0,0,1,6,0
48,06,03,633,,2,*Paglar Char,161,71,90,57,6,0,0,2,74,12,10
48,06,03,671,,2,*Purba Bajitpur,72,34,38,21,3,0,0,0,25,13,10
48,06,03,678,,2,*Purba Pailanpur,209,97,112,75,4,1,0,1,97,20,11
48,06,04,,,,Ward No-04 Total,1137,509,628,388,57,3,0,0,451,118,120
48,06,04,290,,2,*Dari Gagutia,544,239,305,189,28,0,0,0,208,50,69
48,06,04,407,,2,*Mirerband,300,144,156,114,20,0,0,0,120,30,16
48,06,04,587,,2,*East Nandia Aliabad,293,126,167,85,9,3,0,0,123,38,35
48,06,05,,,,Ward No-05 Total,678,277,401,214,38,1,1,2,276,60,86
48,06,05,452,,2,*Nandina Aliabad,289,134,155,114,19,0,1,2,119,18,16
48,06,05,560,,2,*Mathar Hati,33,13,20,11,2,0,0,0,13,2,5
48,06,05,687,,2,*Paschim Nanidna Aliabad,303,110,193,76,13,0,0,0,125,34,55
48,06,05,875,,2,*Purba Bhagalpur,53,20,33,13,4,1,0,0,19,6,10
48,06,06,,,,Ward No-06 Total,882,376,506,266,53,2,0,9,326,99,127
48,06,06,497,,2,*Madhya Bhagalpur,573,227,346,158,27,1,0,8,236,60,83
48,06,06,859,,2,*Paschim Bhagalpur (Medical),309,149,160,108,26,1,0,1,90,39,44
48,06,07,,,,Ward No-07 Total,859,388,471,317,9,0,0,2,392,69,70
48,06,07,361,,2,*Purba Nitarkandi,78,29,49,21,0,0,0,0,40,8,9
48,06,07,949,,2,*Paschim Nitarkandi,227,102,125,81,3,0,0,1,104,20,18
48,06,07,995,,2,*Paschim Pailanpur,554,257,297,215,6,0,0,1,248,41,43
48,06,08,,,,Ward No-08 Total,500,201,299,154,33,1,2,2,206,44,58
48,06,08,226,,2,*Darikandi,106,42,64,34,1,1,1,0,51,7,11
48,06,08,814,,2,*Pashim Bajitpur,168,67,101,50,10,0,1,2,73,15,17
48,06,08,916,,2,*Purba Chandragram,226,92,134,70,22,0,0,0,82,22,30
