0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
48,,,,,,Kishoreganj Zila Total,383209,361199,22010,271754,8400,22028,2482,67417,11128
48,,,,,1,Kishoreganj Zila,334585,316979,17606,252396,7702,17569,1849,47014,8055
48,,,,,2,Kishoreganj Zila,36163,32391,3772,10018,429,3940,593,18433,2750
48,,,,,3,Kishoreganj Zila,12461,11829,632,9340,269,519,40,1970,323
48,02,,,,,Austagram Upazila Total,23076,21666,1410,19110,1138,815,78,1741,194
48,02,,,,1,Austagram Upazila,20394,19078,1316,17025,1095,762,75,1291,146
48,02,,,,3,Austagram Upazila,2682,2588,94,2085,43,53,3,450,48
48,02,11,,,,Adampur Union Total,3461,3186,275,3068,254,37,9,81,12
48,02,11,033,,1,*Adampur,820,774,46,759,38,3,5,12,3
48,02,11,033,01,1,Nurpur,440,428,12,420,7,3,4,5,1
48,02,11,033,02,1,Balur Char,163,151,12,151,11,0,1,0,0
48,02,11,033,03,1,Adampur,217,195,22,188,20,0,0,7,2
48,02,11,050,,1,*Adampur Laura,1488,1348,140,1258,133,27,3,63,4
48,02,11,050,01,1,Ayanarkandi,150,145,5,115,3,1,2,29,0
48,02,11,050,02,1,Bairagikandi,579,491,88,461,86,10,0,20,2
48,02,11,050,03,1,Tokarkandi,298,286,12,270,12,7,0,9,0
48,02,11,050,04,1,Nayahati,198,183,15,172,15,8,0,3,0
48,02,11,050,05,1,Laura,183,163,20,161,17,1,1,1,2
48,02,11,050,06,1,Jabbar Langha,44,44,0,44,0,0,0,0,0
48,02,11,050,07,1,Chikna Kandi,36,36,0,35,0,0,0,1,0
48,02,11,252,,1,*Bhatura,268,264,4,259,3,2,1,3,0
48,02,11,252,01,1,Bhatura,80,80,0,79,0,0,0,1,0
48,02,11,252,02,1,Isapur,117,115,2,111,2,2,0,2,0
48,02,11,252,03,1,Sitarampur,71,69,2,69,1,0,1,0,0
48,02,11,387,,1,*Chaudanta Basti,422,414,8,414,4,0,0,0,4
48,02,11,387,01,1,Chaudanta,163,160,3,160,1,0,0,0,2
48,02,11,387,02,1,Islam Pur,259,254,5,254,3,0,0,0,2
48,02,11,522,,1,*Kairail,423,353,70,345,69,5,0,3,1
48,02,11,775,,1,*Matiakhola,40,33,7,33,7,0,0,0,0
48,02,23,,,,Austagram Union Total,3115,3003,112,2430,46,75,6,498,60
48,02,23,,,1,Austagram Union,433,415,18,345,3,22,3,48,12
48,02,23,,,3,Austagram Union,2682,2588,94,2085,43,53,3,450,48
48,02,23,067,,3,*Austagram Sadar,2682,2588,94,2085,43,53,3,450,48
48,02,23,084,,1,*Asia (Part),211,201,10,167,2,13,0,21,8
48,02,23,185,,1,*Barai Char,105,100,5,66,1,8,2,26,2
48,02,23,438,,1,*Doai Bhatera,117,114,3,112,0,1,1,1,2
48,02,35,,,,Bangal Para Union Total,2413,2220,193,1980,154,142,27,98,12
48,02,35,101,,1,*Bagaia,82,80,2,77,2,0,0,3,0
48,02,35,151,,1,*Bangal Para,849,813,36,763,25,16,7,34,4
48,02,35,151,01,1,Bangal Para,134,117,17,91,8,11,6,15,3
48,02,35,151,02,1,Rathani,360,349,11,345,11,2,0,2,0
48,02,35,151,03,1,Anwarpur,355,347,8,327,6,3,1,17,1
48,02,35,236,,1,*Bhatinagar,101,100,1,100,1,0,0,0,0
48,02,35,320,,1,*Char Pratap,30,30,0,30,0,0,0,0,0
48,02,35,489,,1,*Haidarabad,15,14,1,14,1,0,0,0,0
48,02,35,742,,1,*Laura,392,318,74,249,58,67,10,2,6
48,02,35,742,01,1,Laura,126,114,12,88,9,25,3,1,0
48,02,35,742,02,1,Nazir Pur,266,204,62,161,49,42,7,1,6
48,02,35,826,,1,*Noagaon,410,389,21,376,21,11,0,2,0
48,02,35,843,,1,*Osmanpur,534,476,58,371,46,48,10,57,2
48,02,35,843,01,1,Osmanpur,311,267,44,222,38,39,5,6,1
48,02,35,843,02,1,Manoharpur,223,209,14,149,8,9,5,51,1
48,02,47,,,,Deoghar Union Total,2736,2628,108,2261,79,277,14,90,15
48,02,47,421,,1,*Deoghar,1707,1646,61,1438,41,172,11,36,9
48,02,47,421,01,1,Deoghar,776,753,23,682,14,53,6,18,3
48,02,47,421,02,1,Alinagar,931,893,38,756,27,119,5,18,6
48,02,47,876,,1,*Paon,538,513,25,405,22,77,1,31,2
48,02,47,876,01,1,Paon,94,90,4,79,4,4,0,7,0
48,02,47,876,02,1,Saday Nagar,131,131,0,69,0,62,0,0,0
48,02,47,876,03,1,Kagadigram,313,292,21,257,18,11,1,24,2
48,02,47,944,,1,*Sabhianagar,491,469,22,418,16,28,2,23,4
48,02,59,,,,Kalma Union Total,1495,1401,94,1394,91,1,1,6,2
48,02,59,168,,1,*Bara Haor (Part),167,164,3,164,3,0,0,0,0
48,02,59,219,,1,*Bazuri,61,61,0,60,0,0,0,1,0
48,02,59,337,,1,*Charia,304,300,4,300,3,0,1,0,0
48,02,59,337,01,1,Dhalarkandi,177,175,2,175,2,0,0,0,0
48,02,59,337,02,1,Shibla,127,125,2,125,1,0,1,0,0
48,02,59,354,,1,*Charia Sharifpur,374,336,38,335,38,0,0,1,0
48,02,59,539,,1,*Kakuria,86,74,12,74,12,0,0,0,0
48,02,59,573,,1,*Kalma,275,254,21,250,21,1,0,3,0
48,02,59,573,01,1,Kalma,32,23,9,23,9,0,0,0,0
48,02,59,573,02,1,Halalpur,243,231,12,227,12,1,0,3,0
48,02,59,994,,1,*Sapanta,228,212,16,211,14,0,0,1,2
48,02,59,994,01,1,Sapanta,172,157,15,156,13,0,0,1,2
48,02,59,994,02,1,Shantipur,56,55,1,55,1,0,0,0,0
48,02,71,,,,Kastail Union Total,2774,2600,174,2124,117,135,13,341,44
48,02,71,590,,1,*Karara,777,752,25,738,24,5,0,9,1
48,02,71,607,,1,*Kargaon,154,153,1,105,1,47,0,1,0
48,02,71,623,,1,*Kastail,1065,1005,60,865,34,55,11,85,15
48,02,71,623,01,1,Kastail,1030,971,59,831,33,55,11,85,15
48,02,71,623,02,1,Bahadurppur,35,34,1,34,1,0,0,0,0
48,02,71,758,,1,*Maszidjam,778,690,88,416,58,28,2,246,28
48,02,83,,,,Khayerpur Abdullahpur Union Total,4550,4235,315,4091,301,63,4,81,10
48,02,83,016,,1,*Abdullahpur,2110,2029,81,1963,72,16,4,50,5
48,02,83,134,,1,*Bajuka,383,377,6,374,6,2,0,1,0
48,02,83,134,01,1,Bajuka,257,251,6,248,6,2,0,1,0
48,02,83,134,02,1,Baligaon,126,126,0,126,0,0,0,0,0
48,02,83,455,,1,*Gayeshpur,201,201,0,201,0,0,0,0,0
48,02,83,556,,1,*Kalimpur,386,367,19,362,19,2,0,3,0
48,02,83,674,,1,*Khalagaon,99,77,22,77,22,0,0,0,0
48,02,83,725,,1,*Khayerpur,1085,906,179,846,174,36,0,24,5
48,02,83,725,01,1,Khayerpur,513,491,22,465,18,5,0,21,4
48,02,83,725,02,1,Kadamchal,426,290,136,258,136,31,0,1,0
48,02,83,725,03,1,Anwarpur,11,5,6,4,5,0,0,1,1
48,02,83,725,04,1,Kadirpur,135,120,15,119,15,0,0,1,0
48,02,83,978,,1,*Samar Char,286,278,8,268,8,7,0,3,0
48,02,91,,,,Purba Austagram Union Total,2532,2393,139,1762,96,85,4,546,39
48,02,91,084,,1,*Asia(Part),2,2,0,1,0,0,0,1,0
48,02,91,202,,1,*Batrishgaon,99,80,19,37,2,0,0,43,17
48,02,91,286,,1,*Birgaon,1080,1054,26,761,10,67,3,226,13
48,02,91,286,01,1,Birgaon,963,939,24,672,10,67,3,200,11
48,02,91,286,02,1,Islampur,117,115,2,89,0,0,0,26,2
48,02,91,708,,1,*Khasal,910,824,86,613,80,4,1,207,5
48,02,91,708,01,1,Khasal,773,692,81,553,77,3,0,136,4
